name	X32151640_EXO_S32.grp1	X32151675_EXO_S28.grp1	X32151681_EXO_S21.grp1	X32151161_EXO_S19.grp1	X32151113_EXO_S24.grp1	X32140243_EXO_S2.grp1	X32150300_EXO_S4.grp1	X32151662_EXO_S25.grp1	X32150296_EXO_S34.grp1	X32151649_EXO_S7.grp1	X32151808_EXO_S16.grp1	X32152166_EXO_S8.grp1	X180322.190603_Brain_S36.grp1	X32150759_EXO_S26.grp1	X32151206_EXO_S12.grp1	X32151872_EXO_S27.grp1	X32152211_EXO_S35.grp1	X32151109_EXO_S17.grp1	X32152477_EXO_S29.grp1	X32151201_EXO_S23.grp1	X32141753_EXO_S10.grp1	X32150101_EXO_S3.grp1	X32151828_EXO_S15.grp1	X32152118_EXO_S1.grp1	X32151204_EXO_S9.grp1	X32151684_EXO_S13.grp1	X32150228_EXO_S18.grp1	X32152206_EXO_S33.grp1	X32151642_EXO_S5.grp1	X32151157_EXO_S31.grp1	X32151086_EXO_S6.grp1	X32150688_EXO_S20.grp1	X32151947_EXO_S11.grp1	X32151680_EXO_S22.grp1	X32150301_EXO_S14.grp1	X32150744_EXO_S30.grp1
hsa-miR-98-5p	2573.19569993143	3245.30187202803	1430.81997635422	29.5048696209876	593.988133144024	1731.13298820031	1591.79257407282	446.539141983348	1297.99544945948	1389.20237442169	1761.34738926395	1301.7523604476	5302.61396380874	1214.55610736564	1843.19357861864	3520.23474652451	162.155029485363	2806.60055655361	1517.05613271559	2870.44595445751	1430.21809982358	1976.29228241806	666.327271118102	1512.18454417082	2167.03242338657	1346.31882154788	2860.65720488154	962.62493532456	2887.08893264387	1759.54522190992	1517.05613271559	2631.08309715468	1818.60409777409	1937.69366921071	1098.92868684807	3858.19305694785
hsa-miR-26b-5p	3739.25187752941	3728.8224454243	2620.35116236975	4543.7499216321	2114.7826530225	3621.86612187765	2315.74410366603	1993.51497409577	5201.96637821838	3535.09466903046	2811.97565654421	3116.14564590644	4461.05770913811	6053.7218817911	1854.46693383955	7347.36175300244	4175.49200924809	2511.97099586563	3910.49143259513	3508.38938966144	2255.95574896338	2421.78494649869	4491.66725245933	3349.77588898599	3602.58940531265	3226.35781328128	4253.75347971996	3293.75158875533	884.155549945686	6554.97244601669	2358.5903842709	4414.06460433906	4046.99674777122	3729.85240618456	3853.80029570996	6093.93787752023
hsa-let-7c-5p	8677.36038772287	10084.5951242658	8617.61787176936	27173.9849209296	5419.8528102052	14057.0897362456	8789.34997192437	5822.45980075758	13479.1835136177	8640.10955654963	5940.90555506624	9626.68539354912	10110.6256945701	7424.21243946047	10698.4141046427	3686.87307772094	5351.11597301696	9108.11728126809	6699.06006837172	5501.88774868369	8255.93036591792	10822.7498562266	7457.34147987098	13424.6256579553	7349.72535204538	9517.01893780688	8810.79862377156	11030.8290075991	15802.4281740991	4472.17743902104	7997.61220142902	7785.00003789187	8959.10266134661	6576.09986664534	6325.55096425794	3423.31002451731
hsa-miR-200b-3p	2619.11633702389	4477.82822653538	3455.84178686028	29.5048696209876	2669.47974233987	4469.91240770029	3895.68416415678	5698.25006241279	5431.61172696891	4679.6410147883	4070.96381548676	3146.37071778571	16.0626861862618	3609.01622202944	3544.34288145382	6597.48926261852	202.693786856703	2113.20512493448	5470.35777729458	2961.49515835516	3259.56683215607	3846.12112075187	3366.16108466399	5796.70741932147	3800.17520185058	4069.19629995197	2926.49290862477	4500.72254684541	4470.17191452986	7348.10078468063	3605.70770333603	2904.83740784129	2244.46278929999	5442.65995391498	5658.64386040739	9963.28178145347
hsa-miR-30d-5p	21522.0185915871	24140.608365197	21394.6485826015	25108.6440474605	35445.1440073804	24202.3560350328	32752.050781351	25778.1400769789	25830.1094442437	17070.4384578519	21958.5722266057	24505.7178367076	24202.3560350328	25244.054899169	22261.4945547292	19832.7387178947	33485.0135887274	27504.6854542254	14987.0186941676	19898.4441070793	24202.3560350328	22241.9017244591	17673.2088127128	27397.976509154	20280.8123195695	32439.5894819151	16907.9510025984	29437.1361184728	21955.7062542378	20368.0689324118	22682.9585110482	21559.4938994664	13723.8989646457	21440.0676124362	26790.7908454378	23489.2591747417
hsa-miR-100-5p	2441.99387966724	469.151959259406	1710.44436889626	8231.85862425555	2154.07369684915	939.611753900796	1304.4876448433	1779.99740735431	976.491961208748	845.199390600033	603.007652565053	468.488614128764	11503.8388436217	1238.81257741289	298.743913354091	940.11791849984	40.5387573713406	751.813361755537	304.346162207133	1356.15393173869	1803.3184736906	675.991188651364	742.28167507975	730.570170074088	1556.20671609525	1036.94204493187	897.410951995014	655.14252412634	975.534754828341	989.744187324329	734.908420163379	1417.97575960223	4869.25220876775	626.493232105321	731.50062208513	557.54234926992
hsa-miR-10a-5p	25807.3980459662	59528.5000613856	42747.5790098641	45437.499216321	31136.9966136821	71204.0020826008	56476.9901683211	75356.3031582887	56678.4689877053	69743.3490264057	49063.0157606425	53697.8034358733	33.0248827989542	66944.3921203905	64192.7392989006	54849.0067133038	31458.0757201603	47872.223791785	59199.8802097569	21870.3781809679	40251.4566132351	55884.0055131875	62475.9497313636	84545.153175255	51069.8084910046	74998.926926757	33805.6750997609	67795.3619271765	55615.3598581757	41512.6038434316	51598.8042292855	38843.5895937977	63627.038213139	44929.4056754647	71313.7607615585	36407.5154073258
hsa-miR-182-5p	1292.33792960227	2738.22345452365	2593.29073728503	29.5048696209876	3312.00387079917	2639.71138048058	1553.15337979526	3140.14536856796	2444.22527713601	2470.33895033145	4903.5205012391	2940.42537507889	97.7896335019617	3056.31522595292	3894.94422882409	4214.56112650962	202.693786856703	1323.29311308998	4432.82522593849	2161.22057672844	1865.5018693351	2170.61390851355	2944.95938996757	1888.63554883782	1740.96983557173	2448.1343593207	1861.29678932299	3617.63306188412	2622.8301509562	5961.79242802433	3107.67059215093	1781.19226332369	1382.03198004629	3122.41731996739	2056.92606118433	3796.86339852816
hsa-let-7e-5p	3936.0546079257	6298.63237611124	7041.3481105848	4927.31322670494	4694.1241183483	7363.77337881495	5839.73344188891	3375.2199973362	4904.42588288075	7992.27307460175	5476.95164375886	7597.75336259425	4871.61996805896	12199.2718287611	7210.43799929346	3432.74962264639	9891.45679860711	7027.93098641071	6557.34350456306	4590.7967017868	4723.04581802206	8525.6890739949	6138.49682926417	9105.00989253907	5042.22632994009	5825.69134914364	6509.74490070742	7245.10556092658	7824.0357045473	2416.04220811495	6264.60501779306	7749.21516067794	7665.45644746606	6285.72302565848	4958.60112057936	5491.79214030871
hsa-miR-125b-5p	1379.2591355273	820.514697978256	721.611335592358	3452.06974565555	2431.42224150783	1144.14206853722	1213.22329026131	1252.36265107973	1012.4364505784	929.481543023105	550.917679649477	1054.91427343352	17743.7426717712	556.166206083269	2122.77278809718	1162.30236009508	162.155029485363	1681.42042392623	836.521383592767	1801.2168165805	1080.25573363824	630.167117249411	1287.77239444068	1244.20247305194	1380.7691799362	1218.38105678186	1028.12358709685	1188.93198996645	859.458467544969	1023.06890743626	1419.87815980142	1467.17996577139	950.816575419445	895.732856743504	986.519187582699	1014.72707567125
hsa-miR-21-5p	16587.1901269002	6280.42099307731	6391.89790855168	12539.5695889197	11595.4804046053	3431.82941019588	6582.4119429418	6644.70773806485	8768.45849011782	10096.1563966862	44772.6560422825	6474.09186684708	2314.69733018507	4017.91100282586	4321.07705617446	6533.61123565989	12202.1659687735	7591.79100772736	39507.9208042821	22393.9111033794	12967.4071800991	4447.69126111134	13899.6559249817	8297.87341643101	8811.5105370517	6232.76605521734	5417.70315463657	6495.66843069946	3282.24225105535	23877.161960198	8836.44706484783	9350.58841600159	5560.2681987909	5792.98332651369	10875.6190539251	71003.0181795243
hsa-miR-30a-5p	108407.14401604	64417.8387137244	66634.041735683	64615.6644699629	92338.5754683659	50177.7912503464	65248.0872693291	100092.51857064	48746.7183334698	51586.7540525311	66787.2912058397	70815.5654677369	15415.2956822107	66194.1741539293	56801.9276160726	74120.7297161705	156317.448423889	79283.290835132	92738.9749064036	71880.3514375933	80928.074117621	45904.694204269	88942.6070390909	63537.2729571857	70815.5654677368	79341.832505269	59054.9458484668	53599.5139669771	53917.4354431264	64866.5676978723	59716.539202789	92879.648808772	74744.8962541703	70815.5654677368	94831.6735369675	53708.0545051714
hsa-miR-30a-3p	7260.38072886961	5043.04940822148	5426.7427471969	14988.4737674617	5348.20443616837	5937.77336105388	6844.82659364896	5348.20443616837	6909.32962327662	4880.96703405596	4318.17046661153	3923.62918385766	544.589312459019	6008.67415170336	5325.53300635746	6991.86664645006	324.310058970725	4419.44341031971	3489.03227668501	5704.95143369227	5583.49047868437	5986.41534292429	6815.18151910431	7781.05085070175	6629.32404077431	6016.17646557304	6607.85927473252	4794.26575540264	3939.18464291444	9767.47546480677	6047.30427280444	10579.7989483003	3773.80437962253	8827.73317539555	6012.64989540731	4031.03118522152
hsa-miR-320a-3p	1608.86232098963	2188.54042533439	2719.5727210137	29.5048696209876	2186.43102705933	2352.90855495456	2301.04698682426	2223.45696904812	2817.64858336512	2294.37683900303	3401.29865520771	1224.41173534475	2425.46561412553	1351.43190263224	1833.04755891982	2224.62172147229	26796.1186224562	1785.5567341694	1722.74197879899	3041.76221968599	2819.94468620423	2522.73572033909	1726.23645367384	4188.8149926082	2435.72579271987	1742.79666225712	2467.88011798629	2988.7290368467	3100.71869541008	1896.17657436883	3181.9037659048	2632.87234101537	2892.6250745155	1705.53080111858	2850.50357092348	1956.97364593742
hsa-miR-27b-3p	6681.45269695387	2292.62933937235	3199.89526626736	4396.22557352716	3182.57454995845	1324.11851463871	2407.00845824802	2730.56119005909	4373.24620664041	1475.33397846533	3026.95715493306	1515.10580900719	6879.58424283118	2649.15305015987	888.340391407637	1830.24433764075	3445.79437656395	3286.64354767454	2327.7437676974	4130.15961101514	3911.7694236833	1327.17536120543	1529.44549795502	2054.52921191141	2270.19668883559	2506.02942862896	3065.19531359835	1663.6848328565	1811.53099409263	2992.55986605134	2297.85415119955	4628.77386762268	2188.21730173996	1736.71685802648	2060.70100705519	3423.31002451731
hsa-miR-26a-5p	20357.6024367424	15065.4919225	17482.1621224367	13690.2595041383	15256.4811941	15744.82717207	15422.7277232691	17052.662589948	21898.1816904195	18646.9638606997	18088.9052556063	17277.184469815	44969.7387545059	20294.0024045275	16823.2279961627	24195.8856897211	17472.2044270478	18419.4273630106	21080.8309379398	15687.418426813	16083.8075897248	13456.4280652231	19092.1751776327	15003.8057199058	18376.0619269855	15905.8949120518	17182.7990861866	20865.3464473629	14495.9525151011	23850.5021841085	15933.1384757184	18532.9879090977	12738.2637540701	16552.8659832252	19108.3565598236	16525.5552323604
hsa-let-7g-5p	6866.77526807704	6822.75263828957	5226.04459448528	6314.04209889135	7710.28954151153	5157.33547019027	5333.8681622059	5248.6313401399	4025.78280940048	6415.74767175386	6173.54467139258	7127.19047882671	17275.3547425798	5128.51080998903	4128.30268189691	5796.2366201157	2513.40295702312	6639.32475550329	7453.1594921105	6105.08872450563	5512.63033015924	5436.87102799109	4926.67883878513	5330.92905761485	5692.68576633047	5828.79287071372	6736.97395586001	7199.18818752098	5309.87271615426	6105.08872450563	4960.12570082721	5420.51427598102	4486.2472220495	6654.75803240193	5668.71038272967	6105.08872450563
