name	X32151640_EXO_S32.grp1	X32151675_EXO_S28.grp1	X32151681_EXO_S21.grp1	X32151161_EXO_S19.grp1	X32151113_EXO_S24.grp1	X32140243_EXO_S2.grp1	X32150300_EXO_S4.grp1	X32151662_EXO_S25.grp1	X32150296_EXO_S34.grp1	X32151649_EXO_S7.grp1	X32151808_EXO_S16.grp1	X32152166_EXO_S8.grp1	X180322.190603_Brain_S36.grp1	X32150759_EXO_S26.grp1	X32151206_EXO_S12.grp1	X32151872_EXO_S27.grp1	X32152211_EXO_S35.grp1	X32151109_EXO_S17.grp1	X32152477_EXO_S29.grp1	X32151201_EXO_S23.grp1	X32141753_EXO_S10.grp1	X32150101_EXO_S3.grp1	X32151828_EXO_S15.grp1	X32152118_EXO_S1.grp1	X32151204_EXO_S9.grp1	X32151684_EXO_S13.grp1	X32150228_EXO_S18.grp1	X32152206_EXO_S33.grp1	X32151642_EXO_S5.grp1	X32151157_EXO_S31.grp1	X32151086_EXO_S6.grp1	X32150688_EXO_S20.grp1	X32151947_EXO_S11.grp1	X32151680_EXO_S22.grp1	X32150301_EXO_S14.grp1	X32150744_EXO_S30.grp1
hsa-miR-98-5p	2752.22510134821	3178.93203921716	1687.8117498368	61.320306078447	685.851424534088	2004.4771223555	1610.03817021476	482.981860754101	1343.54143581092	1474.54936761866	1825.03565431701	1316.3584222503	6160.42252508157	1258.25134890135	2134.58693408273	3451.50396172393	189.461080796762	2968.15099573836	1591.42872628658	3183.71166440893	1567.91161557681	2019.31007824805	686.351561286767	1453.53696948406	2161.24504758468	1400.35534759998	3347.76035003672	980.628911995775	3180.82408414068	1717.77295807936	1631.37737442447	2574.72125582746	1797.64135112623	2090.67289550558	1174.30554084627	3112.96577323285
hsa-miR-26b-5p	4000.06001693269	3651.49993352523	3090.94031441805	5151.44912094967	2437.44332087623	4193.91202613564	2342.19504815649	2155.80299493697	5381.54525895664	3753.02439167718	2913.58119456156	3151.80683525359	5180.33530477138	6268.33541321046	2147.87369404233	7204.30601375386	3966.52465388168	2658.63409330065	4102.9286354974	3890.85699188902	2473.13872085476	2474.14467883779	4610.35660626363	3218.39355181279	3592.83927527317	3356.53871040215	4977.27438405903	3355.74357773757	974.571033775037	6394.65176185147	2536.31471730559	4319.43416907713	3999.58657697962	4024.29590019459	4119.42475625983	4920.55281901158
hsa-let-7c-5p	9282.6825171832	9875.78768630847	10164.851029087	30770.8577188728	6245.185487313	16278.0468818099	8891.42987503768	6296.29487105544	13945.4346774197	9172.83488722705	6155.74357354977	9737.56322037918	11740.0708401556	7688.70286886119	12389.7248828228	3615.6777789255	5109.64667526971	9636.79801840196	7028.32341069022	6101.50071214152	9049.5685023361	11058.5611146948	7656.45169006805	12894.4279005219	7329.80069833267	9901.57806983423	10308.9101289164	11238.6212981738	17411.6293747762	4366.29093996368	8600.71203720713	7618.02522924978	8854.45144906877	7094.93614909273	6761.21782341165	2768.28428448011
hsa-miR-200b-3p	2802.20440395244	4385.14721170549	4076.34651066776	60.7918158958355	3076.26177633664	5176.12865113886	3940.88475384221	6161.83039625852	5619.22104147084	4968.42001845177	4218.38223107225	3182.3298762373	17.9410642408881	3737.61651921529	4104.73298869976	6469.18629531588	227.300385992902	2237.04897592255	5739.95065156619	3284.22922922309	3573.03209526592	3929.78799421761	3456.41391460565	5567.15715389973	3789.8831275632	4233.60817716909	3423.87139173801	4585.50870259092	4925.4300112074	7168.37666395015	3877.59775876859	2842.48550504464	2219.35362646496	5872.71332065605	6049.02668301627	8041.47653353066
hsa-miR-30d-5p	23023.2810085804	23640.6872873385	25235.9440047605	28550.5751560352	40834.6755619429	28024.5763766027	33133.3259232125	27875.6863070163	26724.9540521159	18122.8112923936	22753.7285775572	24787.9995719694	28102.3629214131	26142.3685748026	25781.0767657664	19448.1739380876	31789.2220331785	29100.5222368036	15723.9733541527	22067.6856872146	26528.6202811643	22726.15035916	18144.0112893688	26317.9820078483	20226.1763561638	33750.8263197124	19782.5348074974	29991.6079150352	24192.2322406035	19878.3228193624	24393.6326081255	21097.1744463673	13564.2806646418	23132.4587157137	28637.2693283184	18973.2626265001
hsa-miR-100-5p	2611.72577172409	458.626380298176	2017.48075244569	9089.45548510907	2480.62882370372	1087.44559710142	1319.33057744309	1924.82379311358	1011.03438719996	896.785166876192	624.356422059577	473.209378023482	13369.4161257749	1283.26239379876	346.280720892027	922.145387869266	70.7195942348142	796.806724182614	318.577114074092	1503.90856890258	1976.56027944655	690.149204719636	764.108626564251	703.551120384412	1551.9272513315	1078.3911836102	1049.59498747179	667.336561037602	1075.13019647552	967.475339802206	790.11075274951	1387.52454010907	4806.89286843177	675.399790084439	781.463218662883	453.711338088205
hsa-miR-10a-5p	27607.9815392406	58296.0991588318	50422.7041088177	51680.4163386062	35873.903364664	82449.475384882	57133.8425038737	81487.9359009069	58642.0440561226	74044.7444053165	50839.8301235199	54316.4265879848	37.6558853454342	69326.3202182731	74341.5425099316	53785.0878133778	29904.7946957565	50650.6754182437	62112.8128334078	24254.4080514147	44120.5533260223	57101.0578200195	64135.3870117966	81210.9939459723	50932.5376038356	78030.0640319029	39553.2893042082	69072.3057754747	61280.4795435023	40513.7112633524	55490.2733981818	38010.6370648366	62881.2411073315	48476.0443775633	76228.9466998336	29408.0453508845
hsa-miR-182-5p	1383.04095512306	2681.46901238333	3058.85048645746	61.0869880428624	3814.71235799623	3056.71678915485	1570.71016535308	3395.61826847545	2529.08198508094	2622.6026557711	5081.92204619247	2974.37235243881	112.75076803749	3164.90351945854	4510.40515406636	4132.50314961418	228.083089291358	1401.33775859734	4651.82097795561	2396.75585146161	2045.06295448304	2217.6655099176	3022.88183482473	1815.32420996025	1736.04619910097	2546.94840784764	2177.5430690817	3685.85897731826	2889.9833471091	5813.65043041964	3342.13466375232	1742.92685347977	1367.08361142271	3369.12072677186	2198.49352544082	3066.09966364144
hsa-let-7e-5p	4211.04381230361	6168.07247185381	8305.46863865299	5613.96489956942	5408.70030002539	8527.03412756056	5907.46307040483	3649.93879484684	5074.7996663583	8485.42287939557	5675.14686603765	7685.41420481605	5656.35955556718	12632.1882258538	8350.31369439392	3366.43666214031	9371.92351786994	7435.58612712306	6879.96976105183	5091.14139035965	5177.25450502574	8711.64620908576	6301.99753745404	8745.18897865231	5028.49581954436	6060.94787001486	7616.68441620163	7381.57922539751	8620.86881319448	2359.89370972014	6737.05420700992	7583.07460565685	7575.39651081763	6781.89920833548	5300.13053558609	4437.56479791377
hsa-miR-125b-5p	1475.73324756553	802.833791290674	851.436520390685	3863.98932877862	2799.85108034052	1324.39516645098	1226.91295592257	1354.31736444153	1048.23490052493	986.284638005829	570.359886764879	1066.60207813512	20621.7992466923	576.701858355615	2458.23165920678	1139.97871606154	189.537968400436	1779.18553721136	877.097326661063	1997.61222167145	1184.42912105156	643.301460949476	1323.21236168504	1196.34518572811	1376.87532836766	1267.23225091109	1202.57610566552	1211.23185584035	947.27384246286	1000.02295947554	1526.8743059636	1435.67140432613	940.906007354046	965.985027412854	1054.13688394715	822.431539522069
