name	X32151640_EXO_S32.grp1	X32151675_EXO_S28.grp1	X32151681_EXO_S21.grp1	X32151161_EXO_S19.grp1	X32151113_EXO_S24.grp1	X32140243_EXO_S2.grp1	X32150300_EXO_S4.grp1	X32151662_EXO_S25.grp1	X32150296_EXO_S34.grp1	X32151649_EXO_S7.grp1	X32151808_EXO_S16.grp1	X32152166_EXO_S8.grp1	X180322.190603_Brain_S36.grp1	X32150759_EXO_S26.grp1	X32151206_EXO_S12.grp1	X32151872_EXO_S27.grp1	X32152211_EXO_S35.grp1	X32151109_EXO_S17.grp1	X32152477_EXO_S29.grp1	X32151201_EXO_S23.grp1	X32141753_EXO_S10.grp1	X32150101_EXO_S3.grp1	X32151828_EXO_S15.grp1	X32152118_EXO_S1.grp1	X32151204_EXO_S9.grp1	X32151684_EXO_S13.grp1	X32150228_EXO_S18.grp1	X32152206_EXO_S33.grp1	X32151642_EXO_S5.grp1	X32151157_EXO_S31.grp1	X32151086_EXO_S6.grp1	X32150688_EXO_S20.grp1	X32151947_EXO_S11.grp1	X32151680_EXO_S22.grp1	X32150301_EXO_S14.grp1	X32150744_EXO_S30.grp1
hsa-miR-98-5p	5264.36185531176	5677.91786056069	3113.0616743871	69.8225339276963	1239.82374068997	3014.03067080402	3230.13902117461	958.711641557306	2650.30508156938	2790.90769579761	3475.25215971546	2494.57901264161	25658.8739798438	2478.77398048896	3818.90410666613	6601.70256699217	344.698084898479	5587.94099662587	3093.0828286903	6788.0797267026	3061.12355933092	3451.70785808668	1360.49320374676	2645.81268612838	4241.04839846678	2629.93923893054	5891.78869687505	1875.45974498453	5800.94200616614	3332.42466365512	3515.19458832927	5167.20558388433	3435.72677093173	3862.33154590768	2434.50170252687	6520.69379336869
hsa-miR-26b-5p	7649.93309758497	6523.87617442306	5701.14683315653	10752.6702248652	4414.15845420748	6305.93700847556	4699.21490660532	4280.04139748112	10621.6072884434	7102.00550965616	5548.20958831766	5971.54402388781	21586.6586473829	12354.9733064599	3842.2613183277	13778.9381782862	8875.97568613584	5001.3336159846	7972.99034693538	8296.69928199021	4828.46587720549	4229.7863553855	9170.9930470183	5860.97746927173	7050.54334344356	6302.46333645036	8760.99961517226	6417.13951925287	1776.50747494224	12414.5441541849	5465.12681770943	8668.81752835271	7645.63056093939	7434.57381261629	8537.48154305988	10299.3039250751
hsa-let-7c-5p	17752.5421137378	17643.8140519761	18749.5117236727	64306.5537474083	11312.7886066848	24474.4337356398	17835.7549705305	12500.718231984	27522.3989239897	17357.9808801776	11721.7903672809	18447.8462061661	48924.4120588414	15151.9921631885	22165.9938668267	6914.20919738233	11375.0368016498	18134.2591980999	13658.5240446934	13010.9583242411	17670.3280083116	18902.5535631483	15226.245181829	23488.5649435195	14383.9753374573	18590.8279239586	18146.6565282257	21491.1072821779	31751.3493810556	8469.91268679009	18531.3928230828	15289.0251584364	16925.6348288169	13107.8912872382	14013.2519754991	5785.70229642829
hsa-miR-200b-3p	5358.30840212421	7834.32231161898	7518.93934751495	69.8225339276963	5571.9705077701	7782.44836442176	7905.30225971459	12234.0421201945	11090.5074182596	9401.39922175111	8032.27454057542	6029.46504808299	77.725899611789	7365.60085785805	7343.50734639652	12372.6583415305	430.872606123099	4207.39086804771	11153.3577056601	7003.39444257463	6976.51415847511	6717.47120289776	6872.95789457559	10142.2819634921	7437.23387789225	7948.88911071653	6027.38343171543	8768.6529303408	8981.7836023616	13916.6598169688	8354.84194192317	5704.83391053126	4240.26367310868	10848.6483532854	12535.8253697672	16838.8436542628
hsa-miR-30d-5p	44030.7333507051	42235.945008067	46548.7354385306	59418.9763724696	73984.1902226513	42138.0933137568	66461.9743649426	55345.2109029588	52741.0711232307	34294.5124049988	43325.6812483022	46960.8899991915	117113.032884665	51520.3094090215	46123.4858680955	37193.4974602691	71180.1545315359	54761.8217669335	30556.6084052612	47056.1812273234	51800.7723851994	38846.7574579472	36084.7912434179	47937.2138153387	39691.1027630581	63368.4591701691	34823.4924598564	57351.6868012689	44114.9481906048	38575.3400459471	52559.0393696278	42340.8661564191	25927.3401682683	42735.6763361037	59350.735589885	39698.9638026911
hsa-miR-100-5p	4995.94315013334	820.819262379243	3721.44567379451	19480.4869658273	4496.17014133484	1635.93361354007	2647.12658727087	3821.62295738016	1993.84489982681	1698.00565212183	1189.77304515572	897.775875025354	55666.0456875695	2528.27873901513	618.966109031514	1763.0582397845	86.1745212246198	1496.86021267082	620.522779612374	3207.05603114664	3859.67753133028	1180.65739497316	1515.57533059872	1278.25127663164	3045.61571379943	2025.59343954489	1848.3010457854	1276.39892354569	1960.11299609549	1874.488873306	1702.86784105453	2784.7741756058	9199.04457960809	1248.76527807602	1620.52327068964	942.296790949232
hsa-miR-10a-5p	52797.9593085952	104149.921036378	93006.7039094076	107526.702248652	64991.8499399817	123971.43814125	114605.717297964	161788.650333518	115728.629431052	140114.394498876	96804.4989441741	102902.378014528	159.804449601838	136626.061423869	133000.634643292	102861.557392922	66871.4284703049	95313.5854338501	120700.960886363	51719.444678973	86150.9738629087	97604.6218908547	127562.098523323	147925.489441114	99947.5260145394	146505.135073125	69625.9216599317	132084.124901883	111746.290022973	78621.238702939	119560.399565683	76285.2428584406	120204.897157959	89556.0859988344	157984.293308024	61531.9804489849
hsa-miR-182-5p	2643.92424600744	4790.74319484808	5642.27096224613	69.8225339276963	6913.1028031468	4595.9329046754	3151.73058328161	6741.83657821563	4990.7283382168	4962.91117453551	9674.96265416523	5634.807089106	473.195276836572	6237.59957429746	8069.91662907124	7903.81352695118	430.872606123099	2634.67625270776	9037.96194040108	5110.89141359411	3992.76985999685	3791.10172697804	6012.95700930562	3304.47491600844	3407.21128731045	4782.25848937417	3833.5132801475	7048.15025116844	5269.97468823648	11291.1131122708	7200.83233063002	3498.09803383669	2610.94994668744	6223.79641634015	4556.79249969151	6417.04114636427
hsa-let-7e-5p	8052.5611553526	11019.9663007248	15319.9922431422	11660.3631659253	9797.98450327366	12820.8745185267	11850.256855791	7246.53764928832	10014.0758158991	16056.4773293796	10806.3793347342	14559.7554937698	23573.3326414603	24897.3574844832	14939.272578738	6437.63658603733	21026.5831788072	13992.6088123654	13369.5821521657	10856.3946213374	10108.8266377905	14890.6051165193	12533.4555246722	15930.694949811	9868.02304871869	11380.0787954491	13407.4230774939	14115.4704486229	15720.6024598241	4575.77250217796	14515.8146634611	15218.7469458028	14481.664239185	12529.09410636	10984.9920333102	9281.62339084994
hsa-miR-125b-5p	2821.75163818814	1435.55676550729	1570.02322427718	8169.23646954047	5075.07616811615	1992.0360306422	2461.92874316778	2688.80046597681	2067.23796362412	1867.32850395892	1086.99616424183	2021.5573150476	85860.3813615604	1135.07339192148	4398.16295587298	2179.73374697138	344.698084898479	3347.70763779758	1705.55978228138	4259.54835938955	2312.09231427724	1100.6230251814	2629.34696889917	2176.93448858664	2702.27102097036	2380.02180309437	2117.5158348617	2316.36850956352	1726.88436111704	1937.60297678432	3290.02198124768	2881.40671797698	1796.29308347683	1785.43044459431	2185.47633753557	1714.9801595276
hsa-miR-21-5p	33934.8348021818	10988.1040145427	13906.9713412927	29674.5769192709	24203.0961363486	5975.06902693298	13357.3343767649	14266.0700133343	17903.8301741095	20283.1791136391	88339.3421170377	12406.4562413371	11200.6130376572	8200.10964444206	8952.81922987846	12252.8641332143	25938.5308886105	15115.2539718685	80551.5819762294	52957.5042952372	27754.3932826292	7768.14796723168	28380.0292139091	14518.4784738817	17244.800884352	12175.270636746	11158.2618690008	12655.359539836	6594.91182736937	45221.2551422139	20475.0702578218	18363.6969611558	10504.5195529518	11546.9346896432	24093.2040629081	120001.496327385
