Sample	raw reads	adapter cleaned	reads in analysis	unique reads in analysis	UMI filtered reads	genome mapped reads	unique reads mapped to genome	QualityFilteredReads	mature_microRNA_reads	assignedUR	assignedRC	numberMatureMicroRNA	numberMatureMicroRNA_SA	AdapterDimerPercent	UltraShortReadPerc	ShortReadPerc
32151640_EXO_S32|grp1	12280577	11905396	10096034	849800	---	8375031	708599	480	315560	7397	315806	200	131	4.286888063194202	10.907129842636062	13.332828240236612
32151675_EXO_S28|grp1	13907834	13390286	11359417	909717	---	10082693	774544	607	3185937	30788	3186824	273	241	0.7968761832271544	14.365809662317892	11.263000655848575
32151681_EXO_S21|grp1	7143944	6932598	6270861	609195	---	5078198	493493	337	411817	9280	411874	184	149	1.7392469605189858	7.80146202044313	8.929495118568825
32151161_EXO_S19|grp1	8829439	8490109	7840638	762708	---	6214156	615324	413	15356	875	15524	64	49	2.2590287121166526	5.385973254289197	10.782193726841435
32151113_EXO_S24|grp1	11761258	11420347	7188896	665243	---	6120002	565812	408	193387	6632	193671	203	168	2.18650974440619	34.862846111418506	15.818153336321567
32140243_EXO_S2|grp1	16107843	15625861	13609180	961229	---	12524777	809010	910	6246875	49570	6250754	498	390	0.0855824840627982	12.814871449323656	1.5994638631432854
32150300_EXO_S4|grp1	11648607	11216206	10413499	1206299	---	8879785	989132	662	2242764	28371	2244491	379	319	0.11448612837531692	7.036390023507058	3.365674631867496
32151662_EXO_S25|grp1	11047381	10693676	7981113	686166	---	6805245	582821	430	515670	9835	515833	160	135	0.7728586502901341	24.589869751056607	16.752807921242425
32150296_EXO_S34|grp1	14830338	14366548	13991614	1004034	---	10472517	794757	860	246120	6430	246590	137	115	0.33779165322107996	2.2660140765895886	5.040584557960618
32151649_EXO_S7|grp1	16123991	15624790	14982711	1357041	---	11763378	1071358	836	1862827	22930	1863774	302	254	0.2867814543427464	3.817363305362824	7.267144070416307
32151808_EXO_S16|grp1	9665534	9421878	8435529	800939	---	7106006	661014	427	1201018	19093	1201962	311	250	1.1854430719650584	9.27903120800333	11.10759447320375
32152166_EXO_S8|grp1	5749775	5544735	5337287	591612	---	4676286	499223	370	1676206	23529	1677340	317	267	0.41740497967892065	3.3173632283598766	4.224205485023179
180322-190603_Brain_S36|grp1	8417529	8131518	7447999	331359	---	7274403	303776	332	5181187	59795	5187915	784	648	0.3694636106075151	8.032411660405844	1.0226626811869568
32150759_EXO_S26|grp1	7700588	7452241	6414467	629235	---	5376079	527956	366	305345	6953	305681	144	118	0.2938042395569333	13.62747125327804	12.669316518346628
32151206_EXO_S12|grp1	12243401	11822515	10903543	998682	---	8788413	818751	670	433238	8731	433897	176	148	0.9044099330810745	6.863235106912531	10.211710452471408
32151872_EXO_S27|grp1	14503127	13961052	12272325	1389255	---	10136619	1171501	823	367950	9434	368679	186	157	0.36958532924309717	11.720986355469488	13.30527241070372
32152211_EXO_S35|grp1	27554729	26661248	25354113	1579654	---	18206322	1230376	1516	18269	1107	18683	87	69	0.24117025579597776	4.656004850185558	7.93890443538127
32151109_EXO_S17|grp1	8073652	7829439	6678129	717945	---	5390775	584628	349	194201	5711	194479	156	131	2.756672604512277	11.944214649350995	13.403501834550342
32152477_EXO_S29|grp1	13450493	13002236	11791056	1180693	---	10149780	997744	563	2221179	26313	2221937	360	305	0.8440702045402037	8.467028286519334	11.012267428463844
32151201_EXO_S23|grp1	14362037	13954670	12233773	1082898	---	9579579	853043	634	741612	14369	742389	236	185	1.7470853843193712	10.580708823641118	11.165889268610437
32141753_EXO_S10|grp1	10755183	10348243	9174789	858547	---	7887324	742908	453	332243	7570	332401	156	133	1.2761683311843373	10.059446806573831	13.310549433367578
32150101_EXO_S3|grp1	8824169	8455133	8127733	1090482	---	7042675	919644	507	1533981	22500	1535094	333	291	0.09689971760349601	3.769390735781448	2.629657037920042
