name	181004-190521_Brain_S35	32150116_EXO_S31	32150161_EXO_S32	32150704_EXO_S33	32150978_EXO_S34	32160284_EXO_S1	32160340_EXO_S2	32160373_EXO_S3	32160612_EXO_S4	32160622_EXO_S5	32160628_EXO_S6	32160670_EXO_S7	32160765_EXO_S8	32160965_EXO_S9	32161004_EXO_S10	32161013_EXO_S11	32161045_EXO_S12	32161046_EXO_S13	32161065_EXO_S14	32161104_EXO_S15	32161237_EXO_S16	32161245_EXO_S17	32161253_EXO_S18	32161392_EXO_S19	32170016_EXO_S20	32170083_EXO_S21	32170268_EXO_S22	32170269_EXO_S23	32170272_EXO_S24	32170383_EXO_S25	32170385_EXO_S26	32170409_EXO_S27	32170434_EXO_S28	32170450_EXO_S29	32170652_EXO_S30
hsa-let-7a-2-3p	43																			1													1		
hsa-let-7a-3p	4282	802	117	170		53	179	13	109	259	223		10	84	377	406	501	6	260	122	511	694	418	11	755	236	45	86	626	267	355	45	474	741	869
hsa-let-7a-5p	3934205	249742	68395	218312	6429	19482	104937	6336	29469	237897	78266	2002	17261	62148	187595	119852	234964	12381	75460	31323	160539	97408	179508	14371	196518	74253	23156	21543	173176	77967	48617	17424	210849	164710	399319
hsa-let-7b-3p	5041	521	132	571		10	170	23	97	369	167		19	146	496	209	313		67	64	401	104	403	21	425	168	50	25	382	153	87	49	405	332	595
hsa-let-7b-5p	802037	216723	59104	177702	4650	16617	65847	3832	19191	154472	53795	2125	16675	42555	129159	94219	146243	10294	40232	21818	126204	66224	150443	10663	132799	41810	17481	18639	115031	52862	29559	9075	125853	104772	374406
hsa-let-7c-3p	404		54	9			32			17	20												61		31		3		3		12		9	16	14
hsa-let-7c-5p	594272	49062	10423	40144	1258	4440	17398	1210	5851	38801	13572	860	4890	9193	29308	20659	31503	3606	6451	3371	28506	14458	37112	2519	33493	8141	3765	5968	30394	12213	6307	1801	23736	29148	85213
hsa-let-7d-3p	32926	6057	1409	5823	131	334	1170	61	323	3608	1631	25	578	1351	3071	3303	3877	201	1468	693	4243	1572	4603	289	4240	1514	267	460	3697	1389	1269	337	3323	3121	6003
hsa-let-7d-5p	162245	9331	2693	6818	163	669	4025	236	1214	7441	3061	142	633	2213	6040	4137	7686	517	3127	1458	5698	4563	8867	646	9443	3702	889	779	7734	2932	2581	706	7571	5983	11368
hsa-let-7e-3p	626	51	36	3	8		40			65						61	60	3	33	7	53	34	101	18	71	12		11	67	59	21		43	48	61
hsa-let-7e-5p	297525	28022	7557	29276	594	2619	10422	705	3223	26843	7502	233	2813	8473	25300	15219	22213	1644	8181	3251	16638	11077	16779	1711	25015	6358	2568	1666	21982	9744	5384	1865	21658	16113	50092
hsa-let-7f-1-3p	238	19		8			23			14	3			15	109		10			32	35	78			15	16	8		6	36	7		14	21	61
hsa-let-7f-2-3p	99	41		30					1	24	15				1		13					71			9	11			1	13	23		6	9	
hsa-let-7f-5p	2016738	121374	30037	108500	2776	8281	56870	3292	17656	128149	42375	964	8172	32190	86294	66175	131007	6660	57593	17647	76248	61111	70736	6583	98258	43924	11515	8204	85343	47050	31774	8796	110864	81912	171131
hsa-let-7g-3p	58																					35	8										2		
hsa-let-7g-5p	871557	29808	7682	28119	789	2434	14585	844	4402	36383	12337	326	2836	8764	19365	17238	34400	1892	17167	5444	23709	20616	24985	2434	26865	13442	3212	2837	24430	14996	9295	2605	33898	24492	33264
hsa-let-7i-3p	715	16		47			24			58					41		13	6			14	18	11	2	39		7	11	8	5	8		20	20	29
hsa-let-7i-5p	255372	5307	1554	4919	169	873	3134	230	1280	7844	1766	194	755	2355	5041	4645	6528	479	3130	877	5856	4138	4440	586	7804	2315	723	570	7701	4054	1644	435	5303	6162	8388
hsa-miR-1-3p	49400	65	85	42	252	52	47	105	38	199	142	81	30	125	25	68	33	72	3	4	85	98	14	49	122	100	47	56	33	55	57	67	728	44	283
