name	180913-190529_Brain_S36	32141643_EXO_S1	32141786_EXO_S2	32150013_EXO_S3	32150076_EXO_S4	32150080_EXO_S5	32150147_EXO_S6	32150163_EXO_S7	32150243_EXO_S8	32150292_EXO_S9	32150424_EXO_S10	32150696_EXO_S11	32150698_EXO_S12	32150825_EXO_S13	32150844_EXO_S14	32150849_EXO_S15	32150993_EXO_S16	32151026_EXO_S17	32151125_EXO_S18	32151152_EXO_S19	32151180_EXO_S20	32151226_EXO_S21	32151444_EXO_S22	32151565_EXO_S23	32151667_EXO_S24	32151691_EXO_S25	32151725_EXO_S26	32151765_EXO_S27	32151859_EXO_S28	32151881_EXO_S29	32151984_EXO_S30	32152084_EXO_S31	32152094_EXO_S32	32152253_EXO_S33	32152273_EXO_S34	32152341_EXO_S35
hsa-let-7a-2-3p	15							1																			1					1				
hsa-let-7a-3p	1107	22	25	16	119	65	160	37		1		372	194	353		117		246		238			263	29	8	2	137	10	100	174	54	423	34	136	158	88
hsa-let-7a-5p	642273	10993	6416	6629	43728	21218	64942	16052	259	12563	12392	157934	106682	34416	17443	5840	7089	127070	86073	96913	969	1255	101938	6704	3371	1843	50599	2862	42672	53756	19315	119122	10455	44486	46203	19613
hsa-let-7b-3p	1666	40	29	14	82	49	178	52			245	49	234	203	246	41		418	212	411			538	16	14	1	95	17	129	117	73	306	39	98	143	54
hsa-let-7b-5p	128113	9086	5082	4917	27832	17689	37425	8652	269	14923	14018	123385	93471	32861	14614	7454	6586	115150	105972	91622	627	1797	101443	6238	2453	1458	31898	2071	28158	31930	12928	45560	6112	25894	36397	13364
hsa-let-7c-3p	77				12	1								15						34			12		2		2		4	7	5	14		3	1	1
hsa-let-7c-5p	99965	2542	1441	1112	6541	4444	11840	3303	66	2967	1010	18768	15180	5954	2331	1640	1326	23755	11242	17982	689	568	21144	1495	668	613	8850	612	7597	9396	3435	14465	1744	7597	9217	2529
hsa-let-7d-3p	6267	147	145	113	531	374	1005	193	6	668	199	2633	2413	1603	264	244	332	3347	2168	2111	8	10	3161	218	65	37	683	62	753	773	474	1466	181	770	876	442
hsa-let-7d-5p	36561	439	284	298	2332	1357	2957	640	10	1888	106	8411	6246	1603	681	478	282	8228	3738	4447	113	175	5043	528	172	117	3114	134	2488	2777	1234	6556	613	3268	2302	1428
hsa-let-7e-3p	184	6				3	36	4					81	1		94		3		114			32	4	1	1	19	2	19	20	9	52	8	27	17	9
hsa-let-7e-5p	46216	1276	672	1127	3709	2451	8373	1646	19	1684	564	18745	14443	3933	1911	670	982	20204	9605	15696	56	164	13229	766	378	185	6450	396	6450	7079	2381	12948	1137	4531	5809	3075
hsa-let-7f-1-3p	111			1	11		5	3													1		10		1		12	1	6	8	1	26		11	3	4
hsa-let-7f-2-3p	31						7														1		10						7	5	2	9	3	4	8	2
hsa-let-7f-5p	260402	3986	3226	3330	18686	9566	27144	7540	109	8781	2538	62314	41472	21806	7233	2286	3596	56040	30359	38337	456	469	28096	3027	1499	722	23403	1095	16778	22889	6865	48271	4242	20028	17979	8992
hsa-let-7g-3p	4																												2			2			1	
hsa-let-7g-5p	129713	1627	784	1127	8383	5838	9382	3014	50	834	896	18274	13057	5747	2257	439	876	19315	9489	12866	351	45	8835	1293	621	379	8653	320	5686	7797	2499	16650	1630	9464	6334	3223
hsa-let-7i-3p	123				5	5	13											10					12	1			9		17	10	6	28		11	4	8
hsa-let-7i-5p	29437	319	223	399	1391	1294	2235	500	9	109	715	3074	2083	705	216	209	209	6174	2031	4015	16	39	1683	198	89	72	2014	69	1487	1801	583	3730	267	1539	1268	761
hsa-miR-1-3p	5316	35	35	35	170	11	16	52	13	6	338	60	29	34	61	3	338	19	53	21	222	49	14	6	115	14	21	40	13	68	4	38	4	14	21	9
hsa-miR-100-3p	4																															1				
hsa-miR-100-5p	72898	192	326	90	2222	905	2669	328	20	470	344	5365	1551	1310	680	211	423	3268	1288	2711	18	185	1901	339	211	118	1963	172	905	2223	1049	3232	435	1526	816	399
hsa-miR-101-3p	24593	454	328	219	2191	1154	2771	896	4	396	189	1863	2275	1365	371	49	50	4132	2515	3762	9	13	1545	361	246	86	2114	146	2201	2626	565	5014	519	1886	1799	773
hsa-miR-101-5p	7						1																3				3						2			
hsa-miR-10392-5p				8																												1				
hsa-miR-10394-3p		6																																		
hsa-miR-10395-3p	36							1																						8		1		5		
hsa-miR-10396a-5p	5																																			
hsa-miR-10396b-5p	5																																			
hsa-miR-10398-5p	1					2																														
hsa-miR-10399-3p	2				4		16	2															6	2			1	2	10	3	2	23	1	4	2	3
hsa-miR-10399-5p	3			1	3		29													61			2				2		4	3	1	13	2	5	5	1
hsa-miR-103a-1-5p	3																																			
hsa-miR-103a-2-5p	5																						3						2			2		1		
hsa-miR-103a-3p	53446	418	240	255	2103	1052	2700	552	7	990	83	5553	4276	2410	683	526	156	9482	3519	5545	134	28	2253	416	191	61	2210	103	1906	1819	665	4600	489	2193	1233	900
hsa-miR-10400-5p																														6						
hsa-miR-10401-3p	3	1			1		6	3												21				1					1	2	1	1		6	1	1
hsa-miR-10401-5p					6												1			29												3				
hsa-miR-105-5p	134																															2		2		
hsa-miR-10522-5p	2																																			
hsa-miR-10526-3p	6																																			
hsa-miR-10527-5p	7	7		2	10	10	3	2										41		8	1		24	3			19		8	8	2	19		17	7	9
hsa-miR-106a-3p	11	6					4																							2		6		9		
hsa-miR-106a-5p	122	9			26	7	37	6				120	1	23				92	205			1	31	1	1	4	2	2	13	20	8	49	4	27	3	2
hsa-miR-106b-3p	575	22		7	94	44	129	23			67	335	204	1		38	40	266	3	130	2		115	24	8		78	6	91	112	22	182	8	86	56	64
hsa-miR-106b-5p	1389	42		11	136	41	169	62			68	52	104	43				422	176	386	1	1	157	16	13	1	179	4	184	249	66	451	19	132	114	89
hsa-miR-107	3556	31	48	20	221	54	155	19		154	3	345	514	302	51	59		760	911	472	3	1	182	48	12	1	150	13	134	121	53	383	49	136	74	71
hsa-miR-10a-3p		71	70	44	173	161	348	148			1	489	696	93	113	74	46	1288	392	886	2	1	585	41	30	9	482	17	470	563	143	751	76	340	354	123
hsa-miR-10a-5p	133	9183	9368	5160	16779	20992	49655	13402	130	15838	16284	134938	80950	34156	8869	9172	8859	144825	72454	133880	835	385	74990	5736	3239	1404	51917	2183	48995	57431	16389	60039	7647	40224	54810	19545
hsa-miR-10b-3p		16	43	27	128	87	196	74				431	549	101	37	56	1	368	137	103		1	202	16	4	14	123	3	142	170	43	263	17	171	151	55
hsa-miR-10b-5p	154	9315	6575	4346	19597	16796	51659	11286	195	19306	11411	134533	84076	39698	16034	8057	10107	159188	76855	146326	444	326	63365	3851	2420	1483	40825	1807	37831	45457	13115	67069	5728	34430	42732	13286
hsa-miR-1178-3p	7																																			
hsa-miR-1179	91					1	3																						1			1			1	
hsa-miR-1180-3p	2437	53	13	25	152	108	304	65	2			580	205	245	15	1		1002	316	771		1	327	20	5	2	190	5	182	139	50	332	24	146	129	69
hsa-miR-1180-5p	4						6																4				2		1		8	4				
hsa-miR-1181																																2				
hsa-miR-1185-1-3p	17																															1				
hsa-miR-1185-2-3p	4																															1				
hsa-miR-1185-5p	43																																			
hsa-miR-1197	53																																			
hsa-miR-1199-5p																													5							
hsa-miR-12121																								8												
hsa-miR-12124							13																													
hsa-miR-12125																													2	1		4		3	3	
hsa-miR-12135	10																																			
hsa-miR-12136	663				28			2																							1					
hsa-miR-122-3p		1					3	1																												
hsa-miR-122-5p	30	24	2	3	6	2	47	18		24	3	17		8	1	23	1	16	9	2	87	3	22		3	2	3	3	3	3	3	6	3	1		2
hsa-miR-1224-3p	26																																			
hsa-miR-1224-5p	337																									1						1				
hsa-miR-1225-5p	5																																			
hsa-miR-1226-3p	152					6	13					12				6				40			9	1	1				2	2	2	9	2	1	6	6
hsa-miR-1226-5p	5						7					51											1						1							
hsa-miR-1228-3p	36						1													32									1			1				1
hsa-miR-1228-5p	3												52																			2				
hsa-miR-1229-3p	69			2	4		1							93				22	40				15	2					1		1	4			2	3
hsa-miR-1229-5p					1																											2				
hsa-miR-122b-5p					4																											2				
hsa-miR-1231	12																																			
hsa-miR-1234-3p	3	4																												2		1				
hsa-miR-1236-5p																											1					1				
hsa-miR-1237-3p	2																																			
hsa-miR-1237-5p						1																														
hsa-miR-1238-3p																														1						
hsa-miR-124-3p	129252		2	1	40	2			2					76			1						3	1	3	21		1	1	1	2	22	2	5	6	1
hsa-miR-124-5p	281																																			
hsa-miR-1243	24																																			
hsa-miR-1246		1		1		2	7											1			1	2		2		1					1	1	1			
hsa-miR-1247-5p	95					2	4																2									2				
hsa-miR-1248	2																																			
hsa-miR-1249-3p	982		6	3	8	2	14						74					38	172	16			35	1			6	1	12	9	1	10	2	2	1	5
hsa-miR-1250-5p	146																														2					
hsa-miR-1251-5p	10				22		2						36										7							1				3		
hsa-miR-1252-5p	11																																			
hsa-miR-1256	1																															1				
hsa-miR-1258	37						3	9																												
hsa-miR-125a-3p	167	14	15	8	70	68	86	6				297	163		29			299		258			132	9	6		68	1	84	55	12	126	12	41	71	40
hsa-miR-125a-5p	146360	3957	1522	3062	8820	11354	25681	4417	48	9279	4298	45786	39100	16190	6144	3832	3736	59514	29888	66891	203	261	35349	2352	1381	667	18450	864	16420	17629	6407	26358	2623	14666	19819	8422
hsa-miR-125b-1-3p	971				5	10	17																8	4	2	3	7		4	4	1	11		2		
hsa-miR-125b-2-3p	4588	84	52	22	143	68	262	80	6	106		456	402	22		44	126	476	123	613			333	14	13	1	213	25	173	173	60	342	29	142	138	91
hsa-miR-125b-5p	206977	815	283	555	2643	2300	5184	1541	37	552	1127	5273	4435	1964	1021	694	514	9124	4463	8582	580	371	8849	917	514	436	4423	271	3931	4414	1778	7492	920	3868	3843	1223
hsa-miR-126-3p	22833	1		7	47	67	271	7	1	1	1	2		3				184		3	5	11	623		8	4	31		61	45	6	3249	4	19	10	5
hsa-miR-126-5p	4078	1		1		2	36				1	1		1						25			173				3	2	8	13	1	450	1	4	7	
hsa-miR-1260a	1309	149	31	178	588	340	666	81	7		157	746	631	556	180	121	128	1456	1620	1273	2	24	2160	255	80	39	840	46	561	564	302	983	106	639	616	448
hsa-miR-1260b	1313	142	4	166	582	357	611	70	7		157	740	695	695	236	102	126	1356	1559	1065	2	54	2307	268	77	40	891	41	575	570	321	1043	111	668	569	457
hsa-miR-1261	30						22																12						5		1	13	3	1		1
hsa-miR-1262							2																	1	2		2			3		1				
hsa-miR-1263																																2				
hsa-miR-1266-5p	3																												3	1		1				
hsa-miR-1267	7																										3					1				
hsa-miR-1268b	5																		74																	
hsa-miR-1269a	9	2			79															55	1		5				3					42	2	1	4	
hsa-miR-1269b			10				21																								2	6				
hsa-miR-127-3p	5389				1		6					1						64					5			3			5			4	1	2		5
hsa-miR-127-5p	515				10		3	1																												
hsa-miR-1270	37	3					11	4						35				11					12			2	8		8	6	2	9	1	12		8
hsa-miR-1271-5p	271			5		7	25	1					75					89					18	2	1		21		10	13	1	31		16	32	8
hsa-miR-1273c																													3							
hsa-miR-1273h-3p	14																															1				
hsa-miR-1275	41					6	5																16				8		5	2	1	3	3	5		
hsa-miR-1276	13																										1									
hsa-miR-1277-3p	2																													1	2					
hsa-miR-1278	8																																			
hsa-miR-128-1-5p	276	2					3																													
hsa-miR-128-2-5p	53																																			
hsa-miR-128-3p	410237	125	64	63	757	198	633	133	2	2	202	1507	886	682	189	157	66	1193	928	1004	3	16	978	64	34	66	473	22	545	546	239	1109	124	375	458	264
hsa-miR-1283	3																																			
hsa-miR-1284	8					5	6																4				2		1	1		3				
hsa-miR-1286	11																																			
hsa-miR-1287-3p	2																																			
hsa-miR-1287-5p	16																								4						1	5		5		
hsa-miR-1288-3p	7																															1				
hsa-miR-129-1-3p	756				6		9					23															9			2	3	4		7	1	2
hsa-miR-129-2-3p	1084				6																				1	3										
hsa-miR-129-5p	18349				32	12	24	1				88						14	101				12				14		5	8	3	61	3	36	15	1
hsa-miR-1290							16																													
hsa-miR-1291	16																																			
hsa-miR-1292-5p	23					2	5											14									1	3	1			3		2		1
hsa-miR-1293			24																				2				3							4		
hsa-miR-1294	6																																			
hsa-miR-1295a	13					1																									1					
hsa-miR-1296-5p	205	4			9		13	3				78											6	3			5		2	6	2	6		8	1	7
hsa-miR-1297	5																																			
hsa-miR-1298-3p	113																																			
hsa-miR-1298-5p	71																																			
hsa-miR-1301-3p	2807	11	16		36	48	108	3	1	821		150	124					308	57	37	1		88	9	1		40		54	69	17	128	4	69	68	17
hsa-miR-1303																											1									
hsa-miR-1304-3p	7		10			2	3											66					7	2			8	2	2	4		9	3	10		
hsa-miR-1304-5p	8			1	10		3																						1	2	1	1				1
hsa-miR-1305	4																																			
hsa-miR-1306-3p	117						2																11		6		1		6		2	1	1	7	4	
hsa-miR-1306-5p	152	4		13	9	6	7	5				21	45	30	86			37	47	121		1	28	11			7		14	4	1	13	1	2	8	2
hsa-miR-1307-3p	248	30	27	10	79	92	46	10				462	145	93		1	39	547	452	314			99	20	5	7	47	3	43	72	23	119	5	67	46	36
hsa-miR-1307-5p	281	17			20	13	2					13	62					35		61		1	3	6	11		10	2	29	19	3	53	15	33	15	1
hsa-miR-130a-3p	168	6		2	9	9	53	10					25					106	228	30			38				24		28	24	13	74	3	15	27	5
hsa-miR-130a-5p	1	1																													1	2		1		
hsa-miR-130b-3p	222				12		3	3														92	28	4	1		4		4	3		6		8		1
hsa-miR-130b-5p	697	17	28	3	19	25	68	6			1	74	30	34		53		29		151			50	10		1	52		36	16	38	61	11	39	46	38
hsa-miR-132-3p	20339	2		10	91	27	80	18				14	113	34				75	130	214	2		82	9	6	10	37	1	63	55	14	255	16	9	46	18
hsa-miR-132-5p	4352				6	1		2										31		42				1			1		11	2	1	9	3	6	5	1
hsa-miR-1323	6																										1									1
hsa-miR-133a-3p	243	2	1	9	6	1	2	4	4	1	13	15	1	8	3	3	269	16	3	3	133	5	5	8	3	11	6	7	1			4			1	1
hsa-miR-133a-5p	6																																			
hsa-miR-133b	9											1																							1	
hsa-miR-134-3p	15																																			
hsa-miR-134-5p	1458	2					2											72					2									1				
hsa-miR-1343-3p	92				11																									2		4				
hsa-miR-1343-5p	3						1																													
hsa-miR-135a-2-3p	91	16	1		53	10	26	2	1	270		117	59	137	4	44		144					12				5		7	2	12	45	1	15	7	12
hsa-miR-135a-3p	2					1																														
hsa-miR-135a-5p	1818	39	21		215	39	200	17	14			174	256		210			609	15	2	2	36	177	16	3		30	7	39	18	42	262	21	49	25	26
hsa-miR-135b-3p												71																		5	1				2	
hsa-miR-135b-5p	87	52	78	103	276	207	585	161	4	533	1	431	568	100	1	40	69	1229	733	1156	3	84	555	59	63	9	910	29	768	886	131	683	141	204	386	199
hsa-miR-136-3p	2195						2	2				62														1						3	1			
hsa-miR-136-5p	179																															2				
hsa-miR-137-3p	1104																																			
hsa-miR-137-5p	28																																			
hsa-miR-138-1-3p	109																	1		44			9				3		1	2	2	5			6	3
hsa-miR-138-2-3p	288				4		2																4				4					4				1
hsa-miR-138-5p	1524				12	9	6	21						1		60				66			8			16	15		8	4	2	20	2	2	11	1
hsa-miR-139-3p	2084																									2						2				
hsa-miR-139-5p	27120				18	9	24	14				1		1									182		1	3	10	4	4	21	1	129		41	16	1
hsa-miR-140-3p	7059	99	12	24	438	158	424	102	2	471	162	970	673	213	195	34	33	1285	1064	568	3	32	407	31	20	30	310	23	340	333	121	1368	40	394	308	146
hsa-miR-140-5p	457	8	2	2	19	14	41	3								98		77					33	1	1	1	13	2	14	13	1	61	6	27	10	6
hsa-miR-141-3p	1	315	281	178	1318	347	1452	502	6	238	278	1306	583	558	290	305	45	1216	704	788	5		662	155	89	28	1271	62	1566	1354	411	2275	257	740	785	544
hsa-miR-141-5p		5				3	1																4				5		2	1	1	5			6	
hsa-miR-142-3p	92		2		10	3	1		2								2		1			1	3	2		1	2		2		2	9		1		2
hsa-miR-142-5p	321	1	2		11		3	1	1	4		1	1			1	2	2			1		6	1		1	1	2			2	75	1		3	
hsa-miR-143-3p	119087	5	3	3	36	99	232	3	3	1	5	4	4	4	185		63	4	5	2	8	14	254	3	9	3	9	9	25	8	4	1028	4	3	17	7
hsa-miR-143-5p	38																																			
hsa-miR-144-3p	130																				1					1						15				
hsa-miR-144-5p	314										1	1		1								1		1	3	1	1			1		26				
hsa-miR-145-3p	862																						1		2							8				
hsa-miR-145-5p	2423	1		1	1	2	5		3	1	3	3		2		1		2		1		1	10		1	1		1				9				
hsa-miR-1468-5p	94	6	8		47	12	31	21				211	39					81	110	40			22	6	3		7		9	15	16	38	1	23	19	5
hsa-miR-1469												1										1			1								2			
hsa-miR-146a-3p	2																															1				6
hsa-miR-146a-5p	1264	12	2	11	233	39	148	10	2	2	84	1074	129	1063	158	81	5	134	72	22	1	3	81	13	4	2	72	9	36	26	66	201		57	25	985
hsa-miR-146b-3p	114		15		11	2	16	1															9			3	3		5	10	3	9		8	4	
hsa-miR-146b-5p	9028	60	38	19	412	108	210	53	8	110	1	337	475	413	189	47		716	580	497	68	3	393	24	15	5	160	8	113	151	104	603	28	210	132	52
hsa-miR-147b-3p	2				6		1																													
hsa-miR-147b-5p	3																																			
hsa-miR-148a-3p	791	752	256	352	1371	989	2241	442	18	746	813	2234	2635	1057	562	66	136	4204	1767	2637	11	47	1476	212	101	10	1807	48	1298	1477	445	1972	165	1167	1136	693
hsa-miR-148a-5p	5	11		7	36	10	13	4										53					32	6	2		35		29	14	10	25	2	16	4	7
hsa-miR-148b-3p	3775	52	56	28	221	117	233	38		3		343	216	348		134	44	353	238	158		1	174	23	1	6	146	9	101	142	55	412	17	186	111	58
hsa-miR-148b-5p	46				8	7	10																	1			5		2	2	1	20	1	5		3
hsa-miR-149-3p	24	4			2	5								25									1	4			3		2	3	3	2	1	2		3
hsa-miR-149-5p	9189	40	14	20	124	82	118	53	3		121	658	473	272		55	2	283	415	252			188	51	22	13	242	23	229	123	123	230	38	228	69	139
hsa-miR-150-3p	7												1																							
hsa-miR-150-5p	1298	11	1	2	19	6	1		12	6	2	6	3	13	3	1	8	2	1	9		7	12	4	1	10	6	2	3	2	2	15	3	3	2	1
hsa-miR-151a-3p	10739	319	345	225	1773	777	2288	470	5	374	408	4514	2098	1048	644	136	231	3878	2173	2726	49	3	1367	129	72	27	1334	67	1160	1299	439	2546	182	1160	1097	551
hsa-miR-151a-5p	50929	602	265	414	2567	1369	3921	919	7	481	252	4667	3798	1878	287	267	261	6019	4126	3496	22	81	5320	472	332	90	4006	133	3970	3547	1166	7370	793	2828	2677	1712
hsa-miR-151b	3096	58	15	41	260	125	266	84		3		288	63	2	59		19	356	11	152	3		316	47	35	9	260	10	314	274	76	583	54	211	233	130
