name	180919-190527_Brain_S35	32150043_EXO_S34	32152359_EXO_S1	32152366_EXO_S2	32152381_EXO_S3	32152446_EXO_S4	32152451_EXO_S5	32160028_EXO_S6	32160083_EXO_S7	32160120_EXO_S8	32160241_EXO_S9	32160246_EXO_S10	32160323_EXO_S11	32160457_EXO_S12	32160466_EXO_S13	32160472_EXO_S14	32160600_EXO_S15	32160766_EXO_S16	32160782_EXO_S17	32161246_EXO_S18	32161252_EXO_S19	32161358_EXO_S20	32161367_EXO_S21	32161415_EXO_S22	32170068_EXO_S23	32170276_EXO_S24	32170346_EXO_S25	32170365_EXO_S26	32170367_EXO_S27	32170368_EXO_S28	32170381_EXO_S29	32170400_EXO_S30	32170453_EXO_S31	32170613_EXO_S32	32170644_EXO_S33
hsa-let-7a-2-3p	18							1																											
hsa-let-7a-3p	2946	44	77	202	195	256	266	94	134	56	50	116	129	256	347	59	326	4	231	83	119	54	298	33	41	679	83	692	402	85	104	20	107	1	46
hsa-let-7a-5p	1259884	22840	31723	55907	63298	46176	66702	117455	31182	19918	9280	30663	34741	68524	137649	46655	121706	1462	81568	35085	34081	20845	147604	24760	17398	204823	40536	370735	141849	22974	46587	31447	46531	3995	25267
hsa-let-7b-3p	3671	52	78	174	199	78	142	84	44	39	16	114	74	137	287	44	280	10	213	63	76	70	249	94		456	87	338	160	59	164	68	137	21	86
hsa-let-7b-5p	229894	11220	20839	37450	37344	26141	34888	75102	23997	9965	6247	17969	20049	34334	70256	23089	68330	1074	63750	15692	17263	10720	60606	19884	12205	97153	28374	152641	65858	11740	28394	23230	39836	3404	12869
hsa-let-7c-3p	187		7		3	2		9					20	2	11	2	13		18	3		4	13		13		6	41	1	12			38		
hsa-let-7c-5p	181684	4623	4657	9994	10093	6919	8596	19798	5905	3111	1451	6026	6050	9461	18613	8419	17933	260	18324	4563	4016	3399	17146	4194	3708	27653	10005	75462	19290	2592	5621	5463	7462	1410	4435
hsa-let-7d-3p	13069	128	514	1147	688	979	477	1766	469	366	215	562	697	941	1881	401	1769	28	973	540	523	311	1647	392	257	2713	867	1405	2155	408	1318	768	1002	120	406
hsa-let-7d-5p	78121	840	1689	3288	3587	3008	3711	5461	1983	1354	576	1784	2359	4266	7275	1812	5748	98	4341	1761	2065	1155	9252	1459	1026	8196	2143	9415	8987	1626	3281	1684	3876	163	1251
hsa-let-7e-3p	512		14	12	25	13	11	69	6		3		17	28	42	14	26	1	18	11	2	5	10	5		85	11	52	59	7	59		11		
hsa-let-7e-5p	93633	1840	3307	4955	6828	4631	7762	12817	3364	2244	970	3144	3765	6916	14232	3467	13806	129	6365	3804	3333	1975	12846	2850	1584	19714	3342	14020	14674	2419	4026	4155	5012	343	2812
hsa-let-7f-1-3p	251		1	14	17	12	20	16	7	5		2	6	14	13		21		13		5	7	8	24		34	2	40	25	4	26				
hsa-let-7f-2-3p	65		1	1	5	2			4				2	1	13		2		11				18						4				1		
hsa-let-7f-5p	697383	8208	13639	23753	28880	24904	31803	48704	13650	11541	5060	16252	18129	37628	75524	22212	67431	721	32066	21087	18846	12786	84368	12217	9071	97367	19894	105907	81974	13172	23114	13473	22489	1924	11771
hsa-let-7g-3p	80				3	4								3			4											1							
hsa-let-7g-5p	470617	3220	5417	8842	11301	9521	9204	13373	6781	3877	2221	6276	8032	15097	27574	7857	24287	220	17007	7007	8059	5139	33320	4533	3050	30978	7178	43664	28304	4922	6724	4951	9754	777	3721
hsa-let-7i-3p	667		2		15	4	10		3	7			15	8	8	1	14		9		2		31	9		20		21	30				49		
hsa-let-7i-5p	125075	575	1017	1020	3272	1654	3062	2332	1444	1093	433	1322	1635	3706	6523	1722	7526	73	3946	1412	2714	1049	4607	1933	547	5774	997	5227	6437	886	984	842	2078	227	1038
hsa-miR-1-3p	21210	133	61	36	17	13	366	102	49	18	25	31	13	16	65	64	89	16	10	21	52	74	32	32	19	37	57	14	45	86	58	809	36	72	66
hsa-miR-100-3p	52					2																													
hsa-miR-100-5p	128283	333	881	3671	2994	2697	2504	2029	1831	1010	166	872	2039	1328	3801	452	3149	144	3066	763	917	1049	3485	795	635	3811	1586	3446	7077	1287	2666	999	2005	247	1061
hsa-miR-101-3p	71715	395	1396	2559	3686	2826	1975	2107	919	984	389	1550	1875	3105	5576	1609	6368	69	3121	1500	2085	993	4516	1117	762	10527	1072	8958	6995	1038	1324	879	1844	187	1225
hsa-miR-101-5p	46			4	4									3				3					6					8							
hsa-miR-10392-5p			2	1	5	2										1											11	1							
hsa-miR-10394-3p																	21																		
hsa-miR-10395-3p	141										20		4			6				7					10				19	9					
hsa-miR-10396b-3p	21																	6																	
hsa-miR-10397-3p																		1																	
hsa-miR-10398-5p	4																																		
hsa-miR-10399-3p	23			3	18	13	33			3		7			38	2	11		22		12	9	10			47	9	22					20		14
hsa-miR-10399-5p	43			13	5	6	27				5		3	4	12	2	2			4	11				17	13	11	29	4						
hsa-miR-103a-2-5p	2				2	7	9												3									9			22		27		
hsa-miR-103a-3p	220030	1191	1318	2162	3042	2983	3424	2234	1877	1029	543	1308	1998	4350	6935	2169	6809	96	4328	1415	1559	1396	8088	1033	657	7504	2450	15383	8250	1631	2764	1212	3236	192	1390
hsa-miR-10401-3p	26			4	1	5	17	36					2	3	7								18		12			8	14					27	
hsa-miR-10401-5p	35															1																			
hsa-miR-105-3p	13																																		
hsa-miR-105-5p	735				1		1				3		4	3			1											4							
hsa-miR-10522-5p	29																																		
hsa-miR-10527-5p	77		5	5	18	38	2		12	5	6	1	12	35	16	4	27		6	3		2	36			28	8	29	87				34		
hsa-miR-106a-3p	21				14	6			4	6				1	13		7		5		4	1	27		10	18	22	167	25						
hsa-miR-106a-5p	226	61	11	12	38	28	15	54	9	20		10	14	26	86	48	102		23	3	10	2		12		132	46	809	55	1	1				28
hsa-miR-106b-3p	1560	23	40	59	109	71	218	71	130	39	39	35	82	136	240	68	280	2	211	18	99	57	226	67	37	262	94	357	204	91	154	96	326	40	76
hsa-miR-106b-5p	3250	6	91	114	255	177	301	94	77	59	3	49	127	375	244	148	536	9	75	87	158	88	260	121	4	537	98	924	526	111	51	1	70	9	62
hsa-miR-107	10636	44	76	140	251	217	161	252	140	90	48	96	160	197	506	109	526	15	246	60	251	67	410	132	46	422	182	638	681	110	348	104	379	32	84
hsa-miR-10a-3p		92	175	314	591	251	399	568	181	116	14	258	221	625	799	249	1322	11	567	206	201	110	802	179	159	1251	158	770	728	55	123	264	239	41	186
hsa-miR-10a-5p	258	8301	30649	47944	65201	31931	47415	82505	22693	13810	7486	28305	31585	50682	91561	25974	112860	1398	84998	23070	18391	14150	69314	30618	17751	128850	16067	64178	75987	9501	15836	19553	33184	2461	19523
hsa-miR-10b-3p		47	68	181	256	115	216	185	115	80	23	114	146	205	504	118	493	2	360	126	91	75	378	187	31	716	82	410	509	51	84	107	221	106	43
hsa-miR-10b-5p	388	8030	31944	51255	57865	37348	49270	76276	20156	17167	5125	30923	35339	43646	105970	23869	103689	1541	84662	23767	23059	13731	74706	23360	12037	176391	16308	73669	87214	7060	23762	21899	33886	1835	19209
hsa-miR-11401															4													13							
hsa-miR-1178-3p	13																																		
hsa-miR-1179	426		1		3									1	11											3									
hsa-miR-1180-3p	7140	99	77	132	147	176	211	298	132	86	14	160	149	172	483	78	231	1	261	47	100	36	184	77	32	572	65	220	454	68	25		319	26	103
hsa-miR-1180-5p	16			5	9									1	7		11					3				6		2	3						
hsa-miR-1181																		1								7									
hsa-miR-1185-1-3p	23																																		
hsa-miR-1185-2-3p	14																																		
hsa-miR-1185-5p	63																																		
hsa-miR-1197	45																																		
hsa-miR-12121					5									3																					
hsa-miR-12125					1										6						5														
hsa-miR-12135	8																																		
hsa-miR-12136	1456						17		21							14							28					1	9						
hsa-miR-122-5p	95		4		4				2	19				31	6	2	49										23		22						25
hsa-miR-1224-3p	65																																		
hsa-miR-1224-5p	389																2																		
