"C S8"	 "B S31"	 "A S2"	 "D S1"	 "A S10"	 "C S5"	 "C S9"	 "D S2"	 "D S3"	 "E S34"	 "D S4"	 "D S5"	 "C S1"	 "A S3"	 "G S31"	 "D S6"	 "F S1"	 "C S10"	 "G S32"	 "C S11"	 "D S7"	 "B S6"	 "B S18"	 "B S2"	 "A S18"	 "D S8"	 "F S3"	 "D S9"	 "A S34"	 "A S4"	 "A S14"	 "F S4"	 "F S5"	 "F S6"	 "D S10"	 "A S20"	 "C S2"	 "D S11"	 "F S7"	 "D S12"	 "G S33"	 "A S30"	 "A S26"	 "F S8"	 "D S13"	 "F S9"	 "F S10"	 "D S14"	 "D S15"	 "B S1"	 "C S12"	 "F S11"	 "B S28"	 "G S34"	 "D S16"	 "F S12"	 "F S13"	 "D S17"	 "F S14"	 "B S19"	 "H S1"	 "A S6"	 "A S17"	 "A S24"	 "D S18"	 "H S2"	 "H S3"	 "D S19"	 "A S31"	 "A S19"	 "F S15"	 "D S20"	 "F S16"	 "B S8"	 "H S4"	 "A S23"	 "A S9"	 "A S12"	 "D S21"	 "B S30"	 "C S13"	 "C S14"	 "D S22"	 "F S17"	 "B S11"	 "F S18"	 "C S15"	 "C S6"	 "D S23"	 "F S19"	 "C S16"	 "A S32"	 "A S5"	 "C S4"	 "A S7"	 "A S25"	 "D S24"	 "A S28"	 "A S22"	 "A S21"	 "A S13"	 "B S20"	 "D S25"	 "B S10"	 "D S26"	 "B S14"	 "F S20"	 "H S5"	 "D S27"	 "A S16"	 "H S6"	 "A S15"	 "D S28"	 "A S27"	 "D S29"	 "A S11"	 "F S21"	 "B S23"	 "B S24"	 "D S30"	 "F S22"	 "C S17"	 "F S23"	 "C S18"	 "C S19"	 "D S31"	 "H S7"	 "F S24"	 "H S8"	 "D S32"	 "A S1"	 "A S8"	 "H S9"	 "B S15"	 "B S12"	 "F S25"	 "A S33"	 "A S35"	 "D S33"	 "C S20"	 "F S26"	 "C S7"	 "D S34"	 "C S21"	 "H S10"	 "D S35"	 "H S11"	 "F S27"	 "F S28"	 "B S21"	 "E S1"	 "E S2"	 "E S3"	 "C S22"	 "F S29"	 "B S25"	 "E S4"	 "E S5"	 "A S29"	 "C S3"	 "C S23"	 "C S24"	 "F S30"	 "H S12"	 "F S31"	 "E S6"	 "C S25"	 "B S17"	 "F S32"	 "H S13"	 "F S33"	 "E S7"	 "C S26"	 "E S8"	 "F S34"	 "B S9"	 "B S22"	 "E S9"	 "E S10"	 "G S1"	 "H S14"	 "E S11"	 "G S2"	 "G S3"	 "E S12"	 "E S13"	 "E S14"	 "B S26"	 "H S15"	 "E S15"	 "G S4"	 "C S27"	 "G S5"	 "G S6"	 "C S28"	 "B S16"	 "G S7"	 "B S3"	 "C S29"	 "G S8"	 "E S16"	 "E S17"	 "B S27"	 "H S16"	 "C S30"	 "G S9"	 "H S17"	 "G S10"	 "G S11"	 "H S18"	 "G S12"	 "G S13"	 "G S14"	 "G S15"	 "G S16"	 "C S31"	 "B S7"	 "G S17"	 "E S18"	 "B S29"	 "H S19"	 "E S19"	 "G S18"	 "B S5"	 "E S20"	 "E S21"	 "G S19"	 "B S4"	 "E S22"	 "C S32"	 "H S20"	 "B S13"	 "G S20"	 "H S21"	 "E S23"	 "C S33"	 "H S22"	 "G S21"	 "G S22"	 "G S23"	 "G S24"	 "H S23"	 "E S24"	 "H S24"	 "H S25"	 "E S25"	 "E S26"	 "E S27"	 "E S28"	 "H S26"	 "E S29"	 "G S25"	 "G S26"	 "E S30"	 "G S27"	 "C S34"	 "G S28"	 "H S27"	 "H S28"	 "G S29"	 "E S31"	 "E S32"	 "C S35"	 "E S33"	 "G S30"
"hsa-let-7a-2-3p"	 0	 0	 21	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 15	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0
"hsa-let-7a-3p"	 5	 209	 376	 22	 0	 75	 341	 25	 16	 44	 119	 65	 0	 133	 802	 160	 7	 762	 117	 92	 37	 697	 0	 387	 312	 0	 549	 1	 0	 314	 185	 189	 9	 101	 0	 0	 549	 372	 1681	 194	 170	 0	 0	 838	 353	 59	 87	 0	 117	 0	 17	 266	 1722	 0	 0	 42	 364	 246	 746	 191	 185	 54	 0	 0	 0	 48	 182	 238	 154	 0	 473	 0	 275	 107	 94	 557	 147	 78	 0	 832	 52	 305	 263	 837	 218	 32	 76	 57	 29	 387	 816	 0	 1	 0	 54	 156	 8	 226	 292	 0	 599	 1913	 2	 963	 137	 43	 597	 147	 10	 48	 255	 0	 100	 0	 174	 0	 110	 267	 2489	 54	 608	 171	 43	 0	 0	 423	 265	 3	 559	 34	 0	 369	 162	 638	 563	 175	 43	 1	 136	 54	 335	 1	 158	 77	 73	 88	 38	 395	 176	 309	 77	 202	 195	 115	 0	 48	 256	 266	 25	 457	 649	 134	 41	 0	 219	 94	 34	 178	 4	 25	 290	 134	 956	 56	 17	 449	 217	 50	 116	 53	 488	 129	 179	 13	 256	 347	 59	 0	 0	 326	 109	 466	 259	 223	 13	 725	 0	 0	 1	 10	 4	 231	 222	 31	 53	 84	 294	 377	 406	 0	 501	 6	 260	 122	 511	 334	 206	 694	 83	 381	 394	 119	 418	 3	 54	 298	 11	 226	 33	 195	 47	 1	 755	 50	 41	 1306	 220	 236	 45	 86	 626	 302	 679	 717	 1110	 83	 692	 402	 85	 166	 104	 267	 355	 20	 45	 0	 474	 738	 296	 741	 107	 1	 138	 46	 869
"hsa-let-7a-5p"	 2223	 162445	 861579	 10993	 41631	 3332	 25628	 6416	 6629	 22840	 43728	 21218	 747	 260628	 249742	 64942	 29763	 410078	 68395	 14578	 16052	 541381	 228651	 394727	 230945	 259	 166924	 12563	 26652	 281574	 118037	 119514	 15096	 76667	 12392	 68742	 258657	 157934	 281642	 106682	 218312	 14358	 36228	 313361	 34416	 41814	 38864	 17443	 5840	 109538	 21566	 45923	 2074198	 6429	 7089	 29950	 106715	 127070	 391052	 306037	 282984	 69326	 25590	 10388	 86073	 137800	 232233	 96913	 15894	 1802	 258113	 969	 96255	 31496	 146568	 83659	 107341	 54865	 1255	 1246587	 52067	 114163	 101938	 214632	 342202	 81434	 27939	 29285	 6704	 226922	 276636	 39976	 76932	 1602	 239424	 36034	 3371	 436179	 142863	 42879	 237394	 1141984	 1843	 590772	 50599	 202586	 135362	 77464	 2862	 141468	 96992	 16161	 42672	 43888	 53756	 21795	 30793	 222973	 2055348	 19315	 230283	 31318	 7445	 2723	 41204	 119122	 98911	 10984	 324112	 10455	 22149	 228596	 131474	 933926	 168446	 69022	 67492	 1536	 44486	 21237	 105110	 1767	 46203	 26247	 211511	 19613	 26611	 124471	 50211	 272815	 31723	 55907	 63298	 41191	 454	 43483	 46176	 66702	 230607	 139341	 250356	 48654	 10823	 13300	 61940	 117455	 40347	 44933	 3068	 43909	 100952	 31182	 310881	 19918	 17928	 184466	 213116	 9280	 30663	 19482	 343055	 34741	 104937	 6336	 68524	 137649	 46655	 225258	 4342	 121706	 29469	 208805	 237897	 78266	 11774	 656650	 2002	 118868	 3224	 17261	 1462	 81568	 250882	 24235	 28194	 62148	 162058	 187595	 119852	 3009	 234964	 12381	 75460	 31323	 160539	 109315	 328355	 97408	 35085	 335559	 160340	 34081	 179508	 13797	 20845	 147604	 14371	 330150	 24760	 34538	 143853	 58345	 196518	 35063	 17398	 368343	 241118	 74253	 23156	 21543	 173176	 230012	 204823	 493893	 941826	 40536	 370735	 141849	 22974	 91607	 46587	 77967	 48617	 31447	 17424	 53301	 210849	 416664	 232941	 164710	 46531	 3995	 66866	 25267	 399319
"hsa-let-7b-3p"	 11	 228	 574	 40	 0	 13	 21	 29	 14	 52	 82	 49	 0	 96	 521	 178	 27	 670	 132	 0	 52	 934	 882	 1137	 139	 0	 206	 0	 0	 241	 40	 86	 15	 134	 245	 60	 457	 49	 593	 234	 571	 31	 0	 706	 203	 72	 129	 246	 41	 35	 42	 50	 3347	 0	 0	 30	 209	 418	 585	 775	 41	 86	 0	 71	 212	 93	 61	 411	 0	 0	 394	 0	 206	 0	 108	 110	 779	 0	 0	 2069	 134	 221	 538	 796	 828	 73	 106	 125	 16	 232	 835	 0	 94	 0	 128	 0	 14	 0	 203	 0	 231	 2044	 1	 1429	 95	 971	 296	 0	 17	 146	 194	 0	 129	 87	 117	 0	 0	 514	 3726	 73	 362	 170	 0	 0	 97	 306	 157	 25	 362	 39	 53	 190	 271	 1977	 591	 94	 37	 0	 98	 40	 350	 1	 143	 54	 297	 54	 22	 181	 48	 630	 78	 174	 199	 108	 0	 92	 78	 142	 384	 287	 483	 103	 0	 1	 207	 84	 117	 38	 1	 132	 162	 44	 838	 39	 0	 640	 459	 16	 114	 10	 497	 74	 170	 23	 137	 287	 44	 449	 3	 280	 97	 520	 369	 167	 58	 1925	 0	 571	 15	 19	 10	 213	 720	 23	 73	 146	 434	 496	 209	 0	 313	 0	 67	 64	 401	 392	 783	 104	 63	 797	 261	 76	 403	 0	 70	 249	 21	 1059	 94	 200	 247	 2	 425	 45	 0	 787	 445	 168	 50	 25	 382	 414	 456	 420	 733	 87	 338	 160	 59	 190	 164	 153	 87	 68	 49	 142	 405	 648	 274	 332	 137	 21	 159	 86	 595
"hsa-let-7b-5p"	 2500	 127751	 578877	 9086	 28777	 14173	 20335	 5082	 4917	 11220	 27832	 17689	 1167	 165885	 216723	 37425	 26730	 384217	 59104	 13743	 8652	 400444	 198343	 393528	 134834	 269	 115304	 14923	 20428	 178267	 68754	 93325	 13448	 62973	 14018	 39973	 232847	 123385	 194552	 93471	 177702	 6801	 21447	 253630	 32861	 31137	 27661	 14614	 7454	 115910	 27886	 38496	 1302406	 4650	 6586	 21753	 70275	 115150	 257998	 233471	 190734	 80449	 13362	 4596	 105972	 101155	 203246	 91622	 5719	 1452	 167921	 627	 53284	 38540	 104591	 54936	 78672	 35803	 1797	 745455	 61823	 94292	 101443	 178824	 305774	 66377	 28090	 28803	 6238	 179841	 267331	 22098	 53168	 5436	 156466	 17731	 2453	 204242	 94382	 38115	 141225	 677389	 1458	 548392	 31898	 177575	 112289	 50190	 2071	 76745	 68233	 8074	 28158	 17367	 31930	 15990	 18413	 170011	 400105	 12928	 141249	 52147	 4354	 10545	 47129	 45560	 82049	 6616	 157156	 6112	 17279	 119462	 99759	 727853	 129119	 60339	 52650	 1392	 25894	 26152	 90255	 11199	 36397	 34364	 166111	 13364	 18193	 109251	 53260	 238564	 20839	 37450	 37344	 37994	 480	 34023	 26141	 34888	 110869	 118379	 178709	 40352	 15477	 11112	 55672	 75102	 45051	 35993	 2455	 26473	 69535	 23997	 302981	 9965	 18931	 148024	 123686	 6247	 17969	 16617	 184555	 20049	 65847	 3832	 34334	 70256	 23089	 201103	 3888	 68330	 19191	 197123	 154472	 53795	 13545	 538559	 2125	 95678	 3759	 16675	 1074	 63750	 208048	 17238	 33002	 42555	 111887	 129159	 94219	 1581	 146243	 10294	 40232	 21818	 126204	 96711	 296517	 66224	 15692	 281449	 118276	 17263	 150443	 10768	 10720	 60606	 10663	 276133	 19884	 58427	 97095	 53473	 132799	 24248	 12205	 316891	 206930	 41810	 17481	 18639	 115031	 144877	 97153	 287183	 394311	 28374	 152641	 65858	 11740	 48682	 28394	 52862	 29559	 23230	 9075	 56161	 125853	 236464	 121780	 104772	 39836	 3404	 83746	 12869	 374406
"hsa-let-7c-3p"	 0	 55	 60	 0	 0	 0	 0	 0	 0	 0	 12	 1	 0	 0	 0	 0	 0	 84	 54	 20	 0	 0	 0	 0	 0	 0	 0	 0	 0	 33	 0	 0	 0	 0	 0	 0	 0	 0	 99	 0	 9	 0	 0	 28	 15	 0	 6	 0	 0	 0	 0	 0	 179	 0	 0	 0	 0	 0	 10	 0	 0	 0	 0	 0	 0	 0	 0	 34	 0	 0	 7	 0	 0	 0	 0	 0	 0	 0	 0	 10	 0	 24	 12	 0	 0	 26	 0	 0	 0	 0	 16	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 32	 0	 84	 2	 0	 1	 59	 0	 0	 0	 0	 4	 0	 7	 0	 0	 0	 33	 5	 2	 0	 0	 0	 0	 14	 54	 0	 0	 0	 0	 0	 0	 8	 0	 0	 0	 0	 3	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 9	 7	 0	 3	 0	 0	 0	 2	 0	 0	 16	 24	 0	 67	 0	 28	 9	 0	 0	 0	 0	 13	 0	 106	 0	 0	 0	 7	 0	 0	 0	 23	 20	 32	 0	 2	 11	 2	 0	 0	 13	 0	 30	 17	 20	 0	 0	 0	 0	 0	 0	 0	 18	 0	 0	 0	 0	 42	 0	 0	 0	 0	 0	 0	 0	 0	 22	 0	 0	 3	 39	 26	 0	 61	 0	 4	 13	 0	 0	 0	 0	 0	 0	 31	 0	 13	 55	 0	 0	 3	 0	 3	 0	 0	 7	 115	 6	 41	 1	 12	 0	 0	 0	 12	 0	 0	 0	 9	 0	 35	 16	 38	 0	 0	 0	 14
"hsa-let-7c-5p"	 422	 27454	 168972	 2542	 5872	 2207	 4409	 1441	 1112	 4623	 6541	 4444	 15	 32292	 49062	 11840	 5060	 75387	 10423	 2438	 3303	 94858	 40787	 61126	 28738	 66	 32390	 2967	 6827	 38436	 15644	 20916	 2726	 15398	 1010	 8939	 52117	 18768	 51133	 15180	 40144	 636	 4460	 55941	 5954	 8156	 6702	 2331	 1640	 11829	 6731	 7050	 298866	 1258	 1326	 4668	 17345	 23755	 64563	 58475	 20790	 12237	 3851	 2476	 11242	 22784	 38255	 17982	 1370	 974	 49173	 689	 11351	 10299	 24085	 9662	 13191	 9607	 568	 191605	 13058	 22028	 21144	 43259	 69419	 12396	 4751	 5810	 1495	 40157	 50947	 5351	 13340	 783	 33790	 5736	 668	 62255	 19829	 8168	 38405	 159993	 613	 116079	 8850	 24151	 22222	 10194	 612	 14015	 14473	 2215	 7597	 3006	 9396	 3431	 3380	 37170	 308774	 3435	 27220	 10003	 731	 1299	 6178	 14465	 15314	 1269	 35092	 1744	 4314	 33125	 20100	 138834	 23172	 10870	 13714	 136	 7597	 4584	 20366	 692	 9217	 6732	 33458	 2529	 4200	 25167	 9404	 50725	 4657	 9994	 10093	 7767	 306	 7325	 6919	 8596	 28282	 20349	 39266	 7931	 4239	 3909	 13396	 19798	 8554	 9886	 710	 6569	 18597	 5905	 69686	 3111	 3740	 38812	 32129	 1451	 6026	 4440	 60987	 6050	 17398	 1210	 9461	 18613	 8419	 48622	 1146	 17933	 5851	 40589	 38801	 13572	 3596	 95683	 860	 20979	 1102	 4890	 260	 18324	 53485	 4211	 4639	 9193	 27490	 29308	 20659	 817	 31503	 3606	 6451	 3371	 28506	 19850	 75135	 14458	 4563	 61910	 30521	 4016	 37112	 2929	 3399	 17146	 2519	 42166	 4194	 6107	 24396	 7356	 33493	 6964	 3708	 63769	 41664	 8141	 3765	 5968	 30394	 36389	 27653	 97514	 141857	 10005	 75462	 19290	 2592	 9746	 5621	 12213	 6307	 5463	 1801	 11775	 23736	 51231	 37671	 29148	 7462	 1410	 13724	 4435	 85213
"hsa-let-7d-3p"	 25	 4380	 6364	 147	 436	 414	 480	 145	 113	 128	 531	 374	 0	 2119	 6057	 1005	 551	 6542	 1409	 489	 193	 7748	 4887	 8158	 1585	 6	 1087	 668	 269	 3656	 975	 1908	 216	 1773	 199	 544	 5530	 2633	 3621	 2413	 5823	 185	 435	 7593	 1603	 978	 884	 264	 244	 1155	 582	 1284	 26216	 131	 332	 372	 1538	 3347	 6625	 7274	 1359	 1631	 387	 115	 2168	 861	 4364	 2111	 90	 1	 4077	 8	 2176	 2	 967	 893	 867	 384	 10	 17785	 1119	 2646	 3161	 5667	 7326	 2139	 882	 1167	 218	 3693	 6308	 0	 1240	 52	 2660	 406	 65	 2287	 1179	 399	 2060	 16894	 37	 7836	 683	 5916	 2959	 1039	 62	 1034	 1225	 184	 753	 43	 773	 190	 460	 4762	 14433	 474	 6936	 1524	 205	 270	 1803	 1466	 1917	 207	 6734	 181	 176	 2758	 1842	 8914	 4249	 1520	 596	 0	 770	 1069	 1694	 211	 876	 875	 3333	 442	 423	 2401	 910	 6013	 514	 1147	 688	 1022	 9	 942	 979	 477	 2275	 3075	 4428	 1584	 979	 193	 1607	 1766	 631	 645	 84	 519	 1686	 469	 7274	 366	 152	 6823	 2973	 215	 562	 334	 4452	 697	 1170	 61	 941	 1881	 401	 5477	 47	 1769	 323	 5795	 3608	 1631	 609	 18837	 25	 2047	 135	 578	 28	 973	 6403	 254	 1056	 1351	 2233	 3071	 3303	 1	 3877	 201	 1468	 693	 4243	 3695	 7661	 1572	 540	 10420	 2469	 523	 4603	 360	 311	 1647	 289	 8195	 392	 1532	 1800	 3490	 4240	 581	 257	 10300	 4042	 1514	 267	 460	 3697	 3313	 2713	 5053	 3848	 867	 1405	 2155	 408	 1801	 1318	 1389	 1269	 768	 337	 1746	 3323	 5799	 3204	 3121	 1002	 120	 3321	 406	 6003
"hsa-let-7d-5p"	 195	 4577	 18056	 439	 293	 689	 1367	 284	 298	 840	 2332	 1357	 0	 5307	 9331	 2957	 939	 21420	 2693	 1393	 640	 13895	 7015	 15279	 4621	 10	 1540	 1888	 632	 6082	 3941	 3666	 391	 2638	 106	 1264	 12508	 8411	 8424	 6246	 6818	 445	 1354	 8722	 1603	 1500	 1230	 681	 478	 4246	 1542	 1589	 67920	 163	 282	 849	 2990	 8228	 10838	 9915	 3772	 2361	 449	 31	 3738	 2760	 6934	 4447	 320	 2	 7767	 113	 4110	 740	 2699	 2221	 1829	 1287	 175	 37928	 3573	 8134	 5043	 6446	 11602	 2689	 2113	 1716	 528	 8277	 21589	 1631	 1827	 319	 6208	 1143	 172	 7154	 3681	 750	 5757	 43548	 117	 15765	 3114	 7607	 4285	 1958	 134	 2657	 2176	 263	 2488	 533	 2777	 27	 645	 6238	 84310	 1234	 9382	 4149	 270	 468	 3379	 6556	 2642	 462	 9444	 613	 888	 4182	 4117	 21337	 7959	 2883	 1369	 130	 3268	 1230	 3642	 240	 2302	 1746	 5568	 1428	 735	 3410	 1678	 11009	 1689	 3288	 3587	 3177	 21	 2918	 3008	 3711	 6060	 8095	 13105	 3506	 401	 313	 2281	 5461	 1772	 1444	 266	 704	 2976	 1983	 22161	 1354	 526	 4871	 6175	 576	 1784	 669	 9856	 2359	 4025	 236	 4266	 7275	 1812	 6023	 158	 5748	 1214	 10837	 7441	 3061	 1548	 27082	 142	 4118	 194	 633	 98	 4341	 7034	 439	 2111	 2213	 4129	 6040	 4137	 69	 7686	 517	 3127	 1458	 5698	 10687	 11151	 4563	 1761	 13495	 3026	 2065	 8867	 325	 1155	 9252	 646	 14524	 1459	 4259	 2886	 1809	 9443	 1008	 1026	 27818	 5541	 3702	 889	 779	 7734	 4842	 8196	 11248	 14825	 2143	 9415	 8987	 1626	 2666	 3281	 2932	 2581	 1684	 706	 5189	 7571	 10773	 5743	 5983	 3876	 163	 5883	 1251	 11368
"hsa-let-7e-3p"	 0	 66	 82	 6	 0	 5	 11	 0	 0	 0	 0	 3	 0	 0	 51	 36	 15	 38	 36	 0	 4	 78	 414	 0	 0	 0	 29	 0	 0	 33	 0	 0	 0	 8	 0	 0	 66	 0	 139	 81	 3	 0	 0	 23	 1	 0	 0	 0	 94	 0	 0	 0	 435	 8	 0	 0	 4	 3	 142	 27	 34	 0	 0	 0	 0	 55	 0	 114	 0	 0	 80	 0	 7	 0	 30	 0	 0	 0	 0	 140	 8	 7	 32	 22	 139	 85	 5	 28	 4	 88	 112	 0	 0	 0	 114	 116	 1	 0	 11	 0	 0	 457	 1	 34	 19	 0	 66	 0	 2	 0	 32	 0	 19	 0	 20	 0	 47	 36	 394	 9	 54	 11	 4	 0	 17	 52	 0	 0	 0	 8	 0	 3	 0	 57	 0	 0	 31	 0	 27	 13	 99	 0	 17	 12	 129	 9	 0	 30	 0	 29	 14	 12	 25	 59	 0	 0	 13	 11	 0	 19	 175	 73	 0	 0	 31	 69	 0	 0	 0	 0	 11	 6	 126	 0	 0	 27	 43	 3	 0	 0	 48	 17	 40	 0	 28	 42	 14	 221	 0	 26	 0	 91	 65	 0	 6	 161	 0	 28	 0	 0	 1	 18	 7	 0	 0	 0	 22	 0	 61	 0	 60	 3	 33	 7	 53	 51	 126	 34	 11	 220	 0	 2	 101	 0	 5	 10	 18	 0	 5	 16	 51	 0	 71	 11	 0	 163	 103	 12	 0	 11	 67	 37	 85	 112	 123	 11	 52	 59	 7	 0	 59	 59	 21	 0	 0	 190	 43	 15	 107	 48	 11	 0	 87	 0	 61
