gene	32151640_EXO_S32	32151675_EXO_S28	32151681_EXO_S21	32151161_EXO_S19	32151113_EXO_S24	32140243_EXO_S2	32150300_EXO_S4	32151662_EXO_S25	32150296_EXO_S34	32151649_EXO_S7	32151808_EXO_S16	32152166_EXO_S8	180322-190603_Brain_S36	32150759_EXO_S26	32151206_EXO_S12	32151872_EXO_S27	32152211_EXO_S35	32151109_EXO_S17	32152477_EXO_S29	32151201_EXO_S23	32141753_EXO_S10	32150101_EXO_S3	32151828_EXO_S15	32152118_EXO_S1	32151204_EXO_S9	32151684_EXO_S13	32150228_EXO_S18	32152206_EXO_S33	32151642_EXO_S5	32151157_EXO_S31	32151086_EXO_S6	32150688_EXO_S20	32151947_EXO_S11	32151680_EXO_S22	32150301_EXO_S14	32150744_EXO_S30
hsa-miR-3936	0.0	0.0	0.0	0.0	0.0	6.373169466400014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3935	6.254417182134882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46043886269759154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4733-5p	0.0	0.0	0.0	0.0	0.0	0.15932923666000035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6842611034460546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.821179180004016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	0.0	0.0	0.0	0.0	10.118641066504768	0.0	0.0	0.0	0.0	2.1340503742590844	0.0	0.0	0.0	17.87827172372544	9.14703864623828	0.0	0.0	0.0	0.44780818047027915	0.0	0.0	0.3243577068688583	0.0	2.6410589590002007	0.0	0.0	0.6988750208788912	0.0	0.0	0.0	1.413074043666814	0.0	15.65410685493339	0.0	0.0	18.75416107948951
hsa-miR-506-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.13787359580158	0.0	52.280429358397384	0.0	0.0
hsa-miR-4423-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.4437517971947786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3059-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.1384798593145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46043886269759154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	0.0	0.0	0.0	0.0	131.54233386456198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.8790024509489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.564235836000803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7695563507637847	0.0
hsa-miR-449b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.172690386284213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4776-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5335125935647711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.21909867105249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6855-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.626084378405226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44780818047027915	0.0	0.0	0.0	94.72772545198657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-361-3p	0.0	60.21098803735577	255.48017015943407	0.0	187.1948597303382	164.10911375980035	217.8821324226363	0.0	52.5174014389768	172.8580803149858	134.8487129807191	247.69118552010397	503.84558657542084	221.04045040242363	0.0	357.00672675832527	0.0	0.0	101.65245696675336	0.0	0.0	112.22776657662496	0.0	179.59200921201366	639.1162605248962	267.9754180899983	280.2488833724354	242.45698422565096	213.8833016300638	0.0	72.06677622700752	245.84447577428466	0.0	285.0357655430433	202.39332025087538	0.0
hsa-miR-3622a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9589752313959286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6988750208788912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-484	0.0	67.07441672555176	0.0	0.0	0.0	107.70656398216022	215.6633734366624	0.0	96.95520265657255	81.0939142218452	0.0	10.097722191467069	160.9160438282368	253.54639899101534	331.58015092613766	126.16027186196456	0.0	0.0	117.32574328321314	161.50948634644186	0.0	96.00988123318204	0.0	68.66753293400522	187.6304618054741	140.4338531227654	228.53213182739745	78.10694793846474	0.0	109.91829406807607	0.0	321.10298876641264	0.0	108.85788030789593	116.97256531609527	0.0
hsa-miR-30b-3p	0.0	53.65953338044141	0.0	0.0	0.0	5.735852519760012	38.16265455875096	0.0	0.0	0.0	23.991488812520583	33.263084866009166	3.260515786746157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.76383385619795	0.0	0.0	70.36142317705279	0.0	0.0	9.763368492308093	0.0	134.34458163875965	0.0	23.41375959755092	0.0	0.0	3.078225403055139	0.0
hsa-miR-6499-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.128471672001606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1301-3p	0.0	53.34755934915977	0.0	0.0	0.0	42.85956466154009	72.77529473994369	1.9252168756810453	0.0	0.0	69.49258828454238	107.51104215620819	838.3361472863207	0.0	2.28675966155957	0.0	0.0	0.0	1.7912327218811166	108.11792061208091	0.0	144.01482184977306	0.0	31.69270750800241	94.98792128902127	67.22407395384836	23.761750709882303	40.68070205128372	0.0	0.0	183.69962567668583	0.0	0.0	95.96681553459247	37.70826118742545	0.0
hsa-miR-3926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.275354272660253	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.61203697692418	0.0	0.0	0.0	0.0	0.0	0.0	5.218035618311131	0.0	0.0	0.0
hsa-miR-629-5p	0.0	0.0	0.0	0.0	0.0	6.691827939720014	14.643809307427693	146.31648255175944	0.0	39.47993192379306	114.16639503889104	0.0	46.03081110700457	0.0	0.0	0.0	0.0	5.076193666940781	60.006296183017405	319.01460526280664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.26287570683573	69.24062813967389	0.0	0.0	12.891064773303466	31.55181038131517	187.54161079489512
hsa-miR-2467-5p	0.0	0.0	0.0	0.0	10.118641066504768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5006-3p	0.0	0.0	0.0	0.0	0.0	3.6645724431800075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
