gene	32160475_EXO_S26	32161242_EXO_S7	32160187_EXO_S9	32160696_EXO_S3	32151244_EXO_S30	180626-180628-190531_Brain_S32	32161406_EXO_S4	32160790_EXO_S27	32152197_EXO_S12	32150184_EXO_S18	32161462_EXO_S13	32151184_EXO_S8	32151974_EXO_S24	32160074_EXO_S17	32151031_EXO_S19	32151484_EXO_S11	32151694_EXO_S10	32160668_EXO_S16	32152356_EXO_S21	32151971_EXO_S23	32160196_EXO_S22	32151750_EXO_S14	32150887_EXO_S28	32150225_EXO_S2	32152444_EXO_S25	32140237_EXO_S31	32150168_EXO_S6	32152194_EXO_S15	32151686_EXO_S20	32161248_EXO_S29	32161349_EXO_S5	32150855_EXO_S1
hsa-miR-3936	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	1.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	21.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	1.0	0.0	0.0	42.0	2.0	2.0
hsa-miR-506-3p	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	13.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
hsa-miR-526b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3059-5p	0.0	0.0	0.0	0.0	0.0	379.0	0.0	0.0	0.0	0.0	78.0	0.0	330.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
hsa-miR-671-5p	0.0	0.0	0.0	0.0	17.0	206.0	0.0	63.0	0.0	0.0	1.0	0.0	459.0	23.0	0.0	7.0	84.0	0.0	95.0	172.0	9.0	115.0	154.0	0.0	0.0	0.0	27.0	85.0	99.0	32.0	0.0	0.0
hsa-miR-3157-3p	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-449b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4776-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
