gene	32160475_EXO_S26	32161242_EXO_S7	32160187_EXO_S9	32160696_EXO_S3	32151244_EXO_S30	180626-180628-190531_Brain_S32	32161406_EXO_S4	32160790_EXO_S27	32152197_EXO_S12	32150184_EXO_S18	32161462_EXO_S13	32151184_EXO_S8	32151974_EXO_S24	32160074_EXO_S17	32151031_EXO_S19	32151484_EXO_S11	32151694_EXO_S10	32160668_EXO_S16	32152356_EXO_S21	32151971_EXO_S23	32160196_EXO_S22	32151750_EXO_S14	32150887_EXO_S28	32150225_EXO_S2	32152444_EXO_S25	32140237_EXO_S31	32150168_EXO_S6	32152194_EXO_S15	32151686_EXO_S20	32161248_EXO_S29	32161349_EXO_S5	32150855_EXO_S1
hsa-miR-3936	0.0	0.0	0.0	0.0	0.9325934654885628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.208267642247841	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	0.0	0.0	0.0	0.0	0.0	3.3667400833213867	0.0	0.0	0.0	0.0	0.0	2.8024942198556717	4.548279905921104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05001184280437608	0.0	0.0	0.0	0.208267642247841	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	0.0	0.0	0.0	0.9933544586714876	0.0	0.0	0.0	0.7441159957778859	0.0	0.0	1.3633023545594967	0.0	1.1939234753042898	0.0	0.3146808365349486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07501776420656411	0.0	0.0	0.0	0.208267642247841	0.0	0.0	11.275431130874734	13.148379462231281	2.2657035915933337
hsa-miR-506-3p	0.0	0.0	0.0	0.0	6.450438136295893	0.0	0.0	0.0	48.16209387894603	0.0	0.0	0.0	4.320865910625049	0.0	0.0	0.0	0.0	0.0	17.622225457220132	0.0	5.934322569689488	0.0	0.7001657992612651	0.0	0.0	0.0	0.0	0.0	1.6882023449318149	0.0	0.0	0.0
hsa-miR-526b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2531243134002999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3059-5p	0.0	0.0	0.0	0.0	0.0	41.161112631574376	0.0	0.0	0.0	0.0	106.33758365564074	0.0	18.761654611924556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1254682299545433	0.0	0.0	0.0
hsa-miR-671-5p	0.0	0.0	0.0	0.0	1.3211740761087973	22.3725308762647	0.0	23.439653867003404	0.0	0.0	1.3633023545594967	0.0	26.095755960222334	46.56040098627076	0.0	2.03543873300336	17.593048902602156	0.0	36.39372648773723	81.77458455420727	4.108377163631184	58.17194412660643	7.701823791873916	0.0	0.0	0.0	5.623226340691707	12.435600050620208	9.285112897124982	8.590804671142655	0.0	0.0
hsa-miR-3157-3p	0.0	0.0	0.0	0.0	0.0	0.10860451881681893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.920776603814062	0.0	0.0	0.0	0.9502250132831455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-449b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9129727030291521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4776-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2907769618576228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28136705748863583	0.0	0.0	0.0
hsa-miR-6855-5p	0.0	0.32653349107077845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6023435984729385	0.0	0.14630117706612009	0.0	0.0	0.0	0.0
hsa-miR-361-3p	368.5701101434917	156.0830087318321	428.0934586567534	276.1525395106736	172.8406556038803	392.60533552280043	273.29022801100615	185.65694094658252	486.8433345112737	244.26924480576477	130.8770260377117	751.0684509213199	390.4129764245028	0.0	143.17978062340163	338.75516056413056	204.83335508029654	271.24762118062785	182.3517242964518	347.5419843553809	152.92292775738298	437.5541884305614	213.700604303099	343.99594191100755	220.91175189155686	78.90701139995494	264.0833703702624	216.9646455890561	272.6446787064881	238.12636697823547	637.6964039182171	75.90107031837667
hsa-miR-3622a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.80578490576768	0.48466120001143803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.1752897721582	0.0	0.0	0.0	0.0	0.0	0.0	1.0316792107916646	0.26846264597320796	0.0	0.0
hsa-miR-484	229.98774872953882	88.49057608018096	192.29292120340992	368.5345041671219	138.64556186929966	193.75046156920496	46.97175793939168	323.3184001654914	152.0297421239019	74.63782480176145	414.44391578608696	2.8024942198556717	168.911745006145	491.9207582462519	214.9270113533699	200.92688064361738	209.23161730594708	264.305987224774	301.8763839193362	152.13876196131585	116.40401963621689	484.5975867242518	178.24220775479634	223.2556444190645	672.9626515955761	62.643734241185605	204.93535997187553	289.23742705971944	275.17698222388583	233.29403935071772	394.4513838669384	0.0
hsa-miR-30b-3p	0.0	50.61269111597066	0.0	0.0	9.636799143381815	19.331604349393768	34.93767119458885	0.0	20.309316695941096	13.085852400308827	0.0	0.0	12.052941750690927	0.0	0.0	55.82917667666358	2.722733758736048	24.099257507115176	0.0	0.0	25.56323568481626	81.440721777249	25.356004301818672	0.0	0.0	0.0	57.8984045448998	12.435600050620208	37.421818645988566	41.61171012584724	0.0	0.0
hsa-miR-1301-3p	84.03398511271611	60.73522933916479	15.576800879605832	276.1525395106736	77.5606898797988	457.7680468128918	130.82216880640493	26.416117850114947	248.9341960731066	18.417125600434645	182.68251551097254	5.604988439711343	507.0763560113791	0.0	171.81573674808195	161.9627677546959	69.7438724353157	83.43058169582808	129.48504792479142	20.443646138551816	85.36294773322572	42.99665435444823	104.42472777553725	59.737337962470775	415.23227438875966	83.12341658926552	67.68698373054832	66.56703556508464	134.77482053705657	101.47888017787261	26.296758924462562	0.0
