sample	readsRaw	readsPerc	reads	adapterDimerPerc	meanofmeans	meanofp50	meanofp10	meanofp25	meanofp75	meanofp90	readsUnique	avgRCperUnique	readsAdapterNotFound	readsAdapterNotFoundPerc	readsAdapterFound	readsAdapterFoundPerc	ultraShortReadsPerc	shortReadsPerc	meanMiRNAlength	stdDevMiRNAlength	modeMiRNAlength	mainPeakMiRNAlength	skewnessMiRNAlength	absskewnessMiRNAlength	microRNAPerc	rRNAPerc	tRNAPerc	un-assignedPerc	mRNA_sensePerc	mRNA_antisensePerc	snRNAPerc	snoRNAPerc	piRNAPerc	vaultRNAPerc	Y_RNAPerc	unmapped	bacteria	virus	refSpecies	miRNAexprTop1	miRNAexprTop5	miRNAexprTop20	miRNAexprp50	miRNAexprp75	miRNAexprp95	miRNAper1k
32160475_EXO_S26	2.4052507E7	71.12350076439017	1.7106985E7	3.1658348230750857	34.69994021777024	35.5	35.5	35.5	35.5	35.5	462821.0	2.7054504344278083	201491.0	0.837713091612446	2.3851016E7	99.16228690838756	25.035757159531826	14.689167041165556	22.198595073462688	1.1671782558916801	22.0	83.1003284847388	0.1701497371632994	0.1701497371632994	11.950948691426253	16.051407881250274	0.2564935067408719	47.958176148514774	1.0112579712328411	0.8448184426031887	0.022179296885913524	0.022179296885913524	0.29113002356352174	0.0014029357014108564	0.1269890632393727	95.53214666406734	2.949479408557381	0.13720711159798177	1.381166815777298	15.710104451344593	52.310355455453674	85.7916428240709	5.0	12.0	47.0	0.1592222883644495
32161242_EXO_S7	4.7381287E7	70.55823114302488	3.3431398E7	0.8807098411019769	34.705003627803535	35.5	35.5	35.5	35.5	35.5	924900.0	2.766560943697299	393699.0	0.830916644370593	4.6987588E7	99.16908335562941	27.846923889648558	15.152232406487002	22.109373562420572	1.1904290441359135	22.0	84.24180496417816	0.09187743104836803	0.09187743104836803	9.201643317458672	15.948771584838976	0.24816167961738556	51.34393123494267	1.1753076703417218	0.9408044997441967	0.014581152228744195	0.014581152228744195	0.1655259449308432	3.4997040805771865E-4	0.06956334880162654	86.81260951157353	8.461632385220621	0.4697111380146292	4.256046965191226	13.082743870451285	50.22240930704561	85.69790497516907	5.0	12.0	46.0	0.15510340775215517
32160187_EXO_S9	2.5378724E7	66.04014449268608	1.6760146E7	2.1270700260172646	34.707930356348896	35.5	35.5	35.5	35.5	35.5	405435.0	2.419042173021643	374823.0	1.4769182248879023	2.5003901E7	98.5230817751121	30.769586163947803	15.947159950427672	22.228172456486103	1.2188471222431878	22.0	80.69665018544714	0.1872035075786784	0.1872035075786784	11.157068679473273	20.834989177761862	0.22829594854036636	44.10523631476719	0.9470465305392823	0.7645522823181079	0.017954858517971746	0.017954858517971746	0.27574890762721066	1.7302951895526442E-4	0.08595390517481172	40.61528461625573	28.950982885232648	2.4709032964271316	27.962829202084524	18.71893754183411	53.387942196853736	85.64799291975292	5.0	12.0	46.0	0.17295620751511365
32160696_EXO_S3	2.2980554E7	77.2354661249681	1.7749138E7	1.2038638533229236	34.61456320363297	35.5	35.5	35.5	35.5	35.5	635280.0	3.579216072352359	286873.0	1.2483293483699305	2.2693681E7	98.75167065163006	20.458557847243892	15.33832107655459	22.10230250095334	1.2958050004167305	22.0	82.06774774277655	0.07894899380727709	0.07894899380727709	5.718367844117289	10.427330516819906	0.1583322843339805	58.00650149883335	1.3395979970766794	1.0900076344132847	0.01940994573434799	0.01940994573434799	0.12825212627972948	7.32429935470669E-5	0.07618961551822967	66.46188676881097	21.058042368029373	1.2353839380819513	11.244686925077714	16.68443082409817	50.07700185604304	83.69668152665307	5.0	13.0	54.0	0.3844281678683971
32151244_EXO_S30	3.3053011E7	76.71596091502829	2.5356935E7	1.9895313477704306	34.70589216100465	35.5	35.5	35.5	35.5	35.5	605410.0	2.3875519655668165	211744.0	0.6406193977305124	3.2841267E7	99.35938060226948	20.760275053449103	10.516151713204502	22.16948348203296	1.0956318040129716	22.0	83.94887393911249	0.15469018096425427	0.15469018096425427	50.78512840767259	8.576601628528199	0.7227747700274589	24.541065392958572	0.6028482374752394	0.45761550956229097	0.014096360894144027	0.014096360894144027	0.31598136867978877	8.755001343813833E-4	0.2974373677260284	69.78024355072883	6.451260769489688	0.5664564743333531	23.202039205448134	20.506172034098505	52.01626893130534	86.34643900812642	5.0	12.0	46.0	0.0474068343482976
180626-180628-190531_Brain_S32	1.5999267E7	83.22143758210923	1.331482E7	1.5848077480863085	34.70586035597757	35.5	35.2	35.5	35.5	35.5	387117.0	2.9074144449568227	132117.0	0.8257690805460025	1.586715E7	99.174230919454	14.455963025082916	5.917165844861723	21.755904422262894	1.1742776991152197	22.0	83.90229852524726	-0.20786869913396466	0.20786869913396466	69.26390292921441	4.22970377174407	1.8011858586032194	11.761120315558152	0.34592831597055135	0.2014925518135945	0.3273771443526556	0.3273771443526556	0.3286498844199001	0.005332404043013724	1.658865835212192	27.85524701047404	5.990340087211091	0.5884645830735977	65.56594831924127	10.841753221835345	41.94420082007032	73.2178096846562	8.0	22.0	83.0	0.10317429388444545
32161406_EXO_S4	2.8574395E7	78.32992089596297	2.2382301E7	1.3995740340481164	34.71839387763066	35.5	35.5	35.5	35.5	35.5	567013.0	2.533309689651658	331244.0	1.1592336425670604	2.8243151E7	98.84076635743294	19.197553053030912	15.180901792176591	22.201143349447776	1.2262059668237562	22.0	81.15054951768812	0.16403716413874392	0.16403716413874392	11.554781610702156	11.014517708214633	0.26485749689968824	53.327466197510255	1.1833606737787408	0.9648157069259372	0.014064762473166976	0.014064762473166976	0.17443605890180391	0.001581606824070501	0.2169213969555677	79.96323970444325	12.08074183257566	0.774254621989044	7.181763840992041	17.183453119792162	53.856307002193724	84.16553967120365	5.0	13.0	51.0	0.14130347071331648
32160790_EXO_S27	1.8520237E7	67.6516342636436	1.2529243E7	3.647906118636253	34.7282671888864	35.5	35.5	35.5	35.5	35.5	383064.0	3.0573594909125794	140724.0	0.7598390884522698	1.8379513E7	99.24016091154773	28.12957843596544	14.437312057483648	22.06544809637325	1.1880794067439435	22.0	84.154359158614	0.055087308139290345	0.055087308139290345	21.526248632898277	12.614064486901793	0.3861917548323259	41.01531114050545	1.0268395402378834	0.8399068444098434	0.016281651160905866	0.016281651160905866	0.21413101471772625	7.342821908713879E-4	0.3388951750716304	87.5076730493614	6.02567928485384	0.4269771126635505	6.039670553121207	15.426082851654325	45.423350048423515	82.94491327452609	6.0	14.0	54.0	0.15924082487387217
32152197_EXO_S12	4.1103068E7	63.487633088605456	2.6095365E7	1.4144894270858823	34.7354568167515	35.5	35.5	35.5	35.5	35.5	719319.0	2.7565010108116903	431319.0	1.049359624444579	4.0671749E7	98.95064037555542	34.37643406174413	17.60546741010839	22.171982188682026	1.3036114811442308	22.0	79.96992669993043	0.13192748849608996	0.13192748849608996	6.654994095694717	28.092445881279808	0.36124555988393364	40.6174353184943	0.9473630616440256	0.726533673467097	0.02771978459992875	0.02771978459992875	0.2919053431911775	0.001226271408734846	0.11388229288994425	80.31319738198718	10.19770752392235	0.803035328304471	8.686059765785993	20.322228208312893	50.596428072710474	81.36654258737623	5.0	15.0	58.0	0.25589739779328813
32150184_EXO_S18	2.4360545E7	72.05193890366574	1.7552245E7	2.7566960054962193	34.661718598660244	35.5	35.5	35.5	35.5	35.5	475040.0	2.7064344190728877	248349.0	1.0194722655014492	2.4112196E7	98.98052773449855	24.363910046780727	14.802017810398283	22.184633496367567	1.1902007450087373	22.0	82.96712976884793	0.15512802957135766	0.15512802957135766	11.80380629372473	15.872665409421309	0.27187654906959247	48.51972496965488	1.0708286400654228	0.8185593493631343	0.02038332935585458	0.02038332935585458	0.3459370631434406	0.0010426016728914164	0.12296432735527564	86.33333798610947	7.39464381906702	0.5241038966810228	5.747914298142489	15.989651669048632	52.049015261002324	86.35275761417535	5.0	12.0	45.0	0.17883998453775665
