gene	32152388_EXO_S22	32170641_EXO_S35	32160652_EXO_S28	32152480_EXO_S3	32170419_EXO_S34	32160008_EXO_S24	32151370_EXO_S14	32150690_EXO_S2	180726-190530_Brain_S36	32151510_EXO_S15	32160118_EXO_S26	32150162_EXO_S11	32151633_EXO_S16	32152263_EXO_S7	32152081_EXO_S18	32152276_EXO_S21	32160740_EXO_S29	32152259_EXO_S20	32160002_EXO_S23	32161448_EXO_S32	32152082_EXO_S19	32152019_EXO_S17	32161241_EXO_S31	32170071_EXO_S33	32141754_EXO_S5	32150091_EXO_S1	32160964_EXO_S30	32160619_EXO_S27	32151247_EXO_S13	32150880_EXO_S12	32151523_EXO_S6	32141765_EXO_S9	32150158_EXO_S10	32140235_EXO_S8	32160071_EXO_S25	32151648_EXO_S4
hsa-miR-3936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.072478067823513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.19615314351333	0.0	0.0
hsa-miR-3935	17.77820876465692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	0.0	0.0	0.0	0.0	0.0	34.27357164890154	0.0	0.36487654584509605	1.9459936716285797	0.0	0.0	5.389731483577488	0.0	0.0	0.0	0.0	0.0	23.719896486371734	0.0	0.0	0.0	0.0	0.4600313281334459	0.0	0.0	221.8278615794144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	1.6162007967869927	0.0	19.271721639252643	0.0	0.937352074125802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6945244568512323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2306798644775332	0.0	5.936078819254562	0.0	0.0	2.220017005330261	0.0	0.0	0.0	0.0	0.0	0.4433193000608899	0.0	0.0	0.0
hsa-miR-6766-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.923664041884376	0.0	0.0	0.0	0.0
hsa-miR-506-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5984948016949048	0.0	4.058029826519225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3800939844003377	0.44520591144409216	0.0	0.0	0.0	0.0	0.0	0.0	47.74529849237199	0.0	0.0	26.098076571756664	0.0	0.0
hsa-miR-3059-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.270914566985827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.52027208528418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	14.545807171082934	23.74650017401732	0.0	12.957913775882083	0.0	0.0	70.1936195276097	14.230185287958745	43.02036009778896	17.00549164010031	38.55128335193264	53.89731483577488	21.311238886005203	0.0	0.0	13.122464083815803	0.0	0.0	6.283374224871381	13.942214881705668	0.0	40.6124355277586	13.34090851586993	17.21462857583823	103.2139491987601	0.0	102.120782245192	15.635057918356015	4.333744557539126	90.06002235607615	36.511110611813876	0.0	15.516175502131146	208.7846125740533	81.52773381674483	974.3015897515048
hsa-miR-4776-5p	0.0	0.0	0.0	0.0	0.0	56.08402633456615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3719896486371734	0.0	0.0	0.0	18.460197967162998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.648824186943416	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-449b-3p	0.0	0.0	0.0	4.859217665955781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
