sample	readsRaw	readsPerc	reads	adapterDimerPerc	meanofmeans	meanofp50	meanofp10	meanofp25	meanofp75	meanofp90	readsUnique	avgRCperUnique	readsAdapterNotFound	readsAdapterNotFoundPerc	readsAdapterFound	readsAdapterFoundPerc	ultraShortReadsPerc	shortReadsPerc	meanMiRNAlength	stdDevMiRNAlength	modeMiRNAlength	mainPeakMiRNAlength	skewnessMiRNAlength	absskewnessMiRNAlength	microRNAPerc	rRNAPerc	tRNAPerc	un-assignedPerc	mRNA_sensePerc	mRNA_antisensePerc	snRNAPerc	snoRNAPerc	piRNAPerc	vaultRNAPerc	Y_RNAPerc	unmapped	bacteria	virus	refSpecies	miRNAexprTop1	miRNAexprTop5	miRNAexprTop20	miRNAexprp50	miRNAexprp75	miRNAexprp95	miRNAper1k
32152388_EXO_S22	2.0520927E7	69.67252015466943	1.4297447E7	2.1879466384686257	34.747193267024436	35.5	35.5	35.5	35.5	35.5	1056981.0	7.392795371089678	213449.0	1.040152815708569	2.0307478E7	98.95984718429143	23.406365322654295	12.955395282118745	22.117403969382142	1.5925606545818354	22.0	78.03690170675164	0.07372024986575425	0.07372024986575425	4.400904581076616	14.341960790598879	0.6967158280311293	59.25592170406367	1.136628684244859	0.9631280344129645	0.012144854148695849	0.012144854148695849	0.3390129474631795	0.003185883465768399	0.253793561885559	96.84686363936163	2.8901033869892996	0.01756957028761848	0.24546340336145328	13.417295832128184	38.72095250606172	75.35056852129384	8.0	20.0	69.0	0.864667482180092
32170641_EXO_S35	2.2840048E7	70.00518125005692	1.5989217E7	3.3886096443116407	34.74738487578922	35.5	35.5	35.5	35.5	35.5	634141.0	3.9660541226002497	317004.0	1.3879305332458145	2.2523044E7	98.61206946675418	20.445372699856332	10.533581362789857	22.2171531835574	1.2477975110286545	22.0	81.12532165820855	0.17402918473397513	0.17402918473397513	8.469695545441642	11.103516744298368	0.44886028965608366	60.06922040022348	1.1571766907780046	1.0415028135832127	0.012832326676976208	0.012832326676976208	0.1459055535886255	7.692684388485065E-4	0.25395239804425696	51.1434049584792	29.622701349290573	1.5883016660540665	17.645592026176136	13.584024897612691	41.55300632744071	77.14964143339964	7.0	18.0	65.0	0.2946050287148998
32160652_EXO_S28	2.438971E7	71.48477370169633	1.7434929E7	2.338178193453901	34.71854883165891	35.5	35.5	35.5	35.5	35.5	1045325.0	5.995579333876266	373774.0	1.5325069465770607	2.4015936E7	98.46749305342294	20.168968030038762	12.407651094693527	22.12610790404342	1.6742152369339578	22.0	77.1371319811303	0.07532359117359623	0.07532359117359623	1.8271253069054665	9.843470571932334	0.1720799120523212	66.7423595473202	1.4966402794878426	1.178643270572005	0.010957138241170183	0.010957138241170183	0.0889652665040512	3.154586978817063E-4	0.08140555089154651	93.84299758261132	5.166674323709608	0.17928951703789556	0.8110385766411781	18.7192656189274	41.49571043595846	75.57755101385315	7.0	20.0	73.0	1.4325313085177795
32152480_EXO_S3	2.1539862E7	73.78613660570342	1.5893432E7	2.6753955439297035	34.70183080618159	35.5	35.5	35.5	35.5	35.5	831182.0	5.2297200503956605	256755.0	1.1919992802182298	2.1283107E7	98.80800071978177	18.778017473667262	11.732816456023052	22.287663245955358	1.261042165378073	22.0	79.6164690671652	0.22811548563018377	0.22811548563018377	11.713939443664458	18.61315106131649	0.9133343376621345	47.28358229990854	0.7552417044876808	0.5951180131385193	0.0179127196774331	0.0179127196774331	0.2246751851957529	0.004885665978248121	0.9553694884780077	77.81479796182474	12.479721182938961	0.4842000141945428	9.221280841041757	14.7814701034934	43.29908677321444	79.59946559620191	7.0	16.0	60.0	0.30073158059157423
32170419_EXO_S34	2.2064604E7	71.60075476541523	1.5798423E7	3.3270187413305514	34.707170832864264	35.5	35.5	35.5	35.5	35.5	519379.0	3.287536990242634	289529.0	1.312187610527703	2.1775075E7	98.6878123894723	19.209230100761356	11.66223115486038	22.195172553149686	1.3381077229509224	22.0	80.23048679533774	0.1458571307841139	0.1458571307841139	6.802596689555684	11.066809351446135	0.5758412537368486	61.09417376658417	1.2242980586455725	1.0963116078038724	0.008818718393641477	0.008818718393641477	0.179283035608925	6.646232981608355E-4	0.2189838821254501	72.63424330390444	18.729761824961905	0.8378431188986394	7.798151752235017	12.385560332072325	37.726294821994315	74.89266335135255	8.0	21.0	70.0	0.34307083983535375
32160008_EXO_S24	2.122762E7	72.84151025880433	1.5462519E7	3.9880722687446704	34.74460586667276	35.5	35.5	35.5	35.5	35.5	969305.0	6.268739265575033	280868.0	1.3231252490858607	2.0946752E7	98.67687475091414	16.503449185412258	9.987009477965087	22.195986860698383	1.2819145543697588	22.0	82.55598642828132	0.152886056274428	0.152886056274428	4.189757179926506	8.986253645302849	0.21610750514925353	66.98198398333415	1.2996355824744898	1.0561350397922995	0.011056015402363102	0.011056015402363102	0.11013441203975703	1.0994327638336289E-4	0.12253501515503393	77.70054801549476	15.25134423440321	0.6967816822084423	6.351326067893595	9.213904763524967	36.59997714887434	79.0913524379836	8.0	17.0	63.0	0.7150713580457633
32151370_EXO_S14	4.4037632E7	77.88753718637733	3.4299827E7	1.2863206110220156	34.77004072051378	35.5	35.5	35.5	35.5	35.5	1346500.0	3.9256757767320516	478236.0	1.085971198451361	4.3559396E7	98.91402880154864	12.792425576114423	9.013805084666373	22.24992597976738	1.244527178925031	22.0	80.97629192309012	0.20082002546802932	0.20082002546802932	4.5910056630897635	20.411456796762675	0.1986159467654524	61.07862876392933	0.7584037739320925	0.6845469980612813	0.004683769000301037	0.004683769000301037	0.11415590107786773	4.5189732298066694E-4	0.17208250059103797	95.74290855752713	3.9654194174215514	0.11773820316936293	0.17393382188195877	17.304929624128718	44.38336344256891	79.63293929441065	6.0	16.0	58.0	0.42435235789824266
32150690_EXO_S2	2.0688737E7	74.10364392954486	1.5331108E7	3.966262467381199	34.78787725176263	35.5	35.5	35.5	35.5	35.5	484663.0	3.1613044536637536	304500.0	1.4718153167107302	2.0384237E7	98.52818468328927	16.010431752981702	10.615179259087908	22.267922983874634	1.1832457557336415	22.0	80.99055033605879	0.22643054714235158	0.22643054714235158	17.934144094477688	11.477715224635253	0.7234353277201406	50.437280854064824	1.0055605879536693	0.861498410496434	0.012439551783994604	0.012439551783994604	0.17361213894509508	0.001037107037534404	0.9598719153240588	66.44533454463956	14.509557952367173	0.8469250885193683	18.19818241447389	14.720889403212372	48.24210107414472	83.28227591539478	6.0	14.0	51.0	0.1525183950502424
180726-190530_Brain_S36	2.6903782E7	81.13710183943655	2.1828949E7	1.476855078630954	34.78415227225303	35.5	35.2	35.5	35.5	35.5	237686.0	1.0888568203627211	354259.0	1.3167628253901253	2.6549523E7	98.68323717460987	13.773237193268	1.6951785249175668	21.88689833601862	1.1730024591153445	22.0	84.35733476912478	-0.09642065376970968	0.09642065376970968	66.07418433201016	2.4415263773508356	5.4347466518744225	3.5326803869485426	0.18145066193345935	0.031364576900495156	0.6233121744669914	0.6233121744669914	0.39328144819572014	0.011599275805720193	5.677140021720698	6.140712500633906	1.5486544954592179	0.23572367135037053	92.0749093325565	12.741831459186537	40.822965818550635	72.42203497387533	8.0	23.0	87.0	0.06720628205237951
32151510_EXO_S15	2.7142745E7	75.78815259841994	2.0570985E7	2.1533196955271925	34.755884100429064	35.5	35.5	35.5	35.5	35.5	2007897.0	9.760820884366986	341460.0	1.2580157239070697	2.6801285E7	98.74198427609294	15.509004077933774	12.258552216039435	22.121684849998662	1.5443960993253762	22.0	79.27100152543734	0.07879121816729286	0.07879121816729286	2.1817574608119066	8.42325242311473	0.18120840433437618	67.14634228745001	1.4363418642092467	1.20888619153283	0.010988147054958765	0.010988147054958765	0.09344603085581218	5.347337524187587E-4	0.1376599127363128	95.35735892082951	3.7444536564486337	0.09864379367346775	0.7995436290483903	15.510370221830533	39.048260591996126	76.3587683814643	8.0	19.0	69.0	1.3218936700475397
