name	180322-190603	180626-180628-190531	180726-190530	180913-190529	180919-190527	181003-190524	181004-190521	181023-190319
Hsa-Let-7-P1a_3p*	21	1	41	18	19	40	45	
Hsa-Let-7-P1a_5p	4941980	2218	4396858	2003971	3464530	7393698	7556120	8636545
Hsa-Let-7-P1b_3p*	507	19	1929	747	1129	1693	1592	1379
Hsa-Let-7-P1b_5p	501047	1301	533141	219158	291412	673200	711403	728990
Hsa-Let-7-P1c_3p*	188	3	633	194	405	648	685	576
Hsa-Let-7-P1c_5p	736568	1774	813607	324170	538707	1220700	1210085	1304825
Hsa-Let-7-P2a1_3p*	5067	29	11610	4693	8660	14951	14178	9714
Hsa-Let-7-P2a1_5p	4939669	2220	4394116	2003653	3466521	7399374	7570197	8681120
Hsa-Let-7-P2a2_3p*	5246	29	11824	4737	8785	15153	14403	10110
Hsa-Let-7-P2a2_5p	4936834	2281	4396314	2004877	3465138	7394253	7555599	8628061
Hsa-Let-7-P2a3_3p*	40	1	348	89	130	172	367	183
Hsa-Let-7-P2a3_5p	2646149	1177	1907121	814215	1728628	3694514	3861362	5123644
Hsa-Let-7-P2b1_3p*	55	11	726	216	588	676	771	1141
Hsa-Let-7-P2b1_5p	2585697	1203	1867254	800296	1701533	3625912	3785830	4985421
Hsa-Let-7-P2b2_3p*	5411	54	10554	5814	7876	11628	12036	11493
Hsa-Let-7-P2b2_5p	2763745	4497	3289880	1209877	1415134	3448012	3460388	3854877
Hsa-Let-7-P2b3_3p*	795	17	1867	1285	2573	2828	3101	2742
Hsa-Let-7-P2b3_5p	171528	317	166465	68703	164672	293718	309894	422366
Hsa-Let-7-P2c1_3p*	44712	127	94628	34764	42001	101303	104544	85167
Hsa-Let-7-P2c1_5p	127675	558	309682	111089	188805	248081	297483	235187
Hsa-Let-7-P2c2_3p*	193	4	524	262	926	962	1114	1160
Hsa-Let-7-P2c2_5p	149215	562	230890	71021	204507	278506	367363	420541
Hsa-Let-7-P2c3_3p*		5	18	9	95	16	103	100
Hsa-Let-7-P2c3_5p	544606	716	945510	317789	852956	1090841	1377904	1351128
Hsa-Mir-1-P1_3p	13163	26	19741	9682	28380	47102	60714	58065
Hsa-Mir-1-P2_3p	13299	26	19934	9728	28690	47711	61313	58784
Hsa-Mir-1-P3_3p	549	15	881	430	320	471	560	317
Hsa-Mir-10-P1a-v1_3p*	6369	47	19160	8961	12015	12173	14641	13943
Hsa-Mir-10-P1a-v1_5p	3906758	2431	2712340	1230785	1344081	3857425	3571008	6005528
Hsa-Mir-10-P1a-v2_3p*	6423	47	19355	9083	12227	12646	14787	14246
Hsa-Mir-10-P1a-v2_5p	3906661	2432	2712814	1230880	1344098	3857535	3571191	6005626
Hsa-Mir-10-P1b-v1_3p*	5781	34	9686	3729	6447	7338	8494	9027
Hsa-Mir-10-P1b-v1_5p	4762205	2128	2683198	1200034	1416925	4521894	3999606	7755385
Hsa-Mir-10-P1b-v2_3p*	5781	34	9686	3729	6447	7353	8494	9059
Hsa-Mir-10-P1b-v2_5p	4762029	2126	2683458	1200035	1416909	4522126	3999814	7755636
Hsa-Mir-10-P2a_3p*		1	12	5	54	9	40	
Hsa-Mir-10-P2a_5p	150417	345	276108	112796	193153	345497	380976	434249
Hsa-Mir-10-P2b_3p*	3678	237	14037	5119	6963	12197	13792	13076
Hsa-Mir-10-P2b_5p	354296	392	398764	159931	218626	506186	531671	691816
Hsa-Mir-10-P2c_3p*	5	8	312	125	126	122	273	277
Hsa-Mir-10-P2c_5p	121055	344	413376	144090	329661	289238	386079	359817
Hsa-Mir-10-P3a_3p*	758	40	2388	1049	3011	3472	4959	2682
Hsa-Mir-10-P3a_5p	209620	321	778991	301922	562133	705146	904341	661756
Hsa-Mir-10-P3b_3p*	2309	41	4600	2142	2682	3517	3586	4291
Hsa-Mir-10-P3b_5p	597166	1417	1413332	661921	936557	1412451	1535927	1539945
Hsa-Mir-10-P3c_3p*	11277	244	24278	9436	22211	31687	36726	45122
Hsa-Mir-10-P3c_5p	209337	324	777011	301425	561406	703956	902613	660553
Hsa-Mir-101-P1-v1_3p	49429	236	173692	68364	155478	142026	192640	143342
Hsa-Mir-101-P1-v1_5p*		2	95	16	74	69	36	
Hsa-Mir-101-P1-v2_3p	49429	236	173699	68364	155478	142026	192640	143342
Hsa-Mir-101-P1-v2_5p*		2	95	16	74	69	36	
Hsa-Mir-101-P2-v1_3p	50794	237	176812	69506	157290	144819	196400	147222
Hsa-Mir-101-P2-v1_5p*		1						
Hsa-Mir-101-P2-v2_3p	50794	237	176812	69506	157290	144819	196414	147222
Hsa-Mir-101-P2-v2_5p*		1						
Hsa-Mir-103-P1_3p	63336	885	573661	112919	325223	295200	383992	256605
Hsa-Mir-103-P1_5p*		6		3				
Hsa-Mir-103-P2_3p	63531	885	575376	113233	326149	296855	385634	258249
Hsa-Mir-103-P2_5p*	42	6	16	13	81	72	73	49
Hsa-Mir-103-P3_3p	2552	864	34070	9110	17878	13183	15933	9704
Hsa-Mir-103-P3_5p*		1			2			
Hsa-Mir-105-P1_3p*			13		13			27
Hsa-Mir-105-P1_5p	118	17	607	138	752	529	677	701
Hsa-Mir-105-P2_3p*			13		13			27
Hsa-Mir-105-P2_5p	118	17	607	138	752	529	677	701
Hsa-Mir-1180_3p	4827	100	25723	7950	12450	14505	18660	13395
Hsa-Mir-1180_5p*	70		127	31	64	87	61	55
Hsa-Mir-122_3p*				5		1	2	
Hsa-Mir-122_5p	203	9	509	380	282	4057	2361	1626
Hsa-Mir-122-as_5p		1	134	6	41	1	59	57
Hsa-Mir-124-P1-v1_3p	73924	199	237317	129786	392569	288643	409042	383095
Hsa-Mir-124-P1-v1_5p*	327	11	1062	281	637	904	1428	1181
Hsa-Mir-124-P1-v2_3p	73924	199	237317	129786	392570	288643	409058	383205
Hsa-Mir-124-P1-v2_5p*	327	11	1062	281	637	904	1428	1181
Hsa-Mir-124-P2-v1_3p	73924	199	237317	129785	392557	288643	408986	382959
Hsa-Mir-124-P2-v1_5p*	327	11	1062	281	637	904	1428	1181
Hsa-Mir-124-P2-v2_3p	73924	199	237317	129785	392558	288643	409002	383121
Hsa-Mir-124-P2-v2_5p*	327	11	1062	281	637	904	1428	1181
Hsa-Mir-124-P3-v1_3p	73924	199	237317	129785	392557	288643	408986	383011
Hsa-Mir-124-P3-v1_5p*	327	11	1062	281	637	904	1428	1181
Hsa-Mir-124-P3-v2_3p	73924	199	237317	129785	392558	288643	409002	383121
Hsa-Mir-124-P3-v2_5p*	327	11	1062	281	637	904	1428	1181
Hsa-Mir-1247_3p*	1	2				29	1	
Hsa-Mir-1247_5p	90	22	685	111	308	449	759	878
Hsa-Mir-1249_3p	933	34	4782	1413	2683	4470	4798	5180
Hsa-Mir-1249_5p*		40			1			41
Hsa-Mir-1251_3p*		1			5	27	8	
