sample	batch	variable	value
32151640_EXO_S32	180322-190603	mainPeakMiRNAlength	80.73394780705027
32151675_EXO_S28	180322-190603	mainPeakMiRNAlength	85.13872503564944
32151681_EXO_S21	180322-190603	mainPeakMiRNAlength	81.93423644137003
32151161_EXO_S19	180322-190603	mainPeakMiRNAlength	65.98110993125803
32151113_EXO_S24	180322-190603	mainPeakMiRNAlength	75.24798797513401
32140243_EXO_S2	180322-190603	mainPeakMiRNAlength	84.10407804690988
32150300_EXO_S4	180322-190603	mainPeakMiRNAlength	82.6698790437178
32151662_EXO_S25	180322-190603	mainPeakMiRNAlength	80.27411157796006
32150296_EXO_S34	180322-190603	mainPeakMiRNAlength	81.87636094329218
32151649_EXO_S7	180322-190603	mainPeakMiRNAlength	85.65218502808911
32151808_EXO_S16	180322-190603	mainPeakMiRNAlength	82.59847051644223
32152166_EXO_S8	180322-190603	mainPeakMiRNAlength	83.59361136285268
32150759_EXO_S26	180322-190603	mainPeakMiRNAlength	81.09751178602198
32151206_EXO_S12	180322-190603	mainPeakMiRNAlength	85.34204246952596
32151872_EXO_S27	180322-190603	mainPeakMiRNAlength	82.70190421479268
32152211_EXO_S35	180322-190603	mainPeakMiRNAlength	74.55805731298847
32151109_EXO_S17	180322-190603	mainPeakMiRNAlength	81.12535003795743
32152477_EXO_S29	180322-190603	mainPeakMiRNAlength	84.85507058393097
32151201_EXO_S23	180322-190603	mainPeakMiRNAlength	78.81231486440333
32141753_EXO_S10	180322-190603	mainPeakMiRNAlength	79.46226801188634
32150101_EXO_S3	180322-190603	mainPeakMiRNAlength	84.69946630265838
32151828_EXO_S15	180322-190603	mainPeakMiRNAlength	81.90833898851717
32152118_EXO_S1	180322-190603	mainPeakMiRNAlength	82.47941660785698
32151204_EXO_S9	180322-190603	mainPeakMiRNAlength	81.79397069634805
32151684_EXO_S13	180322-190603	mainPeakMiRNAlength	82.39441864399456
32150228_EXO_S18	180322-190603	mainPeakMiRNAlength	83.44676535520125
32152206_EXO_S33	180322-190603	mainPeakMiRNAlength	82.32175905668511
32151642_EXO_S5	180322-190603	mainPeakMiRNAlength	82.3117145421903
32151157_EXO_S31	180322-190603	mainPeakMiRNAlength	79.9503964662008
32151086_EXO_S6	180322-190603	mainPeakMiRNAlength	81.77807988131468
32150688_EXO_S20	180322-190603	mainPeakMiRNAlength	80.63478397255565
32151947_EXO_S11	180322-190603	mainPeakMiRNAlength	82.88361979705944
32151680_EXO_S22	180322-190603	mainPeakMiRNAlength	82.84649259310932
32150301_EXO_S14	180322-190603	mainPeakMiRNAlength	82.78126196380991
32150744_EXO_S30	180322-190603	mainPeakMiRNAlength	82.37406725097229
32160475_EXO_S26	180626-180628-190531	mainPeakMiRNAlength	83.1003284847388
32161242_EXO_S7	180626-180628-190531	mainPeakMiRNAlength	84.24180496417816
32160187_EXO_S9	180626-180628-190531	mainPeakMiRNAlength	80.69665018544714
32160696_EXO_S3	180626-180628-190531	mainPeakMiRNAlength	82.06774774277655
32151244_EXO_S30	180626-180628-190531	mainPeakMiRNAlength	83.94887393911249
32161406_EXO_S4	180626-180628-190531	mainPeakMiRNAlength	81.15054951768812
32160790_EXO_S27	180626-180628-190531	mainPeakMiRNAlength	84.154359158614
32152197_EXO_S12	180626-180628-190531	mainPeakMiRNAlength	79.96992669993043
32150184_EXO_S18	180626-180628-190531	mainPeakMiRNAlength	82.96712976884793
32161462_EXO_S13	180626-180628-190531	mainPeakMiRNAlength	78.94111509985798
32151184_EXO_S8	180626-180628-190531	mainPeakMiRNAlength	77.51573501173459
32151974_EXO_S24	180626-180628-190531	mainPeakMiRNAlength	83.81993683273143
32160074_EXO_S17	180626-180628-190531	mainPeakMiRNAlength	77.71101975571443
32151031_EXO_S19	180626-180628-190531	mainPeakMiRNAlength	83.90655459235161
32151484_EXO_S11	180626-180628-190531	mainPeakMiRNAlength	83.65632127610861
32151694_EXO_S10	180626-180628-190531	mainPeakMiRNAlength	83.54594875390362
32160668_EXO_S16	180626-180628-190531	mainPeakMiRNAlength	82.82559045527248
32152356_EXO_S21	180626-180628-190531	mainPeakMiRNAlength	83.51075800665376
32151971_EXO_S23	180626-180628-190531	mainPeakMiRNAlength	82.85354722617166
32160196_EXO_S22	180626-180628-190531	mainPeakMiRNAlength	83.82386548427458
32151750_EXO_S14	180626-180628-190531	mainPeakMiRNAlength	83.00823168246896
32150887_EXO_S28	180626-180628-190531	mainPeakMiRNAlength	83.37883487273962
32150225_EXO_S2	180626-180628-190531	mainPeakMiRNAlength	85.01820382992945
32152444_EXO_S25	180626-180628-190531	mainPeakMiRNAlength	78.33472407934289
32140237_EXO_S31	180626-180628-190531	mainPeakMiRNAlength	82.87513343380817
32150168_EXO_S6	180626-180628-190531	mainPeakMiRNAlength	83.24525726990474
32152194_EXO_S15	180626-180628-190531	mainPeakMiRNAlength	81.94826060617504
32151686_EXO_S20	180626-180628-190531	mainPeakMiRNAlength	83.28577470093163
32161248_EXO_S29	180626-180628-190531	mainPeakMiRNAlength	83.01169187432808
32161349_EXO_S5	180626-180628-190531	mainPeakMiRNAlength	76.42204720524475
32150855_EXO_S1	180626-180628-190531	mainPeakMiRNAlength	83.36436420914774
32152388_EXO_S22	180726-190530	mainPeakMiRNAlength	78.03690170675164
32170641_EXO_S35	180726-190530	mainPeakMiRNAlength	81.12532165820855
32160652_EXO_S28	180726-190530	mainPeakMiRNAlength	77.1371319811303
32152480_EXO_S3	180726-190530	mainPeakMiRNAlength	79.6164690671652
32170419_EXO_S34	180726-190530	mainPeakMiRNAlength	80.23048679533774
32160008_EXO_S24	180726-190530	mainPeakMiRNAlength	82.55598642828132
32151370_EXO_S14	180726-190530	mainPeakMiRNAlength	80.97629192309012
32150690_EXO_S2	180726-190530	mainPeakMiRNAlength	80.99055033605879
32151510_EXO_S15	180726-190530	mainPeakMiRNAlength	79.27100152543734
32160118_EXO_S26	180726-190530	mainPeakMiRNAlength	81.20793345416902
32150162_EXO_S11	180726-190530	mainPeakMiRNAlength	73.8156599971885
32151633_EXO_S16	180726-190530	mainPeakMiRNAlength	82.14678642204461
32152263_EXO_S7	180726-190530	mainPeakMiRNAlength	75.49406030233473
32152081_EXO_S18	180726-190530	mainPeakMiRNAlength	73.81994657417378
32152276_EXO_S21	180726-190530	mainPeakMiRNAlength	80.1678862421506
32160740_EXO_S29	180726-190530	mainPeakMiRNAlength	72.53078697912323
32152259_EXO_S20	180726-190530	mainPeakMiRNAlength	79.09870322722242
32160002_EXO_S23	180726-190530	mainPeakMiRNAlength	80.26371988503087
32161448_EXO_S32	180726-190530	mainPeakMiRNAlength	82.10302770691746
32152082_EXO_S19	180726-190530	mainPeakMiRNAlength	79.87847972206912
32152019_EXO_S17	180726-190530	mainPeakMiRNAlength	79.85600361211279
32161241_EXO_S31	180726-190530	mainPeakMiRNAlength	79.45237736374602
32170071_EXO_S33	180726-190530	mainPeakMiRNAlength	82.71585712219743
32141754_EXO_S5	180726-190530	mainPeakMiRNAlength	76.72545134733964
32150091_EXO_S1	180726-190530	mainPeakMiRNAlength	40.64884135472371
32160964_EXO_S30	180726-190530	mainPeakMiRNAlength	80.07741567612615
32160619_EXO_S27	180726-190530	mainPeakMiRNAlength	81.30215855745851
32151247_EXO_S13	180726-190530	mainPeakMiRNAlength	80.80945962574727
32150880_EXO_S12	180726-190530	mainPeakMiRNAlength	80.44897325815963
32151523_EXO_S6	180726-190530	mainPeakMiRNAlength	78.68743035558644
32141765_EXO_S9	180726-190530	mainPeakMiRNAlength	79.76428748656025
32150158_EXO_S10	180726-190530	mainPeakMiRNAlength	80.93072113880787
32140235_EXO_S8	180726-190530	mainPeakMiRNAlength	61.5669725590015
32160071_EXO_S25	180726-190530	mainPeakMiRNAlength	78.38064612795777
32151648_EXO_S4	180726-190530	mainPeakMiRNAlength	68.53334047166528
32152253_EXO_S33	180913-190529	mainPeakMiRNAlength	80.46575392657368
32151859_EXO_S28	180913-190529	mainPeakMiRNAlength	81.16656801777218
32150292_EXO_S9	180913-190529	mainPeakMiRNAlength	78.20966208471428
