sample	batch	variable	value
32151640_EXO_S32	180322-190603	bacteria	15.35132200662206
32151675_EXO_S28	180322-190603	bacteria	10.692615202406278
32151681_EXO_S21	180322-190603	bacteria	24.99202107722674
32151161_EXO_S19	180322-190603	bacteria	31.296074080655185
32151113_EXO_S24	180322-190603	bacteria	11.081188044174729
32140243_EXO_S2	180322-190603	bacteria	6.995369946271153
32150300_EXO_S4	180322-190603	bacteria	6.768614852116236
32151662_EXO_S25	180322-190603	bacteria	22.721847061061467
32150296_EXO_S34	180322-190603	bacteria	26.089356192486196
32151649_EXO_S7	180322-190603	bacteria	20.96540060933923
32151808_EXO_S16	180322-190603	bacteria	6.577705438091519
32152166_EXO_S8	180322-190603	bacteria	14.863593545266529
32150759_EXO_S26	180322-190603	bacteria	7.253255664001148
32151206_EXO_S12	180322-190603	bacteria	2.85466576466281
32151872_EXO_S27	180322-190603	bacteria	5.706197512187487
32152211_EXO_S35	180322-190603	bacteria	4.64195001095271
32151109_EXO_S17	180322-190603	bacteria	13.963098610794002
32152477_EXO_S29	180322-190603	bacteria	22.489087080174038
32151201_EXO_S23	180322-190603	bacteria	4.735306468447089
32141753_EXO_S10	180322-190603	bacteria	2.2847016751974314
32150101_EXO_S3	180322-190603	bacteria	16.477530357901816
32151828_EXO_S15	180322-190603	bacteria	18.227736517628294
32152118_EXO_S1	180322-190603	bacteria	5.4040272850015425
32151204_EXO_S9	180322-190603	bacteria	15.721687863089368
32151684_EXO_S13	180322-190603	bacteria	3.8272760397562795
32150228_EXO_S18	180322-190603	bacteria	10.68894904697925
32152206_EXO_S33	180322-190603	bacteria	8.435358176316786
32151642_EXO_S5	180322-190603	bacteria	11.597206039609945
32151157_EXO_S31	180322-190603	bacteria	26.926375177285358
32151086_EXO_S6	180322-190603	bacteria	6.720389054378766
32150688_EXO_S20	180322-190603	bacteria	8.961402503647706
32151947_EXO_S11	180322-190603	bacteria	19.0898791986835
32151680_EXO_S22	180322-190603	bacteria	4.153874064037433
32150301_EXO_S14	180322-190603	bacteria	5.491034572138844
32150744_EXO_S30	180322-190603	bacteria	28.098899305341586
32160475_EXO_S26	180626-180628-190531	bacteria	2.949479408557381
32161242_EXO_S7	180626-180628-190531	bacteria	8.461632385220621
32160187_EXO_S9	180626-180628-190531	bacteria	28.950982885232648
32160696_EXO_S3	180626-180628-190531	bacteria	21.058042368029373
32151244_EXO_S30	180626-180628-190531	bacteria	6.451260769489688
32161406_EXO_S4	180626-180628-190531	bacteria	12.08074183257566
32160790_EXO_S27	180626-180628-190531	bacteria	6.02567928485384
32152197_EXO_S12	180626-180628-190531	bacteria	10.19770752392235
32150184_EXO_S18	180626-180628-190531	bacteria	7.39464381906702
32161462_EXO_S13	180626-180628-190531	bacteria	20.11440805362663
32151184_EXO_S8	180626-180628-190531	bacteria	10.153972728620749
32151974_EXO_S24	180626-180628-190531	bacteria	5.821607989321469
32160074_EXO_S17	180626-180628-190531	bacteria	3.326190501418895
32151031_EXO_S19	180626-180628-190531	bacteria	10.033756707241121
32151484_EXO_S11	180626-180628-190531	bacteria	26.6787449883072
32151694_EXO_S10	180626-180628-190531	bacteria	14.326632082645768
32160668_EXO_S16	180626-180628-190531	bacteria	19.066882902886093
32152356_EXO_S21	180626-180628-190531	bacteria	27.44001762014494
32151971_EXO_S23	180626-180628-190531	bacteria	19.308550467853685
32160196_EXO_S22	180626-180628-190531	bacteria	15.153956221667084
32151750_EXO_S14	180626-180628-190531	bacteria	6.726286841986651
32150887_EXO_S28	180626-180628-190531	bacteria	9.731662271626215
32150225_EXO_S2	180626-180628-190531	bacteria	6.119543880308483
32152444_EXO_S25	180626-180628-190531	bacteria	7.4513184068723355
32140237_EXO_S31	180626-180628-190531	bacteria	7.43778454723794
32150168_EXO_S6	180626-180628-190531	bacteria	3.1276934614780276
32152194_EXO_S15	180626-180628-190531	bacteria	20.074440375574735
32151686_EXO_S20	180626-180628-190531	bacteria	1.8592668527499294
32161248_EXO_S29	180626-180628-190531	bacteria	10.943124898038098
32161349_EXO_S5	180626-180628-190531	bacteria	4.162711482172305
32150855_EXO_S1	180626-180628-190531	bacteria	35.49215466370389
32152388_EXO_S22	180726-190530	bacteria	2.8901033869892996
32170641_EXO_S35	180726-190530	bacteria	29.622701349290573
32160652_EXO_S28	180726-190530	bacteria	5.166674323709608
32152480_EXO_S3	180726-190530	bacteria	12.479721182938961
32170419_EXO_S34	180726-190530	bacteria	18.729761824961905
32160008_EXO_S24	180726-190530	bacteria	15.25134423440321
32151370_EXO_S14	180726-190530	bacteria	3.9654194174215514
32150690_EXO_S2	180726-190530	bacteria	14.509557952367173
32151510_EXO_S15	180726-190530	bacteria	3.7444536564486337
32160118_EXO_S26	180726-190530	bacteria	19.9406746487782
32150162_EXO_S11	180726-190530	bacteria	2.8205721329419666
32151633_EXO_S16	180726-190530	bacteria	6.75216432104068
32152263_EXO_S7	180726-190530	bacteria	36.379518562594974
32152081_EXO_S18	180726-190530	bacteria	8.63393698300396
32152276_EXO_S21	180726-190530	bacteria	11.14704142951497
32160740_EXO_S29	180726-190530	bacteria	24.161067591992303
32152259_EXO_S20	180726-190530	bacteria	13.143702469523975
32160002_EXO_S23	180726-190530	bacteria	4.796419314143964
32161448_EXO_S32	180726-190530	bacteria	6.211428921340777
32152082_EXO_S19	180726-190530	bacteria	26.305184680793154
32152019_EXO_S17	180726-190530	bacteria	3.355604671809697
32161241_EXO_S31	180726-190530	bacteria	3.4435157292414926
32170071_EXO_S33	180726-190530	bacteria	16.659352873801378
32141754_EXO_S5	180726-190530	bacteria	39.36182540309167
32150091_EXO_S1	180726-190530	bacteria	24.574158608855242
32160964_EXO_S30	180726-190530	bacteria	26.677526860513375
32160619_EXO_S27	180726-190530	bacteria	23.74454444584652
32151247_EXO_S13	180726-190530	bacteria	8.269334395455214
32150880_EXO_S12	180726-190530	bacteria	4.340678172716793
32151523_EXO_S6	180726-190530	bacteria	15.650727635174976
32141765_EXO_S9	180726-190530	bacteria	25.321402102966818
32150158_EXO_S10	180726-190530	bacteria	11.166639654236102
32140235_EXO_S8	180726-190530	bacteria	6.495248421169401
32160071_EXO_S25	180726-190530	bacteria	6.684249234069478
32151648_EXO_S4	180726-190530	bacteria	10.767038401930852
32152253_EXO_S33	180913-190529	bacteria	28.436129792958194
32151859_EXO_S28	180913-190529	bacteria	5.874113247987699
32150292_EXO_S9	180913-190529	bacteria	24.19466848682662
32152341_EXO_S35	180913-190529	bacteria	2.9671650630389785
32151226_EXO_S21	180913-190529	bacteria	22.721710020189388
32150013_EXO_S3	180913-190529	bacteria	14.793745861260616
32150698_EXO_S12	180913-190529	bacteria	21.366084179776536
32151984_EXO_S30	180913-190529	bacteria	12.631770314188968
32152084_EXO_S31	180913-190529	bacteria	3.643564839027375
32150243_EXO_S8	180913-190529	bacteria	15.7568665069164
32151180_EXO_S20	180913-190529	bacteria	27.549149233846467
32141643_EXO_S1	180913-190529	bacteria	16.270910310940693
32141786_EXO_S2	180913-190529	bacteria	33.27490716309979
32150076_EXO_S4	180913-190529	bacteria	1.9968200178271727
32150849_EXO_S15	180913-190529	bacteria	31.616351264315465
32151444_EXO_S22	180913-190529	bacteria	7.250948548112022
32150163_EXO_S7	180913-190529	bacteria	3.4160697772010926
32151565_EXO_S23	180913-190529	bacteria	2.8363399334663946
32151026_EXO_S17	180913-190529	bacteria	21.883482487305763
32150825_EXO_S13	180913-190529	bacteria	25.852034328375687
32152273_EXO_S34	180913-190529	bacteria	23.196207238945725
32151691_EXO_S25	180913-190529	bacteria	4.593770842455393
32150844_EXO_S14	180913-190529	bacteria	5.524512061421938
32150424_EXO_S10	180913-190529	bacteria	25.93708294579544
32152094_EXO_S32	180913-190529	bacteria	1.8377963190485413
32151125_EXO_S18	180913-190529	bacteria	3.3363612132404254
32150080_EXO_S5	180913-190529	bacteria	23.151167030730726
32151765_EXO_S27	180913-190529	bacteria	5.953182301686428
32151881_EXO_S29	180913-190529	bacteria	3.912307602898642
32150696_EXO_S11	180913-190529	bacteria	22.047214115760177
32151725_EXO_S26	180913-190529	bacteria	23.417278900992635
32150993_EXO_S16	180913-190529	bacteria	6.0175766365347645
32150147_EXO_S6	180913-190529	bacteria	15.461634873752267
32151667_EXO_S24	180913-190529	bacteria	40.753267530535446
32151152_EXO_S19	180913-190529	bacteria	2.8143713841858236
32160466_EXO_S13	180919-190527	bacteria	8.682674500435056
32160120_EXO_S8	180919-190527	bacteria	5.115931548279393
32160246_EXO_S10	180919-190527	bacteria	6.7138075736534715
32170365_EXO_S26	180919-190527	bacteria	2.3555285315907994
32170367_EXO_S27	180919-190527	bacteria	3.122484293464066
32152451_EXO_S5	180919-190527	bacteria	31.87455413926332
32161246_EXO_S18	180919-190527	bacteria	2.749021892401346
32170368_EXO_S28	180919-190527	bacteria	17.79081329164007
32170400_EXO_S30	180919-190527	bacteria	16.51919428773315
32160472_EXO_S14	180919-190527	bacteria	2.436869649370569
32160241_EXO_S9	180919-190527	bacteria	33.68892512814137
32152359_EXO_S1	180919-190527	bacteria	14.808079775627176
32161415_EXO_S22	180919-190527	bacteria	5.694599132024649
32161252_EXO_S19	180919-190527	bacteria	3.857729825567921
32170381_EXO_S29	180919-190527	bacteria	11.128402842877346
32152366_EXO_S2	180919-190527	bacteria	6.035497632751175
32150043_EXO_S34	180919-190527	bacteria	13.434487633140433
32170453_EXO_S31	180919-190527	bacteria	39.68580184190541
32170276_EXO_S24	180919-190527	bacteria	19.251574024124483
32152381_EXO_S3	180919-190527	bacteria	9.342853727714367
32161367_EXO_S21	180919-190527	bacteria	6.9696247952079435
32160457_EXO_S12	180919-190527	bacteria	7.024123145679319
32152446_EXO_S4	180919-190527	bacteria	13.195993740884573
32160782_EXO_S17	180919-190527	bacteria	5.528934106434348
32160083_EXO_S7	180919-190527	bacteria	20.221555438020335
32170613_EXO_S32	180919-190527	bacteria	1.8722878410295454
32160323_EXO_S11	180919-190527	bacteria	8.58659265423119
32170644_EXO_S33	180919-190527	bacteria	1.6956707905062336
32160600_EXO_S15	180919-190527	bacteria	1.403442404842292
32161358_EXO_S20	180919-190527	bacteria	4.796935762366854
32160028_EXO_S6	180919-190527	bacteria	35.78529302479313
32160766_EXO_S16	180919-190527	bacteria	1.9917819176261713
32170346_EXO_S25	180919-190527	bacteria	7.928661727227923
32170068_EXO_S23	180919-190527	bacteria	17.48536329790019
32160009_EXO_S30	181003-190524	bacteria	27.501994922838726
32152260_EXO_S26	181003-190524	bacteria	2.7091289966468644
32152408_EXO_S29	181003-190524	bacteria	6.004505420909371
32160078_EXO_S32	181003-190524	bacteria	3.909995749898197
32150179_EXO_S2	181003-190524	bacteria	27.242312131776263
32160080_EXO_S33	181003-190524	bacteria	8.308445059641619
32150313_EXO_S5	181003-190524	bacteria	4.039394810266304
32151181_EXO_S16	181003-190524	bacteria	3.2179818405892107
32151178_EXO_S15	181003-190524	bacteria	25.457630592914498
32152087_EXO_S24	181003-190524	bacteria	4.278045241691484
32151988_EXO_S22	181003-190524	bacteria	3.1009057456886366
32160019_EXO_S31	181003-190524	bacteria	10.859328514490828
32152030_EXO_S23	181003-190524	bacteria	9.798633375593976
32151021_EXO_S13	181003-190524	bacteria	10.320194848793356
32150156_EXO_S1	181003-190524	bacteria	29.8897979703347
32151970_EXO_S21	181003-190524	bacteria	12.688198054157112
32151029_EXO_S14	181003-190524	bacteria	3.1457989060213336
32150829_EXO_S9	181003-190524	bacteria	4.686501862028108
32150792_EXO_S8	181003-190524	bacteria	4.2711261319114175
32151754_EXO_S20	181003-190524	bacteria	7.442825050420587
32150309_EXO_S4	181003-190524	bacteria	3.867899614069279
32160185_EXO_S34	181003-190524	bacteria	34.15057011095552
32151018_EXO_S12	181003-190524	bacteria	10.924452049879896
32151480_EXO_S17	181003-190524	bacteria	28.833849563069027
32150697_EXO_S7	181003-190524	bacteria	7.3567388760714945
32152351_EXO_S28	181003-190524	bacteria	3.654944235918238
32150318_EXO_S6	181003-190524	bacteria	1.7312179561870196
32152200_EXO_S25	181003-190524	bacteria	31.88769697750449
32150274_EXO_S3	181003-190524	bacteria	7.033945955533078
32151489_EXO_S18	181003-190524	bacteria	5.591567861750447
32150882_EXO_S11	181003-190524	bacteria	3.5078204013024745
32151625_EXO_S19	181003-190524	bacteria	7.5910284311391925
32150835_EXO_S10	181003-190524	bacteria	16.461945839959096
32152348_EXO_S27	181003-190524	bacteria	11.11941218911536
32160965_EXO_S9	181004-190521	bacteria	6.157521996382328
32160622_EXO_S5	181004-190521	bacteria	9.028147780683392
32161245_EXO_S17	181004-190521	bacteria	11.242285587826395
32170434_EXO_S28	181004-190521	bacteria	5.387663349955888
32160340_EXO_S2	181004-190521	bacteria	10.804671692584842
32161045_EXO_S12	181004-190521	bacteria	2.0494893675436323
32170383_EXO_S25	181004-190521	bacteria	6.710550991951152
32170272_EXO_S24	181004-190521	bacteria	3.7258837175341237
32160628_EXO_S6	181004-190521	bacteria	5.134857447437343
32161104_EXO_S15	181004-190521	bacteria	5.269023417320341
32161237_EXO_S16	181004-190521	bacteria	2.899714522380756
32170016_EXO_S20	181004-190521	bacteria	3.0540380965894496
32161013_EXO_S11	181004-190521	bacteria	2.575995128773921
32170385_EXO_S26	181004-190521	bacteria	7.220219865844783
32150161_EXO_S32	181004-190521	bacteria	9.302517613213922
32160612_EXO_S4	181004-190521	bacteria	5.354644944122076
32161253_EXO_S18	181004-190521	bacteria	11.987444334933178
32170268_EXO_S22	181004-190521	bacteria	12.057606254839264
32170269_EXO_S23	181004-190521	bacteria	6.565360868323183
32150116_EXO_S31	181004-190521	bacteria	26.224355182205393
32161004_EXO_S10	181004-190521	bacteria	14.005595255260749
32161392_EXO_S19	181004-190521	bacteria	6.681575822582213
32160765_EXO_S8	181004-190521	bacteria	14.1704901672097
32170450_EXO_S29	181004-190521	bacteria	20.178111797146393
32160373_EXO_S3	181004-190521	bacteria	4.07229909176786
32160284_EXO_S1	181004-190521	bacteria	4.000881726929707
32170409_EXO_S27	181004-190521	bacteria	28.814038818723304
32170083_EXO_S21	181004-190521	bacteria	4.787922257966095
32161065_EXO_S14	181004-190521	bacteria	3.0504982633834525
32150978_EXO_S34	181004-190521	bacteria	4.046523525579627
32161046_EXO_S13	181004-190521	bacteria	2.6860803874535395
32160670_EXO_S7	181004-190521	bacteria	7.510809858151379
32170652_EXO_S30	181004-190521	bacteria	14.003442468775521
32150704_EXO_S33	181004-190521	bacteria	7.539214223062368
32170378_EXO_S26	181023-190319	bacteria	6.044532193063948
32161454_EXO_S20	181023-190319	bacteria	4.1634349414604905
32160526_EXO_S15	181023-190319	bacteria	12.786355191677545
32152086_EXO_S7	181023-190319	bacteria	6.1628086919716685
32151130_EXO_S2	181023-190319	bacteria	26.020012711404586
32151185_EXO_S4	181023-190319	bacteria	10.448959315102744
32170440_EXO_S27	181023-190319	bacteria	7.5657109833169525
32152175_EXO_S9	181023-190319	bacteria	7.684055112114721
32152337_EXO_S10	181023-190319	bacteria	23.592898665610452
32151033_EXO_S1	181023-190319	bacteria	12.459635214022628
32170273_EXO_S23	181023-190319	bacteria	2.7140590518474
32152088_EXO_S8	181023-190319	bacteria	24.718591658242087
32151825_EXO_S6	181023-190319	bacteria	27.102258689855713
32151151_EXO_S3	181023-190319	bacteria	23.468691337488867
32170329_EXO_S24	181023-190319	bacteria	2.666865259686593
32170337_EXO_S25	181023-190319	bacteria	10.828441586504093
32160079_EXO_S13	181023-190319	bacteria	11.283863605227227
32152347_EXO_S11	181023-190319	bacteria	28.719884880581375
32160791_EXO_S16	181023-190319	bacteria	5.7633648662831565
32161000_EXO_S17	181023-190319	bacteria	2.969706678290827
32160288_EXO_S14	181023-190319	bacteria	7.110689846515272
32170032_EXO_S21	181023-190319	bacteria	10.653123451557112
32170447_EXO_S28	181023-190319	bacteria	2.134355536485584
32160018_EXO_S12	181023-190319	bacteria	31.078402623118624
32170073_EXO_S22	181023-190319	bacteria	3.5030962634388447
32161249_EXO_S19	181023-190319	bacteria	6.7980162454205075
32151764_EXO_S5	181023-190319	bacteria	27.50844870130124
32161037_EXO_S18	181023-190319	bacteria	19.771253548930567

