".y."	 "group1"	 "group2"	 "n1"	 "n2"	 "statistic"	 "p"	 "p.adj"	 "p.adj.signif"	 "y.position"	 "groups"
"1"	 "Bacteria"	 "A"	 "B"	 "35"	 "31"	 "557"	 "0.858"	 "1"	 "ns"	 "42.18568"	 "c(\"A\", \"B\")"
"2"	 "Bacteria"	 "A"	 "C"	 "35"	 "35"	 "600"	 "0.889"	 "1"	 "ns"	 "43.6714222222222"	 "c(\"A\", \"C\")"
"3"	 "Bacteria"	 "A"	 "D"	 "35"	 "35"	 "581"	 "0.717"	 "1"	 "ns"	 "45.1571644444444"	 "c(\"A\", \"D\")"
"4"	 "Bacteria"	 "A"	 "E"	 "35"	 "34"	 "701"	 "0.207"	 "1"	 "ns"	 "46.6429066666667"	 "c(\"A\", \"E\")"
"5"	 "Bacteria"	 "A"	 "F"	 "35"	 "33"	 "703"	 "0.126"	 "1"	 "ns"	 "48.1286488888889"	 "c(\"A\", \"F\")"
"6"	 "Bacteria"	 "A"	 "G"	 "35"	 "34"	 "797"	 "0.015"	 "0.42"	 "ns"	 "49.6143911111111"	 "c(\"A\", \"G\")"
"7"	 "Bacteria"	 "A"	 "H"	 "35"	 "28"	 "499"	 "0.907"	 "1"	 "ns"	 "51.1001333333333"	 "c(\"A\", \"H\")"
"8"	 "Bacteria"	 "B"	 "C"	 "31"	 "35"	 "506"	 "0.646"	 "1"	 "ns"	 "52.5858755555556"	 "c(\"B\", \"C\")"
"9"	 "Bacteria"	 "B"	 "D"	 "31"	 "35"	 "500"	 "0.592"	 "1"	 "ns"	 "54.0716177777778"	 "c(\"B\", \"D\")"
"10"	 "Bacteria"	 "B"	 "E"	 "31"	 "34"	 "615"	 "0.252"	 "1"	 "ns"	 "55.55736"	 "c(\"B\", \"E\")"
"11"	 "Bacteria"	 "B"	 "F"	 "31"	 "33"	 "605"	 "0.213"	 "1"	 "ns"	 "57.0431022222222"	 "c(\"B\", \"F\")"
"12"	 "Bacteria"	 "B"	 "G"	 "31"	 "34"	 "689"	 "0.033"	 "0.858"	 "ns"	 "58.5288444444444"	 "c(\"B\", \"G\")"
"13"	 "Bacteria"	 "B"	 "H"	 "31"	 "28"	 "427"	 "0.922"	 "1"	 "ns"	 "60.0145866666667"	 "c(\"B\", \"H\")"
"14"	 "Bacteria"	 "C"	 "D"	 "35"	 "35"	 "609"	 "0.972"	 "1"	 "ns"	 "61.5003288888889"	 "c(\"C\", \"D\")"
"15"	 "Bacteria"	 "C"	 "E"	 "35"	 "34"	 "712"	 "0.163"	 "1"	 "ns"	 "62.9860711111111"	 "c(\"C\", \"E\")"
"16"	 "Bacteria"	 "C"	 "F"	 "35"	 "33"	 "709"	 "0.108"	 "1"	 "ns"	 "64.4718133333333"	 "c(\"C\", \"F\")"
"17"	 "Bacteria"	 "C"	 "G"	 "35"	 "34"	 "790"	 "0.019"	 "0.513"	 "ns"	 "65.9575555555556"	 "c(\"C\", \"G\")"
"18"	 "Bacteria"	 "C"	 "H"	 "35"	 "28"	 "523"	 "0.655"	 "1"	 "ns"	 "67.4432977777778"	 "c(\"C\", \"H\")"
"19"	 "Bacteria"	 "D"	 "E"	 "35"	 "34"	 "712"	 "0.163"	 "1"	 "ns"	 "68.92904"	 "c(\"D\", \"E\")"
"20"	 "Bacteria"	 "D"	 "F"	 "35"	 "33"	 "672"	 "0.251"	 "1"	 "ns"	 "70.4147822222222"	 "c(\"D\", \"F\")"
"21"	 "Bacteria"	 "D"	 "G"	 "35"	 "34"	 "765"	 "0.041"	 "1"	 "ns"	 "71.9005244444444"	 "c(\"D\", \"G\")"
"22"	 "Bacteria"	 "D"	 "H"	 "35"	 "28"	 "509"	 "0.799"	 "1"	 "ns"	 "73.3862666666667"	 "c(\"D\", \"H\")"
"23"	 "Bacteria"	 "E"	 "F"	 "34"	 "33"	 "575"	 "0.866"	 "1"	 "ns"	 "74.8720088888889"	 "c(\"E\", \"F\")"
"24"	 "Bacteria"	 "E"	 "G"	 "34"	 "34"	 "636"	 "0.483"	 "1"	 "ns"	 "76.3577511111111"	 "c(\"E\", \"G\")"
"25"	 "Bacteria"	 "E"	 "H"	 "34"	 "28"	 "407"	 "0.335"	 "1"	 "ns"	 "77.8434933333333"	 "c(\"E\", \"H\")"
"26"	 "Bacteria"	 "F"	 "G"	 "33"	 "34"	 "601"	 "0.623"	 "1"	 "ns"	 "79.3292355555556"	 "c(\"F\", \"G\")"
"27"	 "Bacteria"	 "F"	 "H"	 "33"	 "28"	 "396"	 "0.346"	 "1"	 "ns"	 "80.8149777777778"	 "c(\"F\", \"H\")"
"28"	 "Bacteria"	 "G"	 "H"	 "34"	 "28"	 "351"	 "0.078"	 "1"	 "ns"	 "82.30072"	 "c(\"G\", \"H\")"
