".y."	 "group1"	 "group2"	 "n1"	 "n2"	 "statistic"	 "p"	 "p.adj"	 "p.adj.signif"	 "y.position"	 "groups"
"1"	 "reads_total"	 "A"	 "B"	 "35"	 "31"	 "85"	 "6.93e-11"	 "1.386e-09"	 "****"	 "36302742.32"	 "c(\"A\", \"B\")"
"2"	 "reads_total"	 "A"	 "C"	 "35"	 "35"	 "121"	 "2.79e-10"	 "5.301e-09"	 "****"	 "38225475.6888889"	 "c(\"A\", \"C\")"
"3"	 "reads_total"	 "A"	 "D"	 "35"	 "35"	 "626"	 "0.879"	 "1"	 "ns"	 "40148209.0577778"	 "c(\"A\", \"D\")"
"4"	 "reads_total"	 "A"	 "E"	 "35"	 "34"	 "251"	 "1.95e-05"	 "0.0002145"	 "***"	 "42070942.4266667"	 "c(\"A\", \"E\")"
"5"	 "reads_total"	 "A"	 "F"	 "35"	 "33"	 "44"	 "3.26e-14"	 "8.476e-13"	 "****"	 "43993675.7955556"	 "c(\"A\", \"F\")"
"6"	 "reads_total"	 "A"	 "G"	 "35"	 "34"	 "56"	 "1.24e-13"	 "2.976e-12"	 "****"	 "45916409.1644444"	 "c(\"A\", \"G\")"
"7"	 "reads_total"	 "A"	 "H"	 "35"	 "28"	 "27"	 "4.69e-14"	 "1.1725e-12"	 "****"	 "47839142.5333333"	 "c(\"A\", \"H\")"
"8"	 "reads_total"	 "B"	 "C"	 "31"	 "35"	 "749"	 "0.008"	 "0.056"	 "ns"	 "49761875.9022222"	 "c(\"B\", \"C\")"
"9"	 "reads_total"	 "B"	 "D"	 "31"	 "35"	 "946"	 "2.72e-08"	 "4.352e-07"	 "****"	 "51684609.2711111"	 "c(\"B\", \"D\")"
"10"	 "reads_total"	 "B"	 "E"	 "31"	 "34"	 "925"	 "1.89e-08"	 "3.213e-07"	 "****"	 "53607342.64"	 "c(\"B\", \"E\")"
"11"	 "reads_total"	 "B"	 "F"	 "31"	 "33"	 "468"	 "0.566"	 "1"	 "ns"	 "55530076.0088889"	 "c(\"B\", \"F\")"
"12"	 "reads_total"	 "B"	 "G"	 "31"	 "34"	 "562"	 "0.653"	 "1"	 "ns"	 "57452809.3777778"	 "c(\"B\", \"G\")"
"13"	 "reads_total"	 "B"	 "H"	 "31"	 "28"	 "359"	 "0.26"	 "1"	 "ns"	 "59375542.7466667"	 "c(\"B\", \"H\")"
"14"	 "reads_total"	 "C"	 "D"	 "35"	 "35"	 "1016"	 "6.37e-07"	 "8.918e-06"	 "****"	 "61298276.1155556"	 "c(\"C\", \"D\")"
"15"	 "reads_total"	 "C"	 "E"	 "35"	 "34"	 "977"	 "1.59e-06"	 "1.908e-05"	 "****"	 "63221009.4844444"	 "c(\"C\", \"E\")"
"16"	 "reads_total"	 "C"	 "F"	 "35"	 "33"	 "196"	 "8.71e-07"	 "1.1323e-05"	 "****"	 "65143742.8533333"	 "c(\"C\", \"F\")"
"17"	 "reads_total"	 "C"	 "G"	 "35"	 "34"	 "315"	 "0.000623"	 "0.00623"	 "**"	 "67066476.2222222"	 "c(\"C\", \"G\")"
"18"	 "reads_total"	 "C"	 "H"	 "35"	 "28"	 "138"	 "2.19e-07"	 "3.285e-06"	 "****"	 "68989209.5911111"	 "c(\"C\", \"H\")"
"19"	 "reads_total"	 "D"	 "E"	 "35"	 "34"	 "332"	 "0.001"	 "0.009"	 "**"	 "70911942.96"	 "c(\"D\", \"E\")"
"20"	 "reads_total"	 "D"	 "F"	 "35"	 "33"	 "82"	 "1.1e-11"	 "2.42e-10"	 "****"	 "72834676.3288889"	 "c(\"D\", \"F\")"
"21"	 "reads_total"	 "D"	 "G"	 "35"	 "34"	 "118"	 "3.99e-10"	 "7.182e-09"	 "****"	 "74757409.6977778"	 "c(\"D\", \"G\")"
"22"	 "reads_total"	 "D"	 "H"	 "35"	 "28"	 "59"	 "1.75e-11"	 "3.675e-10"	 "****"	 "76680143.0666667"	 "c(\"D\", \"H\")"
"23"	 "reads_total"	 "E"	 "F"	 "34"	 "33"	 "37"	 "1.7e-14"	 "4.59e-13"	 "****"	 "78602876.4355555"	 "c(\"E\", \"F\")"
"24"	 "reads_total"	 "E"	 "G"	 "34"	 "34"	 "67"	 "1.33e-12"	 "3.059e-11"	 "****"	 "80525609.8044444"	 "c(\"E\", \"G\")"
"25"	 "reads_total"	 "E"	 "H"	 "34"	 "28"	 "18"	 "9.14e-15"	 "2.5592e-13"	 "****"	 "82448343.1733333"	 "c(\"E\", \"H\")"
"26"	 "reads_total"	 "F"	 "G"	 "33"	 "34"	 "710"	 "0.062"	 "0.372"	 "ns"	 "84371076.5422222"	 "c(\"F\", \"G\")"
"27"	 "reads_total"	 "F"	 "H"	 "33"	 "28"	 "377"	 "0.223"	 "1"	 "ns"	 "86293809.9111111"	 "c(\"F\", \"H\")"
"28"	 "reads_total"	 "G"	 "H"	 "34"	 "28"	 "283"	 "0.006"	 "0.048"	 "*"	 "88216543.28"	 "c(\"G\", \"H\")"
