".y."	 "group1"	 "group2"	 "n1"	 "n2"	 "statistic"	 "p"	 "p.adj"	 "p.adj.signif"	 "y.position"	 "groups"
"1"	 "Short_reads"	 "A"	 "B"	 "35"	 "31"	 "181"	 "1.04e-06"	 "1.352e-05"	 "****"	 "20.3052"	 "c(\"A\", \"B\")"
"2"	 "Short_reads"	 "A"	 "C"	 "35"	 "35"	 "480"	 "0.122"	 "0.366"	 "ns"	 "20.8011111111111"	 "c(\"A\", \"C\")"
"3"	 "Short_reads"	 "A"	 "D"	 "35"	 "35"	 "279"	 "5.57e-05"	 "0.0005013"	 "***"	 "21.2970222222222"	 "c(\"A\", \"D\")"
"4"	 "Short_reads"	 "A"	 "E"	 "35"	 "34"	 "28"	 "6.58e-16"	 "1.7766e-14"	 "****"	 "21.7929333333333"	 "c(\"A\", \"E\")"
"5"	 "Short_reads"	 "A"	 "F"	 "35"	 "33"	 "92"	 "3.97e-11"	 "8.337e-10"	 "****"	 "22.2888444444444"	 "c(\"A\", \"F\")"
"6"	 "Short_reads"	 "A"	 "G"	 "35"	 "34"	 "81"	 "4.79e-12"	 "1.0538e-10"	 "****"	 "22.7847555555556"	 "c(\"A\", \"G\")"
"7"	 "Short_reads"	 "A"	 "H"	 "35"	 "28"	 "168"	 "2.98e-06"	 "3.576e-05"	 "****"	 "23.2806666666667"	 "c(\"A\", \"H\")"
"8"	 "Short_reads"	 "B"	 "C"	 "31"	 "35"	 "915"	 "4.27e-07"	 "5.978e-06"	 "****"	 "23.7765777777778"	 "c(\"B\", \"C\")"
"9"	 "Short_reads"	 "B"	 "D"	 "31"	 "35"	 "821"	 "0.00025"	 "0.00175"	 "**"	 "24.2724888888889"	 "c(\"B\", \"D\")"
"10"	 "Short_reads"	 "B"	 "E"	 "31"	 "34"	 "136"	 "3.75e-08"	 "6.375e-07"	 "****"	 "24.7684"	 "c(\"B\", \"E\")"
"11"	 "Short_reads"	 "B"	 "F"	 "31"	 "33"	 "443"	 "0.363"	 "0.572"	 "ns"	 "25.2643111111111"	 "c(\"B\", \"F\")"
"12"	 "Short_reads"	 "B"	 "G"	 "31"	 "34"	 "389"	 "0.071"	 "0.284"	 "ns"	 "25.7602222222222"	 "c(\"B\", \"G\")"
"13"	 "Short_reads"	 "B"	 "H"	 "31"	 "28"	 "563"	 "0.051"	 "0.255"	 "ns"	 "26.2561333333333"	 "c(\"B\", \"H\")"
"14"	 "Short_reads"	 "C"	 "D"	 "35"	 "35"	 "252"	 "1.14e-05"	 "0.000114"	 "***"	 "26.7520444444445"	 "c(\"C\", \"D\")"
"15"	 "Short_reads"	 "C"	 "E"	 "35"	 "34"	 "4"	 "4.28e-19"	 "1.1984e-17"	 "****"	 "27.2479555555556"	 "c(\"C\", \"E\")"
"16"	 "Short_reads"	 "C"	 "F"	 "35"	 "33"	 "29"	 "1.67e-15"	 "4.175e-14"	 "****"	 "27.7438666666667"	 "c(\"C\", \"F\")"
"17"	 "Short_reads"	 "C"	 "G"	 "35"	 "34"	 "28"	 "6.58e-16"	 "1.7766e-14"	 "****"	 "28.2397777777778"	 "c(\"C\", \"G\")"
"18"	 "Short_reads"	 "C"	 "H"	 "35"	 "28"	 "121"	 "4.14e-08"	 "6.624e-07"	 "****"	 "28.7356888888889"	 "c(\"C\", \"H\")"
"19"	 "Short_reads"	 "D"	 "E"	 "35"	 "34"	 "36"	 "3.53e-15"	 "8.472e-14"	 "****"	 "29.2316"	 "c(\"D\", \"E\")"
"20"	 "Short_reads"	 "D"	 "F"	 "35"	 "33"	 "98"	 "8.25e-11"	 "1.5675e-09"	 "****"	 "29.7275111111111"	 "c(\"D\", \"F\")"
"21"	 "Short_reads"	 "D"	 "G"	 "35"	 "34"	 "100"	 "5.22e-11"	 "1.044e-09"	 "****"	 "30.2234222222222"	 "c(\"D\", \"G\")"
"22"	 "Short_reads"	 "D"	 "H"	 "35"	 "28"	 "295"	 "0.007"	 "0.042"	 "*"	 "30.7193333333333"	 "c(\"D\", \"H\")"
"23"	 "Short_reads"	 "E"	 "F"	 "34"	 "33"	 "1000"	 "2.32e-09"	 "4.176e-08"	 "****"	 "31.2152444444445"	 "c(\"E\", \"F\")"
"24"	 "Short_reads"	 "E"	 "G"	 "34"	 "34"	 "994"	 "5.42e-08"	 "8.13e-07"	 "****"	 "31.7111555555556"	 "c(\"E\", \"G\")"
"25"	 "Short_reads"	 "E"	 "H"	 "34"	 "28"	 "922"	 "1.64e-13"	 "3.772e-12"	 "****"	 "32.2070666666667"	 "c(\"E\", \"H\")"
"26"	 "Short_reads"	 "F"	 "G"	 "33"	 "34"	 "475"	 "0.286"	 "0.572"	 "ns"	 "32.7029777777778"	 "c(\"F\", \"G\")"
"27"	 "Short_reads"	 "F"	 "H"	 "33"	 "28"	 "723"	 "9.9e-05"	 "0.000792"	 "***"	 "33.1988888888889"	 "c(\"F\", \"H\")"
"28"	 "Short_reads"	 "G"	 "H"	 "34"	 "28"	 "786"	 "4.36e-06"	 "4.796e-05"	 "****"	 "33.6948"	 "c(\"G\", \"H\")"
