".y."	 "group1"	 "group2"	 "n1"	 "n2"	 "statistic"	 "p"	 "p.adj"	 "p.adj.signif"	 "y.position"	 "groups"
"1"	 "Ultra_short_reads"	 "A"	 "B"	 "35"	 "31"	 "48"	 "2.85e-13"	 "4.845e-12"	 "****"	 "80.4636"	 "c(\"A\", \"B\")"
"2"	 "Ultra_short_reads"	 "A"	 "C"	 "35"	 "35"	 "84"	 "3.58e-12"	 "5.728e-11"	 "****"	 "86.4313333333333"	 "c(\"A\", \"C\")"
"3"	 "Ultra_short_reads"	 "A"	 "D"	 "35"	 "35"	 "38"	 "2.62e-15"	 "5.24e-14"	 "****"	 "92.3990666666667"	 "c(\"A\", \"D\")"
"4"	 "Ultra_short_reads"	 "A"	 "E"	 "35"	 "34"	 "0"	 "3.57e-20"	 "9.996e-19"	 "****"	 "98.3668"	 "c(\"A\", \"E\")"
"5"	 "Ultra_short_reads"	 "A"	 "F"	 "35"	 "33"	 "37"	 "8.74e-15"	 "1.6606e-13"	 "****"	 "104.334533333333"	 "c(\"A\", \"F\")"
"6"	 "Ultra_short_reads"	 "A"	 "G"	 "35"	 "34"	 "30"	 "1.02e-15"	 "2.142e-14"	 "****"	 "110.302266666667"	 "c(\"A\", \"G\")"
"7"	 "Ultra_short_reads"	 "A"	 "H"	 "35"	 "28"	 "31"	 "1.13e-13"	 "2.034e-12"	 "****"	 "116.27"	 "c(\"A\", \"H\")"
"8"	 "Ultra_short_reads"	 "B"	 "C"	 "31"	 "35"	 "905"	 "9.58e-07"	 "1.2454e-05"	 "****"	 "122.237733333333"	 "c(\"B\", \"C\")"
"9"	 "Ultra_short_reads"	 "B"	 "D"	 "31"	 "35"	 "332"	 "0.006"	 "0.054"	 "ns"	 "128.205466666667"	 "c(\"B\", \"D\")"
"10"	 "Ultra_short_reads"	 "B"	 "E"	 "31"	 "34"	 "0"	 "5.89e-19"	 "1.4136e-17"	 "****"	 "134.1732"	 "c(\"B\", \"E\")"
"11"	 "Ultra_short_reads"	 "B"	 "F"	 "31"	 "33"	 "305"	 "0.005"	 "0.05"	 "*"	 "140.140933333333"	 "c(\"B\", \"F\")"
"12"	 "Ultra_short_reads"	 "B"	 "G"	 "31"	 "34"	 "206"	 "1.18e-05"	 "0.0001298"	 "***"	 "146.108666666667"	 "c(\"B\", \"G\")"
"13"	 "Ultra_short_reads"	 "B"	 "H"	 "31"	 "28"	 "293"	 "0.032"	 "0.192"	 "ns"	 "152.0764"	 "c(\"B\", \"H\")"
"14"	 "Ultra_short_reads"	 "C"	 "D"	 "35"	 "35"	 "228"	 "2.42e-06"	 "2.904e-05"	 "****"	 "158.044133333333"	 "c(\"C\", \"D\")"
"15"	 "Ultra_short_reads"	 "C"	 "E"	 "35"	 "34"	 "0"	 "3.57e-20"	 "9.996e-19"	 "****"	 "164.011866666667"	 "c(\"C\", \"E\")"
"16"	 "Ultra_short_reads"	 "C"	 "F"	 "35"	 "33"	 "75"	 "4.28e-12"	 "6.42e-11"	 "****"	 "169.9796"	 "c(\"C\", \"F\")"
"17"	 "Ultra_short_reads"	 "C"	 "G"	 "35"	 "34"	 "18"	 "5.69e-17"	 "1.2518e-15"	 "****"	 "175.947333333333"	 "c(\"C\", \"G\")"
"18"	 "Ultra_short_reads"	 "C"	 "H"	 "35"	 "28"	 "70"	 "8.99e-11"	 "1.2586e-09"	 "****"	 "181.915066666667"	 "c(\"C\", \"H\")"
"19"	 "Ultra_short_reads"	 "D"	 "E"	 "35"	 "34"	 "732"	 "0.102"	 "0.222"	 "ns"	 "187.8828"	 "c(\"D\", \"E\")"
"20"	 "Ultra_short_reads"	 "D"	 "F"	 "35"	 "33"	 "761"	 "0.024"	 "0.192"	 "ns"	 "193.850533333333"	 "c(\"D\", \"F\")"
"21"	 "Ultra_short_reads"	 "D"	 "G"	 "35"	 "34"	 "763"	 "0.044"	 "0.192"	 "ns"	 "199.818266666667"	 "c(\"D\", \"G\")"
"22"	 "Ultra_short_reads"	 "D"	 "H"	 "35"	 "28"	 "649"	 "0.028"	 "0.192"	 "ns"	 "205.786"	 "c(\"D\", \"H\")"
"23"	 "Ultra_short_reads"	 "E"	 "F"	 "34"	 "33"	 "1122"	 "1.41e-19"	 "3.525e-18"	 "****"	 "211.753733333333"	 "c(\"E\", \"F\")"
"24"	 "Ultra_short_reads"	 "E"	 "G"	 "34"	 "34"	 "1156"	 "7.03e-20"	 "1.8278e-18"	 "****"	 "217.721466666667"	 "c(\"E\", \"G\")"
"25"	 "Ultra_short_reads"	 "E"	 "H"	 "34"	 "28"	 "952"	 "5.72e-18"	 "1.3156e-16"	 "****"	 "223.6892"	 "c(\"E\", \"H\")"
"26"	 "Ultra_short_reads"	 "F"	 "G"	 "33"	 "34"	 "418"	 "0.074"	 "0.222"	 "ns"	 "229.656933333333"	 "c(\"F\", \"G\")"
"27"	 "Ultra_short_reads"	 "F"	 "H"	 "33"	 "28"	 "495"	 "0.64"	 "0.64"	 "ns"	 "235.624666666667"	 "c(\"F\", \"H\")"
"28"	 "Ultra_short_reads"	 "G"	 "H"	 "34"	 "28"	 "635"	 "0.024"	 "0.192"	 "ns"	 "241.5924"	 "c(\"G\", \"H\")"
