sample	batch	variable	value
32151640_EXO_S32	180322-190603	virus	0.9255420384104831
32151675_EXO_S28	180322-190603	virus	0.7307555163378741
32151681_EXO_S21	180322-190603	virus	1.2909766601507635
32151161_EXO_S19	180322-190603	virus	1.3470079049205288
32151113_EXO_S24	180322-190603	virus	0.8265222395862023
32140243_EXO_S2	180322-190603	virus	0.3164678943250982
32150300_EXO_S4	180322-190603	virus	0.21343545010232773
32151662_EXO_S25	180322-190603	virus	1.8390426521252081
32150296_EXO_S34	180322-190603	virus	0.8066845501579681
32151649_EXO_S7	180322-190603	virus	0.769241938479346
32151808_EXO_S16	180322-190603	virus	0.29097541472603483
32152166_EXO_S8	180322-190603	virus	0.5760261174943511
32150759_EXO_S26	180322-190603	virus	0.345922911167079
32151206_EXO_S12	180322-190603	virus	0.015388736527587245
32151872_EXO_S27	180322-190603	virus	0.1575764171135965
32152211_EXO_S35	180322-190603	virus	0.04630313187639629
32151109_EXO_S17	180322-190603	virus	0.6935230172491172
32152477_EXO_S29	180322-190603	virus	1.3043957484167332
32151201_EXO_S23	180322-190603	virus	0.05510455490330349
32141753_EXO_S10	180322-190603	virus	0.05804159557696045
32150101_EXO_S3	180322-190603	virus	0.4937857608802461
32151828_EXO_S15	180322-190603	virus	0.6629989826438795
32152118_EXO_S1	180322-190603	virus	0.06837839226620154
32151204_EXO_S9	180322-190603	virus	0.94481942108387
32151684_EXO_S13	180322-190603	virus	0.11520038017941273
32150228_EXO_S18	180322-190603	virus	0.44341715770281387
32152206_EXO_S33	180322-190603	virus	0.25203321092549347
32151642_EXO_S5	180322-190603	virus	0.39391258661725354
32151157_EXO_S31	180322-190603	virus	1.2520317830918275
32151086_EXO_S6	180322-190603	virus	0.08740463525456094
32150688_EXO_S20	180322-190603	virus	0.39964472417839425
32151947_EXO_S11	180322-190603	virus	1.0683012436498287
32151680_EXO_S22	180322-190603	virus	0.15804182808319597
32150301_EXO_S14	180322-190603	virus	0.21114763286337304
32150744_EXO_S30	180322-190603	virus	1.6256439038769963
32160475_EXO_S26	180626-180628-190531	virus	0.13720711159798177
32161242_EXO_S7	180626-180628-190531	virus	0.4697111380146292
32160187_EXO_S9	180626-180628-190531	virus	2.4709032964271316
32160696_EXO_S3	180626-180628-190531	virus	1.2353839380819513
32151244_EXO_S30	180626-180628-190531	virus	0.5664564743333531
32161406_EXO_S4	180626-180628-190531	virus	0.774254621989044
32160790_EXO_S27	180626-180628-190531	virus	0.4269771126635505
32152197_EXO_S12	180626-180628-190531	virus	0.803035328304471
32150184_EXO_S18	180626-180628-190531	virus	0.5241038966810228
32161462_EXO_S13	180626-180628-190531	virus	1.3241900028980982
32151184_EXO_S8	180626-180628-190531	virus	0.5213161657321921
32151974_EXO_S24	180626-180628-190531	virus	0.5829948480486542
32160074_EXO_S17	180626-180628-190531	virus	0.1602237246734489
32151031_EXO_S19	180626-180628-190531	virus	0.860481563284017
32151484_EXO_S11	180626-180628-190531	virus	2.38055786465042
32151694_EXO_S10	180626-180628-190531	virus	1.329679297515815
32160668_EXO_S16	180626-180628-190531	virus	1.7445193668982943
32152356_EXO_S21	180626-180628-190531	virus	2.573515585332275
32151971_EXO_S23	180626-180628-190531	virus	1.4868357653575572
32160196_EXO_S22	180626-180628-190531	virus	1.4818927612523363
32151750_EXO_S14	180626-180628-190531	virus	0.5654614016334524
32150887_EXO_S28	180626-180628-190531	virus	1.051175316509969
32150225_EXO_S2	180626-180628-190531	virus	0.25058763460691014
32152444_EXO_S25	180626-180628-190531	virus	0.5399918918184192
32140237_EXO_S31	180626-180628-190531	virus	0.5041088042325773
32150168_EXO_S6	180626-180628-190531	virus	0.09282141292080626
32152194_EXO_S15	180626-180628-190531	virus	2.3835117544136666
32151686_EXO_S20	180626-180628-190531	virus	0.14414328313701294
32161248_EXO_S29	180626-180628-190531	virus	1.0228903921465384
32161349_EXO_S5	180626-180628-190531	virus	0.10902872070023444
32150855_EXO_S1	180626-180628-190531	virus	2.440672334666493
32152388_EXO_S22	180726-190530	virus	0.01756957028761848
32170641_EXO_S35	180726-190530	virus	1.5883016660540665
32160652_EXO_S28	180726-190530	virus	0.17928951703789556
32152480_EXO_S3	180726-190530	virus	0.4842000141945428
32170419_EXO_S34	180726-190530	virus	0.8378431188986394
32160008_EXO_S24	180726-190530	virus	0.6967816822084423
32151370_EXO_S14	180726-190530	virus	0.11773820316936293
32150690_EXO_S2	180726-190530	virus	0.8469250885193683
32151510_EXO_S15	180726-190530	virus	0.09864379367346775
32160118_EXO_S26	180726-190530	virus	1.2392934100536532
32150162_EXO_S11	180726-190530	virus	0.035254690527722274
32151633_EXO_S16	180726-190530	virus	0.3081428190233583
32152263_EXO_S7	180726-190530	virus	3.0322241457818686
32152081_EXO_S18	180726-190530	virus	0.41051603738232145
32152276_EXO_S21	180726-190530	virus	0.3728046636632411
32160740_EXO_S29	180726-190530	virus	0.9764566235571879
32152259_EXO_S20	180726-190530	virus	0.630276134924558
32160002_EXO_S23	180726-190530	virus	0.15908205932938
32161448_EXO_S32	180726-190530	virus	0.25965230783191
32152082_EXO_S19	180726-190530	virus	1.0662671449821057
32152019_EXO_S17	180726-190530	virus	0.027844940047189178
32161241_EXO_S31	180726-190530	virus	0.1025203018195915
32170071_EXO_S33	180726-190530	virus	0.9959455853810827
32141754_EXO_S5	180726-190530	virus	1.9387915833418776
32150091_EXO_S1	180726-190530	virus	1.440111156213413
32160964_EXO_S30	180726-190530	virus	1.286178519081161
32160619_EXO_S27	180726-190530	virus	1.319138094088852
32151247_EXO_S13	180726-190530	virus	0.3147550487488552
32150880_EXO_S12	180726-190530	virus	0.13500112890371363
32151523_EXO_S6	180726-190530	virus	0.8569601626672037
32141765_EXO_S9	180726-190530	virus	1.1356017478155473
32150158_EXO_S10	180726-190530	virus	0.6079382324130377
32140235_EXO_S8	180726-190530	virus	0.19190482183928312
32160071_EXO_S25	180726-190530	virus	0.28960823062099156
32151648_EXO_S4	180726-190530	virus	0.5778117221123805
32152253_EXO_S33	180913-190529	virus	3.335402199977951
32151859_EXO_S28	180913-190529	virus	0.5993049193537887
32150292_EXO_S9	180913-190529	virus	1.3717670331501381
32152341_EXO_S35	180913-190529	virus	0.12873887874793832
32151226_EXO_S21	180913-190529	virus	1.5323276575374427
32150013_EXO_S3	180913-190529	virus	1.4538151071601908
32150698_EXO_S12	180913-190529	virus	1.5450019843666416
32151984_EXO_S30	180913-190529	virus	1.5753181548021524
32152084_EXO_S31	180913-190529	virus	0.3893444999144071
32150243_EXO_S8	180913-190529	virus	1.4083489598688972
32151180_EXO_S20	180913-190529	virus	1.8314666516297844
32141643_EXO_S1	180913-190529	virus	1.6639273378655979
32141786_EXO_S2	180913-190529	virus	4.061687677123031
32150076_EXO_S4	180913-190529	virus	0.083418320230629
32150849_EXO_S15	180913-190529	virus	1.4001494945955597
32151444_EXO_S22	180913-190529	virus	0.6823594880778052
32150163_EXO_S7	180913-190529	virus	0.2182384863151521
32151565_EXO_S23	180913-190529	virus	0.2002467737706088
32151026_EXO_S17	180913-190529	virus	2.03180824971944
32150825_EXO_S13	180913-190529	virus	1.9641172368529003
32152273_EXO_S34	180913-190529	virus	2.572480996146468
32151691_EXO_S25	180913-190529	virus	0.29272155649564274
32150844_EXO_S14	180913-190529	virus	0.2555545737743729
32150424_EXO_S10	180913-190529	virus	1.6485767043247568
32152094_EXO_S32	180913-190529	virus	0.06893899261989944
32151125_EXO_S18	180913-190529	virus	0.18947808303757382
32150080_EXO_S5	180913-190529	virus	2.726833893031154
32151765_EXO_S27	180913-190529	virus	0.43930617416942697
32151881_EXO_S29	180913-190529	virus	0.2640964544840875
32150696_EXO_S11	180913-190529	virus	1.1859239103532222
32151725_EXO_S26	180913-190529	virus	2.672641311765271
32150993_EXO_S16	180913-190529	virus	0.34160228386145997
32150147_EXO_S6	180913-190529	virus	1.6821536898913454
32151667_EXO_S24	180913-190529	virus	4.296683238374009
32151152_EXO_S19	180913-190529	virus	0.17727883838603978
32160466_EXO_S13	180919-190527	virus	0.793792057767331
32160120_EXO_S8	180919-190527	virus	0.535497782530696
32160246_EXO_S10	180919-190527	virus	0.5394988687026522
32170365_EXO_S26	180919-190527	virus	0.3160195113675544
32170367_EXO_S27	180919-190527	virus	0.17805425393704288
32152451_EXO_S5	180919-190527	virus	3.1981037608258878
32161246_EXO_S18	180919-190527	virus	0.1600400787846217
32170368_EXO_S28	180919-190527	virus	1.6405865435514588
32170400_EXO_S30	180919-190527	virus	1.4964165042814483
32160472_EXO_S14	180919-190527	virus	0.043199952369062676
32160241_EXO_S9	180919-190527	virus	3.0551662116802367
32152359_EXO_S1	180919-190527	virus	1.3029513203275152
32161415_EXO_S22	180919-190527	virus	0.389625612208217
32161252_EXO_S19	180919-190527	virus	0.25690385162157375
32170381_EXO_S29	180919-190527	virus	0.9225438879838465
32152366_EXO_S2	180919-190527	virus	0.45800527099516186
32150043_EXO_S34	180919-190527	virus	1.158599190329411
32170453_EXO_S31	180919-190527	virus	3.7715989503968594
32170276_EXO_S24	180919-190527	virus	2.0609923951242894
32152381_EXO_S3	180919-190527	virus	0.8858747974244524
32161367_EXO_S21	180919-190527	virus	0.7058430233332396
32160457_EXO_S12	180919-190527	virus	0.52068602275088
32152446_EXO_S4	180919-190527	virus	1.1803740484641025
32160782_EXO_S17	180919-190527	virus	0.32108583740412117
32160083_EXO_S7	180919-190527	virus	1.9906092521006364
32170613_EXO_S32	180919-190527	virus	0.11195842169191622
32160323_EXO_S11	180919-190527	virus	0.7669465121358733
32170644_EXO_S33	180919-190527	virus	0.019093041226243602
32160600_EXO_S15	180919-190527	virus	0.010759031474412822
32161358_EXO_S20	180919-190527	virus	0.3008979984742096
32160028_EXO_S6	180919-190527	virus	3.8844388889344996
32160766_EXO_S16	180919-190527	virus	0.028266612125908495
32170346_EXO_S25	180919-190527	virus	0.648420077492369
32170068_EXO_S23	180919-190527	virus	1.986892414591446
32160009_EXO_S30	181003-190524	virus	2.051173349486661
32152260_EXO_S26	181003-190524	virus	0.06321851581305585
32152408_EXO_S29	181003-190524	virus	0.0869688637008962
32160078_EXO_S32	181003-190524	virus	0.07206926553345454
32150179_EXO_S2	181003-190524	virus	1.727930777028329
32160080_EXO_S33	181003-190524	virus	0.3943374543841344
32150313_EXO_S5	181003-190524	virus	0.05857717070500714
32151181_EXO_S16	181003-190524	virus	0.0986959708000779
32151178_EXO_S15	181003-190524	virus	2.099501145413474
32152087_EXO_S24	181003-190524	virus	0.22531048714423296
32151988_EXO_S22	181003-190524	virus	0.16847790264369197
32160019_EXO_S31	181003-190524	virus	0.6678065885387297
32152030_EXO_S23	181003-190524	virus	0.323694382807993
32151021_EXO_S13	181003-190524	virus	0.766374513971715
32150156_EXO_S1	181003-190524	virus	2.294780862395984
32151970_EXO_S21	181003-190524	virus	0.6651214979979709
32151029_EXO_S14	181003-190524	virus	0.15324774587077267
32150829_EXO_S9	181003-190524	virus	0.24323289666570186
32150792_EXO_S8	181003-190524	virus	0.1104811263232319
32151754_EXO_S20	181003-190524	virus	0.4324349042379426
32150309_EXO_S4	181003-190524	virus	0.12745962442229228
32160185_EXO_S34	181003-190524	virus	2.787125504299187
32151018_EXO_S12	181003-190524	virus	0.6621798282087643
32151480_EXO_S17	181003-190524	virus	2.051979448527782
32150697_EXO_S7	181003-190524	virus	0.33831493948579644
32152351_EXO_S28	181003-190524	virus	0.05799776238079601
32150318_EXO_S6	181003-190524	virus	0.02405182261152426
32152200_EXO_S25	181003-190524	virus	2.4007267302593838
32150274_EXO_S3	181003-190524	virus	0.2937086489449318
32151489_EXO_S18	181003-190524	virus	0.36358774032926344
32150882_EXO_S11	181003-190524	virus	0.09288461601268945
32151625_EXO_S19	181003-190524	virus	0.4514106561210825
32150835_EXO_S10	181003-190524	virus	0.9391977784344904
32152348_EXO_S27	181003-190524	virus	0.7800322536953967
32160965_EXO_S9	181004-190521	virus	0.23792888533450407
32160622_EXO_S5	181004-190521	virus	0.7219854499332921
32161245_EXO_S17	181004-190521	virus	0.4477127746018884
32170434_EXO_S28	181004-190521	virus	0.40211777424244205
32160340_EXO_S2	181004-190521	virus	0.5135903842074943
32161045_EXO_S12	181004-190521	virus	0.054985606401617815
32170383_EXO_S25	181004-190521	virus	0.45814766450727734
32170272_EXO_S24	181004-190521	virus	0.16285720820738747
32160628_EXO_S6	181004-190521	virus	0.32907543411915063
32161104_EXO_S15	181004-190521	virus	0.19129237013395617
32161237_EXO_S16	181004-190521	virus	0.10817166976579556
32170016_EXO_S20	181004-190521	virus	0.03036307924199675
32161013_EXO_S11	181004-190521	virus	0.08662940638011067
