sample	readsRaw	readsPerc	reads	adapterDimerPerc	meanofmeans	meanofp50	meanofp10	meanofp25	meanofp75	meanofp90	readsUnique	avgRCperUnique	readsAdapterNotFound	readsAdapterNotFoundPerc	readsAdapterFound	readsAdapterFoundPerc	ultraShortReadsPerc	shortReadsPerc	meanMiRNAlength	stdDevMiRNAlength	modeMiRNAlength	mainPeakMiRNAlength	skewnessMiRNAlength	absskewnessMiRNAlength	microRNAPerc	rRNAPerc	tRNAPerc	un-assignedPerc	mRNA_sensePerc	mRNA_antisensePerc	snRNAPerc	snoRNAPerc	piRNAPerc	vaultRNAPerc	Y_RNAPerc	unmapped	bacteria	virus	refSpecies	miRNAexprTop1	miRNAexprTop5	miRNAexprTop20	miRNAexprp50	miRNAexprp75	miRNAexprp95	miRNAper1k
32151640_EXO_S32	61.14961961115807	37.55072137060415	61.130522993688004	69.22054915854739	18.653141730064807	22.704987320371934	22.812059735136657	38.523527754296985	19.706959706959708	18.24175824175824	74.5773219116321	0.0	50.600169061707525	42.88531980839673	67.33727810650888	57.11468019160327	69.84224043047573	93.40250366527574	67.77022710112098	76.3650092936803	93.00691177324737	42.61485740837544	68.09969209318538	27.485040376459654	8.076026798718322	79.59644522144522	5.039691209671546	91.96825165659361	29.23099330032042	50.30585493737256	8.338192419825074	8.338192419825074	69.2532301627856	NA	10.692419825072886	97.19183489342505	90.53794970113906	87.89895116724935	1.1728882372843126	54.354249956544415	68.51497769279796	79.66857871255577	35.52349498812214	25.911118836549047	21.246885682832147	62.361666376962745
32151675_EXO_S28	67.03296703296704	40.7856176735798	67.63412984670875	44.78678982664811	17.23302338686954	22.704987320371934	15.288813750352212	25.528317836010142	19.706959706959708	18.24175824175824	78.03764652840397	0.0	55.91434206818822	46.70611439842209	72.3076923076923	53.29388560157791	75.81631405160817	89.33686703507387	71.49329151420108	23.878949814126393	93.00691177324737	65.44113376314108	75.3035496427119	44.57677336896532	36.32391494319837	71.2631118881119	15.373971305804384	82.28355057161582	17.60122341974949	35.65394698514419	8.338192419825074	8.338192419825074	78.68457551646105	44.742063492063494	28.221574344023324	96.23322431487539	84.97236945979475	82.8972595015225	3.8006089996616668	32.26722289819804	73.26032794484037	85.80450779303551	35.52349498812214	19.039341792687875	11.796743727910076	11.03192537226954
32151681_EXO_S21	41.854043392504934	45.82957619477006	46.23534715960324	56.95305580159433	18.512256973795434	22.704987320371934	21.70188785573401	38.523527754296985	19.706959706959708	18.24175824175824	63.6665915238954	0.0	41.15525500140885	42.299239222316146	50.72978303747534	57.700760777683854	61.56903509844686	82.6096763279576	75.97142359296045	54.27509293680298	93.00691177324737	48.59150839286752	78.05147272410387	51.35653285307616	14.091173900378678	80.36130536130536	15.978442939334354	91.11628923032113	18.99941741916691	46.76667637634722	8.301749271137027	8.301749271137027	72.2972479743047	44.742063492063494	19.57725947521866	94.09608661328521	96.673057403857	92.87244840419532	3.355137024923875	27.261139115823628	66.24369893968364	78.3764992177994	48.58914189698128	25.911118836549047	18.813372733066807	54.30210325047801
32151161_EXO_S19	48.24457593688363	46.02119026149684	52.59806131650135	60.55295457421232	18.484080022541562	22.704987320371934	20.78895463510848	38.523527754296985	19.706959706959708	18.24175824175824	70.8802975653742	0.0	48.93209354747816	47.20766413074105	56.128486897717664	52.79233586925895	53.21022379845909	89.27483929175595	7.771388743683569	98.1064126394052	93.00691177324737	7.707498402741477	19.85127519897752	63.14994480915587	0.4515001456452083	78.43094405594405	1.8862428082441192	93.32265346246268	32.39877658025051	54.209146519079525	8.301749271137027	8.301749271137027	60.99715307686692	NA	1.0787172011661808	94.66561407465885	98.43238975978346	93.3010037216646	1.5112213826547873	22.237673098093747	45.91807173069123	79.98725302740598	60.95370531316994	30.511617127295903	10.649516194449273	90.13268439654674
32151113_EXO_S24	58.951817413355876	21.782010820559062	51.679440937781784	59.20536505124636	18.033248802479573	22.704987320371934	18.624964778810934	27.80501549732319	19.706959706959708	18.24175824175824	68.86834986474301	0.0	49.03353057199211	41.87658495350803	65.52831783601015	58.12341504649197	92.59508377155436	95.12800270666516	65.71992797816112	91.91449814126393	93.00691177324737	20.549456932101993	63.8529018764887	18.056120374135826	6.779784445091757	87.0920745920746	6.656470759595077	88.41476734872205	29.23099330032042	50.80104864549956	15.65597667638484	15.65597667638484	77.72830133586393	NA	9.220116618075801	97.76700124055486	85.50806360663132	85.66595240780421	0.7668884628397429	53.07955269714352	53.25337505069819	51.08059563126485	48.58914189698128	51.005272611391156	39.75317225795237	73.72964829943797
32140243_EXO_S2	73.54747816286277	44.34174932371506	75.37759242560865	18.796659496393776	17.283741899126515	22.704987320371934	16.128486897717668	25.528317836010142	19.706959706959708	18.24175824175824	77.7558611361587	0.0	54.663285432516204	42.519019442096365	78.50098619329388	57.480980557903635	72.8995964290082	22.944626141874366	76.90073764302724	16.97839219330855	93.00691177324737	60.38218040308997	82.56550281763784	62.1274618021263	56.415671424410135	47.31206293706294	46.8210618308936	73.27605038957256	7.864841246722983	18.351296242353627	2.682215743440233	2.682215743440233	80.34893057887437	44.742063492063494	54.78862973760933	81.40295477613624	76.88620728544039	60.58982745009586	22.031126649374084	33.07259980300133	76.66145199606002	88.5856654499102	35.52349498812214	19.039341792687875	10.649516194449273	4.559939741584101
32150300_EXO_S4	58.49535080304311	43.63165013525699	61.16997294860234	21.83348095659876	17.59368836291913	22.704987320371934	16.714567483798252	27.117497886728657	19.706959706959708	18.24175824175824	82.98016230838593	0.0	52.89940828402367	46.66103127641589	64.73936320090166	53.33896872358411	59.77742448330684	44.005864441186425	78.40506476157286	20.806226765799256	93.00691177324737	52.372654934076785	83.86684482658455	65.17167257305525	31.036993882901253	74.63578088578089	32.24819750928556	85.30546857933444	15.1980774832508	31.21176813282843	8.316326530612244	8.316326530612244	65.40623403168115	44.742063492063494	42.011661807580175	97.31025149430472	76.38998533889703	47.62039021089433	3.0280816510657496	35.633582478706764	73.69488382872704	87.3631148965757	35.52349498812214	16.489947273886088	13.15255808563648	24.845008401413754
32151662_EXO_S25	56.16793462947309	30.10595130748422	54.35640216411181	44.14146526635455	18.033248802479573	22.704987320371934	18.602423217807832	27.80501549732319	19.706959706959708	18.24175824175824	69.41501352569882	0.0	49.61397576782192	43.77571146801916	63.014933784164555	56.22428853198084	87.58101993396112	96.04714108492162	68.41493872335482	66.74024163568774	93.00691177324737	40.34965441133763	69.58694010341021	30.784871899145994	13.646956015147103	78.70775058275058	5.367416794115505	89.81285953542562	27.497815321875912	55.60005825808331	8.360058309037901	8.360058309037901	74.75728155339806	44.55128205128205	7.762390670553936	94.83478064734409	95.5621969098906	96.12608548550806	3.101387165896019	51.09218378816849	80.77524769685381	86.0362709311084	25.3780636189814	19.039341792687875	13.15255808563648	52.92311257894432
32150296_EXO_S34	69.95209918286841	36.023444544634806	68.4400360685302	34.54384410983171	19.18850380388842	22.704987320371934	26.01859678782756	38.523527754296985	19.706959706959708	18.24175824175824	74.14900811541929	0.0	53.97013243167089	43.29106790645252	75.30008453085377	56.70893209354748	37.71554359789654	65.31521371377016	72.37613986176453	53.258596654275095	93.00691177324737	48.31852239066039	74.48440132458026	42.21809097774938	5.651034080978736	80.60897435897436	6.0228679630034225	94.63336488749727	18.66443344013982	49.308185260704924	2.682215743440233	2.682215743440233	51.90159865683626	44.742063492063494	6.895043731778426	96.03586331340927	97.1410849216195	85.19228600428555	0.9868050073305514	12.7411785155571	55.837534040210905	80.75786546149835	48.58914189698128	25.911118836549047	13.859435656758793	60.25841589895127
32151649_EXO_S7	73.58129050436743	48.033137962128045	76.53291253381424	30.70353030494749	18.675683291067905	22.704987320371934	23.122006198929277	38.523527754296985	19.706959706959708	18.24175824175824	85.95018034265104	0.0	55.260636799098336	43.14454775993237	78.50098619329388	56.85545224006763	46.190534425828545	76.77906845607308	69.64047162688041	25.034851301115243	93.00691177324737	68.30458267990939	73.25858362865276	39.406262708418055	21.111272939120305	77.63694638694639	9.023377758357002	90.60656812058545	20.193708127002623	45.79813574133411	2.704081632653061	2.704081632653061	67.48667785969779	44.574175824175825	20.896501457725947	95.43814142325476	94.63741964587797	84.11525882485621	3.0506371940904478	26.264557622110203	71.71910307665566	83.75919809954227	48.58914189698128	22.11020337215366	14.705371110724839	27.492902253896517
