name	pre-microRNA	RC_adj	UR	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-26a-5p	hsa-mir-26a-2	385680.4999999999	911.0	37012.79457944832	42572.07733210911	5p	mlv3p_1703.0|NucVar_5851.833333333333|canonical_294425.0|nta#G_281.0|nta#C_456.5|nta#A_17840.666666666664|mv_1718.5|lv5p_21735.0|nta#C#2_6.0|nta#C#1_450.5|lv5p#1_464.0|nta#T#3_117.5|nta#T#2_1164.3333333333333|lv5pT_21271.0|nta#T#1_13684.0|nta#UA_6.0|mlv5p_311.0|lv5p#-3_1006.3333333333334|lv5p#-2_4374.166666666667|lv5p#-1_15890.5|lv3p#2_119.0|lv3p#1_454.0|lv5pE_464.0|nta#A#4_3.0|nta#A#3_149.0|nta#A#2_1719.0|nta#A#1_15969.666666666668|lv3pT_25819.166666666664|mlv5p#3_8.0|mlv5p#2_37.0|mlv5p#1_266.0|total_385680.4999999999|nta#AU_17.0|lv3pE_573.0|mlv3p#3_121.0|mlv3p#2_1582.0|nta#G#2_1.0|nta#G#1_280.0|lv3p_26392.166666666664|lv3p#-3_917.8333333333334|lv3p#-2_3818.8333333333335|lv3p#-1_21082.5|nta#T_14965.833333333334
hsa-miR-26a-5p	hsa-mir-26a-1	385018.4999999999	890.0	36949.26409239596	42499.004632831195	5p	mlv3p_1598.0|NucVar_5851.833333333333|canonical_294425.0|nta#G_281.0|nta#C_456.5|nta#A_17781.666666666668|mv_1692.5|lv5p_21391.0|nta#C#2_6.0|lv5p#2_4.0|nta#C#1_450.5|lv5p#1_116.0|nta#T#3_20.5|nta#T#2_1170.3333333333333|lv5pT_21271.0|nta#T#1_13692.0|nta#UA_6.0|mlv5p_266.0|lv5p#-3_1006.3333333333334|lv5p#-2_4374.166666666667|lv5p#-1_15890.5|lv3p#2_119.0|lv3p#1_454.0|lv5pE_120.0|nta#A#4_3.0|nta#A#3_149.0|nta#A#2_1719.0|nta#A#1_15910.666666666668|lv3pT_25819.166666666664|mlv5p#1_266.0|total_385018.4999999999|nta#AU_17.0|lv3pE_573.0|mlv3p#3_16.0|mlv3p#2_1582.0|nta#G#2_1.0|nta#G#1_280.0|lv3p_26392.166666666664|lv3p#-3_917.8333333333334|lv3p#-2_3818.8333333333335|lv3p#-1_21082.5|nta#T_14882.833333333334
hsa-let-7a-5p	hsa-let-7a-3	329293.8333333302	877.0	31601.50697130305	36348.020026040176	5p	mlv3p_72.5|NucVar_4158.4999999999945|canonical_216384.66666666666|nta#G_788.3333333333339|nta#C_471.9499999999996|nta#A_17669.96666666663|mv_3358.61666666667|lv5p_6790.08333333333|nta#C#2_0.3333333333333333|nta#T#4_2.666666666666667|nta#C#1_471.6166666666663|lv5p#1_1462.0|nta#T#3_75.99999999999997|nta#T#2_18.166666666666668|lv5pT_5328.0833333333285|nta#T#1_276.4666666666667|mlv5p_105.5|lv5p#-3_639.0000000000001|lv5p#-2_956.5333333333338|lv5p#-1_3732.5499999999997|lv3p#2_37.0|lv3p#1_8545.133333333348|lv5pE_1462.0|nta#A#4_3.3333333333333335|nta#A#3_52.0|nta#A#2_1208.85|nta#A#1_16405.783333333347|lv3pT_70538.2833333333|mlv5p#2_8.5|mlv5p#1_97.0|total_329293.8333333302|nta#AU_2.4000000000000004|lv3pE_8582.133333333348|mlv3p#2_72.5|nta#G#3_3.0|nta#G#1_785.3333333333339|lv3p_79120.41666666653|lv3p#-3_1520.7333333333331|lv3p#-2_7736.750000000001|lv3p#-1_61280.80000000001|nta#T_373.2999999999999
hsa-let-7a-5p	hsa-let-7a-2	328415.66666666354	874.0	31517.231508997196	36251.08647808062	5p	mlv3p_28.5|NucVar_4158.4999999999945|canonical_216384.66666666666|nta#G_785.3333333333339|nta#C_471.9499999999996|nta#A_19176.299999999967|mv_1864.1166666666647|lv5p_5781.58333333333|nta#C#2_0.3333333333333333|nta#T#4_2.666666666666667|lv5p#2_10.5|nta#C#1_471.6166666666663|lv5p#1_443.0|nta#T#3_73.99999999999997|nta#T#2_18.166666666666668|lv5pT_5328.0833333333285|nta#T#1_257.4666666666667|mlv5p_130.0|lv5p#-3_639.0000000000001|lv5p#-2_956.5333333333338|lv5p#-1_3732.5499999999997|lv3p#2_199.0|lv3p#1_8545.133333333348|lv5pE_453.5|nta#A#4_28.333333333333332|nta#A#3_102.5|nta#A#2_2734.850000000001|nta#A#1_16310.616666666683|lv3pT_70538.2833333333|mlv5p#2_33.0|mlv5p#1_97.0|total_328415.66666666354|nta#AU_2.9000000000000004|lv3pE_8744.133333333348|mlv3p#2_28.5|nta#G#1_785.3333333333339|lv3p_79282.41666666653|lv3p#-3_1520.7333333333331|lv3p#-2_7736.750000000001|lv3p#-1_61280.80000000001|nta#T_352.2999999999999
hsa-let-7a-5p	hsa-let-7a-1	328018.66666666354	863.0	31479.132410266404	36207.26493485806	5p	mlv3p_588.3333333333334|NucVar_4158.4999999999945|canonical_216384.66666666666|nta#G_785.3333333333339|nta#C_475.4499999999996|nta#A_17555.96666666663|mv_2158.116666666667|lv5p_5950.08333333333|nta#C#2_0.3333333333333333|nta#T#5_1.0|nta#T#4_2.666666666666667|nta#C#1_475.1166666666663|lv5p#1_622.0|nta#T#3_73.99999999999997|nta#T#2_18.166666666666668|lv5pT_5328.0833333333285|nta#T#1_282.9666666666667|mlv5p_164.0|lv5p#-3_639.0000000000001|lv5p#-2_956.5333333333338|lv5p#-1_3732.5499999999997|lv3p#2_336.0|lv3p#1_8545.133333333348|lv5pE_622.0|nta#A#4_3.3333333333333335|nta#A#3_46.5|nta#A#2_1212.35|nta#A#1_16293.78333333335|lv3pT_70538.2833333333|mlv5p#2_67.0|mlv5p#1_97.0|total_328018.66666666354|nta#AU_2.4000000000000004|lv3pE_8881.133333333348|mlv3p#3_4.0|mlv3p#2_584.3333333333334|nta#G#1_785.3333333333339|lv3p_79419.41666666653|lv3p#-3_1520.7333333333331|lv3p#-2_7736.750000000001|lv3p#-1_61280.80000000001|nta#T_378.7999999999999
hsa-miR-9-5p	hsa-mir-9-3	323383.33333332685	1341.0	31034.291044228816	35695.60886428433	5p	mlv3p_41.00000000000001|NucVar_1361.6666666666654|canonical_58640.666666666664|nta#G_259.3333333333334|nta#C_443.6666666666661|nta#A_9490.666666666675|mv_14797.333333333365|lv5p_11981.666666666672|nta#C#1_443.6666666666661|lv5p#1_187.0|nta#T#3_10.0|nta#T#2_374.9999999999998|lv5pT_11794.666666666672|nta#T#1_12220.333333333374|lv5p#-4_287.99999999999994|nta#UA_11.000000000000004|mlv5p_38.0|lv5p#-3_1189.9999999999989|lv5p#-2_3295.6666666666656|lv5p#-1_7020.999999999997|lv3p#2_6.0|lv3p#1_59.333333333333336|lv5pE_187.0|nta#A#4_4.666666666666667|nta#A#3_46.33333333333334|nta#A#2_964.0000000000011|nta#A#1_8475.666666666657|lv3pT_213658.66666666686|mlv5p#1_38.0|total_323383.33333332685|nta#AU_4.666666666666666|lv3pE_65.33333333333333|mlv3p#2_41.00000000000001|nta#G#2_9.666666666666668|nta#G#1_249.6666666666668|lv3p_213724.0000000002|lv3p#-4_4152.666666666665|lv3p#-3_4399.333333333334|lv3p#-2_131929.66666666672|lv3p#-1_73176.99999999994|nta#T_12605.333333333381
hsa-miR-9-5p	hsa-mir-9-1	323175.83333332685	1340.0	31014.377787335517	35672.70465718438	5p	mlv3p_41.00000000000001|NucVar_1361.6666666666654|canonical_58640.666666666664|nta#G_259.3333333333334|nta#C_443.6666666666661|nta#A_9488.166666666675|mv_14737.333333333365|lv5p_11863.166666666672|nta#C#1_443.6666666666661|lv5p#1_68.5|nta#T#3_10.0|nta#T#2_374.9999999999998|lv5pT_11794.666666666672|nta#T#1_12192.833333333374|lv5p#-4_287.99999999999994|nta#UA_11.000000000000004|mlv5p_39.0|lv5p#-3_1189.9999999999989|lv5p#-2_3295.6666666666656|lv5p#-1_7020.999999999997|lv3p#2_6.0|lv3p#1_59.333333333333336|lv5pE_68.5|nta#A#4_4.666666666666667|nta#A#3_46.33333333333334|nta#A#2_964.5000000000011|nta#A#1_8472.666666666657|lv3pT_213658.66666666686|mlv5p#2_1.0|mlv5p#1_38.0|total_323175.83333332685|nta#AU_4.666666666666666|lv3pE_65.33333333333333|mlv3p#2_41.00000000000001|nta#G#2_9.666666666666668|nta#G#1_249.6666666666668|lv3p_213724.0000000002|lv3p#-4_4152.666666666665|lv3p#-3_4399.333333333334|lv3p#-2_131929.66666666672|lv3p#-1_73176.99999999994|nta#T_12577.833333333381
hsa-miR-9-5p	hsa-mir-9-2	323175.83333332685	1340.0	31014.377787335517	35672.70465718438	5p	mlv3p_41.00000000000001|NucVar_1361.6666666666654|canonical_58640.666666666664|nta#G_259.3333333333334|nta#C_443.6666666666661|nta#A_9488.166666666675|mv_14737.333333333365|lv5p_11863.166666666672|nta#C#1_443.6666666666661|lv5p#1_68.5|nta#T#3_10.0|nta#T#2_374.9999999999998|lv5pT_11794.666666666672|nta#T#1_12192.833333333374|lv5p#-4_287.99999999999994|nta#UA_11.000000000000004|mlv5p_39.0|lv5p#-3_1189.9999999999989|lv5p#-2_3295.6666666666656|lv5p#-1_7020.999999999997|lv3p#2_6.0|lv3p#1_59.333333333333336|lv5pE_68.5|nta#A#4_4.666666666666667|nta#A#3_46.33333333333334|nta#A#2_964.5000000000011|nta#A#1_8472.666666666657|lv3pT_213658.66666666686|mlv5p#2_1.0|mlv5p#1_38.0|total_323175.83333332685|nta#AU_4.666666666666666|lv3pE_65.33333333333333|mlv3p#2_41.00000000000001|nta#G#2_9.666666666666668|nta#G#1_249.6666666666668|lv3p_213724.0000000002|lv3p#-4_4152.666666666665|lv3p#-3_4399.333333333334|lv3p#-2_131929.66666666672|lv3p#-1_73176.99999999994|nta#T_12577.833333333381
hsa-miR-128-3p	hsa-mir-128-1	318120.5	1078.0	30529.23006999678	35114.68826380702	3p	mlv3p_1937.0|NucVar_4361.0|canonical_152499.5|nta#G_1533.0|nta#C_208.5|nta#A_23771.5|mv_11043.5|lv5p_14652.5|lv5p#2_13.5|nta#C#1_208.5|lv5p#1_74.5|nta#T#2_20.0|lv5pT_14564.5|nta#T#1_423.0|nta#UA_73.0|mlv5p_248.5|lv5p#-2_5719.0|lv5p#-1_8845.5|lv3p#2_5454.0|lv3p#1_79932.0|lv5pE_88.0|nta#A#4_23.5|nta#A#3_232.0|nta#A#2_4215.0|nta#A#1_19301.0|lv3pT_22036.5|mlv5p#3_6.0|mlv5p#2_8.0|mlv5p#1_234.5|total_318120.5|lv3pE_85386.0|mlv3p#4_10.0|mlv3p#3_16.0|mlv3p#2_1911.0|nta#G#2_6.0|nta#G#1_1527.0|lv3p_107422.5|lv3p#-2_4875.5|lv3p#-1_17161.0|nta#T_443.0
hsa-let-7g-5p	hsa-let-7g	271009.71666666673	624.0	26008.125824400842	29914.5189235295	5p	mlv3p_44.5|NucVar_4655.5|canonical_175006.0|nta#G_775.75|nta#C_315.41666666666663|nta#A_15357.416666666668|mv_2605.333333333333|lv5p_10812.25|nta#C#2_1.0|nta#T#4_1.0|nta#C#1_314.41666666666663|lv5p#1_774.0|nta#T#3_69.0|nta#T#2_59.166666666666664|lv5pT_10038.25|nta#T#1_297.0|nta#UA_2.0|mlv5p_189.0|lv5p#-3_1341.5|lv5p#-2_3179.6666666666665|lv5p#-1_5517.083333333334|lv3p#2_15.0|lv3p#1_4391.55|lv5pE_774.0|nta#A#3_44.0|nta#A#2_1137.6666666666665|nta#A#1_14175.750000000002|lv3pT_56415.833333333336|mlv5p#1_189.0|total_271009.71666666673|nta#AU_2.5|lv3pE_4406.55|mlv3p#2_44.5|nta#G#2_7.0|nta#G#1_768.75|lv3p_60822.38333333334|lv3p#-3_2194.0|lv3p#-2_5429.666666666666|lv3p#-1_48792.166666666664|nta#T_426.1666666666667
