name	pre-microRNA	RC_adj	UR	32150887_EXO_S2832150887_EXO_S28(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30a-5p	hsa-mir-30a	3504119.0	2253.0	139106.96835550977	177246.81412959166	5p	mlv3p_1082.5|NucVar_12325.5|canonical_688656.0|nta#G_2537.5|nta#C_4310.0|nta#A_194432.0|mv_192741.5|lv5p_52004.0|nta#C#3_5.0|nta#C#2_361.5|nta#C#1_3943.5|nta#T#3_19.0|lv5p#1_325.0|nta#T#2_633.0|lv5pT_51679.0|nta#T#1_70011.5|nta#UA_20.5|mlv5p_1080.5|lv5p#-3_8759.0|lv5p#-2_11718.5|lv5p#-1_31201.5|lv3p#3_288.5|lv3p#2_950079.5|nta#A#5_1.0|lv3p#1_972724.5|lv5pE_325.0|nta#A#4_63.0|nta#A#3_360.5|nta#A#2_6968.0|nta#A#1_187039.5|lv3pT_361193.5|mlv5p#2_133.0|mlv5p#1_947.5|total_3504119.0|nta#AU_307.0|lv3pE_1923092.5|mlv3p#3_1.0|mlv3p#2_1081.5|nta#G#3_2.0|nta#G#2_679.5|nta#G#1_1856.0|lv3p_2284286.0|lv3p#-3_23013.5|lv3p#-2_20463.5|lv3p#-1_317716.5|nta#T_70663.5
hsa-miR-30d-5p	hsa-mir-30d	1704142.0	1806.0	67651.24907781246	86199.62402088245	5p	mlv3p_487.0|NucVar_5498.0|canonical_323555.0|nta#G_2340.5|nta#C_1749.5|nta#A_130942.0|mv_75489.0|lv5p_22632.5|nta#C#2_178.5|nta#C#1_1571.0|nta#T#3_3.0|lv5p#1_233.5|nta#T#2_658.0|lv5pT_22399.0|nta#T#1_42661.5|nta#UA_49.5|mlv5p_567.0|lv5p#-3_4313.0|lv5p#-2_5244.0|lv5p#-1_12842.0|lv3p#3_110.0|lv3p#2_416032.5|nta#A#5_4.0|lv3p#1_455276.0|lv5pE_233.5|nta#A#4_37.0|nta#A#3_350.5|nta#A#2_5225.0|nta#A#1_125325.5|lv3pT_226140.5|mlv5p#1_567.0|total_1704142.0|nta#AU_106.0|lv3pE_871418.5|mlv3p#2_487.0|nta#G#2_304.0|nta#G#1_2036.5|lv3p_1097559.0|lv3p#-3_12815.5|lv3p#-2_36038.0|lv3p#-1_177287.0|nta#T_43322.5
hsa-miR-10b-5p	hsa-mir-10b	1380122.5	1533.0	54788.28114405562	69809.93403293876	5p	NucVar_3849.0|canonical_172141.0|nta#G_779.0|nta#C_1274.0|nta#A_66699.0|mv_101918.5|lv5p_48362.5|nta#C#2_1.0|nta#C#1_1273.0|lv5p#1_232.5|nta#T#3_23.0|nta#T#2_283.0|lv5pT_48130.0|nta#T#1_3629.5|lv5p#-4_1282.0|nta#UA_9.0|mlv5p_328.0|lv5p#-3_1184.5|lv5p#-2_3299.0|lv5p#-1_42364.5|lv3p#2_9.0|lv3p#1_19782.0|lv5pE_232.5|nta#A#4_1.0|nta#A#3_172.0|nta#A#2_2874.5|nta#A#1_63651.5|lv3pT_961045.0|mlv5p#1_328.0|total_1380122.5|nta#AU_12.0|lv3pE_19791.0|nta#G#2_30.0|nta#G#1_749.0|lv3p_980836.0|lv3p#-4_1512.0|lv3p#-3_4270.0|lv3p#-2_58229.5|lv3p#-1_897033.5|nta#T_3935.5
hsa-miR-10a-5p	hsa-mir-10a	1339112.5	1748.0	53160.26087069748	67735.54904559828	5p	mlv3p_18.0|NucVar_5226.0|canonical_215662.0|nta#G_720.0|nta#C_1583.0|nta#A_97103.0|mv_144683.0|lv5p_124821.0|nta#C#2_2.0|nta#C#1_1581.0|nta#T#3_9.0|lv5p#1_320.5|nta#T#2_164.0|lv5pT_124500.5|nta#T#1_2730.5|lv5p#-4_1710.5|nta#UA_8.0|mlv5p_250.0|lv5p#-3_3916.5|lv5p#-2_6804.0|lv5p#-1_112069.5|lv3p#2_72.0|lv3p#1_23230.0|lv5pE_320.5|nta#A#4_14.0|nta#A#3_219.0|nta#A#2_5049.5|nta#A#1_91820.5|lv3pT_722841.0|mlv5p#2_59.0|mlv5p#1_191.0|total_1339112.5|nta#AU_15.0|lv3pE_23302.0|mlv3p#2_18.0|nta#G#2_113.0|nta#G#1_607.0|lv3p_746143.0|lv3p#-4_1427.0|lv3p#-3_4414.0|lv3p#-2_46998.5|lv3p#-1_670001.5|nta#T_2903.5
hsa-let-7b-5p	hsa-let-7b	1295050.0	1630.0	51411.062058338466	65506.76122544002	5p	mlv3p_1417.0|NucVar_10203.25|canonical_562025.0|nta#G_9827.0|nta#C_2830.75|nta#A_199059.25|mv_8981.0|lv5p_12081.5|nta#C#2_1.0|nta#T#5_12.0|lv5p#3_66.0|nta#T#4_121.5|nta#C#1_2829.75|lv5p#1_321.0|nta#T#3_265.5|nta#T#2_3349.5|lv5pT_11694.5|nta#T#1_68112.0|nta#UA_1191.0|mlv5p_649.0|lv5p#-3_1523.0|lv5p#-2_1861.5|lv5p#-1_8310.0|lv3p#3_1.0|lv3p#2_355.0|lv3p#1_249350.0|lv5pE_387.0|nta#A#4_95.0|nta#A#3_3168.5|nta#A#2_49839.5|nta#A#1_145956.25|lv3pT_166409.75|mlv5p#3_68.0|mlv5p#1_581.0|total_1295050.0|nta#AU_87.0|lv3pE_249706.0|mlv3p#3_1142.0|mlv3p#2_275.0|nta#G#2_4.0|nta#G#1_9823.0|lv3p_416115.75|lv3p#-3_2103.0|lv3p#-2_37738.5|lv3p#-1_126568.25|nta#T_71860.5
hsa-let-7a-5p	hsa-let-7a-3	689094.0000000069	1082.0	27355.742556680467	34856.0411720658	5p	mlv3p_62.666666666666664|NucVar_6685.2833333333265|canonical_452259.3333333333|nta#G_1794.9999999999989|nta#C_763.7500000000005|nta#A_37920.550000000134|mv_7492.81666666666|lv5p_13003.18333333334|nta#C#2_0.3333333333333333|nta#T#4_9.066666666666668|nta#C#1_763.4166666666671|lv5p#1_2639.5|nta#T#3_186.96666666666673|nta#T#2_39.91666666666668|lv5pT_10363.68333333334|nta#T#1_290.1666666666667|nta#UA_105.0|mlv5p_271.5|lv5p#-3_1373.4166666666663|lv5p#-2_2155.4333333333343|lv5p#-1_6834.833333333333|lv3p#1_21576.333333333307|lv5pE_2639.5|nta#A#3_119.58333333333331|nta#A#2_3871.250000000003|nta#A#1_33929.71666666673|lv3pT_146737.46666666682|mlv5p#2_23.0|mlv5p#1_248.5|total_689094.0000000069|nta#AU_5.3999999999999995|lv3pE_21576.333333333307|mlv3p#3_9.666666666666666|mlv3p#2_53.0|nta#G#2_1.0|nta#G#1_1793.9999999999989|lv3p_168313.80000000037|lv3p#-3_1127.8333333333328|lv3p#-2_16322.216666666665|lv3p#-1_129287.41666666661|nta#T_526.1166666666669
hsa-let-7a-5p	hsa-let-7a-2	688976.1666666736	1095.0	27351.064793804486	34850.08087707251	5p	mlv3p_96.66666666666667|NucVar_6685.2833333333265|canonical_452259.3333333333|nta#G_1793.9999999999989|nta#C_762.7500000000005|nta#A_42946.216666666805|mv_3998.1500000000033|lv5p_10784.350000000008|nta#C#2_0.3333333333333333|lv5p#2_22.0|nta#T#4_8.066666666666666|nta#C#1_762.4166666666671|lv5p#1_398.6666666666667|nta#T#3_186.96666666666673|nta#T#2_38.91666666666668|lv5pT_10363.68333333334|nta#T#1_186.16666666666669|mlv5p_248.5|lv5p#-3_1373.4166666666663|lv5p#-2_2155.4333333333343|lv5p#-1_6834.833333333333|lv3p#2_667.0|lv3p#1_21576.333333333307|lv5pE_420.6666666666667|nta#A#4_1.5|nta#A#3_383.4166666666666|nta#A#2_8638.250000000007|nta#A#1_33923.05000000007|lv3pT_146737.46666666682|mlv5p#1_248.5|total_688976.1666666736|nta#AU_5.8999999999999995|lv3pE_22243.333333333307|mlv3p#3_9.666666666666666|mlv3p#2_87.0|nta#G#1_1793.9999999999989|lv3p_168980.80000000037|lv3p#-3_1127.8333333333328|lv3p#-2_16322.216666666665|lv3p#-1_129287.41666666661|nta#T_420.11666666666656
hsa-let-7a-5p	hsa-let-7a-1	687219.000000007	1086.0	27281.308564665193	34761.19913716546	5p	mlv3p_1499.3333333333333|NucVar_6685.2833333333265|canonical_452259.3333333333|nta#G_1804.6666666666656|nta#C_762.7500000000005|nta#A_38113.88333333347|mv_4395.816666666666|lv5p_11524.18333333334|nta#C#2_0.3333333333333333|lv5p#2_12.0|nta#T#4_8.066666666666666|nta#C#1_762.4166666666671|lv5p#1_1148.5|nta#T#3_186.96666666666673|nta#T#2_38.91666666666668|lv5pT_10363.68333333334|nta#T#1_224.50000000000003|nta#UA_1.3333333333333333|mlv5p_595.5|lv5p#-3_1373.4166666666663|lv5p#-2_2155.4333333333343|lv5p#-1_6834.833333333333|lv3p#3_1.0|lv3p#2_805.0|lv3p#1_21576.333333333307|lv5pE_1160.5|nta#A#4_0.5|nta#A#3_182.41666666666669|nta#A#2_3891.750000000003|nta#A#1_34039.21666666673|lv3pT_146737.46666666682|mlv5p#3_72.0|mlv5p#2_275.0|mlv5p#1_248.5|total_687219.000000007|nta#AU_5.3999999999999995|lv3pE_22382.333333333307|mlv3p#2_1499.3333333333333|nta#G#1_1804.6666666666656|lv3p_169119.80000000037|lv3p#-3_1127.8333333333328|lv3p#-2_16322.216666666665|lv3p#-1_129287.41666666661|nta#T_458.4499999999999
hsa-miR-26a-5p	hsa-mir-26a-2	643820.0000000001	1071.0	25558.44946094705	32565.972751756923	5p	mlv3p_1872.5|NucVar_8071.666666666666|canonical_479949.0|nta#G_629.0|nta#C_596.5|nta#A_37164.66666666667|mv_3935.0|lv5p_34076.66666666667|nta#C#3_0.5|nta#C#2_11.0|nta#T#4_1.0|nta#C#1_585.0|lv5p#1_979.0|nta#T#3_263.0|nta#T#2_1403.1666666666667|lv5pT_33097.66666666667|nta#T#1_22511.833333333332|nta#UA_25.0|mlv5p_386.0|lv5p#-3_2034.0|lv5p#-2_6576.666666666667|lv5p#-1_24487.0|lv3p#3_11.0|lv3p#2_190.0|lv3p#1_942.5|lv5pE_979.0|nta#A#4_1.0|nta#A#3_113.5|nta#A#2_4158.0|nta#A#1_32892.166666666664|lv3pT_51816.5|mlv5p#2_59.0|mlv5p#1_327.0|total_643820.0000000001|nta#AU_19.0|lv3pE_1143.5|mlv3p#3_72.0|mlv3p#2_1800.5|nta#G#2_7.0|nta#G#1_622.0|lv3p_52960.0|lv3p#-3_529.0|lv3p#-2_6403.0|lv3p#-1_44884.5|nta#T_24179.0
hsa-miR-26a-5p	hsa-mir-26a-1	642851.0000000001	1050.0	25519.981973873553	32516.958388120423	5p	mlv3p_1834.5|NucVar_8071.666666666666|canonical_479949.0|nta#G_629.0|nta#C_597.5|nta#A_37203.66666666667|mv_3920.0|lv5p_33521.66666666667|nta#C#3_0.5|nta#C#2_11.0|nta#T#4_1.0|lv5p#2_33.0|nta#C#1_586.0|lv5p#1_391.0|nta#T#3_38.0|nta#T#2_1378.1666666666667|lv5pT_33097.66666666667|nta#T#1_22430.833333333332|nta#UA_25.0|mlv5p_327.0|lv5p#-3_2034.0|lv5p#-2_6576.666666666667|lv5p#-1_24487.0|lv3p#2_190.0|lv3p#1_942.5|lv5pE_424.0|nta#A#4_1.0|nta#A#3_113.5|nta#A#2_4158.0|nta#A#1_32931.166666666664|lv3pT_51816.5|mlv5p#1_327.0|total_642851.0000000001|nta#AU_19.0|lv3pE_1132.5|mlv3p#3_34.0|mlv3p#2_1800.5|nta#G#2_7.0|nta#G#1_622.0|lv3p_52949.0|lv3p#-3_529.0|lv3p#-2_6403.0|lv3p#-1_44884.5|nta#T_23848.0
