name	pre-microRNA	RC_adj	UR	180919-190527_Brain_S35180919-190527_Brain_S35(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-26a-5p	hsa-mir-26a-2	722718.6666666669	1291.0	44185.67522775895	47040.83657930807	5p	mlv3p_3030.0|NucVar_14092.833333333334|canonical_552639.5|nta#G_541.0|nta#C_786.0|nta#A_34530.166666666664|mv_2798.3333333333335|lv5p_24893.833333333332|nta#C#3_0.5|nta#T#5_1.0|nta#C#2_11.0|lv5p#2_1.0|nta#C#1_774.5|lv5p#1_2364.5|nta#T#3_265.0|nta#T#2_2761.0|lv5pT_22528.333333333332|nta#T#1_29033.166666666664|nta#UA_33.83333333333333|mlv5p_967.5|lv5p#-3_1334.8333333333333|lv5p#-2_4061.0|lv5p#-1_17132.5|lv3p#3_15.0|lv3p#2_226.0|lv3p#1_1148.0|lv5pE_2365.5|nta#A#4_9.5|nta#A#3_217.0|nta#A#2_3324.0|nta#A#1_30979.666666666668|lv3pT_54990.333333333336|mlv5p#2_593.0|mlv5p#1_374.5|total_722718.6666666669|nta#AU_41.5|lv3pE_1389.0|mlv3p#3_179.0|mlv3p#2_2851.0|nta#G#2_0.5|nta#G#1_540.5|lv3p_56379.333333333336|lv3p#-3_1501.8333333333333|lv3p#-2_9241.5|lv3p#-1_44247.0|nta#T_32060.166666666664
hsa-miR-26a-5p	hsa-mir-26a-1	719236.1666666669	1228.0	43972.76165422364	46814.165094340045	5p	mlv3p_2893.0|NucVar_14092.833333333334|canonical_552639.5|nta#G_543.0|nta#C_792.0|nta#A_34425.666666666664|mv_2518.8333333333335|lv5p_22845.333333333332|nta#C#3_0.5|nta#C#2_11.0|lv5p#2_6.0|nta#C#1_780.5|lv5p#1_311.0|nta#T#3_33.0|nta#T#2_2760.0|lv5pT_22528.333333333332|nta#T#1_28890.166666666664|nta#UA_32.83333333333333|mlv5p_438.5|lv5p#-3_1334.8333333333333|lv5p#-2_4061.0|lv5p#-1_17132.5|lv3p#2_226.0|lv3p#1_1148.0|lv5pE_317.0|nta#A#4_9.5|nta#A#3_217.0|nta#A#2_3331.0|nta#A#1_30868.166666666668|lv3pT_54990.333333333336|mlv5p#3_23.0|mlv5p#2_41.0|mlv5p#1_374.5|total_719236.1666666669|nta#AU_41.5|lv3pE_1374.0|mlv3p#3_42.0|mlv3p#2_2851.0|nta#G#2_1.5|nta#G#1_541.5|lv3p_56364.333333333336|lv3p#-3_1501.8333333333333|lv3p#-2_9241.5|lv3p#-1_44247.0|nta#T_31683.166666666664
hsa-miR-143-3p	hsa-mir-143	608871.0	999.0	37225.24061220799	39630.63710666558	3p	mlv3p_376.0|NucVar_4561.0|canonical_167550.0|nta#G_818.0|nta#C_1839.0|nta#A_21287.0|mv_3308.0|lv5p_4961.0|nta#C#2_246.0|nta#T#4_31.0|nta#C#1_1593.0|lv5p#1_491.0|nta#T#3_1238.0|nta#T#2_20413.0|lv5pT_4470.0|nta#T#1_255350.0|nta#UA_365.0|mlv5p_592.0|lv5p#-2_999.0|lv5p#-1_3471.0|lv3p#2_59.0|nta#A#5_6.0|lv3p#1_38376.0|lv5pE_491.0|nta#A#4_199.0|nta#A#3_312.0|nta#A#2_2891.0|nta#A#1_17879.0|lv3pT_88112.0|mlv5p#2_10.0|mlv5p#1_582.0|total_608871.0|nta#AU_41.0|lv3pE_38435.0|mlv3p#3_50.0|mlv3p#2_326.0|nta#G#1_818.0|lv3p_126547.0|lv3p#-2_2728.0|lv3p#-1_85384.0|nta#T_277032.0
hsa-miR-128-3p	hsa-mir-128-1	502158.5	1317.0	30701.0368172658	32684.85653533758	3p	mlv3p_3385.0|NucVar_8500.0|canonical_248485.0|nta#G_1914.5|nta#C_286.5|nta#A_37635.5|mv_9849.5|lv5p_12362.0|lv5p#2_50.0|nta#C#1_286.5|lv5p#1_94.5|nta#T#2_42.5|lv5pT_12217.5|nta#T#1_684.5|nta#UA_65.5|mlv5p_589.5|lv5p#-2_4509.0|lv5p#-1_7708.5|lv3p#3_7.0|lv3p#2_9827.0|lv3p#1_128760.0|lv5pE_144.5|nta#A#4_6.0|nta#A#3_417.0|nta#A#2_6683.0|nta#A#1_30529.5|lv3pT_39830.0|mlv5p#2_11.5|mlv5p#1_578.0|total_502158.5|lv3pE_138594.0|mlv3p#4_1.0|mlv3p#3_20.5|mlv3p#2_3363.5|nta#G#2_1.5|nta#G#1_1913.0|lv3p_178424.0|lv3p#-2_8977.5|lv3p#-1_30852.5|nta#T_727.0
hsa-miR-9-5p	hsa-mir-9-1	479635.6666666609	1604.0	29324.032673363065	31218.87402927723	5p	mlv3p_40.66666666666667|NucVar_3417.333333333334|canonical_113891.66666666667|nta#G_535.1666666666665|nta#C_693.0000000000011|nta#A_16242.833333333385|mv_14702.166666666702|lv5p_19602.49999999998|nta#C#2_3.6666666666666665|nta#T#4_6.333333333333333|lv5p#2_0.5|nta#C#1_689.3333333333345|lv5p#1_390.0|nta#T#3_10.0|nta#T#2_389.16666666666634|lv5pT_19211.99999999998|nta#T#1_15615.500000000022|lv5p#-4_510.9999999999999|nta#UA_30.999999999999993|mlv5p_123.0|lv5p#-3_1562.9999999999989|lv5p#-2_4862.666666666668|lv5p#-1_12275.333333333334|lv3p#2_35.66666666666668|lv3p#1_87.66666666666666|lv5pE_390.5|nta#A#4_2.6666666666666665|nta#A#3_61.0|nta#A#2_1777.9999999999982|nta#A#1_14401.166666666702|lv3pT_294242.99999999994|mlv5p#2_75.0|mlv5p#1_48.00000000000001|total_479635.6666666609|nta#AU_5.999999999999999|lv3pE_123.33333333333331|mlv3p#2_40.66666666666667|nta#G#2_7.999999999999998|nta#G#1_527.1666666666665|lv3p_294366.3333333332|lv3p#-4_8361.666666666666|lv3p#-3_6924.666666666671|lv3p#-2_182014.33333333346|lv3p#-1_96942.33333333333|nta#T_16021.000000000033
hsa-miR-9-5p	hsa-mir-9-2	479635.6666666609	1604.0	29324.032673363065	31218.87402927723	5p	mlv3p_40.66666666666667|NucVar_3417.333333333334|canonical_113891.66666666667|nta#G_535.1666666666665|nta#C_693.0000000000011|nta#A_16242.833333333385|mv_14702.166666666702|lv5p_19602.49999999998|nta#C#2_3.6666666666666665|nta#T#4_6.333333333333333|lv5p#2_0.5|nta#C#1_689.3333333333345|lv5p#1_390.0|nta#T#3_10.0|nta#T#2_389.16666666666634|lv5pT_19211.99999999998|nta#T#1_15615.500000000022|lv5p#-4_510.9999999999999|nta#UA_30.999999999999993|mlv5p_123.0|lv5p#-3_1562.9999999999989|lv5p#-2_4862.666666666668|lv5p#-1_12275.333333333334|lv3p#2_35.66666666666668|lv3p#1_87.66666666666666|lv5pE_390.5|nta#A#4_2.6666666666666665|nta#A#3_61.0|nta#A#2_1777.9999999999982|nta#A#1_14401.166666666702|lv3pT_294242.99999999994|mlv5p#2_75.0|mlv5p#1_48.00000000000001|total_479635.6666666609|nta#AU_5.999999999999999|lv3pE_123.33333333333331|mlv3p#2_40.66666666666667|nta#G#2_7.999999999999998|nta#G#1_527.1666666666665|lv3p_294366.3333333332|lv3p#-4_8361.666666666666|lv3p#-3_6924.666666666671|lv3p#-2_182014.33333333346|lv3p#-1_96942.33333333333|nta#T_16021.000000000033
hsa-miR-9-5p	hsa-mir-9-3	478679.6666666609	1542.0	29265.584611252583	31156.64920813454	5p	mlv3p_40.66666666666667|NucVar_3417.333333333334|canonical_113891.66666666667|nta#G_534.6666666666665|nta#C_690.0000000000011|nta#A_16227.333333333385|mv_14152.666666666702|lv5p_19336.99999999998|nta#C#2_3.6666666666666665|nta#T#4_6.333333333333333|nta#C#1_686.3333333333345|lv5p#1_125.0|nta#T#3_10.0|nta#T#2_384.66666666666634|lv5pT_19211.99999999998|nta#T#1_15573.000000000022|lv5p#-4_510.9999999999999|nta#UA_30.999999999999993|mlv5p_48.00000000000001|lv5p#-3_1562.9999999999989|lv5p#-2_4862.666666666668|lv5p#-1_12275.333333333334|lv3p#2_35.66666666666668|lv3p#1_87.66666666666666|lv5pE_125.0|nta#A#4_2.6666666666666665|nta#A#3_62.0|nta#A#2_1777.9999999999982|nta#A#1_14384.666666666702|lv3pT_294242.99999999994|mlv5p#1_48.00000000000001|total_478679.6666666609|nta#AU_5.999999999999999|lv3pE_123.33333333333331|mlv3p#2_40.66666666666667|nta#G#2_7.999999999999998|nta#G#1_526.6666666666665|lv3p_294366.3333333332|lv3p#-4_8361.666666666666|lv3p#-3_6924.666666666671|lv3p#-2_182014.33333333346|lv3p#-1_96942.33333333333|nta#T_15974.000000000033
hsa-let-7g-5p	hsa-let-7g	465127.0166666668	832.0	28437.000794347485	30274.524498658444	5p	mlv3p_65.0|NucVar_9013.083333333334|canonical_304754.0|nta#G_1560.5|nta#C_615.6666666666666|nta#A_26998.500000000004|mv_4429.716666666666|lv5p_12114.666666666668|nta#C#1_615.6666666666666|lv5p#1_1310.0|nta#T#3_112.33333333333334|nta#T#2_17.0|lv5pT_10804.666666666668|nta#T#1_481.6666666666667|nta#UA_1.0|mlv5p_1034.0|lv5p#-3_1410.9166666666667|lv5p#-2_2859.3333333333335|lv5p#-1_6534.416666666667|lv3p#1_7847.05|lv5pE_1310.0|nta#A#3_35.0|nta#A#2_1908.0833333333333|nta#A#1_25055.41666666667|lv3pT_96083.83333333333|mlv5p#2_53.0|mlv5p#1_981.0|total_465127.0166666668|nta#AU_23.0|lv3pE_7847.05|mlv3p#3_24.0|mlv3p#2_41.0|nta#G#2_3.0|nta#G#1_1557.5|lv3p_103930.88333333333|lv3p#-3_4011.5|lv3p#-2_9187.25|lv3p#-1_82885.08333333333|nta#T_610.9999999999999
hsa-let-7a-5p	hsa-let-7a-1	415611.1166666628	1138.0	25409.6907539117	27051.597698219433	5p	mlv3p_1163.5|NucVar_6346.366666666661|canonical_265326.6666666667|nta#G_837.2000000000006|nta#C_626.3833333333341|nta#A_23386.999999999927|mv_2832.0000000000045|lv5p_7870.033333333328|nta#C#2_0.6666666666666666|nta#T#4_8.333333333333334|lv5p#2_3.0|nta#C#1_625.7166666666675|lv5p#1_1839.5|nta#T#3_135.0|nta#T#2_38.41666666666668|lv5pT_6027.533333333328|nta#T#1_382.8666666666666|nta#UA_13.0|mlv5p_810.75|lv5p#-3_754.8666666666669|lv5p#-2_1035.7333333333331|lv5p#-1_4236.933333333331|lv3p#2_352.0|lv3p#1_10681.466666666678|lv5pE_1842.5|nta#A#4_14.0|nta#A#3_88.0|nta#A#2_1628.699999999999|nta#A#1_21656.29999999995|lv3pT_94813.13333333321|mlv5p#2_730.75|mlv5p#1_80.0|total_415611.1166666628|nta#AU_3.2|lv3pE_11033.466666666678|mlv3p#3_38.5|mlv3p#2_1125.0|nta#G#2_28.333333333333332|nta#G#1_808.8666666666672|lv3p_105846.59999999979|lv3p#-3_2167.283333333334|lv3p#-2_10634.833333333336|lv3p#-1_82011.0166666666|nta#T_564.6166666666669
hsa-let-7a-5p	hsa-let-7a-3	414340.1166666628	1088.0	25331.984177612092	26968.869928687673	5p	mlv3p_49.0|NucVar_6346.366666666661|canonical_265326.6666666667|nta#G_797.2000000000006|nta#C_626.3833333333341|nta#A_23219.499999999927|mv_3913.500000000004|lv5p_7932.533333333328|nta#C#2_0.6666666666666666|lv5p#3_2.0|nta#T#4_8.333333333333334|nta#C#1_625.7166666666675|lv5p#1_1903.0|nta#T#3_114.99999999999999|nta#T#2_38.41666666666668|lv5pT_6027.533333333328|nta#T#1_363.8666666666666|mlv5p_89.75|lv5p#-3_754.8666666666669|lv5p#-2_1035.7333333333331|lv5p#-1_4236.933333333331|lv3p#2_19.0|lv3p#1_10681.466666666678|lv5pE_1905.0|nta#A#4_10.0|nta#A#3_63.00000000000001|nta#A#2_1599.699999999999|nta#A#1_21546.79999999995|lv3pT_94813.13333333321|mlv5p#2_9.75|mlv5p#1_80.0|total_414340.1166666628|nta#AU_3.2|lv3pE_10700.466666666678|mlv3p#2_49.0|nta#G#2_0.3333333333333333|nta#G#1_796.8666666666672|lv3p_105513.59999999979|lv3p#-3_2167.283333333334|lv3p#-2_10634.833333333336|lv3p#-1_82011.0166666666|nta#T_525.6166666666671
