name	pre-microRNA	RC_adj	UR	32151021_EXO_S1332151021_EXO_S13(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30a-5p	hsa-mir-30a	238349.0	998.0	31485.552317820606	184359.21850236415	5p	mlv3p_194.0|NucVar_1248.5|canonical_36035.0|nta#G_337.0|nta#C_383.0|nta#A_19159.5|mv_7532.5|lv5p_1289.0|nta#C#2_33.5|nta#C#1_349.5|lv5p#1_28.5|nta#T#2_16.0|lv5pT_1260.5|nta#T#1_4950.5|nta#UA_3.0|mlv5p_76.0|lv5p#-3_207.0|lv5p#-2_271.5|lv5p#-1_782.0|lv3p#3_19.0|lv3p#2_80913.5|lv3p#1_59952.5|lv5pE_28.5|nta#A#4_6.0|nta#A#3_110.0|nta#A#2_788.0|nta#A#1_18255.5|lv3pT_26243.0|mlv5p#1_76.0|total_238349.0|nta#AU_18.0|lv3pE_140885.0|mlv3p#2_194.0|nta#G#3_2.0|nta#G#2_83.0|nta#G#1_252.0|lv3p_167128.0|lv3p#-3_2625.0|lv3p#-2_1808.5|lv3p#-1_21809.5|nta#T_4966.5
hsa-miR-10b-5p	hsa-mir-10b	164367.5	806.0	21712.704985543798	127135.68694304294	5p	NucVar_943.0|canonical_17784.0|nta#G_122.5|nta#C_187.0|nta#A_8085.5|mv_8007.0|lv5p_4138.0|nta#C#1_187.0|lv5p#1_21.0|nta#T#3_8.0|nta#T#2_44.5|lv5pT_4117.0|nta#T#1_493.5|lv5p#-4_18.0|nta#UA_1.0|mlv5p_42.0|lv5p#-3_38.0|lv5p#-2_138.5|lv5p#-1_3922.5|lv3p#1_2581.0|lv5pE_21.0|nta#A#4_10.0|nta#A#3_49.0|nta#A#2_545.5|nta#A#1_7481.0|lv3pT_121931.5|mlv5p#1_42.0|total_164367.5|nta#AU_17.0|lv3pE_2581.0|nta#G#2_9.5|nta#G#1_113.0|lv3p_124512.5|lv3p#-4_249.0|lv3p#-3_1030.0|lv3p#-2_7423.5|lv3p#-1_113229.0|nta#T_546.0
hsa-miR-10a-5p	hsa-mir-10a	117514.5	830.0	15523.49260056694	90895.62524993213	5p	mlv3p_1.0|NucVar_841.0|canonical_18300.0|nta#G_94.5|nta#C_235.0|nta#A_8854.5|mv_10332.0|lv5p_8391.0|nta#C#1_235.0|nta#T#3_1.0|lv5p#1_33.0|nta#T#2_10.5|lv5pT_8358.0|nta#T#1_384.5|lv5p#-4_41.0|nta#UA_2.0|mlv5p_57.0|lv5p#-3_80.0|lv5p#-2_240.5|lv5p#-1_7996.5|lv3p#1_2304.0|lv5pE_33.0|nta#A#4_1.0|nta#A#3_35.0|nta#A#2_617.5|nta#A#1_8201.0|lv3pT_67708.5|mlv5p#2_16.0|mlv5p#1_41.0|total_117514.5|nta#AU_1.0|lv3pE_2304.0|mlv3p#2_1.0|nta#G#2_18.5|nta#G#1_76.0|lv3p_70012.5|lv3p#-4_127.0|lv3p#-3_542.0|lv3p#-2_4820.5|lv3p#-1_62219.0|nta#T_396.0
hsa-miR-30d-5p	hsa-mir-30d	93452.5	686.0	12344.937792821158	72284.04510651265	5p	mlv3p_98.5|NucVar_507.0|canonical_14150.0|nta#G_214.0|nta#C_125.0|nta#A_7963.0|mv_1814.5|lv5p_340.0|nta#C#2_22.5|nta#C#1_102.5|lv5p#1_18.0|nta#T#3_1.0|nta#T#2_35.0|lv5pT_322.0|nta#T#1_2487.0|nta#UA_1.0|lv5p#-3_104.0|lv5p#-2_71.0|lv5p#-1_147.0|lv3p#3_52.0|lv3p#2_31946.5|lv3p#1_22582.0|lv5pE_18.0|nta#A#3_11.0|nta#A#2_382.0|nta#A#1_7570.0|lv3pT_11137.0|total_93452.5|nta#AU_9.0|lv3pE_54580.5|mlv3p#3_1.0|mlv3p#2_97.5|nta#G#2_28.0|nta#G#1_186.0|lv3p_65717.5|lv3p#-3_499.5|lv3p#-2_1917.5|lv3p#-1_8720.0|nta#T_2523.0
hsa-let-7b-5p	hsa-let-7b	69771.08333333333	616.0	9216.65748361725	53966.84021076932	5p	mlv3p_65.0|NucVar_1036.5|canonical_28067.0|nta#G_534.5|nta#C_279.5|nta#A_10821.0|mv_371.8333333333333|lv5p_275.5|nta#T#4_2.0|nta#C#1_279.5|lv5p#1_21.0|nta#T#3_18.0|nta#T#2_143.0|lv5pT_254.5|nta#T#1_4604.0|nta#UA_59.0|mlv5p_19.0|lv5p#-2_35.0|lv5p#-1_219.5|lv3p#2_43.0|lv3p#1_15784.25|lv5pE_21.0|nta#A#4_13.0|nta#A#3_198.0|nta#A#2_2970.5|nta#A#1_7639.5|lv3pT_7707.0|mlv5p#1_19.0|total_69771.08333333333|nta#AU_33.0|lv3pE_15827.25|mlv3p#3_59.0|mlv3p#2_6.0|nta#G#1_534.5|lv3p_23534.25|lv3p#-3_104.0|lv3p#-2_1848.5|lv3p#-1_5754.5|nta#T_4767.0
hsa-let-7a-5p	hsa-let-7a-1	35497.20000000021	445.0	4689.1279079675105	27456.52824648796	5p	mlv3p_80.5|NucVar_674.5833333333336|canonical_23055.333333333332|nta#G_92.16666666666666|nta#C_74.36666666666665|nta#A_2303.300000000004|mv_166.41666666666669|lv5p_484.33333333333326|nta#T#5_1.0|nta#C#2_0.6666666666666666|nta#T#4_0.5333333333333333|nta#C#1_73.69999999999997|lv5p#1_179.0|nta#T#3_19.0|nta#T#2_2.3333333333333335|lv5pT_305.33333333333326|nta#T#1_11.266666666666667|mlv5p_21.0|lv5p#-3_17.666666666666668|lv5p#-2_51.66666666666667|lv5p#-1_236.0|lv3p#3_7.5|lv3p#2_68.0|lv3p#1_1359.2499999999986|lv5pE_179.0|nta#A#3_19.333333333333336|nta#A#2_214.70000000000005|nta#A#1_2069.2666666666655|lv3pT_7076.316666666662|mlv5p#2_7.0|mlv5p#1_14.0|total_35497.20000000021|nta#AU_0.2|lv3pE_1434.7499999999986|mlv3p#3_0.5|mlv3p#2_80.0|nta#G#1_92.16666666666666|lv3p_8511.066666666688|lv3p#-3_43.08333333333334|lv3p#-2_868.0000000000006|lv3p#-1_6165.2333333333345|nta#T_34.13333333333334
hsa-let-7a-5p	hsa-let-7a-2	35479.03333333354	430.0	4686.728118021784	27442.476614345764	5p	mlv3p_17.0|NucVar_674.5833333333336|canonical_23055.333333333332|nta#G_92.16666666666666|nta#C_74.36666666666665|nta#A_2574.800000000004|mv_144.75|lv5p_352.33333333333326|nta#C#2_0.6666666666666666|nta#T#4_0.5333333333333333|nta#C#1_73.69999999999997|lv5p#1_47.0|nta#T#3_19.0|nta#T#2_2.3333333333333335|lv5pT_305.33333333333326|nta#T#1_11.266666666666667|mlv5p_24.0|lv5p#-3_17.666666666666668|lv5p#-2_51.66666666666667|lv5p#-1_236.0|lv3p#2_1.0|lv3p#1_1359.2499999999986|lv5pE_47.0|nta#A#3_34.333333333333336|nta#A#2_478.6999999999999|nta#A#1_2061.7666666666655|lv3pT_7076.316666666662|mlv5p#3_10.0|mlv5p#1_14.0|total_35479.03333333354|nta#AU_0.2|lv3pE_1360.2499999999986|mlv3p#2_17.0|nta#G#1_92.16666666666666|lv3p_8436.566666666688|lv3p#-3_43.08333333333334|lv3p#-2_868.0000000000006|lv3p#-1_6165.2333333333345|nta#T_33.13333333333334
hsa-let-7a-5p	hsa-let-7a-3	35415.70000000021	433.0	4678.361877844026	27393.489272932617	5p	mlv3p_32.0|NucVar_674.5833333333336|canonical_23055.333333333332|nta#G_109.16666666666666|nta#C_74.36666666666665|nta#A_2303.800000000004|mv_212.41666666666669|lv5p_456.33333333333326|nta#C#2_0.6666666666666666|nta#T#4_0.5333333333333333|nta#C#1_73.69999999999997|lv5p#1_151.0|nta#T#3_20.0|nta#T#2_2.3333333333333335|lv5pT_305.33333333333326|nta#T#1_11.266666666666667|mlv5p_14.0|lv5p#-3_17.666666666666668|lv5p#-2_51.66666666666667|lv5p#-1_236.0|lv3p#2_14.0|lv3p#1_1359.2499999999986|lv5pE_151.0|nta#A#3_10.333333333333334|nta#A#2_214.70000000000005|nta#A#1_2078.7666666666655|lv3pT_7076.316666666662|mlv5p#1_14.0|total_35415.70000000021|nta#AU_0.2|lv3pE_1373.2499999999986|mlv3p#2_32.0|nta#G#3_16.0|nta#G#2_1.0|nta#G#1_92.16666666666666|lv3p_8449.566666666688|lv3p#-3_43.08333333333334|lv3p#-2_868.0000000000006|lv3p#-1_6165.2333333333345|nta#T_34.13333333333334
hsa-miR-26a-5p	hsa-mir-26a-2	30404.333333333332	366.0	4016.367712283767	23517.27564377746	5p	mlv3p_161.0|NucVar_830.0|canonical_23209.0|nta#G_23.0|nta#C_20.0|nta#A_2076.0|mv_56.0|lv5p_655.5|nta#C#2_0.5|nta#C#1_19.5|lv5p#1_156.0|nta#T#2_128.0|lv5pT_499.5|nta#T#1_1389.0|nta#UA_2.0|mlv5p_39.0|lv5p#-3_22.0|lv5p#-2_60.5|lv5p#-1_417.0|lv3p#2_9.0|lv3p#1_69.5|lv5pE_156.0|nta#A#2_369.5|nta#A#1_1706.5|lv3pT_1739.3333333333333|mlv5p#2_39.0|total_30404.333333333332|nta#AU_2.0|lv3pE_78.5|mlv3p#3_10.0|mlv3p#2_151.0|nta#G#2_0.5|nta#G#1_22.5|lv3p_1817.8333333333333|lv3p#-3_52.0|lv3p#-2_257.33333333333337|lv3p#-1_1430.0|nta#T_1517.0
hsa-miR-26a-5p	hsa-mir-26a-1	30220.333333333332	360.0	3992.0615829252256	23374.95452556662	5p	lv5p#-2_60.5|nta#A#1_1706.5|lv5p_528.5|lv5p#-1_417.0|canonical_23209.0|lv3pE_78.5|nta#C#2_0.5|nta#C#1_19.5|nta#AU_2.0|lv5pE_29.0|nta#G_23.0|nta#C_20.0|nta#G#2_0.5|nta#G#1_22.5|lv3p_1817.8333333333333|nta#A_2076.0|nta#UA_2.0|lv3p#2_9.0|lv3p#1_69.5|NucVar_830.0|nta#T#2_128.0|nta#T#1_1389.0|mv_48.0|mlv3p_151.0|lv3p#-3_52.0|lv3pT_1739.3333333333333|lv5p#1_29.0|lv3p#-2_257.33333333333337|lv3p#-1_1430.0|lv5pT_499.5|mlv3p#2_151.0|nta#T_1517.0|lv5p#-3_22.0|total_30220.333333333332|nta#A#2_369.5
