sample	readsRaw	readsPerc	reads	adapterDimerPerc	meanofmeans	meanofp50	meanofp10	meanofp25	meanofp75	meanofp90	readsUnique	avgRCperUnique	readsAdapterNotFound	readsAdapterNotFoundPerc	readsAdapterFound	readsAdapterFoundPerc	ultraShortReadsPerc	shortReadsPerc	meanMiRNAlength	stdDevMiRNAlength	modeMiRNAlength	mainPeakMiRNAlength	skewnessMiRNAlength	absskewnessMiRNAlength	microRNAPerc	rRNAPerc	tRNAPerc	un-assignedPerc	mRNA_sensePerc	mRNA_antisensePerc	snRNAPerc	snoRNAPerc	piRNAPerc	vaultRNAPerc	Y_RNAPerc	unmapped	bacteria	virus	refSpecies	miRNAexprTop1	miRNAexprTop5	miRNAexprTop20	miRNAexprp50	miRNAexprp75	miRNAexprp95	miRNAper1k
32151640_EXO_S32	1.2280577E7	74.96795142443226	9206497.0	4.633108911933702	33.21950439808327	35.5	26.775	35.5	35.5	35.5	726092.0	7.886734770021649	375181.0	3.055076320925312	1.1905396E7	96.94492367907469	11.788019591974571	14.409624051413727	22.14867403040028	1.344464286278194	22.0	80.73394780705027	0.11058235753650658	0.11058235753650658	3.4932287492191714	16.325795842807068	0.15214993873785718	57.51840249336963	1.0664163146219576	0.8498954309676683	0.0162845981722427	0.0162845981722427	0.12306531292750253	NA	0.11640692437090894	75.68598566859903	15.35132200662206	0.9255420384104831	8.03715028636842	20.690083707879147	56.51373551492435	86.70282908589554	4.0	11.0	45.0	0.7442757377742701
32151675_EXO_S28	1.3907834E7	77.14971288843395	1.0729854E7	0.836197679752056	32.70488891818094	35.5	18.55	35.0	35.5	35.5	808310.0	7.533280508756223	517548.0	3.721269609631521	1.3390286E7	96.27873039036848	15.07468407292781	11.818768352851848	22.196640302961825	1.0567501480480601	22.0	85.13872503564944	0.1860802227707678	0.1860802227707678	29.904964224117467	12.335233963353364	0.5929195352449178	38.61884793586194	0.7562967589127012	0.5843688516997414	0.01624351690635359	0.01624351690635359	0.20027273872169102	0.001705521808591245	0.3974518199408864	67.58943784323627	10.692615202406278	0.7307555163378741	20.98719143801956	15.154653752164336	58.86971443403204	89.0615050611657	4.0	9.0	35.0	0.10825499189427482
32151681_EXO_S21	7143944.0	80.48107599947592	5749523.0	1.8806984421905353	33.15237162238394	35.5	25.9	35.5	35.5	35.5	525595.0	9.141540959136957	211346.0	2.9583938507916634	6932598.0	97.04160614920833	8.435948316550677	9.655723390788157	22.262196762261613	1.2016748040859255	22.0	81.93423644137003	0.21819277675631862	0.21819277675631862	7.246409832606975	16.807498441871772	0.6255446465384584	55.076551567843104	0.7999642499199556	0.7766254287021277	0.011769517553099044	0.011769517553099044	0.14830986610474878	0.0024349846065491007	0.23928941583501798	55.24823537535201	24.99202107722674	1.2909766601507635	18.46876688727047	14.260373887543455	55.51513639376265	86.30663305864954	5.0	11.0	43.0	0.49890942497025287
32151161_EXO_S19	8829439.0	80.56620584841234	7113544.0	2.4706459910840124	33.13788373332666	35.5	25.15	35.5	35.5	35.5	648861.0	9.121487123717799	339330.0	3.8431660267430354	8490109.0	96.15683397325697	5.890510889667778	11.792228918308846	21.28223327558263	2.5790944643631044	22.0	65.98110993125803	-0.27830183590992236	0.27830183590992236	0.2537413137530326	15.65328085101841	0.053580495874299264	61.966468471974025	1.1509128264413122	0.9247889593044133	0.010285355878507412	0.010285355878507412	0.08082421930719332	NA	0.0016447497899781038	57.71941524505928	31.296074080655185	1.3470079049205288	9.637502769365032	13.360151154994817	48.134393856280845	86.78496982995061	6.0	12.0	33.0	6.5825562260010955
32151113_EXO_S24	1.1761258E7	58.65069876028568	6898060.0	2.243657823470321	32.99970408565137	35.5	22.775	35.3	35.5	35.5	614339.0	8.905967764849827	340911.0	2.898592990647769	1.1420347E7	97.10140700935223	35.77404474251222	16.23158715696898	22.120756332216786	1.6911806020553792	22.0	75.24798797513401	0.0714035698316456	0.0714035698316456	2.913862738219153	21.463342028925425	0.2081955961937089	48.919522300472885	1.0617385503449972	0.8537869229268876	0.023326478253444756	0.023326478253444756	0.19913752706023857	NA	0.09309863932757906	82.14873457174916	11.081188044174729	0.8265222395862023	5.9435551444899	20.235258404796237	50.6423869874276	79.77092914421594	5.0	16.0	57.0	1.4166097493106677
32140243_EXO_S2	1.6107843E7	79.56269501757622	1.2815834E7	0.09016083255131693	32.72013135386906	35.5	19.375	35.0	35.5	35.5	800102.0	6.2430739973691916	481982.0	2.9922193803354054	1.5625861E7	97.0077806196646	13.500419993200014	1.6850293037875304	22.276577088618136	1.0144298205639017	22.0	84.10407804690988	0.2726429004861003	0.2726429004861003	49.01024779191082	5.797403044298922	3.0967418503498574	24.645013348331446	0.4474015943452406	0.3590382802675273	0.006540749370512009	0.006540749370512009	0.22146990985004117	0.00442421460827286	1.20446316642366	28.874702965097708	6.995369946271153	0.3164678943250982	63.81345919430605	15.299127773610303	61.0040609755852	90.61028139924946	4.0	9.0	33.0	0.07122016821964741
32150300_EXO_S4	1.1648607E7	79.09981854482686	9214027.0	0.12819762780977034	32.85455975229485	35.5	20.075	35.2	35.5	35.5	963203.0	10.453659404297383	432401.0	3.7120404182233977	1.1216206E7	96.2879595817766	7.879107470564263	3.76876666114914	22.300407503093627	1.0380149167377042	22.0	82.6698790437178	0.2894057669592594	0.2894057669592594	24.4879681815559	13.75973233234689	1.5257491357592337	43.35730728811626	0.6800772695034011	0.5204969151657968	0.012403807838359608	0.012403807838359608	0.10845720007253055	0.002333398849384748	0.7350423435920038	76.74045235595685	6.768614852116236	0.21343545010232773	16.27749734182459	15.819107989492764	59.08673963940069	89.91500209526279	4.0	8.0	37.0	0.17528195833630378
32151662_EXO_S25	1.1047381E7	68.52375237171597	7570080.0	0.8037578135826872	33.00186252854862	35.5	22.7375	35.3	35.5	35.5	623281.0	8.233479699025638	353705.0	3.2017090747571757	1.0693676E7	96.79829092524282	25.572981475943525	17.422591131112586	22.157918513059542	1.2709562379342891	22.0	80.27411157796006	0.12425173137055459	0.12425173137055459	6.903784372159839	15.795260612501355	0.16859585895549678	51.92445786570287	1.0172581801873715	0.9520397471838111	0.01936765669166884	0.01936765669166884	0.1682930543472183	1.3209900027476592E-5	0.07124099084818127	58.699247564094435	22.721847061061467	1.8390426521252081	16.739862722718918	19.64664418167546	64.3696424587605	89.18723972513756	3.0	9.0	37.0	0.46975288149112804
32150296_EXO_S34	1.4830338E7	73.81594404658883	1.0947154E7	0.42863609564796884	33.38760073270077	35.5	28.825	35.5	35.5	35.5	714948.0	6.530902917781187	463790.0	3.1273056622175437	1.4366548E7	96.87269433778246	2.875427551896906	6.396180794004447	22.209684885026707	1.196458043761248	22.0	81.87636094329218	0.17525469122806087	0.17525469122806087	2.2736685717584773	16.944479450465845	0.18269717020310602	66.02732545828806	0.7882861826884521	0.821068065018798	0.0057378104326025895	0.0057378104326025895	0.054347065667786174	6.211660126458438E-4	0.06482963517275814	66.23094915810995	26.089356192486196	0.8066845501579681	6.873010099245886	11.469398347624534	51.57361147199999	87.05678133883524	5.0	11.0	38.0	0.6625273252123643
32151649_EXO_S7	1.6123991E7	81.5818428576399	1.3154249E7	0.3247953004601164	33.2342764804632	35.5	27.0	35.5	35.5	35.5	1087261.0	8.265473764408748	499201.0	3.0960138839075264	1.562479E7	96.90398611609247	4.323367647926505	8.230428453776053	22.173549048890177	1.0640153634722678	22.0	85.65218502808911	0.16310765318634432	0.16310765318634432	14.278542241369848	15.196198227790168	0.29799065652600304	53.59137568400902	0.827276666101989	0.7594970752440949	0.008443248529795605	0.008443248529795605	0.11928292611879691	2.2806319083666426E-5	0.2568523676266125	61.733338026366994	20.96540060933923	0.769241938479346	16.532019425814426	14.085479312593137	58.01127121106679	88.17687816078532	5.0	10.0	39.0	0.1909975074771922
