name	unique reads 32150887_EXO_S28 32150887_EXO_S28	32150887_EXO_S28	32150887_EXO_S28 (mult. map. adj.)	32150887_EXO_S2832150887_EXO_S28(lib)	32150887_EXO_S2832150887_EXO_S28(total)	coordinateString 32150887_EXO_S28 32150887_EXO_S28	32150887_EXO_S28 (lib)	32150887_EXO_S28 (total)
hsa-mir-30a	3159.0	3807164.0	3802784.5	192547.1335786623	151137.2878809869	6:hsa;hsa-mir-30a,71403551,71403621,-	192325.64057980338	150963.42992470376
hsa-let-7a-3	1114.0	2058494.0	689955.0000000069	104108.23363240325	81718.36051173111	22:hsa;hsa-let-7a-3,46112749,46112822,+	34894.440467567794	27389.92264581388
hsa-let-7a-1	1120.0	2056712.0	688121.000000007	104018.1090693329	81647.6184457198	9:hsa;hsa-let-7a-1,94175957,94176036,+	34801.68600703411	27317.116277090678
hsa-let-7a-2	1096.0	2056702.0	688985.1666666736	104017.60331982072	81647.22146442904	11:hsa;hsa-let-7a-2,122146522,122146593,-	34845.39119404494	27351.42207696616
hsa-mir-30d	1834.0	1707743.0	1704447.0	86369.0189177628	67794.20204061086	8:hsa;hsa-mir-30d,134804876,134804945,-	86202.3238785485	67663.35700718028
hsa-mir-10b	1612.0	1385348.0	1384390.5	70063.907519858	54995.72371753606	2:hsa;hsa-mir-10b,176150303,176150412,+	70015.48200406683	54957.712758946924
hsa-mir-10a	1863.0	1347930.0	1346968.5	68171.49399518546	53510.29912381465	17:hsa;hsa-mir-10a,48579838,48579947,-	68122.86617958943	53472.12937270921
hsa-let-7b	1691.0	1299841.0	1298478.0	65739.39516606639	51601.255794735895	22:hsa;hsa-let-7b,46113686,46113768,+	65670.46150755635	51547.147244806925
hsa-mir-26a-2	1078.0	1286353.0	644002.0000000001	65057.24022403894	51065.8074297748	12:hsa;hsa-mir-26a-2,57824609,57824692,-	32570.369734249878	25565.674520438664
hsa-mir-26a-1	1054.0	1285309.0	642958.0000000001	65004.43997496742	51024.362583020695	3:hsa;hsa-mir-26a-1,37969404,37969480,+	32517.56948517836	25524.229673684556
hsa-let-7f-2	676.0	806050.0	411421.8999999998	40765.939429213126	31998.676940754194	X:hsa;hsa-let-7f-2,53557192,53557274,-	20807.642522488393	16332.679690405397
hsa-let-7f-1	613.0	791468.0	396885.36666666646	40028.45549055326	31419.79882258525	9:hsa;hsa-let-7f-1,94176347,94176433,+	20072.458058277236	15755.606513838387
hsa-mir-125a	903.0	353137.0	353137.0	17859.88654824643	14018.878207092752	19:hsa;hsa-mir-125a,51693254,51693339,+	17859.88654824643	14018.878207092752
hsa-mir-30c-2	919.0	345299.0	178396.0	17463.48008060029	13707.724271404357	6:hsa;hsa-mir-30c-2,71376960,71377031,-	9022.368997473983	7081.9874344306
hsa-mir-30c-1	814.0	334604.0	167701.0	16922.58097732452	13283.152780949216	1:hsa;hsa-mir-30c-1,40757284,40757372,+	8481.469894198213	6657.415943975459
hsa-mir-200c	938.0	311764.0	311732.5	15767.449091506978	12376.447512880453	12:hsa;hsa-mir-200c,6963699,6963766,+	15765.855980543614	12375.197021814598
hsa-mir-21	745.0	305506.0	305506.0	15450.951046785167	12128.016621130266	17:hsa;hsa-mir-21,59841266,59841337,+	15450.951046785167	12128.016621130266
hsa-mir-200b	1202.0	289438.0	289406.5	14638.312730615457	11490.147083156147	1:hsa;hsa-mir-200b,1167104,1167198,+	14636.71961965209	11488.89659209029
hsa-let-7c	720.0	288023.0	286129.01666666666	14566.749174642084	11433.974230515285	21:hsa;hsa-let-7c,16539828,16539911,+	14470.961059951176	11358.78663568307
hsa-mir-204	813.0	272252.0	272216.5	13769.131618984096	10807.895036876385	9:hsa;hsa-mir-204,70809975,70810084,-	13767.33620821586	10806.48575329423
hsa-let-7g	589.0	269822.0	268731.1166666667	13646.234487524525	10711.428583224586	3:hsa;hsa-let-7g,52268278,52268361,-	13591.06311615674	10668.122555852357
