name	unique reads 181004-190521_Brain_S35 181004-190521_Brain_S35	181004-190521_Brain_S35	181004-190521_Brain_S35 (mult. map. adj.)	181004-190521_Brain_S35181004-190521_Brain_S35(lib)	181004-190521_Brain_S35181004-190521_Brain_S35(total)	coordinateString 181004-190521_Brain_S35 181004-190521_Brain_S35	181004-190521_Brain_S35 (lib)	181004-190521_Brain_S35 (total)
URS000007E37F_9606_tRNA-Arg (anticodon TCT) 4-1:tRNA:Homo_sapiens	73.0	22825.0	22825.0	218414.78235074593	767.9877536487746	1:hsa;URS000007E37F_9606_tRNA-Arg (anticodon TCT) 4-1:tRNA:Homo_sapiens,159141625,159141684,-	218414.78235074593	767.9877536487746
URS0000027F06_9606_tRNA-Ser:tRNA:Homo_sapiens	314.0	9031.0	2296.1000000000004	86418.57171564453	303.86407023886454	MT:hsa;URS0000027F06_9606_tRNA-Ser:tRNA:Homo_sapiens,12207,12265,+	21971.618039673507	77.25637157296612
URS000003F315_9606_tRNA-Ser:tRNA:Homo_sapiens	314.0	9031.0	2296.1000000000004	86418.57171564453	303.86407023886454	MT:hsa;URS000003F315_9606_tRNA-Ser:tRNA:Homo_sapiens,12207,12265,+	21971.618039673507	77.25637157296612
URS0000050C0F_9606_tRNA-Ser:tRNA:Homo_sapiens	314.0	9031.0	2296.1000000000004	86418.57171564453	303.86407023886454	MT:hsa;URS0000050C0F_9606_tRNA-Ser:tRNA:Homo_sapiens,12207,12265,+	21971.618039673507	77.25637157296612
URS0000024989_9606_piR-34531:piRNA:Homo_sapiens	231.0	8022.0	2005.5	76763.34650679884	269.9144692122878	MT:hsa;URS0000024989_9606_piR-34531:piRNA:Homo_sapiens,12207,12235,+	19190.83662669971	67.47861730307196
URS00000433C6_9606_tRNA-Gln:tRNA:Homo_sapiens	204.0	6458.0	1076.3333333333333	61797.26897792408	217.2909052820936	1:hsa;URS00000433C6_9606_tRNA-Gln:tRNA:Homo_sapiens,629511,629570,-	10299.544829654013	36.21515088034893
URS00000A0499_9606_tRNA-Gln:tRNA:Homo_sapiens	204.0	6458.0	1076.3333333333333	61797.26897792408	217.2909052820936	MT:hsa;URS00000A0499_9606_tRNA-Gln:tRNA:Homo_sapiens,4341,4400,-	10299.544829654013	36.21515088034893
URS00000433C6_9606_tRNA-Gln:tRNA:Homo_sapiens	204.0	6458.0	1076.3333333333333	61797.26897792408	217.2909052820936	MT:hsa;URS00000433C6_9606_tRNA-Gln:tRNA:Homo_sapiens,4341,4400,-	10299.544829654013	36.21515088034893
URS00000AA031_9606_tRNA-Gln:tRNA:Homo_sapiens	204.0	6458.0	1076.3333333333333	61797.26897792408	217.2909052820936	MT:hsa;URS00000AA031_9606_tRNA-Gln:tRNA:Homo_sapiens,4341,4400,-	10299.544829654013	36.21515088034893
URS00000AA031_9606_tRNA-Gln:tRNA:Homo_sapiens	204.0	6458.0	1076.3333333333333	61797.26897792408	217.2909052820936	1:hsa;URS00000AA031_9606_tRNA-Gln:tRNA:Homo_sapiens,629511,629570,-	10299.544829654013	36.21515088034893
URS00000A0499_9606_tRNA-Gln:tRNA:Homo_sapiens	204.0	6458.0	1076.3333333333333	61797.26897792408	217.2909052820936	1:hsa;URS00000A0499_9606_tRNA-Gln:tRNA:Homo_sapiens,629511,629570,-	10299.544829654013	36.21515088034893
URS00000208B4_9606_tRNA-Asn:tRNA:Homo_sapiens	168.0	6051.0	606.3250000000007	57902.64394323608	203.59666581944074	1:hsa;URS00000208B4_9606_tRNA-Asn:tRNA:Homo_sapiens,630840,630899,-	5801.986545840797	20.400883887452085
URS00000601BA_9606_tRNA-Asn:tRNA:Homo_sapiens	168.0	6051.0	606.3250000000007	57902.64394323608	203.59666581944074	1:hsa;URS00000601BA_9606_tRNA-Asn:tRNA:Homo_sapiens,630840,630899,-	5801.986545840797	20.400883887452085
URS00000601BA_9606_tRNA-Asn:tRNA:Homo_sapiens	168.0	6051.0	606.3250000000007	57902.64394323608	203.59666581944074	MT:hsa;URS00000601BA_9606_tRNA-Asn:tRNA:Homo_sapiens,5670,5729,-	5801.986545840797	20.400883887452085
URS00000208B4_9606_tRNA-Asn:tRNA:Homo_sapiens	168.0	6051.0	606.3250000000007	57902.64394323608	203.59666581944074	MT:hsa;URS00000208B4_9606_tRNA-Asn:tRNA:Homo_sapiens,5670,5729,-	5801.986545840797	20.400883887452085
URS000008BA3B_9606_tRNA-Asn:tRNA:Homo_sapiens	168.0	6051.0	606.3250000000007	57902.64394323608	203.59666581944074	MT:hsa;URS000008BA3B_9606_tRNA-Asn:tRNA:Homo_sapiens,5670,5729,-	5801.986545840797	20.400883887452085
URS000008BA3B_9606_tRNA-Asn:tRNA:Homo_sapiens	168.0	6051.0	606.3250000000007	57902.64394323608	203.59666581944074	1:hsa;URS000008BA3B_9606_tRNA-Asn:tRNA:Homo_sapiens,630840,630899,-	5801.986545840797	20.400883887452085
URS00000C8C12_9606_tRNA-Asn:tRNA:Homo_sapiens	168.0	6051.0	606.3250000000007	57902.64394323608	203.59666581944074	MT:hsa;URS00000C8C12_9606_tRNA-Asn:tRNA:Homo_sapiens,5670,5729,-	5801.986545840797	20.400883887452085
URS00000C8C12_9606_tRNA-Asn:tRNA:Homo_sapiens	168.0	6051.0	606.3250000000007	57902.64394323608	203.59666581944074	1:hsa;URS00000C8C12_9606_tRNA-Asn:tRNA:Homo_sapiens,630840,630899,-	5801.986545840797	20.400883887452085
URS000005FBEE_9606_tRNA-Asn:tRNA:Homo_sapiens	162.0	6002.0	600.2000000000007	57433.75788254882	201.94797359912135	1:hsa;URS000005FBEE_9606_tRNA-Asn:tRNA:Homo_sapiens,630841,630900,-	5743.37578825489	20.19479735991216
URS000005FBEE_9606_tRNA-Asn:tRNA:Homo_sapiens	162.0	6002.0	600.2000000000007	57433.75788254882	201.94797359912135	MT:hsa;URS000005FBEE_9606_tRNA-Asn:tRNA:Homo_sapiens,5671,5730,-	5743.37578825489	20.19479735991216
URS000001924B_9606_tRNA-Phe:tRNA:Homo_sapiens	262.0	5788.0	4538.5	55385.96978077185	194.7475626777265	MT:hsa;URS000001924B_9606_tRNA-Phe:tRNA:Homo_sapiens,577,636,+	43429.375233246894	152.70591105958218
URS0000007D24_9606:otherRNA:Homo_sapiens	162.0	5752.0	5740.0	55041.482062715906	193.53627859749184	7:hsa;URS0000007D24_9606:otherRNA:Homo_sapiens,148963315,148963374,+	54926.652823363926	193.13251723741362
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	258.0	5739.0	717.375	54917.08372008459	193.09887045740712	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161469411,161469470,-	6864.635465010574	24.13735880717589
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	258.0	5739.0	717.375	54917.08372008459	193.09887045740712	6:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,28982199,28982258,+	6864.635465010574	24.13735880717589
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	258.0	5739.0	717.375	54917.08372008459	193.09887045740712	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,146035692,146035751,+	6864.635465010574	24.13735880717589
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	258.0	5739.0	717.375	54917.08372008459	193.09887045740712	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161454620,161454679,-	6864.635465010574	24.13735880717589
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	258.0	5739.0	717.375	54917.08372008459	193.09887045740712	6:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,125780259,125780318,-	6864.635465010574	24.13735880717589
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	258.0	5739.0	717.375	54917.08372008459	193.09887045740712	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,248874248,248874307,+	6864.635465010574	24.13735880717589
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	258.0	5739.0	717.375	54917.08372008459	193.09887045740712	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161447240,161447299,-	6864.635465010574	24.13735880717589
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	258.0	5739.0	717.375	54917.08372008459	193.09887045740712	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161462031,161462090,-	6864.635465010574	24.13735880717589
URS0000005270_9606:rRNA:Homo_sapiens	203.0	4477.0	1119.25	42840.875381567996	150.63663408918134	21:hsa;URS0000005270_9606:rRNA:Homo_sapiens,8439822,8439881,+	10710.218845391999	37.659158522295336
URS0000005270_9606:rRNA:Homo_sapiens	203.0	4477.0	1119.25	42840.875381567996	150.63663408918134	21:hsa;URS0000005270_9606:rRNA:Homo_sapiens,8395606,8395665,+	10710.218845391999	37.659158522295336
URS0000005270_9606:rRNA:Homo_sapiens	203.0	4477.0	1119.25	42840.875381567996	150.63663408918134	21:hsa;URS0000005270_9606:rRNA:Homo_sapiens,8256780,8256839,+	10710.218845391999	37.659158522295336
URS0000005270_9606:rRNA:Homo_sapiens	203.0	4477.0	1119.25	42840.875381567996	150.63663408918134	21:hsa;URS0000005270_9606:rRNA:Homo_sapiens,8212571,8212630,+	10710.218845391999	37.659158522295336
URS000000DAFC_9606:snoRNA:Homo_sapiens	129.0	4330.0	4329.0	41434.21719950624	145.69055742822317	15:hsa;URS000000DAFC_9606:snoRNA:Homo_sapiens,25197576,25197635,+	41424.648096226905	145.65691064821667
URS000003C478_9606_tRNA-Leu:tRNA:Homo_sapiens	147.0	3761.0	955.25	35989.397433566504	126.5455396045144	MT:hsa;URS000003C478_9606_tRNA-Leu:tRNA:Homo_sapiens,3229,3288,+	9140.8859075816	32.14108660122637
URS00000C9B94_9606_tRNA-Leu:tRNA:Homo_sapiens	147.0	3745.0	936.5833333333334	35836.29178109719	126.00719112441011	MT:hsa;URS00000C9B94_9606_tRNA-Leu:tRNA:Homo_sapiens,3230,3289,+	8962.26264636741	31.513013374438035
URS00000C04C6_9606_tRNA-Leu:tRNA:Homo_sapiens	147.0	3745.0	936.5833333333334	35836.29178109719	126.00719112441011	MT:hsa;URS00000C04C6_9606_tRNA-Leu:tRNA:Homo_sapiens,3230,3289,+	8962.26264636741	31.513013374438035
URS000005981D_9606_tRNA-Leu:tRNA:Homo_sapiens	147.0	3745.0	936.5833333333334	35836.29178109719	126.00719112441011	MT:hsa;URS000005981D_9606_tRNA-Leu:tRNA:Homo_sapiens,3230,3289,+	8962.26264636741	31.513013374438035
URS00000A8253_9606:tRNA:Homo_sapiens	139.0	2499.0	1249.5	23913.189095049904	84.08330323628861	MT:hsa;URS00000A8253_9606:tRNA:Homo_sapiens,576,635,+	11956.594547524952	42.04165161814431
