name	unique reads 180726-190530_Brain_S36 180726-190530_Brain_S36	180726-190530_Brain_S36	180726-190530_Brain_S36 (mult. map. adj.)	180726-190530_Brain_S36180726-190530_Brain_S36(lib)	180726-190530_Brain_S36180726-190530_Brain_S36(total)	coordinateString 180726-190530_Brain_S36 180726-190530_Brain_S36	180726-190530_Brain_S36 (lib)	180726-190530_Brain_S36 (total)
ENST00000390856.1-ENSG00000212158.1:snoRNA	27.0	998.0	998.0	111408.79660638534	66.46204614264074	3:hsa;ENST00000390856.1-ENSG00000212158.1:snoRNA,184325696,184325755,+	111408.79660638534	66.46204614264074
ENST00000411292.1-ENSG00000223224.1:snoRNA	16.0	486.0	486.0	54253.18151373074	32.36528499531403	16:hsa;ENST00000411292.1-ENSG00000223224.1:snoRNA,71758428,71758487,-	54253.18151373074	32.36528499531403
ENST00000363090.1-ENSG00000199960.1:snoRNA	17.0	473.0	365.0	52801.96472426881	31.499546919307686	15:hsa;ENST00000363090.1-ENSG00000199960.1:snoRNA,25194921,25194980,+	40745.702165661976	24.307261364793458
ENST00000390981.1-ENSG00000212283.1:snoRNA	10.0	463.0	463.0	51685.6441169904	30.83359455314896	2:hsa;ENST00000390981.1-ENSG00000212283.1:snoRNA,101272990,101273049,-	51685.6441169904	30.83359455314896
ENST00000363723.1-ENSG00000200593.1:snoRNA	21.0	412.0	260.5	45992.4090198705	27.437237485739463	15:hsa;ENST00000363723.1-ENSG00000200593.1:snoRNA,25230838,25230897,+	29080.151819602586	17.34805913843478
ENST00000362842.1-ENSG00000199712.1:snoRNA	14.0	341.0	341.0	38066.532708193794	22.70897568601252	15:hsa;ENST00000362842.1-ENSG00000199712.1:snoRNA,25172635,25172694,+	38066.532708193794	22.70897568601252
ENST00000365391.1-ENSG00000202261.1:snoRNA	15.0	303.0	151.5	33824.51440053583	20.178356694609363	15:hsa;ENST00000365391.1-ENSG00000202261.1:snoRNA,25250859,25250918,+	16912.257200267915	10.089178347304681
ENST00000364079.1-ENSG00000200949.1:snoRNA	13.0	255.0	251.0	28466.175485599462	16.981785337047484	15:hsa;ENST00000364079.1-ENSG00000200949.1:snoRNA,25228967,25229026,+	28019.647242688097	16.715404390583995
ENST00000363608.1-ENSG00000200478.1:snoRNA	11.0	245.0	220.33333333333334	27349.85487832105	16.31583297088876	15:hsa;ENST00000363608.1-ENSG00000200478.1:snoRNA,25245478,25245537,+	24596.264047034307	14.673150467697239
ENST00000365073.1-ENSG00000201943.1:snoRNA	13.0	237.0	109.00434782608696	26456.798392498324	15.783071077961779	15:hsa;ENST00000365073.1-ENSG00000201943.1:snoRNA,25187536,25187595,+	12168.379976120445	7.259170335637126
ENST00000383894.1-ENSG00000206621.1:snoRNA	12.0	207.0	7.970899733480379	23107.836570663094	13.785213979485604	15:hsa;ENST00000383894.1-ENSG00000206621.1:snoRNA,25080142,25080201,+	889.8079631034135	0.5308239537925208
ENST00000384529.1-ENSG00000278715.1:snoRNA	12.0	207.0	7.970899733480379	23107.836570663094	13.785213979485604	15:hsa;ENST00000384529.1-ENSG00000278715.1:snoRNA,25086527,25086586,+	889.8079631034135	0.5308239537925208
