name	unique reads 32160187_EXO_S9 32160187_EXO_S9	32160187_EXO_S9	32160187_EXO_S9 (mult. map. adj.)	32160187_EXO_S932160187_EXO_S9(lib)	32160187_EXO_S932160187_EXO_S9(total)	coordinateString 32160187_EXO_S9 32160187_EXO_S9	32160187_EXO_S9 (lib)	32160187_EXO_S9 (total)
ENST00000364931.1-ENSG00000201801.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	1:hsa;ENST00000364931.1-ENSG00000201801.1:snRNA,11909868,11909927,-	96250.0	1.0032063517293583
ENST00000516712.1-ENSG00000252521.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	9:hsa;ENST00000516712.1-ENSG00000252521.1:snRNA,132421641,132421690,+	96250.0	1.0032063517293583
ENST00000363299.1-ENSG00000200169.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	1:hsa;ENST00000363299.1-ENSG00000200169.1:snRNA,44731111,44731170,-	96250.0	1.0032063517293583
ENST00000629478.1-ENSG00000281499.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	1:hsa;ENST00000629478.1-ENSG00000281499.1:snRNA,210374208,210374267,-	96250.0	1.0032063517293583
ENST00000362477.1-ENSG00000199347.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	1:hsa;ENST00000362477.1-ENSG00000199347.1:snRNA,11908152,11908211,+	96250.0	1.0032063517293583
ENST00000363286.1-ENSG00000200156.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	15:hsa;ENST00000363286.1-ENSG00000200156.1:snRNA,65304677,65304736,+	96250.0	1.0032063517293583
ENST00000362507.1-ENSG00000199377.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	1:hsa;ENST00000362507.1-ENSG00000199377.1:snRNA,44721843,44721902,-	96250.0	1.0032063517293583
ENST00000362698.1-ENSG00000199568.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	15:hsa;ENST00000362698.1-ENSG00000199568.1:snRNA,65296051,65296110,+	96250.0	1.0032063517293583
ENST00000365574.1-ENSG00000202444.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	1:hsa;ENST00000365574.1-ENSG00000202444.1:snRNA,44819938,44819997,-	96250.0	1.0032063517293583
ENST00000364102.1-ENSG00000200972.1:snRNA	1.0	77.0	7.7	962499.9999999999	10.032063517293583	1:hsa;ENST00000364102.1-ENSG00000200972.1:snRNA,210374208,210374267,-	96250.0	1.0032063517293583
ENST00000365488.1-ENSG00000202358.1:snRNA	1.0	1.0	0.16666666666666666	12499.999999999998	0.13028653918563096	4:hsa;ENST00000365488.1-ENSG00000202358.1:snRNA,55885595,55885654,+	2083.333333333333	0.021714423197605158
ENST00000516253.1-ENSG00000252062.1:snRNA	1.0	1.0	0.5	12499.999999999998	0.13028653918563096	4:hsa;ENST00000516253.1-ENSG00000252062.1:snRNA,84886427,84886486,-	6249.999999999999	0.06514326959281548
ENST00000635778.1-ENSG00000283256.1:snRNA	1.0	1.0	0.5	12499.999999999998	0.13028653918563096	12:hsa;ENST00000635778.1-ENSG00000283256.1:snRNA,31366288,31366347,+	6249.999999999999	0.06514326959281548
ENST00000384565.1-ENSG00000207295.1:snRNA	1.0	1.0	0.16666666666666666	12499.999999999998	0.13028653918563096	2:hsa;ENST00000384565.1-ENSG00000207295.1:snRNA,38884607,38884666,-	2083.333333333333	0.021714423197605158
ENST00000606352.1-ENSG00000272337.1:snRNA	1.0	1.0	0.16666666666666666	12499.999999999998	0.13028653918563096	15:hsa;ENST00000606352.1-ENSG00000272337.1:snRNA,51907200,51907259,+	2083.333333333333	0.021714423197605158
ENST00000637707.1-ENSG00000283369.1:snRNA	1.0	1.0	0.16666666666666666	12499.999999999998	0.13028653918563096	1:hsa;ENST00000637707.1-ENSG00000283369.1:snRNA,247607142,247607201,-	2083.333333333333	0.021714423197605158
ENST00000364574.1-ENSG00000201444.1:snRNA	1.0	1.0	0.16666666666666666	12499.999999999998	0.13028653918563096	9:hsa;ENST00000364574.1-ENSG00000201444.1:snRNA,117708043,117708102,-	2083.333333333333	0.021714423197605158
ENST00000365223.1-ENSG00000202093.1:snoRNA	1.0	1.0	1.0	12499.999999999998	0.13028653918563096	18:hsa;ENST00000365223.1-ENSG00000202093.1:snoRNA,49489249,49489308,-	12499.999999999998	0.13028653918563096
ENST00000363585.1-ENSG00000200455.1:snRNA	1.0	1.0	0.16666666666666666	12499.999999999998	0.13028653918563096	4:hsa;ENST00000363585.1-ENSG00000200455.1:snRNA,40077884,40077943,+	2083.333333333333	0.021714423197605158
