name	unique reads 181023-190319_Brain_S29	181023-190319_Brain_S29	read count (mult. map. adj.)	181023-190319_Brain_S29181023-190319_Brain_S29(lib)	RPM (total)	coordinateString 181023-190319_Brain_S29	181023-190319_Brain_S29 (lib)	RPM_adj (total)
ENST00000361567.2-ENSG00000198786.2:protein_coding	7.0	237.0	237.0	287272.7272727273	8.789693672499796	MT:hsa;ENST00000361567.2-ENSG00000198786.2:protein_coding,12337,12396,+	287272.7272727273	8.789693672499796
ENST00000361739.1-ENSG00000198712.1:protein_coding	10.0	189.0	94.5	229090.9090909091	7.009502548955534	1:hsa;ENST00000361739.1-ENSG00000198712.1:protein_coding,632757,632816,+	114545.45454545454	3.504751274477767
ENST00000361739.1-ENSG00000198712.1:protein_coding	10.0	189.0	94.5	229090.9090909091	7.009502548955534	MT:hsa;ENST00000361739.1-ENSG00000198712.1:protein_coding,7586,7645,+	114545.45454545454	3.504751274477767
ENST00000361453.3-ENSG00000198763.3:protein_coding	10.0	166.0	83.0	201212.12121212122	6.156494302257242	MT:hsa;ENST00000361453.3-ENSG00000198763.3:protein_coding,4470,4529,+	100606.06060606061	3.078247151128621
ENST00000361453.3-ENSG00000198763.3:protein_coding	10.0	166.0	83.0	201212.12121212122	6.156494302257242	1:hsa;ENST00000361453.3-ENSG00000198763.3:protein_coding,629640,629699,+	100606.06060606061	3.078247151128621
ENST00000361681.2-ENSG00000198695.2:protein_coding	5.0	161.0	161.0	195151.51515151517	5.971057726888048	MT:hsa;ENST00000361681.2-ENSG00000198695.2:protein_coding,14614,14673,-	195151.51515151517	5.971057726888048
ENST00000417199.4-ENSG00000232804.5:protein_coding	1.0	68.0	34.0	82424.24242424243	2.5219374250210387	6:hsa;ENST00000417199.4-ENSG00000232804.5:protein_coding,31827948,31828007,+	41212.121212121216	1.2609687125105193
ENST00000417199.4-ENSG00000232804.5:protein_coding	1.0	68.0	34.0	82424.24242424243	2.5219374250210387	6:hsa;ENST00000417199.4-ENSG00000232804.5:protein_coding,31815754,31815813,+	41212.121212121216	1.2609687125105193
ENST00000576814.2-ENSG00000263242.2:protein_coding	2.0	2.0	2.0	2424.2424242424245	0.07417463014767761	17:hsa;ENST00000576814.2-ENSG00000263242.2:protein_coding,41030045,41030104,-	2424.2424242424245	0.07417463014767761
ENST00000626041.1-ENSG00000273607.3:nonsense_mediated_decay	1.0	2.0	2.0	2424.2424242424245	0.07417463014767761	22:hsa;ENST00000626041.1-ENSG00000273607.3:nonsense_mediated_decay,23767861,23767920,-	2424.2424242424245	0.07417463014767761
