name	unique reads 32170073_EXO_S22	32170073_EXO_S22	read count (mult. map. adj.)	32170073_EXO_S2232170073_EXO_S22(lib)	RPM (total)	coordinateString 32170073_EXO_S22	32170073_EXO_S22 (lib)	RPM_adj (total)
ENST00000633987.1-ENSG00000282305.1:IG_V_gene	1.0	53.0	26.5	929824.5614035088	5.7750919846844555	14:hsa;ENST00000633987.1-ENSG00000282305.1:IG_V_gene,106811072,106811131,-	464912.2807017544	2.8875459923422278
ENST00000424969.2-ENSG00000224650.2:IG_V_gene	1.0	53.0	26.5	929824.5614035088	5.7750919846844555	14:hsa;ENST00000424969.2-ENSG00000224650.2:IG_V_gene,106811072,106811131,-	464912.2807017544	2.8875459923422278
ENST00000452762.5-ENSG00000230791.8:protein_coding	1.0	1.0	0.5	17543.859649122805	0.10896399971102746	6:hsa;ENST00000452762.5-ENSG00000230791.8:protein_coding,31587009,31587068,+	8771.929824561403	0.05448199985551373
ENST00000616929.4-ENSG00000276537.4:protein_coding	1.0	1.0	0.25	17543.859649122805	0.10896399971102746	19:hsa;ENST00000616929.4-ENSG00000276537.4:protein_coding,54415431,54415490,+	4385.964912280701	0.027240999927756866
ENST00000620298.4-ENSG00000276537.4:protein_coding	1.0	1.0	0.25	17543.859649122805	0.10896399971102746	19:hsa;ENST00000620298.4-ENSG00000276537.4:protein_coding,54415450,54415509,+	4385.964912280701	0.027240999927756866
ENST00000611711.4-ENSG00000276887.4:protein_coding	1.0	1.0	0.25	17543.859649122805	0.10896399971102746	19:hsa;ENST00000611711.4-ENSG00000276887.4:protein_coding,54415426,54415485,+	4385.964912280701	0.027240999927756866
ENST00000443931.5-ENSG00000235915.8:protein_coding	1.0	1.0	0.5	17543.859649122805	0.10896399971102746	6:hsa;ENST00000443931.5-ENSG00000235915.8:protein_coding,31587009,31587068,+	8771.929824561403	0.05448199985551373
ENST00000630108.2-ENSG00000275744.4:nonsense_mediated_decay	1.0	1.0	1.0	17543.859649122805	0.10896399971102746	22:hsa;ENST00000630108.2-ENSG00000275744.4:nonsense_mediated_decay,23857471,23857530,+	17543.859649122805	0.10896399971102746
ENST00000611133.4-ENSG00000276887.4:protein_coding	1.0	1.0	0.25	17543.859649122805	0.10896399971102746	19:hsa;ENST00000611133.4-ENSG00000276887.4:protein_coding,54415431,54415490,+	4385.964912280701	0.027240999927756866
ENST00000576814.2-ENSG00000263242.2:protein_coding	1.0	1.0	1.0	17543.859649122805	0.10896399971102746	17:hsa;ENST00000576814.2-ENSG00000263242.2:protein_coding,41030045,41030104,-	17543.859649122805	0.10896399971102746
