name	unique reads 32170032_EXO_S21	32170032_EXO_S21	read count (mult. map. adj.)	32170032_EXO_S2132170032_EXO_S21(lib)	RPM (total)	coordinateString 32170032_EXO_S21	32170032_EXO_S21 (lib)	RPM_adj (total)
URS00000A5ABE_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS00000A5ABE_9606:rRNA:Homo_sapiens,8399772,8399831,+	36562.22693796036	78.36304966836845
URS000005D9C4_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS000005D9C4_9606:rRNA:Homo_sapiens,8399772,8399831,+	36562.22693796036	78.36304966836845
URS000008D842_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS000008D842_9606:rRNA:Homo_sapiens,8399772,8399831,+	36562.22693796036	78.36304966836845
URS000008D842_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS000008D842_9606:rRNA:Homo_sapiens,8216738,8216797,+	36562.22693796036	78.36304966836845
URS00000A5ABE_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS00000A5ABE_9606:rRNA:Homo_sapiens,8216738,8216797,+	36562.22693796036	78.36304966836845
URS000003B35A_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS000003B35A_9606:rRNA:Homo_sapiens,8399772,8399831,+	36562.22693796036	78.36304966836845
URS0000086682_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS0000086682_9606:rRNA:Homo_sapiens,8444007,8444066,+	36562.22693796036	78.36304966836845
URS0000086682_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS0000086682_9606:rRNA:Homo_sapiens,8399772,8399831,+	36562.22693796036	78.36304966836845
URS000008D842_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS000008D842_9606:rRNA:Homo_sapiens,8444007,8444066,+	36562.22693796036	78.36304966836845
URS0000086682_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS0000086682_9606:rRNA:Homo_sapiens,8216738,8216797,+	36562.22693796036	78.36304966836845
URS000005D9C4_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS000005D9C4_9606:rRNA:Homo_sapiens,8216738,8216797,+	36562.22693796036	78.36304966836845
URS000003B35A_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS000003B35A_9606:rRNA:Homo_sapiens,8444007,8444066,+	36562.22693796036	78.36304966836845
URS00000A5ABE_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS00000A5ABE_9606:rRNA:Homo_sapiens,8444007,8444066,+	36562.22693796036	78.36304966836845
URS000003B35A_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS000003B35A_9606:rRNA:Homo_sapiens,8216738,8216797,+	36562.22693796036	78.36304966836845
URS000005D9C4_9606:rRNA:Homo_sapiens	217.0	8787.0	585.800000000001	548433.4040694045	1175.4457450255247	21:hsa;URS000005D9C4_9606:rRNA:Homo_sapiens,8444007,8444066,+	36562.22693796036	78.36304966836845
