name	unique reads 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (mult. map. adj.)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(lib)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(total)	coordinateString 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (lib)	180626-180628-190531_Brain_S32 (total)
URS000007E37F_9606_tRNA-Arg (anticodon TCT) 4-1:tRNA:Homo_sapiens	43.0	6345.0	6345.0	170047.97255648166	608.9138071709605	1:hsa;URS000007E37F_9606_tRNA-Arg (anticodon TCT) 4-1:tRNA:Homo_sapiens,159141625,159141684,-	170047.97255648166	608.9138071709605
URS00000C8C12_9606_tRNA-Asn:tRNA:Homo_sapiens	72.0	2432.0	243.24999999999994	65178.3560689304	233.3929675397598	1:hsa;URS00000C8C12_9606_tRNA-Asn:tRNA:Homo_sapiens,630840,630899,-	6519.175622437219	23.344095129130988
URS00000601BA_9606_tRNA-Asn:tRNA:Homo_sapiens	72.0	2432.0	243.24999999999994	65178.3560689304	233.3929675397598	MT:hsa;URS00000601BA_9606_tRNA-Asn:tRNA:Homo_sapiens,5670,5729,-	6519.175622437219	23.344095129130988
URS000008BA3B_9606_tRNA-Asn:tRNA:Homo_sapiens	72.0	2432.0	243.24999999999994	65178.3560689304	233.3929675397598	1:hsa;URS000008BA3B_9606_tRNA-Asn:tRNA:Homo_sapiens,630840,630899,-	6519.175622437219	23.344095129130988
URS00000601BA_9606_tRNA-Asn:tRNA:Homo_sapiens	72.0	2432.0	243.24999999999994	65178.3560689304	233.3929675397598	1:hsa;URS00000601BA_9606_tRNA-Asn:tRNA:Homo_sapiens,630840,630899,-	6519.175622437219	23.344095129130988
URS00000C8C12_9606_tRNA-Asn:tRNA:Homo_sapiens	72.0	2432.0	243.24999999999994	65178.3560689304	233.3929675397598	MT:hsa;URS00000C8C12_9606_tRNA-Asn:tRNA:Homo_sapiens,5670,5729,-	6519.175622437219	23.344095129130988
URS00000208B4_9606_tRNA-Asn:tRNA:Homo_sapiens	72.0	2432.0	243.24999999999994	65178.3560689304	233.3929675397598	MT:hsa;URS00000208B4_9606_tRNA-Asn:tRNA:Homo_sapiens,5670,5729,-	6519.175622437219	23.344095129130988
URS00000208B4_9606_tRNA-Asn:tRNA:Homo_sapiens	72.0	2432.0	243.24999999999994	65178.3560689304	233.3929675397598	1:hsa;URS00000208B4_9606_tRNA-Asn:tRNA:Homo_sapiens,630840,630899,-	6519.175622437219	23.344095129130988
URS000008BA3B_9606_tRNA-Asn:tRNA:Homo_sapiens	72.0	2432.0	243.24999999999994	65178.3560689304	233.3929675397598	MT:hsa;URS000008BA3B_9606_tRNA-Asn:tRNA:Homo_sapiens,5670,5729,-	6519.175622437219	23.344095129130988
URS000005FBEE_9606_tRNA-Asn:tRNA:Homo_sapiens	71.0	2430.0	242.99999999999994	65124.75544716319	233.20103253355936	1:hsa;URS000005FBEE_9606_tRNA-Asn:tRNA:Homo_sapiens,630841,630900,-	6512.475544716317	23.320103253355928
