name	unique reads 181023-190319_Brain_S29	181023-190319_Brain_S29	read count (mult. map. adj.)	181023-190319_Brain_S29181023-190319_Brain_S29(lib)	RPM (total)	coordinateString 181023-190319_Brain_S29	181023-190319_Brain_S29 (lib)	RPM_adj (total)
URS000007E37F_9606_tRNA-Arg (anticodon TCT) 4-1:tRNA:Homo_sapiens	64.0	15878.0	15878.0	184368.50477816095	588.8723887424126	1:hsa;URS000007E37F_9606_tRNA-Arg (anticodon TCT) 4-1:tRNA:Homo_sapiens,159141625,159141684,-	184368.50477816095	588.8723887424126
URS0000027F06_9606_tRNA-Ser:tRNA:Homo_sapiens	191.0	6655.0	1711.8833333333318	77274.99680681831	246.81608181639723	MT:hsa;URS0000027F06_9606_tRNA-Ser:tRNA:Homo_sapiens,12207,12265,+	19877.65275987659	63.48915655298669
URS0000050C0F_9606_tRNA-Ser:tRNA:Homo_sapiens	191.0	6655.0	1711.8833333333318	77274.99680681831	246.81608181639723	MT:hsa;URS0000050C0F_9606_tRNA-Ser:tRNA:Homo_sapiens,12207,12265,+	19877.65275987659	63.48915655298669
URS000003F315_9606_tRNA-Ser:tRNA:Homo_sapiens	191.0	6655.0	1711.8833333333318	77274.99680681831	246.81608181639723	MT:hsa;URS000003F315_9606_tRNA-Ser:tRNA:Homo_sapiens,12207,12265,+	19877.65275987659	63.48915655298669
URS00000AA031_9606_tRNA-Gln:tRNA:Homo_sapiens	135.0	6356.0	1059.3333333333328	73803.13744615135	235.72697460931943	MT:hsa;URS00000AA031_9606_tRNA-Gln:tRNA:Homo_sapiens,4341,4400,-	12300.522907691884	39.28782910155322
URS00000433C6_9606_tRNA-Gln:tRNA:Homo_sapiens	135.0	6356.0	1059.3333333333328	73803.13744615135	235.72697460931943	MT:hsa;URS00000433C6_9606_tRNA-Gln:tRNA:Homo_sapiens,4341,4400,-	12300.522907691884	39.28782910155322
URS00000433C6_9606_tRNA-Gln:tRNA:Homo_sapiens	135.0	6356.0	1059.3333333333328	73803.13744615135	235.72697460931943	1:hsa;URS00000433C6_9606_tRNA-Gln:tRNA:Homo_sapiens,629511,629570,-	12300.522907691884	39.28782910155322
URS00000AA031_9606_tRNA-Gln:tRNA:Homo_sapiens	135.0	6356.0	1059.3333333333328	73803.13744615135	235.72697460931943	1:hsa;URS00000AA031_9606_tRNA-Gln:tRNA:Homo_sapiens,629511,629570,-	12300.522907691884	39.28782910155322
URS00000A0499_9606_tRNA-Gln:tRNA:Homo_sapiens	135.0	6356.0	1059.3333333333328	73803.13744615135	235.72697460931943	1:hsa;URS00000A0499_9606_tRNA-Gln:tRNA:Homo_sapiens,629511,629570,-	12300.522907691884	39.28782910155322
URS00000A0499_9606_tRNA-Gln:tRNA:Homo_sapiens	135.0	6356.0	1059.3333333333328	73803.13744615135	235.72697460931943	MT:hsa;URS00000A0499_9606_tRNA-Gln:tRNA:Homo_sapiens,4341,4400,-	12300.522907691884	39.28782910155322
URS0000024989_9606_piR-34531:piRNA:Homo_sapiens	132.0	5359.0	1339.75	62226.40238733874	198.75092148070215	MT:hsa;URS0000024989_9606_piR-34531:piRNA:Homo_sapiens,12207,12235,+	15556.600596834685	49.68773037017554
URS000003C478_9606_tRNA-Leu:tRNA:Homo_sapiens	131.0	5232.0	1308.75	60751.733026787886	194.04083246632462	MT:hsa;URS000003C478_9606_tRNA-Leu:tRNA:Homo_sapiens,3229,3288,+	15196.64193402306	48.53802360288653
