name	unique reads 181023-190319_Brain_S29	181023-190319_Brain_S29	read count (mult. map. adj.)	181023-190319_Brain_S29181023-190319_Brain_S29(lib)	RPM (total)	coordinateString 181023-190319_Brain_S29	181023-190319_Brain_S29 (lib)	RPM_adj (total)
Homo_sapiens_chr17.trna19-ArgTCG:tRNA	47.0	7629.0	7576.633333333333	115010.62819411152	282.9391266983162	17:hsa;Homo_sapiens_chr17.trna19-ArgTCG:tRNA,75035113,75035185,+	114221.17699083914	280.99698763228287
Homo_sapiens_chr15.trna2-LysCTT:tRNA	156.0	6549.0	924.4979217493445	98729.13934240876	242.88482641857033	14:hsa;Homo_sapiens_chr15.trna2-LysCTT:tRNA,58239895,58239967,-	13937.22463554105	34.287145709027115
Homo_sapiens_chr14.trna13-LysCTT:tRNA	156.0	6549.0	924.4979217493445	98729.13934240876	242.88482641857033	15:hsa;Homo_sapiens_chr14.trna13-LysCTT:tRNA,78860562,78860634,+	13937.22463554105	34.287145709027115
Homo_sapiens_chr14.trna13-LysCTT:tRNA	156.0	6549.0	924.4979217493445	98729.13934240876	242.88482641857033	14:hsa;Homo_sapiens_chr14.trna13-LysCTT:tRNA,58239895,58239967,-	13937.22463554105	34.287145709027115
Homo_sapiens_chr15.trna2-LysCTT:tRNA	156.0	6549.0	924.4979217493445	98729.13934240876	242.88482641857033	15:hsa;Homo_sapiens_chr15.trna2-LysCTT:tRNA,78860562,78860634,+	13937.22463554105	34.287145709027115
Homo_sapiens_chr6.trna99-GlnCTG:tRNA	132.0	6468.0	181.70125307493717	97508.02767853104	239.8807538975894	6:hsa;Homo_sapiens_chr6.trna99-GlnCTG:tRNA,27519529,27519600,+	2739.228635444457	6.738811622101517
Homo_sapiens_chr15.trna7-GlnCTG:tRNA	132.0	6468.0	181.70125307493717	97508.02767853104	239.8807538975894	6:hsa;Homo_sapiens_chr15.trna7-GlnCTG:tRNA,18836171,18836242,+	2739.228635444457	6.738811622101517
Homo_sapiens_chr15.trna7-GlnCTG:tRNA	132.0	6468.0	181.70125307493717	97508.02767853104	239.8807538975894	17:hsa;Homo_sapiens_chr15.trna7-GlnCTG:tRNA,8119752,8119823,+	2739.228635444457	6.738811622101517
Homo_sapiens_chr17.trna3-GlnCTG:tRNA	132.0	6468.0	181.70125307493717	97508.02767853104	239.8807538975894	17:hsa;Homo_sapiens_chr17.trna3-GlnCTG:tRNA,8119752,8119823,+	2739.228635444457	6.738811622101517
Homo_sapiens_chr15.trna7-GlnCTG:tRNA	132.0	6468.0	181.7012530749372	97508.02767853104	239.8807538975894	6:hsa;Homo_sapiens_chr15.trna7-GlnCTG:tRNA,28941601,28941672,-	2739.2286354444573	6.738811622101518
Homo_sapiens_chr15.trna7-GlnCTG:tRNA	132.0	6468.0	181.70125307493717	97508.02767853104	239.8807538975894	6:hsa;Homo_sapiens_chr15.trna7-GlnCTG:tRNA,27519529,27519600,+	2739.228635444457	6.738811622101517
Homo_sapiens_chr6.trna99-GlnCTG:tRNA	132.0	6468.0	181.7012530749372	97508.02767853104	239.8807538975894	15:hsa;Homo_sapiens_chr6.trna99-GlnCTG:tRNA,65869062,65869133,-	2739.2286354444573	6.738811622101518
Homo_sapiens_chr17.trna3-GlnCTG:tRNA	132.0	6468.0	181.7012530749372	97508.02767853104	239.8807538975894	15:hsa;Homo_sapiens_chr17.trna3-GlnCTG:tRNA,65869062,65869133,-	2739.2286354444573	6.738811622101518
Homo_sapiens_chr17.trna3-GlnCTG:tRNA	132.0	6468.0	181.7012530749372	97508.02767853104	239.8807538975894	6:hsa;Homo_sapiens_chr17.trna3-GlnCTG:tRNA,28941601,28941672,-	2739.2286354444573	6.738811622101518
