name	unique reads 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (mult. map. adj.)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(lib)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(total)	coordinateString 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (lib)	180626-180628-190531_Brain_S32 (total)
hsa-mir-9-1	1976.0	1164080.0	389664.83333332324	128439.49238551795	111713.85100891595	1:hsa;hsa-mir-9-1,156420341,156420429,-	42993.91226876116	37395.161100966376
hsa-mir-9-2	1976.0	1164080.0	389664.83333332324	128439.49238551795	111713.85100891595	5:hsa;hsa-mir-9-2,88666853,88666939,-	42993.91226876116	37395.161100966376
hsa-mir-9-3	1889.0	1155143.0	385642.33333332324	127453.42291997488	110856.1894337092	15:hsa;hsa-mir-9-3,89368017,89368106,+	42550.087223986964	37009.1318197457
hsa-let-7a-3	919.0	984742.0	330089.16666666354	108652.12237191577	94503.23093792687	22:hsa;hsa-let-7a-3,46112749,46112822,+	36420.5939528425	31677.83312543543
hsa-let-7a-1	908.0	983493.0	328838.99999999686	108514.31317839857	94383.36752655468	9:hsa;hsa-let-7a-1,94175957,94176036,+	36282.65603443143	31557.85775197629
hsa-let-7a-2	878.0	982492.0	328438.66666666354	108403.86721946285	94287.30405595136	11:hsa;hsa-let-7a-2,122146522,122146593,-	36238.48500656536	31519.4387615685
hsa-mir-26a-2	925.0	770815.0	385948.4999999999	85048.35348356042	73973.19090220393	12:hsa;hsa-mir-26a-2,57824609,57824692,-	42583.868313992214	37038.51387027918
hsa-mir-26a-1	892.0	769912.0	385045.4999999999	84948.72041570931	73886.53224690442	3:hsa;hsa-mir-26a-1,37969404,37969480,+	42484.23524614111	36951.85521497967
hsa-mir-128-1	1094.0	532844.0	318605.5	58791.67486828133	51135.70822193905	2:hsa;hsa-mir-128-1,135665397,135665478,+	35153.536433264155	30575.77430900039
hsa-let-7f-2	643.0	522916.0	265540.3	57696.262800035656	50182.94285115997	X:hsa;hsa-let-7f-2,53557192,53557274,-	29298.554515066106	25483.23956348605
hsa-let-7f-1	597.0	515460.0	258121.66666666674	56873.600392618275	49467.40914804465	9:hsa;hsa-let-7f-1,94176347,94176433,+	28480.01498210651	24771.291846069922
hsa-mir-128-2	930.0	463138.0	248899.5	51100.61990966601	44446.19745083441	3:hsa;hsa-mir-128-2,35744476,35744559,+	27462.481474648845	23886.263537895742
hsa-mir-181a-2	1064.0	379477.0	190581.5	41869.83132772593	36417.46017396605	9:hsa;hsa-mir-181a-2,124692442,124692551,+	21027.92859431533	18289.630692096518
hsa-mir-181a-1	1041.0	379140.0	190244.5	41832.64822266964	36385.119125421275	1:hsa;hsa-mir-181a-1,198859044,198859153,-	20990.745489259047	18257.28964355174
hsa-let-7g	625.0	272266.0	271022.71666666673	30040.638816778428	26128.68819908727	3:hsa;hsa-let-7g,52268278,52268361,-	29903.46037524116	26009.373401941146
hsa-mir-30a	1023.0	254013.0	253582.0	28026.682684456886	24376.99336499877	6:hsa;hsa-mir-30a,71403551,71403621,-	27979.128030809235	24335.63137116257
hsa-mir-30d	826.0	248904.0	248496.0	27462.977984953748	23886.695391659694	8:hsa;hsa-mir-30d,134804876,134804945,-	27417.961050642283	23847.5406503948
hsa-mir-143	670.0	234666.0	234666.0	25892.019380231563	22520.310082518616	5:hsa;hsa-mir-143,149428918,149429023,+	25892.019380231563	22520.310082518616
hsa-let-7b	965.0	212432.0	211756.75	23438.81713150329	20386.5686185881	22:hsa;hsa-let-7b,46113686,46113768,+	23364.31300186158	20321.76656211967
hsa-mir-27b	606.0	179669.0	179306.5	19823.891104918584	17242.385314515257	9:hsa;hsa-mir-27b,95085445,95085541,+	19783.894441467834	17207.597094641424
