name	unique reads 181023-190319_Brain_S29	181023-190319_Brain_S29	read count (mult. map. adj.)	181023-190319_Brain_S29181023-190319_Brain_S29(lib)	RPM (total)	coordinateString 181023-190319_Brain_S29	181023-190319_Brain_S29 (lib)	RPM_adj (total)
hsa-mir-9-1	3767.0	4250784.0	1426885.833333268	164759.44015688097	157650.1655188328	1:hsa;hsa-mir-9-1,156420341,156420429,-	55305.77678559386	52919.36447522796
hsa-mir-9-2	3767.0	4250784.0	1426885.833333268	164759.44015688097	157650.1655188328	5:hsa;hsa-mir-9-2,88666853,88666939,-	55305.77678559386	52919.36447522796
hsa-mir-9-3	3403.0	4193995.0	1399970.333333268	162558.31117759875	155544.01398310458	15:hsa;hsa-mir-9-3,89368017,89368106,+	54262.53800621986	51921.140846358045
hsa-let-7a-1	1992.0	3294719.0	1127884.6166666453	127702.5739050111	122192.28163276312	9:hsa;hsa-let-7a-1,94175957,94176036,+	43716.556287864725	41830.212145251775
hsa-let-7a-3	1672.0	3256027.0	1090077.9499999792	126202.88061112695	120757.29923792614	22:hsa;hsa-let-7a-3,46112749,46112822,+	42251.17831660161	40428.064386693535
hsa-let-7a-2	1625.0	3253681.0	1088069.4499999792	126111.95017415154	120670.29239676292	11:hsa;hsa-let-7a-2,122146522,122146593,-	42173.3293043829	40353.57451436773
hsa-let-7f-2	1328.0	2117233.0	1088426.9833333315	82063.47905743353	78522.48735572895	X:hsa;hsa-let-7f-2,53557192,53557274,-	42187.187216674036	40366.83446575116
hsa-let-7f-1	1155.0	2062302.0	1033533.5000000005	79934.36574392299	76485.2440514079	9:hsa;hsa-let-7f-1,94176347,94176433,+	40059.52804079949	38330.9825538674
hsa-mir-26a-2	1489.0	1535587.0	775934.8333333335	59519.00977141731	56950.798892290906	12:hsa;hsa-mir-26a-2,57824609,57824692,-	30075.06115065427	28777.339640599937
hsa-mir-26a-1	1323.0	1519860.0	760229.3333333335	58909.43475764403	56367.52668812464	3:hsa;hsa-mir-26a-1,37969404,37969480,+	29466.319472087707	28194.864813707765
hsa-mir-128-1	1659.0	1220065.0	758271.0	47289.44739488174	45248.93506556314	2:hsa;hsa-mir-128-1,135665397,135665478,+	29390.414908684677	28122.235488354825
hsa-mir-128-2	1347.0	1002896.0	541102.0	38872.025371219825	37194.71993829264	3:hsa;hsa-mir-128-2,35744476,35744559,+	20972.992885022762	20068.020361084324
hsa-mir-30d	1476.0	870724.0	868888.5	33749.06811806011	32292.81533035322	8:hsa;hsa-mir-30d,134804876,134804945,-	33677.92454727224	32224.741563535186
hsa-let-7g	1047.0	763969.0	759583.066666667	29611.268118354685	28333.559009645556	3:hsa;hsa-let-7g,52268278,52268361,-	29441.27032016843	28170.896518219382
hsa-mir-143	1197.0	702220.0	702220.0	27217.89064487044	26043.454391151085	5:hsa;hsa-mir-143,149428918,149429023,+	27217.89064487044	26043.454391151085
hsa-mir-30a	1685.0	646658.0	644673.0	25064.31991203701	23982.808991018454	6:hsa;hsa-mir-30a,71403551,71403621,-	24987.381754579135	23909.190670596883
hsa-let-7b	1696.0	565607.0	562208.5	21922.801221801194	20976.845016968746	22:hsa;hsa-let-7b,46113686,46113768,+	21791.076119473444	20850.803776690303
hsa-mir-125b-2	1518.0	535222.0	283050.5	20745.085395928407	19849.946948450153	21:hsa;hsa-mir-125b-2,16590237,16590325,+	10970.974275833643	10497.58307530761
hsa-mir-125a	1261.0	518851.0	518851.0	20110.5490857305	19242.790513376338	19:hsa;hsa-mir-125a,51693254,51693339,+	20110.5490857305	19242.790513376338
hsa-mir-125b-1	1125.0	507953.0	255781.5	19688.145035364807	18838.612953701642	11:hsa;hsa-mir-125b-1,122099757,122099844,-	9914.033915270042	9486.2490805591
hsa-let-7c	1071.0	460838.0	456529.2166666667	17861.9781393307	17091.244103997728	21:hsa;hsa-let-7c,16539828,16539911,+	17694.970657944374	16931.442898929487
