name	unique reads 32150887_EXO_S28 32150887_EXO_S28	32150887_EXO_S28	32150887_EXO_S28 (mult. map. adj.)	32150887_EXO_S2832150887_EXO_S28(lib)	32150887_EXO_S2832150887_EXO_S28(total)	coordinateString 32150887_EXO_S28 32150887_EXO_S28	32150887_EXO_S28 (lib)	32150887_EXO_S28 (total)
Homo_sapiens_chr6.trna148-SerTGA:tRNA	141.0	12089.0	329.73302361595	130683.41512982942	479.910682385432	6:hsa;Homo_sapiens_chr6.trna148-SerTGA:tRNA,27505828,27505909,-	3564.4501288127253	13.089784131734827
Homo_sapiens_chr6.trna51-SerTGA:tRNA	140.0	12074.0	314.7330236159501	130521.26348561174	479.31521044930975	6:hsa;Homo_sapiens_chr6.trna51-SerTGA:tRNA,27545689,27545770,+	3402.2984845950546	12.494312195612615
Homo_sapiens_chr6.trna147-SerAGA:tRNA	140.0	12074.0	314.73302361595006	130521.26348561174	479.31521044930975	6:hsa;Homo_sapiens_chr6.trna147-SerAGA:tRNA,27541775,27541856,-	3402.2984845950537	12.494312195612611
Homo_sapiens_chr17.trna35-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr17.trna35-SerAGA:tRNA,26327589,26327670,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna44-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna44-SerAGA:tRNA,27495814,27495895,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna5-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna5-SerAGA:tRNA,27503039,27503120,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna5-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna5-SerAGA:tRNA,27478812,27478893,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna47-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna47-SerAGA:tRNA,27478812,27478893,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr17.trna35-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr17.trna35-SerAGA:tRNA,27478812,27478893,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna46-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna46-SerAGA:tRNA,26327589,26327670,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna5-SerAGA:tRNA	136.0	11986.0	285.39969028261675	129569.97383953472	475.8217750907261	17:hsa;Homo_sapiens_chr6.trna5-SerAGA:tRNA,8226610,8226691,-	3085.2019359027167	11.329833742751388
Homo_sapiens_chr6.trna47-SerAGA:tRNA	136.0	11986.0	285.39969028261675	129569.97383953472	475.8217750907261	8:hsa;Homo_sapiens_chr6.trna47-SerAGA:tRNA,95269657,95269738,-	3085.2019359027167	11.329833742751388
Homo_sapiens_chr6.trna44-SerAGA:tRNA	136.0	11986.0	285.39969028261675	129569.97383953472	475.8217750907261	8:hsa;Homo_sapiens_chr6.trna44-SerAGA:tRNA,95269657,95269738,-	3085.2019359027167	11.329833742751388
Homo_sapiens_chr17.trna35-SerAGA:tRNA	136.0	11986.0	285.39969028261675	129569.97383953472	475.8217750907261	17:hsa;Homo_sapiens_chr17.trna35-SerAGA:tRNA,8226610,8226691,-	3085.2019359027167	11.329833742751388
Homo_sapiens_chr8.trna11-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr8.trna11-SerAGA:tRNA,27503039,27503120,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna46-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna46-SerAGA:tRNA,27503039,27503120,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr8.trna11-SerAGA:tRNA	136.0	11986.0	285.39969028261675	129569.97383953472	475.8217750907261	8:hsa;Homo_sapiens_chr8.trna11-SerAGA:tRNA,95269657,95269738,-	3085.2019359027167	11.329833742751388
Homo_sapiens_chr6.trna46-SerAGA:tRNA	136.0	11986.0	285.39969028261675	129569.97383953472	475.8217750907261	17:hsa;Homo_sapiens_chr6.trna46-SerAGA:tRNA,8226610,8226691,-	3085.2019359027167	11.329833742751388
Homo_sapiens_chr6.trna5-SerAGA:tRNA	136.0	11986.0	285.39969028261675	129569.97383953472	475.8217750907261	8:hsa;Homo_sapiens_chr6.trna5-SerAGA:tRNA,95269657,95269738,-	3085.2019359027167	11.329833742751388
Homo_sapiens_chr6.trna44-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna44-SerAGA:tRNA,27478812,27478893,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna47-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna47-SerAGA:tRNA,27495814,27495895,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna44-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna44-SerAGA:tRNA,26327589,26327670,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr8.trna11-SerAGA:tRNA	136.0	11986.0	285.39969028261675	129569.97383953472	475.8217750907261	17:hsa;Homo_sapiens_chr8.trna11-SerAGA:tRNA,8226610,8226691,-	3085.2019359027167	11.329833742751388
Homo_sapiens_chr8.trna11-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr8.trna11-SerAGA:tRNA,27495814,27495895,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna46-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna46-SerAGA:tRNA,27495814,27495895,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna44-SerAGA:tRNA	136.0	11986.0	285.39969028261675	129569.97383953472	475.8217750907261	17:hsa;Homo_sapiens_chr6.trna44-SerAGA:tRNA,8226610,8226691,-	3085.2019359027167	11.329833742751388
Homo_sapiens_chr6.trna47-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna47-SerAGA:tRNA,27503039,27503120,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr17.trna35-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr17.trna35-SerAGA:tRNA,27503039,27503120,+	3085.2019359027177	11.329833742751392
Homo_sapiens_chr6.trna5-SerAGA:tRNA	136.0	11986.0	285.3996902826168	129569.97383953472	475.8217750907261	6:hsa;Homo_sapiens_chr6.trna5-SerAGA:tRNA,27495814,27495895,+	3085.2019359027177	11.329833742751392
