name	unique reads 32170440_EXO_S27	32170440_EXO_S27	read count (mult. map. adj.)	32170440_EXO_S2732170440_EXO_S27(lib)	RPM (total)	coordinateString 32170440_EXO_S27	32170440_EXO_S27 (lib)	RPM_adj (total)
hsa-mir-30a	1858.0	707416.0	706352.0	162768.98899827086	65782.83099504557	6:hsa;hsa-mir-30a,71403551,71403621,-	162524.1737773907	65683.88930843015
hsa-mir-10b	1256.0	579287.0	578557.0	133287.852310156	53868.075953366846	2:hsa;hsa-mir-10b,176150303,176150412,+	133119.88698004087	53800.1930292792
hsa-mir-10a	1372.0	432428.0	431697.0	99497.13941237444	40211.61246215178	17:hsa;hsa-mir-10a,48579838,48579947,-	99328.94399276598	40143.63654775717
hsa-let-7a-1	734.0	415295.0	139705.783333335	95555.01612352124	38618.40953284552	9:hsa;hsa-let-7a-1,94175957,94176036,+	32144.832899423283	12991.283677563457
hsa-let-7a-3	721.0	414654.0	139017.11666666833	95407.52875831054	38558.80274607815	22:hsa;hsa-let-7a-3,46112749,46112822,+	31986.377935031545	12927.244352830548
hsa-let-7a-2	684.0	414057.0	138774.11666666836	95270.16533080541	38503.28753281744	11:hsa;hsa-let-7a-2,122146522,122146593,-	31930.466188157603	12904.647708236993
hsa-let-7f-2	529.0	252563.0	129835.09999999996	58112.09269845506	23485.91089910561	X:hsa;hsa-let-7f-2,53557192,53557274,-	29873.69237264833	12073.405804399163
hsa-let-7f-1	486.0	246123.0	123405.89999999997	56630.31636154882	22887.05332222285	9:hsa;hsa-let-7f-1,94176347,94176433,+	28394.401002269824	11475.552522831675
hsa-mir-30d	902.0	238489.0	237762.5	54873.813169632325	22177.16531881866	8:hsa;hsa-mir-30d,134804876,134804945,-	54706.653152743755	22109.607860805412
hsa-let-7b	1038.0	235702.0	235285.5	54232.55375178175	21918.001333295022	22:hsa;hsa-let-7b,46113686,46113768,+	54136.72147781879	21879.270870442277
hsa-mir-26a-2	604.0	204832.0	102909.83333333333	47129.69109335075	19047.390557150495	12:hsa;hsa-mir-26a-2,57824609,57824692,-	23678.47140812085	9569.616991833622
hsa-mir-26a-1	587.0	203963.0	102040.83333333333	46929.74332366574	18966.58198039411	3:hsa;hsa-mir-26a-1,37969404,37969480,+	23478.523638435832	9488.808415077237
hsa-mir-21	603.0	161299.0	161299.0	37113.20518115521	14999.243523852803	17:hsa;hsa-mir-21,59841266,59841337,+	37113.20518115521	14999.243523852803
hsa-mir-125a	521.0	98313.0	98313.0	22620.78835563092	9142.156049079911	19:hsa;hsa-mir-125a,51693254,51693339,+	22620.78835563092	9142.156049079911
hsa-mir-30c-2	568.0	97371.0	49854.0	22404.044052934387	9054.559179914762	6:hsa;hsa-mir-30c-2,71376960,71377031,-	11470.881599398084	4635.938763651093
hsa-mir-30c-1	511.0	95110.0	47593.0	21883.811708564044	8844.308095857012	1:hsa;hsa-mir-30c-1,40757284,40757372,+	10950.649255027742	4425.687679593342
hsa-mir-92a-1	449.0	63003.0	33985.0	14496.32834691053	5858.668309991372	13:hsa;hsa-mir-92a-1,91351314,91351391,+	7819.591430086732	3160.275582354122
hsa-mir-92a-2	371.0	58280.0	29262.0	13409.615670014851	5419.475090175025	X:hsa;hsa-mir-92a-2,134169538,134169612,-	6732.878753191053	2721.082362537776
hsa-mir-204	418.0	56997.0	56984.0	13114.410850100145	5300.16852633332	9:hsa;hsa-mir-204,70809975,70810084,-	13111.419686687135	5298.959652342719
hsa-mir-200b	598.0	53632.0	53627.5	12340.159705117305	4987.256143381383	1:hsa;hsa-mir-200b,1167104,1167198,+	12339.124302397417	4986.83768700002
hsa-mir-200c	427.0	52612.0	52607.5	12105.468421942714	4892.406030272622	12:hsa;hsa-mir-200c,6963699,6963766,+	12104.433019222826	4891.98757389126
hsa-let-7c	372.0	49940.0	49448.43333333333	11490.669295822609	4643.935930050459	21:hsa;hsa-let-7c,16539828,16539911,+	11377.564970561965	4598.224994821214
hsa-let-7g	304.0	48132.0	47702.45	11074.667491920982	4475.809455049834	3:hsa;hsa-let-7g,52268278,52268361,-	10975.832550070349	4435.8654686911395
hsa-let-7e	379.0	46463.0	45929.5	10690.648127589226	4320.608632717951	19:hsa;hsa-let-7e,51692786,51692864,+	10567.895382909182	4270.998303949791
hsa-mir-99b	334.0	45115.0	45115.0	10380.487490609472	4195.2576989232375	19:hsa;hsa-mir-99b,51692612,51692681,+	10380.487490609472	4195.2576989232375
hsa-mir-26b	220.0	35545.0	35540.333333333336	8178.531039647871	3305.340461226343	2:hsa;hsa-mir-26b,218402646,218402722,+	8177.457288679098	3304.906506460486
hsa-mir-30e	502.0	32931.0	32465.5	7577.077104139655	3062.2637988084034	1:hsa;hsa-mir-30e,40754355,40754446,+	7469.970445004584	3018.9768109141605
hsa-mir-182	344.0	23961.0	23961.0	5513.174349163107	2228.140745293133	7:hsa;hsa-mir-182,129770383,129770492,-	5513.174349163107	2228.140745293133
hsa-mir-151a	289.0	20350.0	20186.0	4682.321188826394	1892.352746826729	8:hsa;hsa-mir-151a,140732564,140732653,-	4644.586511923812	1877.102336483752
hsa-mir-191	223.0	20272.0	20272.0	4664.374208348337	1885.0995028831178	3:hsa;hsa-mir-191,49020618,49020709,-	4664.374208348337	1885.0995028831178
hsa-mir-27b	275.0	19454.0	19376.0	4476.1610028220475	1809.0334317821712	9:hsa;hsa-mir-27b,95085445,95085541,+	4458.21402234399	1801.78018783856
hsa-mir-423	349.0	19446.0	19446.0	4474.32028687558	1808.2895093264162	17:hsa;hsa-mir-423,30117079,30117172,+	4474.32028687558	1808.2895093264162
hsa-let-7d	268.0	16526.0	15834.5	3802.4589664149867	1536.7578129758488	9:hsa;hsa-let-7d,94178834,94178920,+	3643.3520817922126	1472.4550157065278
hsa-mir-203a	239.0	16250.0	16250.0	3738.9542662618624	1511.092488252302	14:hsa;hsa-mir-203a,104117405,104117514,+	3738.9542662618624	1511.092488252302
hsa-mir-200a	261.0	14573.0	14566.5	3353.094185983638	1355.1477434646645	1:hsa;hsa-mir-200a,1167863,1167952,+	3351.5986042771333	1354.5433064693634
hsa-mir-99a	195.0	13631.0	13620.0	3136.349883287104	1267.5508742995155	21:hsa;hsa-mir-99a,16539089,16539169,+	3133.8188988607117	1266.5279809228525
hsa-let-7i	200.0	13178.0	13146.0	3032.119342818389	1225.42626524239	12:hsa;hsa-let-7i,62603686,62603769,+	3024.7564790325196	1222.45057541937
hsa-mir-320a	253.0	12889.0	12741.000000000004	2965.623479252255	1198.5520665282413	8:hsa;hsa-mir-320a,22244966,22245037,-	2931.5702342426093	1184.7895010967745
hsa-mir-23b	222.0	11534.0	11525.5	2653.8522158193427	1072.5502005847416	9:hsa;hsa-mir-23b,95085208,95085304,+	2651.896455126221	1071.759782975502
hsa-mir-98	140.0	11393.0	11105.600000000004	2621.409597262855	1059.4385673020602	X:hsa;hsa-mir-98,53556223,53556341,-	2555.2818768860157	1032.7131530790627
