name	unique reads 180913-190529_Brain_S36 180913-190529_Brain_S36	180913-190529_Brain_S36	180913-190529_Brain_S36 (mult. map. adj.)	180913-190529_Brain_S36180913-190529_Brain_S36(lib)	180913-190529_Brain_S36180913-190529_Brain_S36(total)	coordinateString 180913-190529_Brain_S36 180913-190529_Brain_S36	180913-190529_Brain_S36 (lib)	180913-190529_Brain_S36 (total)
Homo_sapiens_chr17.trna19-ArgTCG:tRNA	34.0	2923.0	2912.433333333334	150841.16007843948	520.1657198511647	17:hsa;Homo_sapiens_chr17.trna19-ArgTCG:tRNA,75035113,75035185,+	150295.8681666495	518.2853169181869
Homo_sapiens_chr6.trna138-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	3:hsa;Homo_sapiens_chr6.trna138-ArgACG:tRNA,45688999,45689071,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna36-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr6.trna36-ArgACG:tRNA,27670565,27670637,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna36-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	3:hsa;Homo_sapiens_chr6.trna36-ArgACG:tRNA,45688999,45689071,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna138-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr6.trna138-ArgACG:tRNA,27670565,27670637,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna156-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	3:hsa;Homo_sapiens_chr6.trna156-ArgACG:tRNA,45688999,45689071,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr3.trna11-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr3.trna11-ArgACG:tRNA,27670565,27670637,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna156-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr6.trna156-ArgACG:tRNA,27213844,27213916,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr3.trna11-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr3.trna11-ArgACG:tRNA,27213844,27213916,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna36-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr6.trna36-ArgACG:tRNA,27213844,27213916,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna156-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr6.trna156-ArgACG:tRNA,27215173,27215245,+	5169.264113943647	17.82586389240204
Homo_sapiens_chr3.trna11-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	3:hsa;Homo_sapiens_chr3.trna11-ArgACG:tRNA,45688999,45689071,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna138-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr6.trna138-ArgACG:tRNA,27215173,27215245,+	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna138-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr6.trna138-ArgACG:tRNA,27213844,27213916,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna36-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr6.trna36-ArgACG:tRNA,27215173,27215245,+	5169.264113943647	17.82586389240204
Homo_sapiens_chr3.trna11-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr3.trna11-ArgACG:tRNA,27215173,27215245,+	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna156-ArgACG:tRNA	32.0	2493.0	100.17	128651.0475797296	443.64459103282707	6:hsa;Homo_sapiens_chr6.trna156-ArgACG:tRNA,27670565,27670637,-	5169.264113943647	17.82586389240204
Homo_sapiens_chr6.trna6-ArgACG:tRNA	34.0	2491.0	100.92	128547.8377541542	443.288678805765	6:hsa;Homo_sapiens_chr6.trna6-ArgACG:tRNA,26537498,26537570,+	5207.967798534421	17.9593309775503
Homo_sapiens_chr14.trna7-ArgACG:tRNA	34.0	2491.0	100.92	128547.8377541542	443.288678805765	14:hsa;Homo_sapiens_chr14.trna7-ArgACG:tRNA,22929701,22929773,+	5207.967798534421	17.9593309775503
Homo_sapiens_chr6.trna6-ArgACG:tRNA	34.0	2491.0	100.92	128547.8377541542	443.288678805765	14:hsa;Homo_sapiens_chr6.trna6-ArgACG:tRNA,22929701,22929773,+	5207.967798534421	17.9593309775503
Homo_sapiens_chr6.trna8-ArgACG:tRNA	34.0	2491.0	100.92	128547.8377541542	443.288678805765	6:hsa;Homo_sapiens_chr6.trna8-ArgACG:tRNA,26537498,26537570,+	5207.967798534421	17.9593309775503
Homo_sapiens_chr6.trna6-ArgACG:tRNA	34.0	2491.0	100.92	128547.8377541542	443.288678805765	6:hsa;Homo_sapiens_chr6.trna6-ArgACG:tRNA,26328140,26328212,+	5207.967798534421	17.9593309775503
Homo_sapiens_chr6.trna8-ArgACG:tRNA	34.0	2491.0	100.92	128547.8377541542	443.288678805765	6:hsa;Homo_sapiens_chr6.trna8-ArgACG:tRNA,26328140,26328212,+	5207.967798534421	17.9593309775503
Homo_sapiens_chr6.trna8-ArgACG:tRNA	34.0	2491.0	100.92	128547.8377541542	443.288678805765	14:hsa;Homo_sapiens_chr6.trna8-ArgACG:tRNA,22929701,22929773,+	5207.967798534421	17.9593309775503
Homo_sapiens_chr14.trna7-ArgACG:tRNA	34.0	2491.0	100.92	128547.8377541542	443.288678805765	6:hsa;Homo_sapiens_chr14.trna7-ArgACG:tRNA,26328140,26328212,+	5207.967798534421	17.9593309775503
Homo_sapiens_chr14.trna7-ArgACG:tRNA	34.0	2491.0	100.92	128547.8377541542	443.288678805765	6:hsa;Homo_sapiens_chr14.trna7-ArgACG:tRNA,26537498,26537570,+	5207.967798534421	17.9593309775503
