name	unique reads 181023-190319_Brain_S29	181023-190319_Brain_S29	read count (mult. map. adj.)	181023-190319_Brain_S29181023-190319_Brain_S29(lib)	RPM (total)	coordinateString 181023-190319_Brain_S29	181023-190319_Brain_S29 (lib)	RPM_adj (total)
ENST00000390856.1-ENSG00000212158.1:snoRNA	50.0	1542.0	1540.5	120827.45651151857	57.188639843859434	3:hsa;ENST00000390856.1-ENSG00000212158.1:snoRNA,184325696,184325755,+	120709.92007522332	57.13300887124868
ENST00000411292.1-ENSG00000223224.1:snoRNA	36.0	1035.0	1035.0	81100.14104372355	38.38537110142316	16:hsa;ENST00000411292.1-ENSG00000223224.1:snoRNA,71758428,71758487,-	81100.14104372355	38.38537110142316
ENST00000611300.1-ENSG00000274072.1:sRNA	18.0	696.0	696.0	54536.9064409967	25.812771291391808	11:hsa;ENST00000611300.1-ENSG00000274072.1:sRNA,65506117,65506173,+	54536.9064409967	25.812771291391808
ENST00000363723.1-ENSG00000200593.1:snoRNA	19.0	408.0	245.0	31969.910672308415	15.131624550126231	15:hsa;ENST00000363723.1-ENSG00000200593.1:snoRNA,25230838,25230897,+	19197.617928224416	9.086392193090507
ENST00000362842.1-ENSG00000199712.1:snoRNA	6.0	364.0	364.0	28522.175207647702	13.499782686877325	15:hsa;ENST00000362842.1-ENSG00000199712.1:snoRNA,25172635,25172694,+	28522.175207647702	13.499782686877325
ENST00000458974.1-ENSG00000275662.1:snoRNA	14.0	345.0	345.0	27033.38034790785	12.795123700474388	14:hsa;ENST00000458974.1-ENSG00000275662.1:snoRNA,100897920,100897979,+	27033.38034790785	12.795123700474388
ENST00000365391.1-ENSG00000202261.1:snoRNA	16.0	326.0	163.0	25544.585488168	12.09046471407145	15:hsa;ENST00000365391.1-ENSG00000202261.1:snoRNA,25250859,25250918,+	12772.292744084	6.045232357035725
ENST00000362761.1-ENSG00000199631.1:snoRNA	11.0	325.0	325.0	25466.227863971162	12.053377398997611	19:hsa;ENST00000362761.1-ENSG00000199631.1:snoRNA,49490615,49490674,+	25466.227863971162	12.053377398997611
ENST00000364079.1-ENSG00000200949.1:snoRNA	13.0	277.0	275.75	21705.061902523114	10.273186275453348	15:hsa;ENST00000364079.1-ENSG00000200949.1:snoRNA,25228967,25229026,+	21607.11487227707	10.22682713161105
ENST00000365161.1-ENSG00000202031.1:snoRNA	14.0	269.0	269.0	21078.200908948438	9.976487754862639	1:hsa;ENST00000365161.1-ENSG00000202031.1:snoRNA,44777843,44777902,+	21078.200908948438	9.976487754862639
ENST00000516201.1-ENSG00000252010.1:scaRNA	9.0	234.0	117.0	18335.684062059237	8.67843172727828	2:hsa;ENST00000516201.1-ENSG00000252010.1:scaRNA,233275727,233275786,+	9167.842031029619	4.33921586363914
ENST00000627324.1-ENSG00000280652.1:scaRNA	9.0	234.0	117.0	18335.684062059237	8.67843172727828	2:hsa;ENST00000627324.1-ENSG00000280652.1:scaRNA,233275727,233275786,+	9167.842031029619	4.33921586363914
ENST00000581525.1-ENSG00000264294.1:snoRNA	8.0	225.0	225.0	17630.46544428773	8.34464589161373	1:hsa;ENST00000581525.1-ENSG00000264294.1:snoRNA,44775864,44775923,+	17630.46544428773	8.34464589161373
ENST00000458811.1-ENSG00000238923.1:snRNA	8.0	224.0	165.5	17552.107820090892	8.307558576539892	12:hsa;ENST00000458811.1-ENSG00000238923.1:snRNA,6943816,6943875,+	12968.186804576084	6.137950644720322
ENST00000386747.1-ENSG00000209482.1:snoRNA	12.0	203.0	203.0	15906.597711957373	7.528724959989277	22:hsa;ENST00000386747.1-ENSG00000209482.1:snoRNA,39315248,39315307,-	15906.597711957373	7.528724959989277
ENST00000362607.1-ENSG00000199477.1:snoRNA	8.0	200.0	200.0	15671.52483936687	7.417463014767761	13:hsa;ENST00000362607.1-ENSG00000199477.1:snoRNA,45337550,45337609,-	15671.52483936687	7.417463014767761
ENST00000363633.1-ENSG00000200503.1:snoRNA	7.0	198.0	198.0	15514.8095909732	7.343288384620084	15:hsa;ENST00000363633.1-ENSG00000200503.1:snoRNA,25178738,25178797,+	15514.8095909732	7.343288384620084
ENST00000579879.1-ENSG00000264549.1:snoRNA	10.0	197.0	197.0	15436.451966776367	7.306201069546244	5:hsa;ENST00000579879.1-ENSG00000264549.1:snoRNA,181243320,181243379,-	15436.451966776367	7.306201069546244
ENST00000363810.1-ENSG00000200680.1:snoRNA	6.0	193.0	131.66666666666666	15123.02146998903	7.157851809250889	15:hsa;ENST00000363810.1-ENSG00000200680.1:snoRNA,25176832,25176891,+	10317.087185916522	4.883163151388776
ENST00000583861.1-ENSG00000263764.1:snoRNA	8.0	192.0	192.0	15044.663845792194	7.120764494177051	22:hsa;ENST00000583861.1-ENSG00000263764.1:snoRNA,39319054,39319113,-	15044.663845792194	7.120764494177051
ENST00000363543.1-ENSG00000200413.1:snoRNA	7.0	190.0	189.5	14887.948597398527	7.0465898640293725	14:hsa;ENST00000363543.1-ENSG00000200413.1:snoRNA,100987046,100987105,+	14848.769785300108	7.028046206492453
ENST00000390981.1-ENSG00000212283.1:snoRNA	5.0	189.0	189.0	14809.590973201692	7.009502548955534	2:hsa;ENST00000390981.1-ENSG00000212283.1:snoRNA,101272990,101273049,-	14809.590973201692	7.009502548955534
ENST00000384147.1-ENSG00000276788.1:snoRNA	9.0	187.0	187.0	14652.875724808024	6.9353279188078565	11:hsa;ENST00000384147.1-ENSG00000276788.1:snoRNA,62855307,62855366,-	14652.875724808024	6.9353279188078565
