name	unique reads 181004-190521_Brain_S35 181004-190521_Brain_S35	181004-190521_Brain_S35	181004-190521_Brain_S35 (mult. map. adj.)	181004-190521_Brain_S35181004-190521_Brain_S35(lib)	181004-190521_Brain_S35181004-190521_Brain_S35(total)	coordinateString 181004-190521_Brain_S35 181004-190521_Brain_S35	181004-190521_Brain_S35 (lib)	181004-190521_Brain_S35 (total)
hsa-let-7a-1	2265.0	3899578.0	1309808.5166666408	137381.2580411963	131208.24308425767	9:hsa;hsa-let-7a-1,94175957,94176036,+	46144.260177059245	44070.8390109462
hsa-mir-9-2	4043.0	3897254.0	1306409.4999999783	137299.38404260267	131130.04796752252	5:hsa;hsa-mir-9-2,88666853,88666939,-	46024.51358248694	43956.47304492452
hsa-mir-9-1	4044.0	3897253.0	1306408.4999999783	137299.34881282703	131130.0143207425	1:hsa;hsa-mir-9-1,156420341,156420429,-	46024.478352711296	43956.43939814451
hsa-let-7a-3	2056.0	3892246.0	1302899.6833333075	137122.95332618404	130961.54489324987	22:hsa;hsa-let-7a-3,46112749,46112822,+	45900.86352877313	43838.379015677834
hsa-let-7a-2	1960.0	3886408.0	1298412.5999999742	136917.28189598199	130765.11499157183	11:hsa;hsa-let-7a-2,122146522,122146593,-	45742.78458964972	43687.403109890256
hsa-mir-9-3	3718.0	3855866.0	1286967.9999999783	135841.29408830273	129737.47503661274	15:hsa;hsa-mir-9-3,89368017,89368106,+	45339.59389932945	43302.3291714278
hsa-let-7f-2	1422.0	1999843.0	1019251.5500000005	70454.02021061769	67288.27746857509	X:hsa;hsa-let-7f-2,53557192,53557274,-	35908.00342997097	34294.53267415256
hsa-let-7f-1	1294.0	1963313.0	982827.716666667	69167.07650638997	66059.16059493698	9:hsa;hsa-let-7f-1,94176347,94176433,+	34624.79995359066	33068.9879669918
hsa-mir-26a-2	1780.0	1793652.0	900946.8333333334	63189.9575410744	60350.61425225112	12:hsa;hsa-mir-26a-2,57824609,57824692,-	31740.15480433148	30313.959898735757
hsa-mir-26a-1	1659.0	1786105.0	893416.3333333334	62924.07842429897	60096.68200354193	3:hsa;hsa-mir-26a-1,37969404,37969480,+	31474.856978854154	30060.58282189667
hsa-mir-128-1	2088.0	1692441.0	1031623.5	59624.31671850141	56945.190001011426	2:hsa;hsa-mir-128-1,135665397,135665478,+	36343.86445273362	34710.80895405418
hsa-mir-128-2	1685.0	1432813.0	771995.5	50477.68052793933	48209.54380147915	3:hsa;hsa-mir-128-2,35744476,35744559,+	27197.228262171535	25975.16275452191
hsa-let-7g	1294.0	867181.0	861764.7000000002	30550.59207160945	29177.848332832335	3:hsa;hsa-let-7g,52268278,52268361,-	30359.77703779592	28995.607278283034
hsa-mir-143	1495.0	855108.0	855108.0	30125.262990275176	28771.63075781364	5:hsa;hsa-mir-143,149428918,149429023,+	30125.262990275176	28771.63075781364
hsa-let-7b	2333.0	796132.0	792039.0833333333	28047.55174197149	26787.278260149233	22:hsa;hsa-let-7b,46113686,46113768,+	27903.359206080564	26649.564793480884
hsa-mir-125b-2	1874.0	754698.0	390706.0	26587.841217991987	25393.15757735916	21:hsa;hsa-mir-125b-2,16590237,16590325,+	13764.484722255496	13145.998829226643
hsa-mir-125b-1	1505.0	734070.0	370078.0	25861.12140603444	24699.091799384707	11:hsa;hsa-mir-125b-1,122099757,122099844,-	13037.764910297947	12451.933051252188
hsa-mir-30d	1680.0	712473.0	710377.5	25100.263941479116	23972.42229158394	8:hsa;hsa-mir-30d,134804876,134804945,-	25026.439946619845	23901.91546408028
hsa-mir-181a-2	1917.0	642903.0	324540.75	22649.3284500167	21631.615806530477	9:hsa;hsa-mir-181a-2,124692442,124692551,+	11433.49780941255	10919.751218400374
hsa-mir-125a	1622.0	639396.0	639396.0	22525.777626837764	21513.61654904762	19:hsa;hsa-mir-125a,51693254,51693339,+	22525.777626837764	21513.61654904762
hsa-mir-181a-1	1830.0	639375.0	321012.25	22525.037801549264	21512.90996666748	1:hsa;hsa-mir-181a-1,198859044,198859153,-	11309.189546057296	10801.028555147375
hsa-let-7c	1441.0	561996.0	556089.4333333335	19798.99299209303	18909.35577654312	21:hsa;hsa-let-7c,16539828,16539911,+	19590.905973607736	18710.61882731596
hsa-mir-30a	1833.0	508737.0	506478.5	17922.69037113864	17117.361920175976	6:hsa;hsa-mir-30a,71403551,71403621,-	17843.123922849612	17041.370667531253
hsa-mir-27b	1157.0	456100.0	455075.0	16068.30067063401	15346.296360972885	9:hsa;hsa-mir-27b,95085445,95085541,+	16032.190150600245	15311.808411466203
hsa-mir-219a-2	1339.0	405278.0	405136.5833333334	14277.853012920874	13636.299707481625	9:hsa;hsa-mir-219a-2,128392618,128392714,-	14272.87093548207	13631.541492009037
hsa-mir-124-2	1193.0	374650.0	124910.86666666628	13198.835444536357	12605.766129441989	8:hsa;hsa-mir-124-2,64379149,64379257,+	4400.581808001467	4202.8484511568295
hsa-mir-124-1	1193.0	374645.0	124906.66666666626	13198.659295658143	12605.597895541956	8:hsa;hsa-mir-124-1,9903388,9903472,-	4400.433842943768	4202.707134680802
hsa-mir-124-3	1190.0	374604.0	124865.66666666626	13197.214874856792	12604.218377561689	20:hsa;hsa-mir-124-3,63178500,63178586,+	4398.9894221424165	4201.327616700534
hsa-mir-7-2	1223.0	337199.0	119556.33333333136	11879.445116941717	11345.660571417882	15:hsa;hsa-mir-7-2,88611825,88611934,+	4211.9427999967365	4022.685646052542
hsa-mir-7-1	1164.0	328869.0	111193.83333333136	11585.981085838053	11065.382893963586	9:hsa;hsa-mir-7-1,83969748,83969857,-	3917.3338011846845	3741.3144482480348
hsa-mir-7-3	1114.0	326979.0	109303.08333333136	11519.396809873357	11001.790479751267	19:hsa;hsa-mir-7-3,4770670,4770779,+	3850.7231028882557	3677.6967989507107
hsa-let-7e	1195.0	294681.0	286609.0	10381.545516165535	9915.066779100747	19:hsa;hsa-let-7e,51692786,51692864,+	10097.170767177688	9643.469970888133
hsa-mir-103a-2	1009.0	287844.0	143434.00000000058	10140.679540096417	9685.023744196184	20:hsa;hsa-mir-103a-2,3917494,3917571,+	5053.1476395345935	4826.09224345493
hsa-mir-103a-1	968.0	286607.0	142198.00000000058	10097.1003076264	9643.40267732812	5:hsa;hsa-mir-103a-1,168560896,168560973,-	5009.60363684022	4784.504823366874
hsa-mir-100	992.0	275596.0	275322.5	9709.185248024667	9272.91798267635	11:hsa;hsa-mir-100,122152229,122152308,-	9699.54990438639	9263.715588344567
hsa-mir-151a	1211.0	262758.0	258706.0	9256.905388323725	8840.960620952672	8:hsa;hsa-mir-151a,140732564,140732653,-	9114.154337419519	8704.62386836626
hsa-let-7i	951.0	254912.0	254334.5	8980.492568631127	8576.96798502153	12:hsa;hsa-let-7i,62603686,62603769,+	8960.14737319747	8557.536969567765
hsa-mir-98	702.0	227761.0	223647.05000000008	8023.968930156266	7663.424261064559	X:hsa;hsa-mir-98,53556223,53556341,-	7879.035394650996	7525.003090456747
hsa-let-7d	1056.0	194412.0	183515.6666666667	6849.09114224797	6541.3377946271885	9:hsa;hsa-let-7d,94178834,94178920,+	6465.215763586599	6174.711264082833
hsa-mir-92a-1	1149.0	194065.0	102335.16666666666	6836.866410099954	6529.662361964926	13:hsa;hsa-mir-92a-1,91351314,91351391,+	3605.2449620246502	3443.2488397636926
hsa-mir-99b	964.0	192342.0	192342.0	6776.165506667588	6471.688960013696	19:hsa;hsa-mir-99b,51692612,51692681,+	6776.165506667588	6471.688960013696
hsa-mir-92a-2	971.0	184294.0	92554.16666666666	6492.6362722951635	6200.899674521238	X:hsa;hsa-mir-92a-2,134169538,134169612,-	3260.662526463433	3114.1496845199395
hsa-mir-181b-2	1444.0	180070.0	92172.24999999991	6343.8256999804125	6058.775675773706	9:hsa;hsa-mir-181b-2,124693710,124693798,+	3247.2076879825568	3101.299418455781
hsa-mir-181b-1	1330.0	176118.0	88220.24999999991	6204.597626640475	5925.803601187947	1:hsa;hsa-mir-181b-1,198858873,198858982,-	3107.9796146426193	2968.3273438700217
hsa-mir-191	807.0	170640.0	170640.0	6011.608915669782	5741.486540312241	3:hsa;hsa-mir-191,49020618,49020709,-	6011.608915669782	5741.486540312241
hsa-mir-99a	834.0	160240.0	159967.0	5645.219248985735	5391.560028244453	21:hsa;hsa-mir-99a,16539089,16539169,+	5635.601520235279	5382.374457302673
hsa-mir-487b	875.0	158617.0	158617.0	5588.041323117638	5336.951304293874	14:hsa;hsa-mir-487b,101046455,101046538,+	5588.041323117638	5336.951304293874
hsa-mir-30c-2	720.0	156376.0	79460.0	5509.091395902355	5261.548870299267	6:hsa;hsa-mir-30c-2,71376960,71377031,-	2799.3579725686877	2673.5731393179244
hsa-mir-30c-1	677.0	154195.0	77279.0	5432.255255225633	5188.165243105052	1:hsa;hsa-mir-30c-1,40757284,40757372,+	2722.521831891966	2600.189512123709
hsa-mir-29a	905.0	152625.0	152499.8333333333	5376.944507466599	5135.339798494818	7:hsa;hsa-mir-29a,130876747,130876810,-	5372.534913881987	5131.128343197335
hsa-mir-21	755.0	145717.0	145717.0	5133.57721732685	4902.907842209791	17:hsa;hsa-mir-21,59841266,59841337,+	5133.57721732685	4902.907842209791
hsa-mir-23b	1036.0	144975.0	144812.0	5107.436723799969	4877.941931444955	9:hsa;hsa-mir-23b,95085208,95085304,+	5101.694270370209	4872.457506303893
hsa-mir-26b	556.0	142077.0	141952.83333333334	5005.340833987433	4780.433562986065	2:hsa;hsa-mir-26b,218402646,218402722,+	5000.966470178465	4776.25575446859
hsa-mir-126	1073.0	136720.0	136720.0	4816.614925869506	4600.1877624911485	9:hsa;hsa-mir-126,136670602,136670686,+	4816.614925869506	4600.1877624911485
hsa-mir-139	910.0	118243.0	118243.0	4165.674361319398	3978.4962083107143	11:hsa;hsa-mir-139,72615063,72615130,-	4165.674361319398	3978.4962083107143
hsa-mir-24-1	729.0	117846.0	60225.0	4151.688140389247	3965.1384366481266	9:hsa;hsa-mir-24-1,95086021,95086088,+	2121.7132380814146	2026.3773258925498
hsa-mir-24-2	618.0	115425.0	57804.0	4066.396853558278	3883.6795822523463	19:hsa;hsa-mir-24-2,13836287,13836359,-	2036.4219512504458	1944.9184714967696
hsa-mir-423	1344.0	113331.0	113331.0	3992.625703362471	3813.2232249186977	17:hsa;hsa-mir-423,30117079,30117172,+	3992.625703362471	3813.2232249186977
hsa-mir-338	566.0	107950.0	107950.0	3803.0542806291196	3632.169901703624	17:hsa;hsa-mir-338,81125883,81125949,-	3803.0542806291196	3632.169901703624
hsa-mir-129-1	875.0	101115.0	52336.0	3562.258764111287	3402.194160359073	7:hsa;hsa-mir-129-1,128207872,128207943,+	1843.7855380361796	1760.937878421129
hsa-mir-129-2	865.0	100352.0	51573.0	3535.3784452959094	3376.5216672141	11:hsa;hsa-mir-129-2,43581394,43581483,+	1816.905219220802	1735.2653852761557
hsa-mir-101-2	691.0	99258.0	50129.0	3496.837070742799	3339.712089886969	9:hsa;hsa-mir-101-2,4850297,4850375,+	1766.033423192748	1686.6794349467436
hsa-mir-101-1	661.0	98296.0	49167.0	3462.9460265745247	3307.343887520699	1:hsa;hsa-mir-101-1,65058434,65058508,-	1732.1423790244735	1654.3112325804732
hsa-mir-30e	938.0	94098.0	93223.0	3315.051428426483	3166.094705053336	1:hsa;hsa-mir-30e,40754355,40754446,+	3284.2253747391237	3136.653772547633
hsa-mir-132	853.0	93731.0	93731.0	3302.1221007656136	3153.7463367909436	17:hsa;hsa-mir-132,2049908,2050008,-	3302.1221007656136	3153.7463367909436
hsa-mir-340	558.0	90088.0	90088.0	3173.780028099269	3031.1711172271985	5:hsa;hsa-mir-340,180015303,180015397,-	3173.780028099269	3031.1711172271985
hsa-mir-146b	561.0	83232.0	83231.5	2932.24468629294	2800.488793502511	10:hsa;hsa-mir-146b,102436512,102436584,+	2932.2270714051187	2800.4719701125073
hsa-mir-379	566.0	79318.0	79317.0	2794.355344427425	2668.795296556999	14:hsa;hsa-mir-379,101022066,101022132,+	2794.320114651782	2668.7616497769927
hsa-mir-222	852.0	77773.0	77773.0	2739.9253410594583	2616.811021446929	X:hsa;hsa-mir-222,45747015,45747124,-	2739.9253410594583	2616.811021446929
hsa-mir-16-2	550.0	70864.0	36140.83333333334	2496.522821144066	2384.3454183818953	3:hsa;hsa-mir-16-2,160404745,160404825,+	1273.2334498734315	1216.0226684189015
hsa-mir-451a	363.0	70455.0	70454.04545454546	2482.113842906203	2370.5838853592295	17:hsa;hsa-mir-451a,28861369,28861440,-	2482.0802144839986	2370.5517679783143
hsa-mir-16-1	499.0	69633.0	34909.83333333334	2453.154967327906	2342.926232193872	13:hsa;hsa-mir-16-1,50048973,50049061,-	1229.865596057272	1174.603482230878
hsa-mir-320a	808.0	67896.0	65713.65952380958	2391.960847036542	2284.4817753225498	8:hsa;hsa-mir-320a,22244966,22245037,-	2315.0774816843773	2211.0530454208506
hsa-mir-221	826.0	60610.0	60610.0	2135.276701703853	2039.3313361950593	X:hsa;hsa-mir-221,45746157,45746266,-	2135.276701703853	2039.3313361950593
hsa-mir-218-1	603.0	59815.0	30185.0	2107.269030067909	2012.5821460898774	4:hsa;hsa-mir-218-1,20528275,20528384,+	1063.410777774803	1015.6280544967475
hsa-mir-92b	889.0	59660.0	59646.66666666667	2101.808414843291	2007.3668951888671	1:hsa;hsa-mir-92b,155195177,155195272,+	2101.3386845013883	2006.918271455447
hsa-mir-218-2	578.0	59310.0	29681.5	2089.477993368347	1995.5905221865858	5:hsa;hsa-mir-218-2,168768146,168768255,-	1045.672585738705	998.6869007634656
hsa-mir-95	313.0	55029.0	55029.0	1938.659323841962	1851.548656978682	4:hsa;hsa-mir-95,8005301,8005381,-	1938.659323841962	1851.548656978682
hsa-mir-323a	396.0	52459.0	52366.0	1848.1188004402313	1765.0764323619305	14:hsa;hsa-mir-323a,101025732,101025817,+	1844.8424313054607	1761.9472818213244
hsa-mir-329-1	742.0	50458.0	25229.0	1777.624019379195	1697.749225568888	14:hsa;hsa-mir-329-1,101026785,101026864,+	888.8120096895975	848.874612784444
hsa-mir-329-2	742.0	50458.0	25229.0	1777.624019379195	1697.749225568888	14:hsa;hsa-mir-329-2,101027100,101027183,+	888.8120096895975	848.874612784444
hsa-mir-1-2	281.0	49140.0	24846.666666666664	1731.1911750821207	1653.4027695202972	18:hsa;hsa-mir-1-2,21829004,21829088,-	875.3424921355397	836.0103272286185
hsa-mir-1-1	263.0	48621.0	24327.666666666664	1712.906921523561	1635.9400906969142	20:hsa;hsa-mir-1-1,62554306,62554376,+	857.0582385769801	818.5476484052357
hsa-mir-22	388.0	45664.0	45664.0	1608.7324749481065	1536.4465622176403	17:hsa;hsa-mir-22,1713903,1713987,-	1608.7324749481065	1536.4465622176403
hsa-mir-485	550.0	41714.0	41714.0	1469.5748611594543	1403.5417811918942	14:hsa;hsa-mir-485,101055419,101055491,+	1469.5748611594543	1403.5417811918942
hsa-mir-369	274.0	41574.0	41574.0	1464.6426925694768	1398.8312319909817	14:hsa;hsa-mir-369,101065598,101065667,+	1464.6426925694768	1398.8312319909817
hsa-mir-140	875.0	39365.0	39324.16666666667	1386.8201181747595	1324.5054949565833	16:hsa;hsa-mir-140,69933081,69933180,+	1385.381569002683	1323.1315847729838
hsa-mir-93	426.0	39006.0	39006.0	1374.1726287190313	1312.4263009342433	7:hsa;hsa-mir-93,100093768,100093847,-	1374.1726287190313	1312.4263009342433
hsa-mir-433	439.0	37978.0	37978.0	1337.956419358339	1277.8374110875427	14:hsa;hsa-mir-433,100881886,100881978,+	1337.956419358339	1277.8374110875427
hsa-mir-382	455.0	37608.0	37608.0	1324.9214023705413	1265.388102485131	14:hsa;hsa-mir-382,101054306,101054381,+	1324.9214023705413	1265.388102485131
hsa-mir-149	367.0	37475.0	37475.0	1320.2358422100626	1260.913080744264	2:hsa;hsa-mir-149,240456001,240456089,+	1320.2358422100626	1260.913080744264
hsa-mir-23a	384.0	36481.0	36355.5	1285.2174452212219	1227.4681814177852	19:hsa;hsa-mir-23a,13836587,13836659,-	1280.7961083780635	1223.245510526967
hsa-mir-330	815.0	35498.0	35498.0	1250.586575764451	1194.393396671378	19:hsa;hsa-mir-330,45638994,45639087,-	1250.586575764451	1194.393396671378
hsa-mir-409	532.0	35420.0	35420.0	1247.8386532643206	1191.7689478308696	14:hsa;hsa-mir-409,101065300,101065378,+	1247.8386532643206	1191.7689478308696
hsa-mir-769	502.0	35227.0	35227.0	1241.0393065652802	1185.2751192896114	19:hsa;hsa-mir-769,46018932,46019049,+	1241.0393065652802	1185.2751192896114
hsa-mir-335	365.0	32967.0	32967.0	1161.4200136127854	1109.2333964748807	7:hsa;hsa-mir-335,130496111,130496204,+	1161.4200136127854	1109.2333964748807
hsa-mir-127	687.0	32912.0	32912.0	1159.482375952437	1107.3828235745223	14:hsa;hsa-mir-127,100882979,100883075,+	1159.482375952437	1107.3828235745223
hsa-mir-361	601.0	32140.0	32140.0	1132.284989156275	1081.4075094094903	X:hsa;hsa-mir-361,85903636,85903707,-	1132.284989156275	1081.4075094094903
hsa-mir-495	342.0	31053.0	31053.0	1093.9902230326636	1044.833459542405	14:hsa;hsa-mir-495,101033755,101033836,+	1093.9902230326636	1044.833459542405
hsa-mir-342	551.0	28623.0	28623.0	1008.3818682209105	963.0717841265663	14:hsa;hsa-mir-342,100109655,100109753,+	1008.3818682209105	963.0717841265663
hsa-mir-885	254.0	27938.0	27938.0	984.2494719056632	940.0237398221014	3:hsa;hsa-mir-885,10394489,10394562,-	984.2494719056632	940.0237398221014
hsa-mir-411	361.0	27276.0	27275.0	960.9273604301978	917.7495714577865	14:hsa;hsa-mir-411,101023325,101023420,+	960.8921306545552	917.71592467778
hsa-mir-543	324.0	25793.0	25771.869565217392	908.6816031520785	867.8513967081202	14:hsa;hsa-mir-543,101031987,101032064,+	907.9371826754547	867.1404256175477
hsa-mir-186	255.0	24352.0	24352.0	857.9154964509524	819.3663867187277	1:hsa;hsa-mir-186,71067631,71067716,-	857.9154964509524	819.3663867187277
hsa-mir-584	364.0	23514.0	23514.0	828.3929444623725	791.1703850732655	5:hsa;hsa-mir-584,149062313,149062409,-	828.3929444623725	791.1703850732655
hsa-mir-204	347.0	21742.0	21739.5	765.9657820235138	731.5482909017155	9:hsa;hsa-mir-204,70809975,70810084,-	765.8777075844071	731.4641739516992
hsa-mir-148b	306.0	19612.0	19600.5	690.9263599045696	659.8806494878321	12:hsa;hsa-mir-148b,54337216,54337314,+	690.5212174846786	659.4937115177571
hsa-mir-432	444.0	19365.0	19365.0	682.2246053208235	651.5698948262221	14:hsa;hsa-mir-432,100884483,100884576,+	682.2246053208235	651.5698948262221
hsa-mir-370	329.0	19258.0	19258.0	678.455019327055	647.9696893655247	14:hsa;hsa-mir-370,100911139,100911213,+	678.455019327055	647.9696893655247
hsa-mir-27a	312.0	18144.0	17337.0	639.2090492610907	610.4871764382635	19:hsa;hsa-mir-27a,13836440,13836517,-	610.7786203174344	583.3342249730035
hsa-mir-486-1	295.0	17608.0	8864.5	620.3258895166052	592.4525023547699	8:hsa;hsa-mir-486-1,41660441,41660508,-	312.29434618468576	298.2618813677793
hsa-mir-486-2	296.0	17579.0	8835.5	619.304226022967	591.4767457345808	8:hsa;hsa-mir-486-2,41660444,41660507,+	311.2726826910476	297.2861247475903
hsa-mir-28	233.0	17480.0	17480.0	615.81647823434	588.1457145139356	3:hsa;hsa-mir-28,188688781,188688866,+	615.81647823434	588.1457145139356
hsa-mir-425	408.0	17427.0	17427.0	613.9493001252771	586.3624351735901	3:hsa;hsa-mir-425,49020148,49020234,-	613.9493001252771	586.3624351735901
hsa-mir-145	364.0	17329.0	17329.0	610.4967821122929	583.0650507329514	5:hsa;hsa-mir-145,149430646,149430733,+	610.4967821122929	583.0650507329514
hsa-mir-25	290.0	15984.0	15984.0	563.1127338728656	537.8101316241846	7:hsa;hsa-mir-25,100093560,100093643,-	563.1127338728656	537.8101316241846
hsa-mir-185	269.0	15921.0	15921.0	560.8932580073757	535.690384483774	22:hsa;hsa-mir-185,20033139,20033220,+	560.8932580073757	535.690384483774
hsa-mir-374b	238.0	15711.0	15593.0	553.4950051224095	528.6245606824051	X:hsa;hsa-mir-374b,74218547,74218618,-	549.3378915965712	524.6542406416361
hsa-mir-328	298.0	15697.0	15697.0	553.0017882634116	528.1535057623139	16:hsa;hsa-mir-328,67202321,67202395,-	553.0017882634116	528.1535057623139
hsa-mir-30b	192.0	15491.0	15491.0	545.7444544810161	521.2222690809712	8:hsa;hsa-mir-30b,134800520,134800607,-	545.7444544810161	521.2222690809712
hsa-mir-1301	440.0	15397.0	15397.0	542.4328555706026	518.0594717603585	2:hsa;hsa-mir-1301,25328640,25328721,-	542.4328555706026	518.0594717603585
hsa-mir-652	246.0	14486.0	14486.0	510.3385299601058	487.4072551744205	X:hsa;hsa-mir-652,110055329,110055426,+	510.3385299601058	487.4072551744205
hsa-mir-744	256.0	13708.0	13708.0	482.9297645100877	461.2300603293495	17:hsa;hsa-mir-744,12081899,12081996,+	482.9297645100877	461.2300603293495
hsa-mir-29b-2	345.0	13530.0	7759.0	476.6588644456877	455.2409334881893	1:hsa;hsa-mir-29b-2,207802443,207802523,-	273.3478292116845	261.0653660705736
hsa-mir-197	108.0	13529.0	13529.0	476.62363467004496	455.2072867081828	1:hsa;hsa-mir-197,109598893,109598967,+	476.62363467004496	455.2072867081828
hsa-mir-195	203.0	12301.0	12290.333333333336	433.36147018081334	413.88904086017857	17:hsa;hsa-mir-195,7017615,7017701,-	432.9856859072913	413.53014187344246
hsa-mir-3613	79.0	12215.0	12215.0	430.3317094755414	410.99541777961804	13:hsa;hsa-mir-3613,49996415,49996501,-	430.3317094755414	410.99541777961804
hsa-mir-29b-1	300.0	12111.0	6340.0	426.66781280870094	407.49615265894016	7:hsa;hsa-mir-29b-1,130877459,130877539,-	223.3567775746977	213.32058524132447
hsa-mir-136	254.0	11977.0	11977.0	421.94702287257957	402.98748413806675	14:hsa;hsa-mir-136,100884702,100884783,+	421.94702287257957	402.98748413806675
hsa-mir-598	172.0	11857.0	11857.0	417.71944979545594	398.9498705372846	8:hsa;hsa-mir-598,11035206,11035302,-	417.71944979545594	398.9498705372846
hsa-mir-146a	249.0	11587.0	11586.5	408.20741037192784	389.8652399355247	5:hsa;hsa-mir-146a,160485352,160485450,+	408.18979548410647	389.84841654552145
hsa-mir-1180	208.0	11456.0	11456.0	403.59230976273454	385.45751175467086	17:hsa;hsa-mir-1180,19344506,19344574,-	403.59230976273454	385.45751175467086
hsa-mir-504	180.0	11419.0	11419.0	402.2888080639547	384.21258089442966	X:hsa;hsa-mir-504,138667711,138667793,-	402.2888080639547	384.21258089442966
hsa-mir-107	301.0	10804.0	6112.999999999983	380.62249604369623	363.5198111904211	10:hsa;hsa-mir-107,89592747,89592827,-	215.3596185038049	205.6827661798443
hsa-mir-135a-2	124.0	10239.0	5504.499999999999	360.71767280557253	344.50938048673834	12:hsa;hsa-mir-135a-2,97563812,97563911,+	193.9223000252245	185.2087005458786
hsa-mir-151b	105.0	9751.0	5699.0	343.52554229193646	328.08975184355756	14:hsa;hsa-mir-151b,100109419,100109514,-	200.77449138772906	191.7529992571464
hsa-mir-135a-1	85.0	9492.0	4757.999999999999	334.401030400478	319.37523582186935	3:hsa;hsa-mir-135a-1,52294219,52294308,-	167.62327250795133	160.09137927101287
hsa-mir-421	234.0	8934.0	8920.4	314.7428155918532	300.6003325782323	X:hsa;hsa-mir-421,74218377,74218461,-	314.2636906431125	300.14273637014367
hsa-mir-889	136.0	8890.0	8890.0	313.19270546357455	299.1198742579455	14:hsa;hsa-mir-889,101047901,101047979,+	313.19270546357455	299.1198742579455
hsa-mir-628	262.0	8701.0	8701.0	306.53427786710483	292.76063283671357	15:hsa;hsa-mir-628,55372940,55373034,-	306.53427786710483	292.76063283671357
hsa-mir-29c	275.0	8146.0	8042.166666666666	286.98175238540813	274.08666993309606	1:hsa;hsa-mir-29c,207801852,207801939,-	283.32372734784144	270.5930126090859
hsa-mir-363	211.0	8097.0	8097.0	285.25549337891596	272.43797771277667	X:hsa;hsa-mir-363,134169378,134169452,-	285.25549337891596	272.43797771277667
hsa-mir-106b	238.0	7373.0	7373.0	259.7491358136035	248.07770898805762	7:hsa;hsa-mir-106b,100093993,100094074,-	259.7491358136035	248.07770898805762
hsa-mir-874	196.0	6769.0	6769.0	238.47035132541464	227.75505386412073	5:hsa;hsa-mir-874,137647572,137647649,-	238.47035132541464	227.75505386412073
hsa-mir-199a-2	234.0	6759.0	2350.166666666674	238.11805356898768	227.41858606405552	1:hsa;hsa-mir-199a-2,172144535,172144644,-	82.79584438961152	79.07554081198542
hsa-mir-199a-1	233.0	6748.0	2339.166666666674	237.730526036918	227.04847148398383	19:hsa;hsa-mir-199a-1,10817426,10817496,-	82.40831685754185	78.70542623191372
hsa-mir-656	70.0	6493.0	6493.0	228.7469332480303	218.46854258232173	14:hsa;hsa-mir-656,101066724,101066801,+	228.7469332480303	218.46854258232173
hsa-mir-199b	208.0	6324.0	2184.666666666667	222.79310116441457	212.7822367612202	9:hsa;hsa-mir-199b,128244721,128244830,-	76.96531652074495	73.50699872090645
hsa-mir-574	135.0	6291.0	6291.0	221.63051856820556	211.67189302100508	4:hsa;hsa-mir-574,38868032,38868127,+	221.63051856820556	211.67189302100508
hsa-mir-346	144.0	6227.0	6227.0	219.37581292707296	209.51849910058792	10:hsa;hsa-mir-346,86264694,86264788,-	219.37581292707296	209.51849910058792
hsa-mir-378a	77.0	6113.0	6071.75	215.35961850380554	205.68276617984486	5:hsa;hsa-mir-378a,149732825,149732890,+	213.9063902585443	204.294836504576
hsa-mir-374a	173.0	6084.0	6070.0	214.33795501016732	204.70700955965586	X:hsa;hsa-mir-374a,74287286,74287357,-	213.84473815116957	204.2359546395646
hsa-mir-1843	124.0	5997.0	5846.6	211.2729645292527	201.77973969908876	1:hsa;hsa-mir-1843,175968370,175968479,-	205.97440627259112	196.71926398610847
hsa-mir-212	214.0	5933.0	5933.0	209.0182588881201	199.6263457786716	17:hsa;hsa-mir-212,2050271,2050380,-	209.0182588881201	199.6263457786716
hsa-mir-181c	220.0	5827.0	5826.5	205.28390266999423	196.05978709798072	19:hsa;hsa-mir-181c,13874699,13874808,+	205.2662877821729	196.04296370797744
hsa-mir-383	151.0	5744.0	5744.0	202.3598312916504	193.2671043574397	8:hsa;hsa-mir-383,14853438,14853510,-	202.3598312916504	193.2671043574397
hsa-mir-539	158.0	5616.0	5616.0	197.85042000938523	188.9603165166054	14:hsa;hsa-mir-539,101047321,101047398,+	197.85042000938523	188.9603165166054
hsa-mir-15b	147.0	5599.0	5599.0	197.2515138234594	188.38832125649458	3:hsa;hsa-mir-15b,160404588,160404685,+	197.2515138234594	188.38832125649458
hsa-mir-708	169.0	5577.0	5577.0	196.47645875932005	187.64809209635118	11:hsa;hsa-mir-708,79402022,79402109,-	196.47645875932005	187.64809209635118
hsa-mir-454	163.0	5463.0	5463.0	192.4602643360526	183.81235917560812	17:hsa;hsa-mir-454,59137758,59137872,-	192.4602643360526	183.81235917560812
hsa-mir-323b	89.0	5426.0	5333.0	191.15676263727283	182.56742831536695	14:hsa;hsa-mir-323b,101056219,101056300,+	187.88039350250202	179.4382777747608
hsa-mir-654	207.0	5423.0	5423.0	191.05107331034475	182.4664879753474	14:hsa;hsa-mir-654,101040219,101040299,+	191.05107331034475	182.4664879753474
