name	unique reads 32150880_EXO_S12 32150880_EXO_S12	32150880_EXO_S12	32150880_EXO_S12 (mult. map. adj.)	32150880_EXO_S1232150880_EXO_S12(lib)	32150880_EXO_S1232150880_EXO_S12(total)	coordinateString 32150880_EXO_S12 32150880_EXO_S12	32150880_EXO_S12 (lib)	32150880_EXO_S12 (total)
URS000005D9C4_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS000005D9C4_9606:rRNA:Homo_sapiens,8399772,8399831,+	19270.054808171382	40.555805916219064
URS000005D9C4_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS000005D9C4_9606:rRNA:Homo_sapiens,8216738,8216797,+	19270.054808171382	40.555805916219064
URS000003B35A_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS000003B35A_9606:rRNA:Homo_sapiens,8399772,8399831,+	19270.054808171382	40.555805916219064
URS000003B35A_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS000003B35A_9606:rRNA:Homo_sapiens,8216738,8216797,+	19270.054808171382	40.555805916219064
URS0000086682_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS0000086682_9606:rRNA:Homo_sapiens,8444007,8444066,+	19270.054808171382	40.555805916219064
URS000003B35A_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS000003B35A_9606:rRNA:Homo_sapiens,8444007,8444066,+	19270.054808171382	40.555805916219064
URS000008D842_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS000008D842_9606:rRNA:Homo_sapiens,8216738,8216797,+	19270.054808171382	40.555805916219064
URS00000A5ABE_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS00000A5ABE_9606:rRNA:Homo_sapiens,8444007,8444066,+	19270.054808171382	40.555805916219064
URS000008D842_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS000008D842_9606:rRNA:Homo_sapiens,8444007,8444066,+	19270.054808171382	40.555805916219064
URS00000A5ABE_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS00000A5ABE_9606:rRNA:Homo_sapiens,8399772,8399831,+	19270.054808171382	40.555805916219064
URS000008D842_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS000008D842_9606:rRNA:Homo_sapiens,8399772,8399831,+	19270.054808171382	40.555805916219064
URS0000086682_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS0000086682_9606:rRNA:Homo_sapiens,8216738,8216797,+	19270.054808171382	40.555805916219064
URS0000086682_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS0000086682_9606:rRNA:Homo_sapiens,8399772,8399831,+	19270.054808171382	40.555805916219064
URS000005D9C4_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS000005D9C4_9606:rRNA:Homo_sapiens,8444007,8444066,+	19270.054808171382	40.555805916219064
URS00000A5ABE_9606:rRNA:Homo_sapiens	121.0	3094.0	206.26666666666648	289050.822122571	608.3370887432865	21:hsa;URS00000A5ABE_9606:rRNA:Homo_sapiens,8216738,8216797,+	19270.054808171382	40.555805916219064
URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens	14.0	949.0	135.57142857142853	88658.44544095665	186.59078772378115	15:hsa;URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens,40593876,40593906,-	12665.492205850946	26.655826817683014
URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens	14.0	949.0	135.57142857142856	88658.44544095665	186.59078772378115	6:hsa;URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens,28213037,28213067,+	12665.49220585095	26.655826817683018
URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens	14.0	949.0	135.57142857142856	88658.44544095665	186.59078772378115	6:hsa;URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens,27297996,27298026,+	12665.49220585095	26.655826817683018
URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens	14.0	949.0	135.57142857142856	88658.44544095665	186.59078772378115	11:hsa;URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens,66348120,66348150,+	12665.49220585095	26.655826817683018
URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens	14.0	949.0	135.57142857142856	88658.44544095665	186.59078772378115	6:hsa;URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens,27097306,27097336,+	12665.49220585095	26.655826817683018
URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens	14.0	949.0	135.57142857142853	88658.44544095665	186.59078772378115	6:hsa;URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens,28597391,28597421,-	12665.492205850946	26.655826817683014
URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens	14.0	949.0	135.57142857142856	88658.44544095665	186.59078772378115	17:hsa;URS00000173B3_9606_piR-34440:piRNA:Homo_sapiens,8186866,8186896,+	12665.49220585095	26.655826817683018
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	37.0	901.0	112.625	84174.14050822123	177.1531082604076	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161462031,161462090,-	10521.767563527654	22.14413853255095
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	37.0	901.0	112.625	84174.14050822123	177.1531082604076	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,248874248,248874307,+	10521.767563527654	22.14413853255095
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	37.0	901.0	112.625	84174.14050822123	177.1531082604076	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161454620,161454679,-	10521.767563527654	22.14413853255095
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	37.0	901.0	112.625	84174.14050822123	177.1531082604076	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161447240,161447299,-	10521.767563527654	22.14413853255095
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	37.0	901.0	112.625	84174.14050822123	177.1531082604076	6:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,28982199,28982258,+	10521.767563527654	22.14413853255095
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	37.0	901.0	112.625	84174.14050822123	177.1531082604076	6:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,125780259,125780318,-	10521.767563527654	22.14413853255095
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	37.0	901.0	112.625	84174.14050822123	177.1531082604076	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161469411,161469470,-	10521.767563527654	22.14413853255095
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	37.0	901.0	112.625	84174.14050822123	177.1531082604076	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,146035692,146035751,+	10521.767563527654	22.14413853255095
URS0000007D24_9606:otherRNA:Homo_sapiens	23.0	809.0	797.5	75579.22272047833	159.06422262227497	7:hsa;URS0000007D24_9606:otherRNA:Homo_sapiens,148963315,148963374,+	74504.85799701046	156.8031119175084
URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens	29.0	708.0	117.99999999999999	66143.49775784754	139.20577208475981	21:hsa;URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens,8444892,8444921,+	11023.916292974587	23.20096201412663
URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens	29.0	708.0	117.99999999999999	66143.49775784754	139.20577208475981	11:hsa;URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens,77886522,77886551,+	11023.916292974587	23.20096201412663
URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens	29.0	708.0	117.99999999999999	66143.49775784754	139.20577208475981	1:hsa;URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens,237603101,237603130,+	11023.916292974587	23.20096201412663
URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens	29.0	708.0	117.99999999999999	66143.49775784754	139.20577208475981	21:hsa;URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens,8217622,8217651,+	11023.916292974587	23.20096201412663
URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens	29.0	708.0	117.99999999999999	66143.49775784754	139.20577208475981	7:hsa;URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens,69062491,69062520,+	11023.916292974587	23.20096201412663
URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens	29.0	708.0	117.99999999999999	66143.49775784754	139.20577208475981	21:hsa;URS0000033B5D_9606_piR-36063:piRNA:Homo_sapiens,8400660,8400689,+	11023.916292974587	23.20096201412663
URS00000AED6F_9606_tRNA-Gly (anticodon TCC) 1-1:tRNA:Homo_sapiens	19.0	557.0	557.0	52036.62182361734	109.51640543956385	19:hsa;URS00000AED6F_9606_tRNA-Gly (anticodon TCC) 1-1:tRNA:Homo_sapiens,4724070,4724129,+	52036.62182361734	109.51640543956385
URS000009AC8B_9606_tRNA-Gly (anticodon GCC) 3-1:tRNA:Homo_sapiens	19.0	536.0	78.22222222222223	50074.73841554559	105.38742067433793	16:hsa;URS000009AC8B_9606_tRNA-Gly (anticodon GCC) 3-1:tRNA:Homo_sapiens,70778222,70778281,-	7307.756186679954	15.379922088460596
URS0000009A89_9606_piR-34358:piRNA:Homo_sapiens	15.0	515.0	57.22222222222223	48112.855007473845	101.25843590911201	1:hsa;URS0000009A89_9606_piR-34358:piRNA:Homo_sapiens,16861920,16861947,+	5345.872778608205	11.250937323234668
URS0000009A89_9606_piR-34358:piRNA:Homo_sapiens	15.0	515.0	57.22222222222222	48112.855007473845	101.25843590911201	1:hsa;URS0000009A89_9606_piR-34358:piRNA:Homo_sapiens,16545983,16546010,-	5345.8727786082045	11.250937323234668
