name	unique reads 32151109_EXO_S17 32151109_EXO_S17	32151109_EXO_S17	32151109_EXO_S17 (mult. map. adj.)	32151109_EXO_S1732151109_EXO_S17(lib)	32151109_EXO_S1732151109_EXO_S17(total)	coordinateString 32151109_EXO_S17 32151109_EXO_S17	32151109_EXO_S17 (lib)	32151109_EXO_S17 (total)
hsa-mir-30a	628.0	33089.0	32903.0	172110.85335025538	15659.510588827698	6:hsa;hsa-mir-30a,71403551,71403621,-	171143.38323259854	15571.485294333395
hsa-let-7a-2	357.0	25322.0	8435.850000000091	131711.1737597137	11983.744662283385	11:hsa;hsa-let-7a-2,122146522,122146593,-	43878.67092492271	3992.302046020235
hsa-let-7a-3	359.0	25318.0	8432.350000000084	131690.36795073183	11981.851645197487	22:hsa;hsa-let-7a-3,46112749,46112822,+	43860.46584206354	3990.64565607007
hsa-let-7a-1	357.0	25310.0	8424.350000000064	131648.7563327681	11978.065611025688	9:hsa;hsa-let-7a-1,94175957,94176036,+	43818.8542240997	3986.8596218982625
hsa-mir-10b	459.0	21847.0	21789.5	113636.1272067161	10339.18606890866	2:hsa;hsa-mir-10b,176150303,176150412,+	113337.04370260176	10311.973948298864
hsa-mir-10a	474.0	18946.0	18888.5	98546.71424261654	8966.275427360439	17:hsa;hsa-mir-10a,48579838,48579947,-	98247.63073850218	8939.06330675064
hsa-let-7f-1	211.0	15653.0	7855.533333333332	81418.33199829391	7407.849111394117	9:hsa;hsa-let-7f-1,94176347,94176433,+	40860.18149600701	3717.664704712208
hsa-let-7f-2	221.0	15634.0	7830.933333333332	81319.50440563005	7398.857280236097	X:hsa;hsa-let-7f-2,53557192,53557274,-	40732.22577076852	3706.022649633929
hsa-let-7b	388.0	12977.0	12953.5	67499.2457894244	6141.420680927711	22:hsa;hsa-let-7b,46113686,46113768,+	67377.01166165592	6130.2992055480545
hsa-mir-30d	344.0	10958.0	10824.0	56997.51370582666	5185.92030682021	8:hsa;hsa-mir-30d,134804876,134804945,-	56300.519104934094	5122.504234442594
hsa-mir-26a-1	173.0	7254.0	3625.8333333333335	37731.33458861714	3432.9864852777696	3:hsa;hsa-mir-26a-1,37969404,37969480,+	18859.598933355526	1715.9411126554976
hsa-mir-26a-2	173.0	7254.0	3625.8333333333335	37731.33458861714	3432.9864852777696	12:hsa;hsa-mir-26a-2,57824609,57824692,-	18859.598933355526	1715.9411126554976
hsa-let-7c	148.0	3631.0	3534.3333333333326	18886.47310329044	1718.3862597247837	21:hsa;hsa-let-7c,16539828,16539911,+	18383.666052895296	1672.6383468155584
hsa-mir-21	131.0	2980.0	2980.0	15500.327691491464	1410.2977289947275	17:hsa;hsa-mir-21,59841266,59841337,+	15500.327691491464	1410.2977289947275
hsa-mir-30c-2	132.0	2941.0	1538.5	15297.471053918252	1391.8408124072125	6:hsa;hsa-mir-30c-2,71376960,71377031,-	8002.434279650878	728.1016966638887
hsa-let-7e	118.0	2913.0	2766.5	15151.83039104518	1378.5896928059199	19:hsa;hsa-let-7e,51692786,51692864,+	14389.817637084274	1309.2579420348702
hsa-mir-30c-1	124.0	2805.0	1402.5	14590.07354853475	1327.4782314866477	1:hsa;hsa-mir-30c-1,40757284,40757372,+	7295.036774267375	663.7391157433239
hsa-let-7g	113.0	2697.0	2614.1499999999996	14028.316706024321	1276.3667701673758	3:hsa;hsa-let-7g,52268278,52268361,-	13597.376387487384	1237.1576537756935
hsa-mir-92a-1	123.0	2516.0	1301.0	13086.853849594807	1190.7077470304478	13:hsa;hsa-mir-92a-1,91351314,91351391,+	6767.089371352481	615.7038071886377
hsa-mir-92a-2	116.0	2431.0	1216.0	12644.730408730116	1150.4811339550947	X:hsa;hsa-mir-92a-2,134169538,134169612,-	6324.965930487792	575.4771941132848
hsa-mir-125a	87.0	1649.0	1649.0	8577.194752774974	780.3962936618475	19:hsa;hsa-mir-125a,51693254,51693339,+	8577.194752774974	780.3962936618475
hsa-mir-30e	118.0	1513.0	1456.0	7869.7972473914715	716.0337127412828	1:hsa;hsa-mir-30e,40754355,40754446,+	7573.3144693998565	689.0582192672225
hsa-mir-204	89.0	1372.0	1371.0	7136.392480780633	649.3048604633443	9:hsa;hsa-mir-204,70809975,70810084,-	7131.191028535167	648.8316061918696
hsa-mir-423	71.0	1279.0	1279.0	6652.657421952209	605.2922132161934	17:hsa;hsa-mir-423,30117079,30117172,+	6652.657421952209	605.2922132161934
hsa-mir-203a	73.0	1231.0	1231.0	6402.987714169796	582.5760081854058	14:hsa;hsa-mir-203a,104117405,104117514,+	6402.987714169796	582.5760081854058
hsa-mir-27b	59.0	1186.0	1182.5	6168.922363123784	561.2795659690426	9:hsa;hsa-mir-27b,95085445,95085541,+	6150.71728026465	559.6231760188809
hsa-mir-98	57.0	1122.0	1104.7500000000002	5836.0294194139005	530.9912925946592	X:hsa;hsa-mir-98,53556223,53556341,-	5746.304368179597	522.82765641172
hsa-mir-184	15.0	1091.0	1091.0	5674.784399804425	516.3204101789422	15:hsa;hsa-mir-184,79209788,79209871,+	5674.784399804425	516.3204101789422
hsa-mir-26b	47.0	994.0	989.3333333333334	5170.243531994132	470.4147458458923	2:hsa;hsa-mir-26b,218402646,218402722,+	5145.9700881819535	468.20622591234354
hsa-mir-200b	74.0	992.0	991.0	5159.840627503198	469.46823730294284	1:hsa;hsa-mir-200b,1167104,1167198,+	5154.639175257732	468.9949830314681
hsa-mir-151a	40.0	910.0	900.0	4733.32154337491	430.6613870420141	8:hsa;hsa-mir-151a,140732564,140732653,-	4681.307020920241	425.9288443272667
hsa-mir-191	53.0	859.0	859.0	4468.047478856097	406.5254191968023	3:hsa;hsa-mir-191,49020618,49020709,-	4468.047478856097	406.5254191968023
hsa-mir-99b	38.0	844.0	844.0	4390.025695174092	399.4266051246812	19:hsa;hsa-mir-99b,51692612,51692681,+	4390.025695174092	399.4266051246812
hsa-mir-200c	58.0	784.0	783.0	4077.9385604460763	371.03134883619674	12:hsa;hsa-mir-200c,6963699,6963766,+	4072.7371082006093	370.558094564722
hsa-mir-125b-2	50.0	771.0	440.0	4010.3196812550063	364.87904330702514	21:hsa;hsa-mir-125b-2,16590237,16590325,+	2288.638988005451	208.23187944888593
hsa-let-7d	72.0	755.0	728.75	3927.096445327535	357.30697496342924	9:hsa;hsa-let-7d,94178834,94178920,+	3790.558323884028	344.88405033721733
hsa-mir-148a	41.0	726.0	726.0	3776.2543302089944	343.5826010906618	7:hsa;hsa-mir-148a,25949919,25949986,-	3776.2543302089944	343.5826010906618
hsa-mir-320a	38.0	704.0	702.8333333333334	3661.822380808722	333.1710071182175	8:hsa;hsa-mir-320a,22244966,22245037,-	3655.754019855677	332.6188771348303
hsa-mir-125b-1	37.0	662.0	331.0	3443.3613864991103	313.29432771627836	11:hsa;hsa-mir-125b-1,122099757,122099844,-	1721.6806932495551	156.64716385813918
hsa-let-7i	38.0	589.0	587.5	3063.655372580024	278.7467658986223	12:hsa;hsa-let-7i,62603686,62603769,+	3055.853194211824	278.0368844914102
hsa-mir-23a	33.0	557.0	557.0	2897.2089007250825	263.6026292114306	19:hsa;hsa-mir-23a,13836587,13836659,-	2897.2089007250825	263.6026292114306
hsa-mir-182	48.0	521.0	521.0	2709.9566198882726	246.56547543833994	7:hsa;hsa-mir-182,129770383,129770492,-	2709.9566198882726	246.56547543833994
hsa-mir-200a	50.0	504.0	503.5	2621.531931715335	238.52015282326934	1:hsa;hsa-mir-200a,1167863,1167952,+	2618.931205592601	238.28352568753198
hsa-mir-101-1	23.0	492.0	246.0	2559.1145047697314	232.84110156557244	1:hsa;hsa-mir-101-1,65058434,65058508,-	1279.5572523848657	116.42055078278622
hsa-mir-101-2	23.0	492.0	246.0	2559.1145047697314	232.84110156557244	9:hsa;hsa-mir-101-2,4850297,4850375,+	1279.5572523848657	116.42055078278622
hsa-mir-28	15.0	440.0	440.0	2288.638988005451	208.23187944888593	3:hsa;hsa-mir-28,188688781,188688866,+	2288.638988005451	208.23187944888593
hsa-mir-22	25.0	403.0	403.0	2096.1852549231744	190.7214714043205	17:hsa;hsa-mir-22,1713903,1713987,-	2096.1852549231744	190.7214714043205
hsa-mir-99a	37.0	399.0	398.0	2075.3794459413066	188.82845431842156	21:hsa;hsa-mir-99a,16539089,16539169,+	2070.1779936958396	188.3552000469468
hsa-mir-141	27.0	359.0	358.5	1867.3213561226294	169.89828345943192	12:hsa;hsa-mir-141,6964097,6964191,+	1864.720629999896	169.66165632369456
hsa-mir-146b	31.0	325.0	325.0	1690.4719797767536	153.80763822929075	10:hsa;hsa-mir-146b,102436512,102436584,+	1690.4719797767536	153.80763822929075
hsa-mir-100	28.0	297.0	296.0	1544.8313169036794	140.556518627998	11:hsa;hsa-mir-100,122152229,122152308,-	1539.6298646582125	140.08326435652327
hsa-mir-222	21.0	282.0	282.0	1466.8095332216753	133.4577045558769	X:hsa;hsa-mir-222,45747015,45747124,-	1466.8095332216753	133.4577045558769
hsa-mir-196a-1	16.0	242.0	120.83333333333333	1258.7514434029981	114.52753369688726	17:hsa;hsa-mir-196a-1,48632490,48632559,-	628.5088129939212	57.18489113653117
hsa-mir-196a-2	16.0	242.0	120.83333333333333	1258.7514434029981	114.52753369688726	12:hsa;hsa-mir-196a-2,53991738,53991847,+	628.5088129939212	57.18489113653117
hsa-mir-374a	10.0	235.0	235.0	1222.3412776847294	111.21475379656408	X:hsa;hsa-mir-374a,74287286,74287357,-	1222.3412776847294	111.21475379656408
hsa-mir-23b	25.0	234.0	234.0	1217.1398254392625	110.74149952508934	9:hsa;hsa-mir-23b,95085208,95085304,+	1217.1398254392625	110.74149952508934
hsa-mir-30b	16.0	233.0	233.0	1211.9383731937958	110.2682452536146	8:hsa;hsa-mir-30b,134800520,134800607,-	1211.9383731937958	110.2682452536146
hsa-mir-501	19.0	226.0	225.0	1175.528207475527	106.95546535329142	X:hsa;hsa-mir-501,50009722,50009805,+	1170.3267552300601	106.48221108181667
hsa-mir-181a-2	20.0	222.0	175.0	1154.7223984936593	105.06244826739244	9:hsa;hsa-mir-181a-2,124692442,124692551,+	910.2541429567135	82.81949750807964
hsa-mir-24-2	19.0	222.0	161.0	1154.7223984936593	105.06244826739244	19:hsa;hsa-mir-24-2,13836287,13836359,-	837.4338115201764	76.19393770743326
hsa-mir-93	16.0	204.0	204.0	1061.0962580752546	96.54387138084711	7:hsa;hsa-mir-93,100093768,100093847,-	1061.0962580752546	96.54387138084711
hsa-mir-345	14.0	196.0	196.0	1019.4846401115191	92.75783720904919	14:hsa;hsa-mir-345,100307859,100307956,+	1019.4846401115191	92.75783720904919
hsa-mir-29a	24.0	184.0	183.0	957.0672131659159	87.0787859513523	7:hsa;hsa-mir-29a,130876747,130876810,-	951.8657609204489	86.60553167987756
hsa-mir-194-2	19.0	177.0	125.5	920.6570474476473	83.76600605102911	11:hsa;hsa-mir-194-2,64891355,64891439,-	652.7822568061002	59.393411070079964
hsa-mir-888	6.0	156.0	156.0	811.4265502928417	73.82766635005956	X:hsa;hsa-mir-888,145994784,145994860,-	811.4265502928417	73.82766635005956
hsa-mir-183	13.0	148.0	148.0	769.8149323291062	70.04163217826164	7:hsa;hsa-mir-183,129774905,129775014,-	769.8149323291062	70.04163217826164
