name	unique reads 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (mult. map. adj.)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(lib)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(total)	coordinateString 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (lib)	180626-180628-190531_Brain_S32 (total)
ENST00000361739.1-ENSG00000198712.1:protein_coding	9.0	184.0	92.0	419134.39635535306	17.658020570442353	1:hsa;ENST00000361739.1-ENSG00000198712.1:protein_coding,632757,632816,+	209567.19817767653	8.829010285221177
ENST00000361739.1-ENSG00000198712.1:protein_coding	9.0	184.0	92.0	419134.39635535306	17.658020570442353	MT:hsa;ENST00000361739.1-ENSG00000198712.1:protein_coding,7586,7645,+	209567.19817767653	8.829010285221177
ENST00000361567.2-ENSG00000198786.2:protein_coding	3.0	92.0	92.0	209567.19817767653	8.829010285221177	MT:hsa;ENST00000361567.2-ENSG00000198786.2:protein_coding,12337,12396,+	209567.19817767653	8.829010285221177
ENST00000632084.1-ENSG00000278550.4:retained_intron	2.0	41.0	41.0	93394.07744874715	3.9346676271094374	17:hsa;ENST00000632084.1-ENSG00000278550.4:retained_intron,1627740,1627799,-	93394.07744874715	3.9346676271094374
ENST00000361681.2-ENSG00000198695.2:protein_coding	4.0	37.0	37.0	84282.46013667426	3.5507976147085167	MT:hsa;ENST00000361681.2-ENSG00000198695.2:protein_coding,14614,14673,-	84282.46013667426	3.5507976147085167
ENST00000361453.3-ENSG00000198763.3:protein_coding	5.0	34.0	17.0	77448.74715261959	3.2628951054078263	MT:hsa;ENST00000361453.3-ENSG00000198763.3:protein_coding,4470,4529,+	38724.373576309794	1.6314475527039132
ENST00000361453.3-ENSG00000198763.3:protein_coding	5.0	34.0	17.0	77448.74715261959	3.2628951054078263	1:hsa;ENST00000361453.3-ENSG00000198763.3:protein_coding,629640,629699,+	38724.373576309794	1.6314475527039132
ENST00000361851.1-ENSG00000228253.1:protein_coding	2.0	29.0	29.0	66059.22551252847	2.7830575899066754	MT:hsa;ENST00000361851.1-ENSG00000228253.1:protein_coding,8366,8425,+	66059.22551252847	2.7830575899066754
ENST00000495226.5-ENSG00000206372.11:processed_transcript	1.0	9.0	4.5	20501.13895216401	0.8637075279020716	6:hsa;ENST00000495226.5-ENSG00000206372.11:processed_transcript,31920096,31920155,+	10250.569476082004	0.4318537639510358
ENST00000469696.5-ENSG00000231543.9:processed_transcript	1.0	9.0	4.5	20501.13895216401	0.8637075279020716	6:hsa;ENST00000469696.5-ENSG00000231543.9:processed_transcript,31920096,31920155,+	10250.569476082004	0.4318537639510358
ENST00000390515.1-ENSG00000211867.1:TR_J_gene	1.0	7.0	7.0	15945.330296127562	0.6717725217016113	14:hsa;ENST00000390515.1-ENSG00000211867.1:TR_J_gene,22522040,22522099,+	15945.330296127562	0.6717725217016113
ENST00000627658.2-ENSG00000275544.4:protein_coding	1.0	3.0	3.0	6833.7129840546695	0.28790250930069056	3:hsa;ENST00000627658.2-ENSG00000275544.4:protein_coding,197546427,197546486,-	6833.7129840546695	0.28790250930069056
ENST00000620800.4-ENSG00000276463.4:protein_coding	1.0	3.0	3.0	6833.7129840546695	0.28790250930069056	5:hsa;ENST00000620800.4-ENSG00000276463.4:protein_coding,69369418,69369477,-	6833.7129840546695	0.28790250930069056
