name	unique reads 32152088_EXO_S8	32152088_EXO_S8	read count (mult. map. adj.)	32152088_EXO_S832152088_EXO_S8(lib)	RPM (total)	coordinateString 32152088_EXO_S8	32152088_EXO_S8 (lib)	RPM_adj (total)
ENST00000611066.1-ENSG00000275110.1:miRNA	3.0	59.0	59.0	907692.3076923077	5.310614225641338	X:hsa;ENST00000611066.1-ENSG00000275110.1:miRNA,109054542,109054590,+	907692.3076923077	5.310614225641338
ENST00000614083.1-ENSG00000274806.1:snRNA	1.0	1.0	0.5	15384.615384615387	0.09001041060409047	9:hsa;ENST00000614083.1-ENSG00000274806.1:snRNA,70188691,70188750,-	7692.307692307693	0.045005205302045236
ENST00000384195.1-ENSG00000206922.1:snRNA	1.0	1.0	1.0	15384.615384615387	0.09001041060409047	13:hsa;ENST00000384195.1-ENSG00000206922.1:snRNA,72706064,72706123,-	15384.615384615387	0.09001041060409047
ENST00000383976.1-ENSG00000206703.1:snRNA	1.0	1.0	0.5	15384.615384615387	0.09001041060409047	4:hsa;ENST00000383976.1-ENSG00000206703.1:snRNA,158794637,158794696,-	7692.307692307693	0.045005205302045236
ENST00000591299.1-ENSG00000283633.1:lncRNA	1.0	1.0	1.0	15384.615384615387	0.09001041060409047	22:hsa;ENST00000591299.1-ENSG00000283633.1:lncRNA,16602050,16602109,+	15384.615384615387	0.09001041060409047
ENST00000391028.1-ENSG00000212330.1:snRNA	1.0	1.0	0.5	15384.615384615387	0.09001041060409047	14:hsa;ENST00000391028.1-ENSG00000212330.1:snRNA,102501676,102501735,+	7692.307692307693	0.045005205302045236
ENST00000362347.1-ENSG00000199217.1:snRNA	1.0	1.0	0.5	15384.615384615387	0.09001041060409047	11:hsa;ENST00000362347.1-ENSG00000199217.1:snRNA,119656311,119656370,+	7692.307692307693	0.045005205302045236
ENST00000410533.1-ENSG00000222465.1:snRNA	1.0	1.0	0.5	15384.615384615387	0.09001041060409047	9:hsa;ENST00000410533.1-ENSG00000222465.1:snRNA,70188691,70188750,-	7692.307692307693	0.045005205302045236
ENST00000384438.1-ENSG00000207167.1:snRNA	1.0	1.0	1.0	15384.615384615387	0.09001041060409047	16:hsa;ENST00000384438.1-ENSG00000207167.1:snRNA,19012157,19012216,+	15384.615384615387	0.09001041060409047
ENST00000516168.1-ENSG00000251977.1:snRNA	1.0	1.0	0.5	15384.615384615387	0.09001041060409047	1:hsa;ENST00000516168.1-ENSG00000251977.1:snRNA,8292204,8292263,-	7692.307692307693	0.045005205302045236
